CIA - The World Factbook --  Manpower fit for military service   

This entry gives the number of males and females falling in the military age range for a country (defined as being ages 16-49) and who are not otherwise disqualified for health reasons; accounts for the health situation in the country and provides a more realistic estimate of the actual number fit to serve.

| Rank | country | Manpower fit for military service | Date of Information |
| 86 | Malaysia | 5,409,524.00 | 2009 est. |
| 87 | Venezuela | 5,391,582.00 | 2009 est. |
| 88 | Taiwan | 5,106,730.00 | 2009 est. |
| 89 | Taiwan | 5,008,563.00 | 2009 est. |
| 90 | Nepal | 4,886,103.00 | 2009 est. |
| 91 | Sri Lanka | 4,693,895.00 | 2009 est. |
| 92 | Romania | 4,604,484.00 | 2009 est. |
| 93 | Romania | 4,542,720.00 | 2009 est. |
| 94 | Sri Lanka | 4,498,667.00 | 2009 est. |
| 95 | Korea, North | 4,492,374.00 | 2009 est. |
| 96 | Afghanistan | 4,371,193.00 | 2009 est. |
| 97 | Syria | 4,360,934.00 | 2009 est. |
| 98 | Syria | 4,344,895.00 | 2009 est. |
| 99 | Australia | 4,341,591.00 | 2009 est. |
| 100 | Australia | 4,179,659.00 | 2009 est. |
| 101 | Korea, North | 4,104,964.00 | 2009 est. |
| 102 | Afghanistan | 4,072,945.00 | 2009 est. |
| 103 | Uganda | 3,996,597.00 | 2009 est. |
| 104 | Uganda | 3,899,717.00 | 2009 est. |
| 105 | Ghana | 3,849,113.00 | 2009 est. |
| 106 | Ghana | 3,840,083.00 | 2009 est. |
| 107 | Yemen | 3,773,626.00 | 2009 est. |
| 108 | Yemen | 3,733,704.00 | 2009 est. |
| 109 | Chile | 3,573,165.00 | 2009 est. |
| 110 | Kazakhstan | 3,550,014.00 | 2009 est. |
| 111 | Chile | 3,523,649.00 | 2009 est. |
| 112 | Madagascar | 3,404,988.00 | 2009 est. |
| 113 | Netherlands | 3,224,790.00 | 2009 est. |
| 114 | Ecuador | 3,165,489.00 | 2009 est. |
| 115 | Madagascar | 3,150,043.00 | 2009 est. |
| 116 | Netherlands | 3,143,096.00 | 2009 est. |
| 117 | Cote d'Ivoire | 3,122,106.00 | 2009 est. |
| 118 | Cote d'Ivoire | 2,936,391.00 | 2009 est. |
| 119 | Kazakhstan | 2,888,931.00 | 2009 est. |
| 120 | Cambodia | 2,763,256.00 | 2009 est. |
| 121 | Guatemala | 2,725,572.00 | 2009 est. |
| 122 | Ecuador | 2,708,470.00 | 2009 est. |
| 123 | Cambodia | 2,673,383.00 | 2009 est. |
| 124 | Cameroon | 2,645,601.00 | 2009 est. |
| 125 | Cameroon | 2,574,948.00 | 2009 est. |
| 126 | Tunisia | 2,569,403.00 | 2009 est. |
| 127 | Cuba | 2,532,495.00 | 2009 est. |
| 128 | Tunisia | 2,489,651.00 | 2009 est. |
| 129 | Cuba | 2,468,631.00 | 2009 est. |
| 130 | Guatemala | 2,401,297.00 | 2009 est. |
| 131 | Mozambique | 2,366,897.00 | 2009 est. |
| 132 | Mozambique | 2,209,764.00 | 2009 est. |
| 133 | Senegal | 2,207,510.00 | 2009 est. |
| 134 | Burkina Faso | 2,197,557.00 | 2009 est. |
| 135 | Burkina Faso | 2,191,978.00 | 2009 est. |
| 136 | Portugal | 2,103,558.00 | 2009 est. |
| 137 | Czech Republic | 2,095,038.00 | 2009 est. |
| 138 | United Arab Emirates | 2,081,491.00 | 2009 est. |
| 139 | Belarus | 2,069,898.00 | 2009 est. |
| 140 | Greece | 2,067,878.00 | 2009 est. |
| 141 | Dominican Republic | 2,056,774.00 | 2009 est. |
| 142 | Greece | 2,050,289.00 | 2009 est. |
| 143 | Portugal | 2,049,032.00 | 2009 est. |
| 144 | Niger | 2,046,906.00 | 2009 est. |
| 145 | Senegal | 2,038,508.00 | 2009 est. |
| 146 | Niger | 2,019,553.00 | 2009 est. |
| 147 | Czech Republic | 2,011,531.00 | 2009 est. |
| 148 | Belgium | 1,962,409.00 | 2009 est. |
| 149 | Azerbaijan | 1,944,260.00 | 2009 est. |
| 150 | Hungary | 1,934,019.00 | 2009 est. |
| 151 | Dominican Republic | 1,921,836.00 | 2009 est. |
| 152 | Bolivia | 1,906,396.00 | 2009 est. |
| 153 | Belgium | 1,905,178.00 | 2009 est. |
| 154 | Hungary | 1,887,755.00 | 2009 est. |
| 155 | Malawi | 1,732,621.00 | 2009 est. |
| 156 | Azerbaijan | 1,727,464.00 | 2009 est. |
| 157 | Belarus | 1,720,049.00 | 2009 est. |
| 158 | Sweden | 1,705,746.00 | 2009 est. |
| 159 | Bolivia | 1,666,697.00 | 2009 est. |
| 160 | Mali | 1,649,772.00 | 2009 est. |
| 161 | Sweden | 1,645,070.00 | 2009 est. |
| 162 | Austria | 1,607,456.00 | 2009 est. |
| 163 | Tajikistan | 1,603,779.00 | 2009 est. |
| 164 | Jordan | 1,593,919.00 | 2009 est. |
| 165 | Mali | 1,579,601.00 | 2009 est. |
| 166 | Austria | 1,576,335.00 | 2009 est. |
| 167 | Malawi | 1,562,107.00 | 2009 est. |
| 168 | El Salvador | 1,547,278.00 | 2009 est. |
| 169 | Hong Kong | 1,543,443.00 | 2009 est. |
| 170 | Haiti | 1,530,043.00 | 2009 est. |
| 171 | Haiti | 1,518,840.00 | 2009 est. |
| 172 | Switzerland | 1,510,259.00 | 2009 est. |
| 173 | Switzerland | 1,475,993.00 | 2009 est. |
| 174 | Israel | 1,474,966.00 | 2009 est. |
| 175 | Angola | 1,467,833.00 | 2009 est. |
| 176 | Libya | 1,466,578.00 | 2009 est. |
| 177 | Rwanda | 1,456,207.00 | 2009 est. |
| 178 | Rwanda | 1,452,768.00 | 2009 est. |
| 179 | Zimbabwe | 1,436,232.00 | 2009 est. |
| 180 | Guinea | 1,435,387.00 | 2009 est. |
| 181 | Tajikistan | 1,428,218.00 | 2009 est. |
| 182 | Hong Kong | 1,421,406.00 | 2009 est. |
| 183 | Serbia | 1,415,007.00 | 2009 est. |
| 184 | Angola | 1,411,468.00 | 2009 est. |
| 185 | Libya | 1,409,684.00 | 2009 est. |
| 186 | Israel | 1,404,712.00 | 2009 est. |
| 187 | Honduras | 1,402,398.00 | 2009 est. |
| 188 | Honduras | 1,397,938.00 | 2009 est. |
| 189 | Guinea | 1,396,278.00 | 2009 est. |
| 190 | Paraguay | 1,390,799.00 | 2009 est. |
| 191 | Jordan | 1,382,097.00 | 2009 est. |
| 192 | Bulgaria | 1,381,017.00 | 2009 est. |
| 193 | Serbia | 1,379,541.00 | 2009 est. |
| 194 | Zambia | 1,364,173.00 | 2009 est. |
| 195 | Paraguay | 1,363,746.00 | 2009 est. |
| 196 | Somalia | 1,351,649.00 | 2009 est. |
| 197 | Bulgaria | 1,351,312.00 | 2009 est. |
| 198 | Nicaragua | 1,339,413.00 | 2009 est. |
| 199 | Chad | 1,315,620.00 | 2009 est. |
| 200 | Somalia | 1,301,026.00 | 2009 est. |
| 201 | Benin | 1,292,438.00 | 2009 est. |
| 202 | Benin | 1,279,053.00 | 2009 est. |
| 203 | Nicaragua | 1,277,878.00 | 2009 est. |
| 204 | Zambia | 1,245,220.00 | 2009 est. |
| 205 | Kyrgyzstan | 1,229,406.00 | 2009 est. |
| 206 | El Salvador | 1,201,290.00 | 2009 est. |
| 207 | Zimbabwe | 1,198,727.00 | 2009 est. |
| 208 | Slovakia | 1,165,470.00 | 2009 est. |
| 209 | Slovakia | 1,152,941.00 | 2009 est. |
| 210 | Turkmenistan | 1,147,714.00 | 2009 est. |
| 211 | Papua New Guinea | 1,127,758.00 | 2009 est. |
| 212 | Burundi | 1,124,072.00 | 2009 est. |
| 213 | Papua New Guinea | 1,110,175.00 | 2009 est. |
| 214 | Singapore | 1,104,952.00 | 2009 est. |
| 215 | Chad | 1,103,006.00 | 2009 est. |
| 216 | Burundi | 1,102,729.00 | 2009 est. |
| 217 | Laos | 1,085,197.00 | 2009 est. |
| 218 | Kyrgyzstan | 1,083,777.00 | 2009 est. |
| 219 | Singapore | 1,033,961.00 | 2009 est. |
| 220 | Turkmenistan | 1,024,884.00 | 2009 est. |
| 221 | Laos | 1,023,205.00 | 2009 est. |
| 222 | Denmark | 1,013,223.00 | 2009 est. |
| 223 | Denmark | 998,837.00 | 2009 est. |
| 224 | Bosnia and Herzegovina | 991,953.00 | 2009 est. |
| 225 | Moldova | 987,356.00 | 2009 est. |
| 226 | Costa Rica | 971,224.00 | 2009 est. |
| 227 | Finland | 962,479.00 | 2009 est. |
| 228 | Georgia | 959,290.00 | 2009 est. |
| 229 | Bosnia and Herzegovina | 959,226.00 | 2009 est. |
| 230 | Lebanon | 954,663.00 | 2009 est. |
| 231 | Lebanon | 948,765.00 | 2009 est. |
| 232 | Togo | 943,967.00 | 2009 est. |
| 233 | Costa Rica | 936,978.00 | 2009 est. |
| 234 | Kuwait | 935,525.00 | 2009 est. |
| 235 | Togo | 929,395.00 | 2009 est. |
| 236 | Finland | 920,297.00 | 2009 est. |
| 237 | Georgia | 908,282.00 | 2009 est. |
| 238 | Norway | 888,219.00 | 2009 est. |
| 239 | Eritrea | 887,495.00 | 2009 est. |
| 240 | Moldova | 877,665.00 | 2009 est. |
| 241 | Norway | 863,255.00 | 2009 est. |
| 242 | Ireland | 857,162.00 | 2009 est. |
| 243 | Ireland | 854,416.00 | 2009 est. |
| 244 | Croatia | 849,957.00 | 2009 est. |
| 245 | New Zealand | 837,553.00 | 2009 est. |
| 246 | Eritrea | 834,018.00 | 2009 est. |
| 247 | New Zealand | 825,981.00 | 2009 est. |
| 248 | Albania | 800,665.00 | 2009 est. |
| 249 | Puerto Rico | 790,482.00 | 2009 est. |
| 250 | United Arab Emirates | 788,632.00 | 2009 est. |
| 251 | Croatia | 770,798.00 | 2009 est. |
| 252 | Albania | 768,536.00 | 2009 est. |
| 253 | Sierra Leone | 762,239.00 | 2009 est. |
| 254 | Lithuania | 743,468.00 | 2009 est. |
| 255 | Mongolia | 740,550.00 | 2009 est. |
| 256 | Armenia | 729,047.00 | 2009 est. |
| 257 | Panama | 710,521.00 | 2009 est. |
| 258 | Uruguay | 708,545.00 | 2009 est. |
| 259 | Mongolia | 706,774.00 | 2009 est. |
| 260 | Panama | 705,160.00 | 2009 est. |
| 261 | Puerto Rico | 699,784.00 | 2009 est. |
| 262 | Uruguay | 693,622.00 | 2009 est. |
| 263 | Sierra Leone | 692,469.00 | 2009 est. |
| 264 | Lithuania | 677,689.00 | 2009 est. |
| 265 | Oman | 675,454.00 | 2009 est. |
| 266 | Armenia | 642,734.00 | 2009 est. |
| 267 | Jamaica | 586,426.00 | 2009 est. |
| 268 | Jamaica | 573,520.00 | 2009 est. |
| 269 | Oman | 563,890.00 | 2009 est. |
| 270 | Central African Republic | 552,907.00 | 2009 est. |
| 271 | West Bank | 545,653.00 | 2009 est. |
| 272 | Mauritania | 544,598.00 | 2009 est. |
| 273 | Congo, Republic of the | 538,202.00 | 2009 est. |
| 274 | Congo, Republic of the | 527,649.00 | 2009 est. |
| 275 | Kuwait | 519,854.00 | 2009 est. |
| 276 | West Bank | 515,102.00 | 2009 est. |
| 277 | Central African Republic | 512,611.00 | 2009 est. |
| 278 | Latvia | 463,144.00 | 2009 est. |
| 279 | Mauritania | 450,289.00 | 2009 est. |
| 280 | Macedonia | 444,247.00 | 2009 est. |
| 281 | Kosovo | 428,685.00 | 2009 est. |
| 282 | Macedonia | 427,556.00 | 2009 est. |
| 283 | Latvia | 410,374.00 | 2009 est. |
| 284 | Slovenia | 402,484.00 | 2009 est. |
| 285 | Slovenia | 390,559.00 | 2009 est. |
| 286 | Kosovo | 388,848.00 | 2009 est. |
| 287 | Liberia | 387,417.00 | 2009 est. |
| 288 | Liberia | 382,334.00 | 2009 est. |
| 289 | Botswana | 341,190.00 | 2009 est. |
| 290 | Namibia | 329,614.00 | 2009 est. |
| 291 | Qatar | 318,388.00 | 2009 est. |
| 292 | Botswana | 315,588.00 | 2009 est. |
| 293 | Gaza Strip | 312,003.00 | 2009 est. |
| 294 | Gaza Strip | 297,380.00 | 2009 est. |
| 295 | Namibia | 294,490.00 | 2009 est. |
| 296 | Mauritius | 282,211.00 | 2009 est. |
| 297 | Mauritius | 277,690.00 | 2009 est. |
| 298 | Trinidad and Tobago | 276,224.00 | 2009 est. |
| 299 | Trinidad and Tobago | 271,677.00 | 2009 est. |
| 300 | Lesotho | 267,083.00 | 2009 est. |
| 301 | Estonia | 260,408.00 | 2009 est. |
| 302 | Gambia, The | 253,680.00 | 2009 est. |
| 303 | Lesotho | 240,868.00 | 2009 est. |
| 304 | Timor-Leste | 238,610.00 | 2009 est. |
| 305 | Gambia, The | 238,454.00 | 2009 est. |
| 306 | Timor-Leste | 230,534.00 | 2009 est. |
| 307 | Estonia | 216,483.00 | 2009 est. |
| 308 | Fiji | 204,410.00 | 2009 est. |
| 309 | Guinea-Bissau | 200,660.00 | 2009 est. |
| 310 | Gabon | 195,519.00 | 2009 est. |
| 311 | Guinea-Bissau | 194,110.00 | 2009 est. |
| 312 | Fiji | 192,363.00 | 2009 est. |
| 313 | Gabon | 190,519.00 | 2009 est. |
| 314 | Bahrain | 171,004.00 | 2009 est. |
| 315 | Cyprus | 165,615.00 | 2009 est. |
| 316 | Cyprus | 159,362.00 | 2009 est. |
| 317 | Montenegro | 154,029.00 | 2009 est. |
| 318 | Guyana | 150,307.00 | 2009 est. |
| 319 | Bhutan | 150,210.00 | 2009 est. |
| 320 | Macau | 148,809.00 | 2009 est. |
| 321 | Guyana | 144,622.00 | 2009 est. |
| 322 | Bahrain | 144,555.00 | 2009 est. |
| 323 | Maldives | 138,746.00 | 2009 est. |
| 324 | Montenegro | 136,847.00 | 2009 est. |
| 325 | Qatar | 136,841.00 | 2009 est. |
| 326 | Bhutan | 135,991.00 | 2009 est. |
| 327 | Comoros | 135,707.00 | 2009 est. |
| 328 | Comoros | 125,747.00 | 2009 est. |
| 329 | Swaziland | 124,132.00 | 2009 est. |
| 330 | Macau | 122,962.00 | 2009 est. |
| 331 | Solomon Islands | 122,821.00 | 2009 est. |
| 332 | Solomon Islands | 121,368.00 | 2009 est. |
| 333 | Swaziland | 118,570.00 | 2009 est. |
| 334 | Suriname | 111,000.00 | 2009 est. |
| 335 | Equatorial Guinea | 107,919.00 | 2009 est. |
| 336 | Suriname | 107,367.00 | 2009 est. |
| 337 | Equatorial Guinea | 105,468.00 | 2009 est. |
| 338 | Luxembourg | 95,840.00 | 2009 est. |
| 339 | Brunei | 95,301.00 | 2009 est. |
| 340 | Luxembourg | 94,641.00 | 2009 est. |
| 341 | Brunei | 92,543.00 | 2009 est. |
| 342 | Cape Verde | 90,154.00 | 2009 est. |
| 343 | Cape Verde | 84,967.00 | 2009 est. |
| 344 | Maldives | 82,247.00 | 2009 est. |
| 345 | Malta | 80,186.00 | 2009 est. |
| 346 | Malta | 76,426.00 | 2009 est. |
| 347 | French Polynesia | 65,408.00 | 2009 est. |
| 348 | French Polynesia | 64,421.00 | 2009 est. |
| 349 | Iceland | 62,576.00 | 2009 est. |
| 350 | Iceland | 61,159.00 | 2009 est. |
| 351 | Western Sahara | 59,221.00 | 2009 est. |
| 352 | Barbados | 58,866.00 | 2009 est. |
| 353 | Barbados | 58,596.00 | 2009 est. |
| 354 | Belize | 56,135.00 | 2009 est. |
| 355 | Djibouti | 55,173.00 | 2009 est. |
| 356 | Belize | 54,732.00 | 2009 est. |
| 357 | Djibouti | 52,825.00 | 2009 est. |
| 358 | Western Sahara | 52,267.00 | 2009 est. |
| 359 | Bahamas, The | 51,690.00 | 2009 est. |
| 360 | Bahamas, The | 50,764.00 | 2009 est. |
| 361 | New Caledonia | 48,959.00 | 2009 est. |
| 362 | New Caledonia | 48,288.00 | 2009 est. |
| 363 | Netherlands Antilles | 47,325.00 | 2009 est. |
| 364 | Netherlands Antilles | 46,461.00 | 2009 est. |
| 365 | Samoa | 43,169.00 | 2009 est. |
| 366 | Vanuatu | 42,837.00 | 2009 est. |
| 367 | Vanuatu | 41,533.00 | 2009 est. |
| 368 | Samoa | 40,957.00 | 2009 est. |
| 369 | Sao Tome and Principe | 38,329.00 | 2009 est. |
| 370 | Saint Lucia | 36,110.00 | 2009 est. |
| 371 | Mayotte | 35,849.00 | 2009 est. |
| 372 | Sao Tome and Principe | 35,216.00 | 2009 est. |
| 373 | Mayotte | 34,456.00 | 2009 est. |
| 374 | Northern Mariana Islands | 33,074.00 | 2009 est. |
| 375 | Saint Lucia | 32,094.00 | 2009 est. |
| 376 | Tonga | 27,715.00 | 2009 est. |
| 377 | Tonga | 26,471.00 | 2009 est. |
| 378 | Micronesia, Federated States of | 23,401.00 | 2009 est. |
| 379 | Saint Vincent and the Grenadines | 22,975.00 | 2009 est. |
| 380 | Saint Vincent and the Grenadines | 22,250.00 | 2009 est. |
| 381 | Micronesia, Federated States of | 21,845.00 | 2009 est. |
| 382 | Aruba | 21,232.00 | 2009 est. |
| 383 | Virgin Islands | 21,193.00 | 2009 est. |
| 384 | Grenada | 20,923.00 | 2009 est. |
| 385 | Kiribati | 20,643.00 | 2009 est. |
| 386 | Grenada | 20,483.00 | 2009 est. |
| 387 | Aruba | 20,287.00 | 2009 est. |
| 388 | Seychelles | 19,780.00 | 2009 est. |
| 389 | Seychelles | 19,702.00 | 2009 est. |
| 390 | Antigua and Barbuda | 19,586.00 | 2009 est. |
| 391 | Northern Mariana Islands | 19,209.00 | 2009 est. |
| 392 | Andorra | 18,617.00 | 2009 est. |
| 393 | Kiribati | 18,129.00 | 2009 est. |
| 394 | Virgin Islands | 17,820.00 | 2009 est. |
| 395 | Andorra | 17,613.00 | 2009 est. |
| 396 | Antigua and Barbuda | 17,271.00 | 2009 est. |
| 397 | Jersey | 16,920.00 | 2009 est. |
| 398 | Jersey | 16,826.00 | 2009 est. |
| 399 | Dominica | 15,821.00 | 2009 est. |
| 400 | Dominica | 15,291.00 | 2009 est. |
| 401 | Isle of Man | 14,691.00 | 2009 est. |
| 402 | Isle of Man | 14,338.00 | 2009 est. |
| 403 | American Samoa | 13,875.00 | 2009 est. |
| 404 | American Samoa | 13,517.00 | 2009 est. |
| 405 | Marshall Islands | 13,199.00 | 2009 est. |
| 406 | Marshall Islands | 13,041.00 | 2009 est. |
| 407 | Guernsey | 12,566.00 | 2009 est. |
| 408 | Bermuda | 12,496.00 | 2009 est. |
| 409 | Bermuda | 12,486.00 | 2009 est. |
| 410 | Guernsey | 12,447.00 | 2009 est. |
| 411 | Greenland | 11,437.00 | 2009 est. |
| 412 | Greenland | 10,809.00 | 2009 est. |
| 413 | Cayman Islands | 10,145.00 | 2009 est. |
| 414 | Faroe Islands | 9,759.00 | 2009 est. |
| 415 | Cayman Islands | 9,735.00 | 2009 est. |
| 416 | Saint Kitts and Nevis | 8,517.00 | 2009 est. |
| 417 | Faroe Islands | 8,311.00 | 2009 est. |
| 418 | Saint Kitts and Nevis | 8,159.00 | 2009 est. |
| 419 | Saint Martin | 6,925.00 | 2009 est. |
| 420 | Liechtenstein | 6,801.00 | 2009 est. |
| 421 | Liechtenstein | 6,584.00 | 2009 est. |
| 422 | Saint Martin | 6,336.00 | 2009 est. |
| 423 | San Marino | 6,048.00 | 2009 est. |
| 424 | British Virgin Islands | 5,979.00 | 2009 est. |
| 425 | British Virgin Islands | 5,738.00 | 2009 est. |
| 426 | Monaco | 5,495.00 | 2009 est. |
| 427 | Monaco | 5,406.00 | 2009 est. |
| 428 | San Marino | 5,343.00 | 2009 est. |
| 429 | Gibraltar | 5,242.00 | 2009 est. |
| 430 | Gibraltar | 5,234.00 | 2009 est. |
| 431 | Palau | 5,177.00 | 2009 est. |
| 432 | Turks and Caicos Islands | 4,937.00 | 2009 est. |
| 433 | Turks and Caicos Islands | 4,648.00 | 2009 est. |
| 434 | Palau | 3,936.00 | 2009 est. |
| 435 | Anguilla | 3,308.00 | 2009 est. |
| 436 | Wallis and Futuna | 3,297.00 | 2009 est. |
| 437 | Wallis and Futuna | 3,273.00 | 2009 est. |
| 438 | Nauru | 2,966.00 | 2009 est. |
| 439 | Anguilla | 2,955.00 | 2009 est. |
| 440 | Tuvalu | 2,631.00 | 2009 est. |
| 441 | Nauru | 2,592.00 | 2009 est. |
| 442 | Tuvalu | 2,462.00 | 2009 est. |
| 443 | Cook Islands | 2,334.00 | 2009 est. |
| 444 | Cook Islands | 2,286.00 | 2009 est. |
| 445 | Saint Helena | 1,600.00 | 2009 est. |
| 446 | Saint Barthelemy | 1,594.00 | 2009 est. |
| 447 | Saint Helena | 1,586.00 | 2009 est. |
| 448 | Saint Pierre and Miquelon | 1,427.00 | 2009 est. |
| 449 | Saint Pierre and Miquelon | 1,406.00 | 2009 est. |
| 450 | Saint Barthelemy | 1,340.00 | 2009 est. |
| 451 | Montserrat | 1,226.00 | 2009 est. |
| 452 | Montserrat | 1,126.00 | 2009 est. |
