CIA - The World Factbook -- Field Listing :: School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Country | School life expectancy (primary to tertiary education)(years) |
| | *male:* 10 years |
| | *female:* 9 years (2003) |
| **Cook Islands** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2011) |
| **Costa Rica** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2011) |
| **Cote d'Ivoire** | *total:* 6 years |
| | *male:* 8 years |
| | *female:* 5 years (2000) |
| **Croatia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2010) |
| **Cuba** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Cyprus** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2010) |
| **Czech Republic** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2011) |
| **Denmark** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2010) |
| **Djibouti** | *total:* 6 years |
| | *male:* 6 years |
| | *female:* 5 years (2011) |
| **Dominica** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2008) |
| **Dominican Republic** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2004) |
| **Ecuador** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2008) |
| **Egypt** | *total:* 12 years |
| | *male:* 13 years |
| | *female:* 12 years (2010) |
| **El Salvador** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Equatorial Guinea** | *total:* 8 years |
| | *male:* 9 years |
| | *female:* 7 years (2002) |
| **Eritrea** | *total:* 5 years |
| | *male:* 5 years |
| | *female:* 4 years (2010) |
| **Estonia** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 17 years (2010) |
| **Ethiopia** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2011) |
| **Fiji** | *total:* 15.7 years (2011) |
| **Finland** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2011) |
| **France** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2011) |
| **Gabon** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 12 years (2002) |
| **Gambia, The** | *total:* 8.6 years (2008) |
| **Gaza Strip** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Georgia** | *total:* 13.2 years (2009) |
| **Germany** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2006) |
| **Ghana** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2012) |
| **Greece** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2007) |
| **Grenada** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Guatemala** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2007) |
| **Guinea** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 8 years (2011) |
| **Guinea-Bissau** | *total:* 9.5 years (2006) |
| **Guyana** | *total:* 11 years |
| | *male:* 10 years |
| | *female:* 11 years (2011) |
| **Honduras** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2010) |
| **Hong Kong** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Hungary** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Iceland** | *total:* 18 years |
| | *male:* 17 years |
| | *female:* 20 years (2010) |
| **India** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2010) |
| **Indonesia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2011) |
| **Iran** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Iraq** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 9 years (2004) |
| **Ireland** | *total:* 19 years |
| | *male:* 19 years |
| | *female:* 19 years (2011) |
| **Israel** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Italy** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2010) |
| **Jamaica** | *total:* 12.9 years (2010) |
| **Japan** | *total:* 15 years |
| | *male:* 16 years |
| | *female:* 15 years (2010) |
| **Jordan** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2010) |
| **Kazakhstan** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Kenya** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2009) |
| **Kiribati** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2008) |
| **Korea, South** | *total:* 17 years |
| | *male:* 18 years |
| | *female:* 16 years (2010) |
| **Kuwait** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 15 years (2004) |
| **Kyrgyzstan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2011) |
| **Laos** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2011) |
| **Latvia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Lebanon** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Lesotho** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2006) |
| **Liberia** | *total:* 11 years |
| | *male:* 13 years |
| | *female:* 9 years (2000) |
| **Libya** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2003) |
| **Liechtenstein** | *total:* 15 years |
| | *male:* 16 years |
| | *female:* 14 years (2011) |
| **Lithuania** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Luxembourg** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2010) |
| **Macau** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2008) |
| **Macedonia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2010) |
| **Madagascar** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2009) |
| **Malawi** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2011) |
| **Malaysia** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2005) |
| **Maldives** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2003) |
| **Mali** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 7 years (2011) |
| **Malta** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2010) |
| **Marshall Islands** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2003) |
| **Mauritania** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2011) |
| **Mauritius** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2008) |
| **Mexico** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Moldova** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Monaco** | *total:* 18 years |
| | *male:* 18 years |
| | *female:* 17 years (2009) |
| **Mongolia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Montserrat** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 17 years (2007) |
| **Morocco** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2010) |
| **Mozambique** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 9 years (2011) |
| **Namibia** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Nauru** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 10 years (2008) |
| **Nepal** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2002) |
| **Netherlands** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 17 years (2010) |
| **New Zealand** | *total:* 20 years |
| | *male:* 19 years |
| | *female:* 20 years (2010) |
| **Nicaragua** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2003) |
| **Niger** | *total:* 5 years |
| | *male:* 6 years |
| | *female:* 5 years (2011) |
| **Nigeria** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2005) |
| **Niue** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 15 years (2005) |
| **Norway** | *total:* 18 years |
| | *male:* 17 years |
| | *female:* 18 years (2010) |
| **Oman** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Pakistan** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 7 years (2011) |
| **Palau** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2001) |
| **Panama** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2010) |
| **Paraguay** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2010) |
| **Peru** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2010) |
| **Philippines** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 12 years (2009) |
| **Poland** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2010) |
| **Portugal** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2010) |
| **Qatar** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 14 years (2011) |
| **Romania** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2010) |
| **Russia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2009) |
| **Rwanda** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2011) |
| **Saint Kitts and Nevis** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2008) |
| **Saint Lucia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2011) |
| **Saint Vincent and the Grenadines** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2004) |
| **Samoa** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2005) |
| **Sao Tome and Principe** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2010) |
| **Saudi Arabia** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2011) |
| **Senegal** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2010) |
| **Serbia** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2011) |
| **Seychelles** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2011) |
| **Sierra Leone** | *total:* 12 years |
| | *male:* 13 years |
| | *female:* 11 years (2007) |
| **Slovakia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Slovenia** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2011) |
| **Solomon Islands** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 9 years (2007) |
| **Somalia** | *total:* 3 years |
| | *male:* 3 years |
| | *female:* 2 years (2007) |
| **South Africa** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2004) |
| **Spain** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 18 years (2011) |
| **Sri Lanka** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Sudan** | *total:* 4 years (2000) |
| **Suriname** | *total:* 12 years (2002) |
| **Swaziland** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Sweden** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 17 years (2011) |
| **Switzerland** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2011) |
| **Syria** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2007) |
| **Tajikistan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Tanzania** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 9 years (2012) |
| **Thailand** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2009) |
| **Timor-Leste** | *total:* 12 years (2009) |
| **Togo** | *total:* 12.9 years (2011) |
| **Tokelau** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2003) |
| **Tonga** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2007) |
| **Trinidad and Tobago** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2004) |
| **Tunisia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Turkey** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 13 years (2010) |
| **Turks and Caicos Islands** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 12 years (2005) |
| **Tuvalu** | *total:* 11 years |
| | *male:* 10 years |
| | *female:* 11 years (2001) |
| **Uganda** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2009) |
| **Ukraine** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2011) |
| **United Arab Emirates** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2009) |
| **United Kingdom** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 17 years (2010) |
| **United States** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2010) |
| **Uruguay** | *total:* 16 years |
| | *male:* 14 years |
| | *female:* 17 years (2010) |
| **Uzbekistan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Vanuatu** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2004) |
| **Venezuela** | *total:* 14.3 years (2009) |
| **Vietnam** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2001) |
| **West Bank** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **World** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Yemen** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 7 years (2005) |
| **Zambia** | *total:* 7 years |
| | *male:* 8 years |
| | *female:* 7 years (2000) |
| **Zimbabwe** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 9 years (2003) |
