FIELD LISTING :: SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age.

| Country | SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)(YEARS) |
| **Cote d'Ivoire** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2013) |
| **Croatia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2012) |
| **Cuba** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2013) |
| **Cyprus** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2012) |
| **Czech Republic** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Denmark** | *total:* 19 years |
| | *male:* 18 years |
| | *female:* 19 years (2012) |
| **Djibouti** | *total:* 6 years |
| | *male:* 7 years |
| | *female:* 6 years (2011) |
| **Dominican Republic** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Ecuador** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2012) |
| **Egypt** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 13 years (2012) |
| **El Salvador** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2012) |
| **Estonia** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Ethiopia** | *total:* 7 years |
| | *male:* 8 years |
| | *female:* 6 years (2005) |
| **Finland** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2012) |
| **France** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2012) |
| **Gambia, The** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 9 years (2010) |
| **Gaza Strip** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 14 years |
| | *note:* data represents Gaza and West Bank (2013) |
| **Georgia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2013) |
| **Germany** | *total:* 16 years |
| | *male:* 17 years |
| | *female:* 16 years (2012) |
| **Ghana** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2012) |
| **Greece** | *total:* 18 years |
| | *male:* 18 years |
| | *female:* 18 years (2012) |
| **Grenada** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Guatemala** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2007) |
| **Guinea-Bissau** | *total:* 9 years |
| | *male:* NA |
| | *female:* NA (2006) |
| **Guinea** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 7 years (2011) |
| **Guyana** | *total:* 10 years |
| | *male:* 9 years |
| | *female:* 11 years (2012) |
| **Honduras** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 12 years (2013) |
| **Hong Kong** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2013) |
| **Hungary** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Iceland** | *total:* 19 years |
| | *male:* 18 years |
| | *female:* 20 years (2012) |
| **India** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Indonesia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2012) |
| **Iran** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2012) |
| **Ireland** | *total:* 19 years |
| | *male:* 19 years |
| | *female:* 18 years (2012) |
| **Israel** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Italy** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Jamaica** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2013) |
| **Japan** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2012) |
| **Jordan** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Kazakhstan** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2012) |
| **Kenya** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2009) |
| **Kiribati** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2008) |
| **Korea, South** | *total:* 17 years |
| | *male:* 18 years |
| | *female:* 16 years (2012) |
| **Kyrgyzstan** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2011) |
| **Laos** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2013) |
| **Latvia** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Lebanon** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2013) |
| **Lesotho** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 12 years (2012) |
| **Liechtenstein** | *total:* 15 years |
| | *male:* 16 years |
| | *female:* 14 years (2012) |
| **Lithuania** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Luxembourg** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2012) |
| **Macedonia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Madagascar** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2012) |
| **Malawi** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2011) |
| **Malaysia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2005) |
| **Mali** | *total:* 8 years |
| | *male:* 9 years |
| | *female:* 7 years (2011) |
| **Malta** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2012) |
| **Mauritania** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 8 years (2013) |
| **Mauritius** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Mexico** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2012) |
| **Moldova** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2013) |
| **Mongolia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2010) |
| **Montenegro** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2010) |
| **Montserrat** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 17 years (2007) |
| **Morocco** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2010) |
| **Mozambique** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 9 years (2013) |
| **Namibia** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Nauru** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 10 years (2008) |
| **Nepal** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Netherlands** | *total:* 18 years |
| | *male:* 18 years |
| | *female:* 18 years (2012) |
| **New Zealand** | *total:* 19 years |
| | *male:* 18 years |
| | *female:* 20 years (2012) |
| **Nigeria** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2005) |
| **Niger** | *total:* 5 years |
| | *male:* 6 years |
| | *female:* 5 years (2012) |
| **Niue** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 15 years (2005) |
| **Norway** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 18 years (2012) |
| **Oman** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Pakistan** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 7 years (2013) |
| **Palau** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2013) |
| **Panama** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Paraguay** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2010) |
| **Peru** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2010) |
| **Philippines** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2009) |
| **Poland** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Portugal** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Puerto Rico** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2013) |
| **Qatar** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2005) |
| **Romania** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Russia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2012) |
| **Rwanda** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2013) |
| **Saint Kitts and Nevis** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2008) |
| **Saint Lucia** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2007) |
| **San Marino** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Sao Tome and Principe** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2012) |
| **Saudi Arabia** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2013) |
| **Senegal** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2010) |
| **Serbia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2013) |
| **Seychelles** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2012) |
| **Slovakia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 16 years (2012) |
| **Slovenia** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2012) |
| **Solomon Islands** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 9 years (2007) |
| **South Africa** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Spain** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 18 years (2012) |
| **Sri Lanka** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Sudan** | *total:* 7 years |
| | *male:* 7 years |
| | *female:* 7 years (2012) |
| **Swaziland** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Sweden** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 17 years (2012) |
| **Switzerland** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2012) |
| **Syria** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2012) |
| **Tajikistan** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 10 years (2012) |
| **Tanzania** | *total:* 9 years |
| | *male:* 9 years |
| | *female:* 9 years (2012) |
| **Thailand** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Timor-Leste** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2010) |
| **Togo** | *total:* 12 years |
| | *male:* NA |
| | *female:* NA (2011) |
| **Tunisia** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2010) |
| **Turkey** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 14 years (2012) |
| **Turkmenistan** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2014) |
| **Uganda** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2011) |
| **Ukraine** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2013) |
| **United Kingdom** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **United States** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Uruguay** | *total:* 16 years |
| | *male:* 14 years |
| | *female:* 17 years (2010) |
| **Uzbekistan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Venezuela** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 15 years (2008) |
| **West Bank** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 14 years |
| | *note:* data represents Gaza and West Bank (2013) |
| **World** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2012) |
| **Yemen** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 8 years (2011) |
| **Zimbabwe** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2012) |
