CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| **Brazil** | illicit producer of cannabis; trace amounts of coca cultivation in the Amazon region, used for domestic consumption; government has a large-scale eradication program to control cannabis; important transshipment country for Bolivian, Colombian, and Peruvian cocaine headed for Europe; also used by traffickers as a way station for narcotics air transshipments between Peru and Colombia; upsurge in drug-related violence and weapons smuggling; important market for Colombian, Bolivian, and Peruvian cocaine; illicit narcotics proceeds earned in Brazil are often laundered through the financial system; significant illicit financial activity in the Tri-Border Area |
| **British Virgin Islands** | transshipment point for South American narcotics destined for the US and Europe; large offshore financial center makes it vulnerable to money laundering |
| **Brunei** | drug trafficking and illegally importing controlled substances are serious offenses in Brunei and carry a mandatory death penalty |
| **Bulgaria** | major European transshipment point for Southwest Asian heroin and, to a lesser degree, South American cocaine for the European market; limited producer of precursor chemicals; some money laundering of drug-related proceeds through financial institutions |
| **Burma** | remains world's second largest producer of illicit opium with an estimated production in 2005 of 380 metric tons, up 13% from 2004 and cultivation in 2005 was 40,000 hectares, a 10% increase from 2004; the decline in opium production in the United Wa State Army's areas of greatest control was more than offset by increases in south and east Shan state; lack of government will to take on major narcotrafficking groups and lack of serious commitment against money laundering continues to hinder the overall antidrug effort; major source of methamphetamine and heroin for regional consumption; currently under Financial Action Task Force countermeasures due to continued failure to address its inadequate money-laundering controls (2005) |
| **Cambodia** | narcotics-related corruption reportedly involving some in the government, military, and police; limited methamphetamine production; vulnerable to money laundering due to its cash-based economy and porous borders |
| **Canada** | illicit producer of cannabis for the domestic drug market and export to US; use of hydroponics technology permits growers to plant large quantities of high-quality marijuana indoors; increasing ecstasy production, some of which is destined for the US; vulnerable to narcotics money laundering because of its mature financial services sector |
| **Cape Verde** | used as a transshipment point for Latin American cocaine destined for Western Europe; the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Cayman Islands** | offshore financial center; vulnerable to drug transshipment to the US and Europe |
| **Chile** | important transshipment country for cocaine destined for Europe; economic prosperity and increasing trade have made Chile more attractive to traffickers seeking to launder drug profits, especially through the Iquique Free Trade Zone, but a new anti-money-laundering law improves controls; imported precursors passed on to Bolivia; domestic cocaine consumption is rising; significant consumer of cocaine |
| **China** | major transshipment point for heroin produced in the Golden Triangle region of Southeast Asia; growing domestic drug abuse problem; source country for chemical precursors, despite new regulations on its large chemical industry |
| **Colombia** | illicit producer of coca, opium poppy, and cannabis; world's leading coca cultivator with 144,000 hectares in coca cultivation in 2005, a 26% increase over 2004, producing a potential of 545 mt of pure cocaine; the world's largest producer of coca derivatives; supplies cocaine to most of the US market and the great majority of other international drug markets; in 2005, aerial eradication dispensed herbicide to treat over 130,000 hectares but aggressive replanting on the part of coca growers means Colombia remains a key producer; a significant portion of non-US narcotics proceeds are either laundered or invested in Colombia through the black market peso exchange; important supplier of heroin to the US market; opium poppy cultivation fell 50% between 2003 and 2004 to 2,100 hectares yielding a potential 3.8 metric tons of pure heroin, mostly for the US market; no poppy estimate was conducted in 2005 |
| **Congo, Democratic Republic of the** | one of Africa's biggest producers of cannabis, but mostly for domestic consumption; while rampant corruption and inadequate supervision leaves the banking system vulnerable to money laundering, the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Costa Rica** | transshipment country for cocaine and heroin from South America; illicit production of cannabis in remote areas; domestic cocaine consumption, particularly crack cocaine, is rising; significant consumption of amphetamines |
| **Cote d'Ivoire** | illicit producer of cannabis, mostly for local consumption; utility as a narcotic transshipment point to Europe reduced by ongoing political instability; while rampant corruption and inadequate supervision leave the banking system vulnerable to money laundering, the lack of a developed financial system limits the country's utility as a major money-laundering center |
| **Croatia** | transit point along the Balkan route for Southwest Asian heroin to Western Europe; has been used as a transit point for maritime shipments of South American cocaine bound for Western Europe |
| **Cuba** | territorial waters and air space serve as transshipment zone for US- and European-bound drugs; established the death penalty for certain drug-related crimes in 1999 |
| **Cyprus** | minor transit point for heroin and hashish via air routes and container traffic to Europe, especially from Lebanon and Turkey; some cocaine transits as well; despite a strengthening of anti-money-laundering legislation, remains vulnerable to money laundering; reporting of suspicious transactions in offshore sector remains weak |
| **Czech Republic** | transshipment point for Southwest Asian heroin and minor transit point for Latin American cocaine to Western Europe; producer of synthetic drugs for local and regional markets; susceptible to money laundering related to drug trafficking, organized crime; significant consumer of ecstasy |
| **Dominica** | transshipment point for narcotics bound for the US and Europe; minor cannabis producer; anti-money-laundering enforcement is weak, making the country particularly vulnerable to money laundering |
| **Dominican Republic** | transshipment point for South American drugs destined for the US and Europe; has become a transshipment point for ecstasy from the Netherlands and Belgium destined for US and Canada; substantial money laundering activity; Colombian narcotics traffickers favor the Dominican Republic for illicit financial transactions; significant amphetamine consumption |
| **Ecuador** | significant transit country for cocaine originating in Colombia and Peru, with over half of the US-bound cocaine passing through Ecuadorian Pacific waters; importer of precursor chemicals used in production of illicit narcotics; attractive location for cash-placement by drug traffickers laundering money because of dollarization and weak anti-money-laundering regime; increased activity on the northern frontier by trafficking groups and Colombian insurgents |
| **Egypt** | transit point for cannabis, heroin, and opium moving to Europe, Israel, and North Africa; transit stop for Nigerian drug couriers; concern as money laundering site due to lax enforcement of financial regulations |
| **El Salvador** | transshipment point for cocaine; small amounts of marijuana produced for local consumption; significant use of cocaine |
| **Estonia** | growing producer of synthetic drugs; increasingly important transshipment zone for cannabis, cocaine, opiates, and synthetic drugs since joining the European Union and the Schengen Accord; potential money laundering related to organized crime and drug trafficking is a concern, as is possible use of the gambling sector to launder funds; major use of opiates and ecstasy |
| **Ethiopia** | transit hub for heroin originating in Southwest and Southeast Asia and destined for Europe, as well as cocaine destined for markets in southern Africa; cultivates qat (khat) for local use and regional export, principally to Djibouti and Somalia (legal in all three countries); the lack of a well-developed financial system limits the country's utility as a money laundering center |
| **France** | *metropolitan France:* transshipment point for South American cocaine, Southwest Asian heroin, and European synthetics |
| | *French Guiana:* small amount of marijuana grown for local consumption; minor transshipment point to Europe |
| | *Martinique:* transshipment point for cocaine and marijuana bound for the US and Europe |
| **Georgia** | limited cultivation of cannabis and opium poppy, mostly for domestic consumption; used as transshipment point for opiates via Central Asia to Western Europe and Russia |
| **Germany** | source of precursor chemicals for South American cocaine processors; transshipment point for and consumer of Southwest Asian heroin, Latin American cocaine, and European-produced synthetic drugs; major financial center |
| **Ghana** | illicit producer of cannabis for the international drug trade; major transit hub for Southwest and Southeast Asian heroin and, to a lesser extent, South American cocaine destined for Europe and the US; widespread crime and money laundering problem, but the lack of a well developed financial infrastructure limits the country's utility as a money laundering center; significant domestic cocaine and cannabis use |
| **Greece** | a gateway to Europe for traffickers smuggling cannabis and heroin from the Middle East and Southwest Asia to the West and precursor chemicals to the East; some South American cocaine transits or is consumed in Greece; money laundering related to drug trafficking and organized crime |
| **Grenada** | small-scale cannabis cultivation; lesser transshipment point for marijuana and cocaine to US |
| **Guatemala** | major transit country for cocaine and heroin; in 2005, cultivated 100 hectares of opium poppy after reemerging as a potential source of opium in 2004; potential production of less than 1 metric ton of pure heroin; marijuana cultivation for mostly domestic consumption; proximity to Mexico makes Guatemala a major staging area for drugs (particularly for cocaine); money laundering is a serious problem; corruption is a major problem |
| **Guinea-Bissau** | increasingly important transit country for South American cocaine enroute to Europe; enabling environment for trafficker operations thanks to pervasive corruption; archipelago-like geography around the capital facilitates drug smuggling |
| **Guyana** | transshipment point for narcotics from South America - primarily Venezuela - to Europe and the US; producer of cannabis; rising money laundering related to drug trafficking and human smuggling |
| **Haiti** | Caribbean transshipment point for cocaine en route to the US and Europe; substantial bulk cash smuggling activity; Colombian narcotics traffickers favor Haiti for illicit financial transactions; pervasive corruption; significant consumer of cannabis |
| **Honduras** | transshipment point for drugs and narcotics; illicit producer of cannabis, cultivated on small plots and used principally for local consumption; corruption is a major problem; some money-laundering activity |
| **Hong Kong** | despite strenuous law enforcement efforts, faces difficult challenges in controlling transit of heroin and methamphetamine to regional and world markets; modern banking system provides conduit for money laundering; rising indigenous use of synthetic drugs, especially among young people |
| **Hungary** | transshipment point for Southwest Asian heroin and cannabis and for South American cocaine destined for Western Europe; limited producer of precursor chemicals, particularly for amphetamine and methamphetamine; efforts to counter money laundering, related to organized crime and drug trafficking, are improving, but remain vulnerable; significant consumer of ecstasy |
| **India** | world's largest producer of licit opium for the pharmaceutical trade, but an undetermined quantity of opium is diverted to illicit international drug markets; transit point for illicit narcotics produced in neighboring countries; illicit producer of methaqualone; vulnerable to narcotics money laundering through the hawala system; licit ketamine and precursor production |
| **Indonesia** | illicit producer of cannabis largely for domestic use; producer of methamphetamine and ecstasy |
| **Iran** | despite substantial interdiction efforts, Iran remains a key transshipment point for Southwest Asian heroin to Europe; highest percentage of the population in the world using opiates; lacks anti-money-laundering laws |
| **Ireland** | transshipment point for and consumer of hashish from North Africa to the UK and Netherlands and of European-produced synthetic drugs; increasing consumption of South American cocaine; minor transshipment point for heroin and cocaine destined for Western Europe; despite recent legislation, narcotics-related money laundering - using bureaux de change, trusts, and shell companies involving the offshore financial community - remains a concern |
| **Israel** | increasingly concerned about ecstasy, cocaine, and heroin abuse; drugs arrive in country from Lebanon and, increasingly, from Jordan; money-laundering center |
| **Italy** | important gateway for and consumer of Latin American cocaine and Southwest Asian heroin entering the European market; money laundering by organized crime and from smuggling |
| **Jamaica** | transshipment point for cocaine from South America to North America and Europe; illicit cultivation and consumption of cannabis; government has an active manual cannabis eradication program; corruption is a major concern; substantial money-laundering activity; Colombian narcotics traffickers favor Jamaica for illicit financial transactions |
| **Kazakhstan** | significant illicit cultivation of cannabis for CIS markets, as well as limited cultivation of opium poppy and ephedra (for the drug ephedrine); limited government eradication of illicit crops; transit point for Southwest Asian narcotics bound for Russia and the rest of Europe; significant consumer of opiates |
| **Kenya** | widespread harvesting of small plots of marijuana; transit country for South Asian heroin destined for Europe and North America; Indian methaqualone also transits on way to South Africa; significant potential for money-laundering activity given the country's status as a regional financial center; massive corruption, and relatively high levels of narcotics-associated activities |
| **Korea, North** | for years, from the 1970s into the 2000s, citizens of the Democratic People's Republic of (North) Korea (DPRK), many of them diplomatic employees of the government, were apprehended abroad while trafficking in narcotics, including two in Turkey in December 2004; police investigations in Taiwan and Japan in recent years have linked North Korea to large illicit shipments of heroin and methamphetamine, including an attempt by the North Korean merchant ship Pong Su to deliver 150 kg of heroin to Australia in April 2003 |
| **Kyrgyzstan** | limited illicit cultivation of cannabis and opium poppy for CIS markets; limited government eradication of illicit crops; transit point for Southwest Asian narcotics bound for Russia and the rest of Europe; major consumer of opiates |
| **Laos** | estimated opium poppy cultivation in 2005 was 5,600 hectares, about a 45% decrease from 2004; estimated potential opium production in 2005 was 28 metric tons, a significant decrease from 200 metric tons in 2003; unsubstantiated reports of domestic methamphetamine production; growing domestic methamphetamine problem |
| **Latvia** | transshipment and destination point for cocaine, synthetic drugs, opiates, and cannabis from Southwest Asia, Western Europe, Latin America, and neighboring Balkan countries; despite improved legislation, vulnerable to money laundering due to nascent enforcement capabilities and comparatively weak regulation of offshore companies and the gaming industry; CIS organized crime (including counterfeiting, corruption, extortion, stolen cars, and prostitution) accounts for most laundered proceeds |
| **Lebanon** | cannabis cultivation dramatically reduced to 2,500 hectares in 2002 despite continued significant cannabis consumption; opium poppy cultivation minimal; small amounts of Latin American cocaine and Southwest Asian heroin transit country on way to European markets and for Middle Eastern consumption; money laundering of drug proceeds fuels concern that extremists are benefiting from drug trafficking |
| **Liberia** | transshipment point for Southeast and Southwest Asian heroin and South American cocaine for the European and US markets; corruption, criminal activity, arms-dealing, and diamond trade provide significant potential for money laundering, but the lack of well-developed financial system limits the country's utility as a major money-laundering center |
| **Liechtenstein** | has strengthened money laundering controls, but money laundering remains a concern due to Liechtenstein's sophisticated offshore financial services sector |
| **Lithuania** | transshipment and destination point for cannabis, cocaine, ecstasy, and opiates from Southwest Asia, Latin America, Western Europe, and neighboring Baltic countries; growing production of high-quality amphetamines, but limited production of cannabis, methamphetamines; susceptible to money laundering despite changes to banking legislation |
| **Macau** | transshipment point for drugs going into mainland China; consumer of opiates and amphetamines |
| **Macedonia** | major transshipment point for Southwest Asian heroin and hashish; minor transit point for South American cocaine destined for Europe; although not a financial center and most criminal activity is thought to be domestic, money laundering is a problem due to a mostly cash-based economy and weak enforcement |
| **Madagascar** | illicit producer of cannabis (cultivated and wild varieties) used mostly for domestic consumption; transshipment point for heroin |
| **Malaysia** | drug trafficking prosecuted vigorously and carries severe penalties; heroin still primary drug of abuse, but synthetic drug demand remains strong; continued ecstasy and methamphetamine producer for domestic users and, to a lesser extent, the regional drug market |
| **Malta** | minor transshipment point for hashish from North Africa to Western Europe |
| **Mauritius** | consumer and transshipment point for heroin from South Asia; small amounts of cannabis produced and consumed locally; significant offshore financial industry creates potential for money laundering, but corruption levels are relatively low and the government appears generally to be committed to regulating its banking industry |
| **Mexico** | major drug-producing nation; cultivation of opium poppy in 2005 amounted to 3,300 hectares yielding a potential production of 8 metric tons of pure heroin, or 17 metric tons of "black tar" heroin, the dominant form of Mexican heroin in the western United States; marijuana cultivation decreased 3% to 5,600 hectares in 2005 - just two years after a decade-high cultivation peak in 2003 - and yielded a potential production of 10,100 metric tons; government conducts the largest independent illicit-crop eradication program in the world; continues as the primary transshipment country for US-bound cocaine from South America, with an estimated 90% of annual cocaine movements towards the US stopping in Mexico; major drug syndicates control majority of drug trafficking throughout the country; producer and distributor of ecstasy; significant money-laundering center; major supplier of heroin and largest foreign supplier of marijuana and methamphetamine to the US market |
| **Micronesia, Federated States of** | major consumer of cannabis |
| **Moldova** | limited cultivation of opium poppy and cannabis, mostly for CIS consumption; transshipment point for illicit drugs from Southwest Asia via Central Asia to Russia, Western Europe, and possibly the US; widespread crime and underground economic activity |
| **Montserrat** | transshipment point for South American narcotics destined for the US and Europe |
| **Morocco** | one of the world's largest producers of illicit hashish; shipments of hashish mostly directed to Western Europe; transit point for cocaine from South America destined for Western Europe; significant consumer of cannabis |
| **Mozambique** | southern African transit point for South Asian hashish and heroin, and South American cocaine probably destined for the European and South African markets; producer of cannabis (for local consumption) and methaqualone (for export to South Africa); corruption and poor regulatory capability makes the banking system vulnerable to money laundering, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Nepal** | illicit producer of cannabis and hashish for the domestic and international drug markets; transit point for opiates from Southeast Asia to the West |
| **Netherlands** | major European producer of synthetic drugs, including ecstasy, and cannabis cultivator; important gateway for cocaine, heroin, and hashish entering Europe; major source of US-bound ecstasy; large financial sector vulnerable to money laundering; significant consumer of ecstasy |
| **Netherlands Antilles** | transshipment point for South American drugs bound for the US and Europe; money-laundering center |
| **New Zealand** | significant consumer of amphetamines |
| **Nicaragua** | transshipment point for cocaine destined for the US and transshipment point for arms-for-drugs dealing |
| **Nigeria** | a transit point for heroin and cocaine intended for European, East Asian, and North American markets; consumer of amphetamines; safe haven for Nigerian narcotraffickers operating worldwide; major money-laundering center; massive corruption and criminal activity; Nigeria has improved some anti-money-laundering controls, resulting in its removal from the Financial Action Task Force's (FATF's) Noncooperative Countries and Territories List in June 2006; Nigeria's anti-money-laundering regime continues to be monitored by FATF |
| **Pakistan** | opium poppy cultivation estimated to be 800 hectares in 2005 yielding a potential production of 4 metric tons of pure heroin; federal and provincial authorities continue to conduct anti-poppy campaigns that force eradication - fines and arrests will take place if the ban on poppy cultivation is not observed; key transit point for Afghan drugs, including heroin, opium, morphine, and hashish, bound for Western markets, the Gulf States, and Africa; financial crimes related to drug trafficking, terrorism, corruption, and smuggling remain problems |
| **Panama** | major cocaine transshipment point and primary money-laundering center for narcotics revenue; money-laundering activity is especially heavy in the Colon Free Zone; offshore financial center; negligible signs of coca cultivation; monitoring of financial transactions is improving; official corruption remains a major problem |
| **Papua New Guinea** | major consumer of cannabis |
| **Paraguay** | major illicit producer of cannabis, most or all of which is consumed in Brazil, Argentina, and Chile; transshipment country for Andean cocaine headed for Brazil, other Southern Cone markets, and Europe; corruption and some money-laundering activity, especially in the Tri-Border Area; weak anti-money-laundering laws and enforcement |
| **Peru** | until 1996 the world's largest coca leaf producer, Peru is now the world's second largest producer of coca leaf, though it lags far behind Colombia; cultivation of coca in Peru rose 25% to 34,000 hectares in 2005; much of the cocaine base is shipped to neighboring Colombia for processing into cocaine, while finished cocaine is shipped out from Pacific ports to the international drug market; increasing amounts of base and finished cocaine, however, are being moved to Brazil and Bolivia for use in the Southern Cone or transshipped to Europe and Africa |
| **Philippines** | domestic methamphetamine production has been a growing problem in recent years despite government crackdowns; major consumer of amphetamines; longstanding marijuana producer mainly in rural areas where Manila's control is limited |
| **Poland** | despite diligent counternarcotics measures and international information sharing on cross-border crimes, a major illicit producer of synthetic drugs for the international market; minor transshipment point for Southwest Asian heroin and Latin American cocaine to Western Europe |
| **Portugal** | seizing record amounts of Latin American cocaine destined for Europe; a European gateway for Southwest Asian heroin; transshipment point for hashish from North Africa to Europe; consumer of Southwest Asian heroin |
| **Romania** | major transshipment point for Southwest Asian heroin transiting the Balkan route and small amounts of Latin American cocaine bound for Western Europe; although not a significant financial center, role as a narcotics conduit leaves it vulnerable to laundering, which occurs via the banking system, currency exchange houses, and casinos |
| **Russia** | limited cultivation of illicit cannabis and opium poppy and producer of methamphetamine, mostly for domestic consumption; government has active illicit crop eradication program; used as transshipment point for Asian opiates, cannabis, and Latin American cocaine bound for growing domestic markets, to a lesser extent Western and Central Europe, and occasionally to the US; major source of heroin precursor chemicals; corruption and organized crime are key concerns; major consumer of opiates |
| **Saint Kitts and Nevis** | transshipment point for South American drugs destined for the US and Europe; some money-laundering activity |
| **Saint Lucia** | transit point for South American drugs destined for the US and Europe |
| **Saint Vincent and the Grenadines** | transshipment point for South American drugs destined for the US and Europe; small-scale cannabis cultivation |
| **Saudi Arabia** | death penalty for traffickers; improving anti-money-laundering legislation and enforcement |
| **Senegal** | transshipment point for Southwest and Southeast Asian heroin and South American cocaine moving to Europe and North America; illicit cultivator of cannabis |
| **Serbia** | transshipment point for Southwest Asian heroin moving to Western Europe on the Balkan route; economy vulnerable to money laundering |
| **Singapore** | drug abuse limited because of aggressive law enforcement efforts; as a transportation and financial services hub, Singapore is vulnerable, despite strict laws and enforcement, as a venue for money laundering |
| **Slovakia** | transshipment point for Southwest Asian heroin bound for Western Europe; producer of synthetic drugs for regional market; consumer of ecstasy |
| **Slovenia** | minor transit point for cocaine and Southwest Asian heroin bound for Western Europe, and for precursor chemicals |
| **South Africa** | transshipment center for heroin, hashish, and cocaine, as well as a major cultivator of marijuana in its own right; cocaine and heroin consumption on the rise; world's largest market for illicit methaqualone, usually imported illegally from India through various east African countries, but increasingly producing its own synthetic drugs for domestic consumption; attractive venue for money launderers given the increasing level of organized criminal and narcotics activity in the region and the size of the South African economy |
| **Spain** | despite rigorous law enforcement efforts, North African, Latin American, Galician, and other European traffickers take advantage of Spain's long coastline to land large shipments of cocaine and hashish for distribution to the European market; consumer for Latin American cocaine and North African hashish; destination and minor transshipment point for Southwest Asian heroin; money-laundering site for Colombian narcotics trafficking organizations and organized crime |
| **Suriname** | growing transshipment point for South American drugs destined for Europe via the Netherlands and Brazil; transshipment point for arms-for-drugs dealing |
| **Switzerland** | a major international financial center vulnerable to the layering and integration stages of money laundering; despite significant legislation and reporting requirements, secrecy rules persist and nonresidents are permitted to conduct business through offshore entities and various intermediaries; transit country for and consumer of South American cocaine, Southwest Asian heroin, and Western European synthetics; domestic cannabis cultivation and limited ecstasy production |
| **Syria** | a transit point for opiates, hashish, and cocaine bound for regional and Western markets; weak anti-money-laundering controls and bank privatization may leave it vulnerable to money laundering |
| **Taiwan** | regional transit point for heroin, methamphetamine, and precursor chemicals; transshipment point for drugs to Japan; major problem with domestic consumption of methamphetamine and heroin; rising problems with use of ketamine and club drugs |
| **Tajikistan** | major transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of opium poppy for domestic consumption; Tajikistan seizes roughly 80% of all drugs captured in Central Asia and stands third worldwide in seizures of opiates (heroin and raw opium); significant consumer of opiates |
| **Tanzania** | growing role in transshipment of Southwest and Southeast Asian heroin and South American cocaine destined for South African, European, and US markets and of South Asian methaqualone bound for southern Africa; money laundering remains a problem |
| **Thailand** | a minor producer of opium, heroin, and marijuana; transit point for illicit heroin en route to the international drug market from Burma and Laos; eradication efforts have reduced the area of cannabis cultivation and shifted some production to neighboring countries; opium poppy cultivation has been reduced by eradication efforts; also a drug money-laundering center; minor role in methamphetamine production for regional consumption; major consumer of methamphetamine since the 1990s despite a series of government crackdowns |
| **Timor-Leste** | NA |
| **Togo** | transit hub for Nigerian heroin and cocaine traffickers; money laundering not a significant problem |
| **Trinidad and Tobago** | transshipment point for South American drugs destined for the US and Europe; producer of cannabis |
| **Turkey** | key transit route for Southwest Asian heroin to Western Europe and, to a lesser extent, the US - via air, land, and sea routes; major Turkish and other international trafficking organizations operate out of Istanbul; laboratories to convert imported morphine base into heroin exist in remote regions of Turkey and near Istanbul; government maintains strict controls over areas of legal opium poppy cultivation and over output of poppy straw concentrate; lax enforcement of money-laundering controls |
| **Turkmenistan** | transit country for Afghan narcotics bound for Russian and Western European markets; transit point for heroin precursor chemicals bound for Afghanistan |
| **Turks and Caicos Islands** | transshipment point for South American narcotics destined for the US and Europe |
| **Ukraine** | limited cultivation of cannabis and opium poppy, mostly for CIS consumption; some synthetic drug production for export to the West; limited government eradication program; used as transshipment point for opiates and other illicit drugs from Africa, Latin America, and Turkey to Europe and Russia; Ukraine has improved anti-money-laundering controls, resulting in its removal from the Financial Action Task Force's (FATF's) Noncooperative Countries and Territories List in February 2004; Ukraine's anti-money-laundering regime continues to be monitored by FATF |
| **United Arab Emirates** | the UAE is a drug transshipment point for traffickers given its proximity to Southwest Asian drug-producing countries; the UAE's position as a major financial center makes it vulnerable to money laundering; anti-money-laundering controls improving, but informal banking remains unregulated |
| **United Kingdom** | producer of limited amounts of synthetic drugs and synthetic precursor chemicals; major consumer of Southwest Asian heroin, Latin American cocaine, and synthetic drugs; money-laundering center |
| **United States** | world's largest consumer of cocaine, shipped from Colombia through Mexico and the Caribbean; consumer of ecstasy and of Mexican heroin, marijuana and methamphetamine; minor consumer of high-quality Southeast Asian heroin; illicit producer of cannabis, marijuana, depressants, stimulants, hallucinogens, and methamphetamine; money-laundering center |
| **Uzbekistan** | transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of cannabis and small amounts of opium poppy for domestic consumption; poppy cultivation almost wiped out by government crop eradication program; transit point for heroin precursor chemicals bound for Afghanistan |
| **Venezuela** | small-scale illicit producer of opium and coca for the processing of opiates and coca derivatives; however, large quantities of cocaine, heroin, and marijuana transit the country from Colombia bound for US and Europe; significant narcotics-related money-laundering activity, especially along the border with Colombia and on Margarita Island; active eradication program primarily targeting opium; increasing signs of drug-related activities by Colombian insurgents on border |
| **Vietnam** | minor producer of opium poppy; probable minor transit point for Southeast Asian heroin; government continues to face domestic opium/heroin/methamphetamine addiction problems despite longstanding crackdowns |
| **World** | *cocaine:* worldwide coca leaf cultivation in 2005 amounted to 208,500 hectares; Colombia produced slightly more than two-thirds of the worldwide crop, followed by Peru and Bolivia; potential pure cocaine production rose to 900 from 645 metric tons in 2005 - partially due to improved methodologies used to calculate levels of production; Colombia conducts aggressive coca eradication campaign, but both Peruvian and Bolivian Governments are hesitant to eradicate coca in key growing areas; 551 metric tons of export-quality cocaine (85% pure) is documented to have been seized or destroyed in 2005; US consumption of export quality cocaine is estimated to have been in excess of 380 metric tons |
| | *opiates:* worldwide illicit opium poppy cultivation reached 208,500 hectares in 2005; potential opium production of 4,990 metric tons was only a 9% decrease over 2004's highest total recorded since estimates began in mid-1980s; Afghanistan is world's primary opium producer, accounting for 90% of the global supply; Southeast Asia - responsible for 9% of global opium - saw marginal increases in production; Latin America produced 1% of global opium, but most was refined into heroin destined for the US market; if all potential opium was processed into pure heroin, the potential global production would be 577 metric tons of heroin in 2005 |
| **Zambia** | transshipment point for moderate amounts of methaqualone, small amounts of heroin, and cocaine bound for southern Africa and possibly Europe; a poorly developed financial infrastructure coupled with a government commitment to combating money laundering make it an unattractive venue for money launderers; major consumer of cannabis |
| **Zimbabwe** | transit point for cannabis and South Asian heroin, mandrax, and methamphetamines en route to South Africa |

