CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| **Korea, North** | for years, from the 1970's into the 2000's, citizens of the Democratic People's Republic of (North) Korea (DPRK), many of them diplomatic employees of the government, were apprehended abroad while trafficking in narcotics, including two in Turkey in December 2004; in recent years, police investigations in Taiwan and Japan have linked North Korea to large illicit shipments of heroin and methamphetamine, including an attempt by the North Korean merchant ship Pong Su to deliver 150 kg of heroin to Australia in April 2003; all indications point to North Korea emerging as an important regional source of illicit drugs targeting markets in Japan, Taiwan, the Russian Far East, and China |
| **Kyrgyzstan** | limited illicit cultivation of cannabis and opium poppy for CIS markets; limited government eradication of illicit crops; transit point for Southwest Asian narcotics bound for Russia and the rest of Europe |
| **Laos** | world's third-largest illicit opium producer (estimated cultivation in 2003 - 18,900 hectares, a 19% decrease over 2002; estimated potential production in 2003 - 200 metric tons, a 11% increase from 2002); potential heroin producer; transshipment point for heroin and methamphetamine produced in Burma; illicit producer of cannabis; growing methamphetamine abuse problem |
| **Latvia** | transshipment point for opiates and cannabis from Central and Southwest Asia to Western Europe and Scandinavia and Latin American cocaine and some synthetics from Western Europe to CIS; vulnerable to money laundering despite improved legislation due to nascent enforcement capabilities and comparatively weak regulation of offshore companies, exchange firms, and the gaming industry; organized crime (including counterfeiting, corruption, extortion, stolen cars, and prostitution) accounts for most laundered proceeds |
| **Lebanon** | cannabis cultivation dramatically reduced to 2,500 hectares in 2002; opium poppy cultivation minimal; small amounts of Latin American cocaine and Southwest Asian heroin transit country on way to European markets and for Middle Eastern consumption |
| **Liberia** | transshipment point for Southeast and Southwest Asian heroin and South American cocaine for the European and US markets; corruption, criminal activity, arms-dealing, and diamond trade provide significant potential for money laundering, but the lack of well-developed financial system limits the country's utility as a major money-laundering center |
| **Liechtenstein** | has strengthened money-laundering controls, but money laundering remains a concern due to Liechtenstein sophisticated offshore financial services sector |
| **Lithuania** | transshipment point for opiates and other illicit drugs from Southwest Asia, Latin America, and Western Europe to Western Europe and Scandinavia; limited production of methamphetamine and ecstasy; susceptible to money laundering despite changes to banking legislation |
| **Macedonia** | major transshipment point for Southwest Asian heroin and hashish; minor transit point for South American cocaine destined for Europe; although most criminal activity is thought to be domestic and not a financial center, money laundering is a problem due to a mostly cash-based economy and weak enforcement (no arrests or prosecutions for money laundering to date) |
| **Madagascar** | illicit producer of cannabis (cultivated and wild varieties) used mostly for domestic consumption; transshipment point for heroin |
| **Malaysia** | transit point for some illicit drugs; drug trafficking prosecuted vigorously and carries severe penalties |
| **Malta** | minor transshipment point for hashish from North Africa to Western Europe |
| **Martinique** | transshipment point for cocaine and marijuana bound for the US and Europe |
| **Mauritius** | minor consumer and transshipment point for heroin from South Asia; small amounts of cannabis produced and consumed locally; significant offshore financial industry creates potential for money laundering, but corruption levels are relatively low and the government appears generally to be committed to regulating its banking industry |
| **Mexico** | illicit cultivation of opium poppy (cultivation in 2001 - 4,400 hectares; potential heroin production - 7 metric tons) and of cannabis (in 2001 - 4,100 hectares); government eradication efforts have been key in keeping illicit crop levels low; major supplier of heroin and largest foreign supplier of marijuana and methamphetamine to the US market; continues as the primary transshipment country for US-bound cocaine from South America, accounting for about 70 percent of estimated annual cocaine movement to the US; major drug syndicates control majority of drug trafficking throughout the country; producer and distributor of ecstasy; significant money-laundering center |
| **Moldova** | limited cultivation of opium poppy and cannabis, mostly for CIS consumption; transshipment point for illicit drugs from Southwest Asia via Central Asia to Russia, Western Europe, and possibly the US; widespread crime and underground economic activity |
| **Montserrat** | transshipment point for South American narcotics destined for the US and Europe |
| **Morocco** | illicit producer of hashish; shipments of hashish mostly directed to Western Europe; transit point for cocaine from South America destined for Western Europe |
| **Mozambique** | Southern African transit point for South Asian hashish, South Asian heroin, and South American cocaine probably destined for the European and South African markets; producer of cannabis (for local consumption) and methaqualone (for export to South Africa); corruption and poor regulatory capability makes the banking system vulnerable to money laundering, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Nauru** | offshore banking recently stopped, remains on Financial Action Task Force Non-Cooperative Countries and Territories List for continued failure to address deficiencies in money-laundering control regime |
| **Nepal** | illicit producer of cannabis and hashish for the domestic and international drug markets; transit point for opiates from Southeast Asia to the West |
| **Netherlands** | major European producer of ecstasy, illicit amphetamines, and other synthetic drugs; important gateway for cocaine, heroin, and hashish entering Europe; major source of US-bound ecstasy; large financial sector vulnerable to money laundering |
| **Netherlands Antilles** | transshipment point for South American drugs bound for the US and Europe; money-laundering center |
| **Nicaragua** | transshipment point for cocaine destined for the US and transshipment point for arms-for-drugs dealing |
| **Nigeria** | a transit point for heroin and cocaine intended for European, East Asian, and North American markets; safehaven for Nigerian narcotraffickers operating worldwide; major money-laundering center; massive corruption and criminal activity, remains on Financial Action Task Force Non-Cooperative Countries and Territories List for continued failure to address deficiencies in money-laundering control regime |
| **Pakistan** | opium poppy in Federally Administered Tribal Areas, North-West Frontier Province, and Balochistan Province has rebounded since it was nearly eliminated in 2001; key transit point for Afghan drugs, including heroin, opium, morphine, and hashish, bound for Western markets, the Gulf States, and Africa; financial crimes related to drug trafficking, terrorism, corruption, and smuggling remain problems |
| **Panama** | major cocaine transshipment point and primary money-laundering center for narcotics revenue; money-laundering activity is especially heavy in the Colon Free Zone; offshore financial center; negligible signs of coca cultivation; monitoring of financial transactions is improving; official corruption remains a major problem |
| **Paraguay** | major illicit producer of cannabis, most or all of which is consumed in Brazil, Argentina, and Chile; transshipment country for Andean cocaine headed for Brazil, other Southern Cone markets, Europe, and US; corruption and some money-laundering activity, especially in the Tri-Border Area |
| **Peru** | until 1996 the world's largest coca leaf producer; emerging opium producer; cultivation of coca in Peru fell 15 percent to 31,150 hectares between 2002 and the end of 2003; much of the cocaine base is shipped to neighboring Colombia for processing into cocaine, while finished cocaine is shipped out from Pacific ports to the international drug market; increasing amounts of base and finished cocaine, however, are being moved to Brazil and Bolivia for use in the Southern Cone or transshipped to Europe and Africa |
| **Philippines** | exports locally-produced marijuana and hashish to East Asia, the US, and other Western markets; serves as a transit point for heroin and crystal methamphetamine; domestic methamphetamine production is a growing problem; remains on Financial Action Task Force Non-Cooperative Countries and Territories List for continued failure to address deficiencies in money-laundering control regime |
| **Poland** | major illicit producer of synthetic drugs for the international market; minor transshipment point for Asian and Latin American illicit drugs to Western Europe |
| **Portugal** | gateway country for Latin American cocaine and Southwest Asian heroin entering the European market (especially from Brazil); transshipment point for hashish from North Africa to Europe; consumer of Southwest Asian heroin |
| **Romania** | major transshipment point for Southwest Asian heroin transiting the Balkan route and small amounts of Latin American cocaine bound for Western Europe; although not a significant financial center, role as a narcotics conduit leaves it vulnerable to laundering which occurs via the banking system, currency exchange houses, and casinos |
| **Russia** | limited cultivation of illicit cannabis and opium poppy and producer of methamphetamine, mostly for domestic consumption; government has active illicit crop eradication program; used as transshipment point for Asian opiates, cannabis, and Latin American cocaine bound for growing domestic markets, to a lesser extent Western and Central Europe, and occasionally to the US; major source of heroin precursor chemicals; corruption and organized crime are key concerns; heroin increasingly popular in domestic market |
| **Saint Kitts and Nevis** | transshipment point for South American drugs destined for the US and Europe; some money-laundering activity |
| **Saint Lucia** | transit point for South American drugs destined for the US and Europe |
| **Saint Vincent and the Grenadines** | transshipment point for South American drugs destined for the US and Europe; small-scale cannabis cultivation |
| **Saudi Arabia** | death penalty for traffickers; increasing consumption of heroin, cocaine, and hashish; not a major money-laundering center, improving anti-money-laundering legislation |
| **Senegal** | transshipment point for Southwest and Southeast Asian heroin moving to Europe and North America; illicit cultivator of cannabis |
| **Serbia and Montenegro** | transshipment point for Southwest Asian heroin moving to Western Europe on the Balkan route; economy vulnerable to money laundering |
| **Singapore** | as a transportation and financial services hub, Singapore is vulnerable, despite strict laws and enforcement, to be used as a transit point for Golden Triangle heroin and as a venue for money laundering |
| **Slovakia** | transshipment point for Southwest Asian heroin bound for Western Europe; producer of synthetic drugs for regional market |
| **Slovenia** | minor transit point for cocaine and Southwest Asian heroin bound for Western Europe, and for precursor chemicals |
| **South Africa** | transshipment center for heroin, hashish, marijuana, and cocaine; cocaine consumption on the rise; world's largest market for illicit methaqualone, usually imported illegally from India through various east African countries; illicit cultivation of marijuana; attractive venue for money launderers given the increasing level of organized criminal and narcotics activity in the region |
| **Spain** | key European gateway country and consumer for Latin American cocaine and North African hashish entering the European market; destination and minor transshipment point for Southwest Asian heroin; money laundering site for European earnings of Colombian narcotics trafficking organizations |
| **Suriname** | growing transshipment point for South American drugs destined for Europe and Brazil; transshipment point for arms-for-drugs dealing |
| **Switzerland** | a major international financial center vulnerable to the layering and integration stages of money laundering; despite significant legislation and reporting requirements, secrecy rules persist and nonresidents are permitted to conduct business through offshore entities and various intermediaries; transit country for and consumer of South American cocaine and Southwest Asian heroin |
| **Syria** | a transit point for opiates and hashish bound for regional and Western markets; weak anti-money-laundering controls, bank privatization may leave it vulnerable to money-laundering |
| **Taiwan** | regional transit point for heroin and methamphetamine; major problem with domestic consumption of methamphetamine and heroin; renewal of domestic methamphetamine production is a problem |
| **Tajikistan** | major transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of opium poppy for domestic consumption; Tajikistan seizes roughly 80 percent of all drugs captured in Central Asia and stands third world-wide in seizures of opiates (heroin and raw opium) |
| **Tanzania** | growing role in transshipment of Southwest and Southeast Asian heroin and South American cocaine destined for South African, European, and US markets and of South Asian methaqualone bound for Southern Africa; money laundering remains a problem |
| **Thailand** | a minor producer of opium, heroin, and marijuana; illicit transit point for heroin en route to the international drug market from Burma and Laos; eradication efforts have reduced the area of cannabis cultivation and shifted some production to neighboring countries; opium poppy cultivation has been reduced by eradication efforts; also a drug money-laundering center; minor role in amphetamine production for regional consumption; increasing indigenous abuse of methamphetamine |
| **Togo** | transit hub for Nigerian heroin and cocaine traffickers; money laundering not a significant problem |
| **Trinidad and Tobago** | transshipment point for South American drugs destined for the US and Europe; producer of cannabis |
| **Turkey** | key transit route for Southwest Asian heroin to Western Europe and - to a far lesser extent the US - via air, land, and sea routes; major Turkish, Iranian, and other international trafficking organizations operate out of Istanbul; laboratories to convert imported morphine base into heroin are in remote regions of Turkey as well as near Istanbul; government maintains strict controls over areas of legal opium poppy cultivation and output of poppy straw concentrate |
| **Turkmenistan** | transit country for Afghan narcotics bound for Russian and Western European markets; transit point for heroin precursor chemicals bound for Afghanistan |
| **Turks and Caicos Islands** | transshipment point for South American narcotics destined for the US and Europe |
| **Ukraine** | limited cultivation of cannabis and opium poppy, mostly for CIS consumption; some synthetic drug production for export to the West; limited government eradication program; used as transshipment point for opiates and other illicit drugs from Africa, Latin America, and Turkey to Europe and Russia; Ukraine has improved anti-money-laundering controls, resulting in its removal from the Financial Action Task Force's (FATF's) Noncooperative Countries and Territories List in February 2004; Ukraine's anti-money-laundering regime continues to be monitored by FATF |
| **United Arab Emirates** | the UAE is a drug transshipment point for traffickers given its proximity to southwest Asian drug producing countries; the UAE's position as a major financial center makes it vulnerable to money laundering; anti-money-laundering controls improving |
| **United Kingdom** | producer of limited amounts of synthetic drugs and synthetic precursor chemicals; major consumer of Southwest Asian heroin, Latin American cocaine, and synthetic drugs; money-laundering center |
| **United States** | consumer of cocaine shipped from Colombia through Mexico and the Caribbean; consumer of heroin, marijuana, and increasingly methamphetamine from Mexico; consumer of high-quality Southeast Asian heroin; illicit producer of cannabis, marijuana, depressants, stimulants, hallucinogens, and methamphetamine; money-laundering center |
| **Uzbekistan** | transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of cannabis and small amounts of opium poppy for domestic consumption; poppy cultivation almost wiped out by government crop eradication program; transit point for heroin precursor chemicals bound for Afghanistan |
| **Venezuela** | small-scale illicit producer of opium and coca for the processing of opiates and coca derivatives; however, large quantities of cocaine, heroin, and marijuana transit the country from Colombia bound for US and Europe; significant narcotics-related money-laundering activity, especially along the border with Colombia and on Margarita Island; active eradication program primarily targeting opium; increasing signs of drug-related activities by Colombian insurgents on border |
| **Vietnam** | minor producer of opium poppy; probable minor transit point for Southeast Asian heroin; domestic opium/heroin/methamphetamine addiction problems |
| **World** | *cocaine:* worldwide, coca is grown on an estimated 173,450 hectares-almost exclusively in South America with 70% in Colombia; potential cocaine production during 2003 is estimated at 728 metric tons (or 835 metric tons of export quality cocaine); coca eradication programs continue in Bolivia, Colombia, and Peru; 376 metric tons of export quality cocaine are documented to have been seized in 2003, and 26 metric tons disrupted (jettisoned or destroyed); consumption of export quality cocaine is estimated to have been 800 metric tons |
| | *opiates:* cultivation of opium poppy occurred on an estimated 137,944 hectares in 2003-mostly in Southwest and Southeast Asia-with 44% in Afghanistan, potentially produced 3,775 metric tons of opium - which conceivably could be converted to the equivalent of 429 metric tons of pure heroin; opium eradication programs have been undertaken in Afghanistan, Burma, Colombia, Mexico, Pakistan, Thailand, and Vietnam |
| **Zambia** | transshipment point for moderate amounts of methaqualone, small amounts of heroin, and cocaine bound for Southern Africa and possibly Europe; a poorly developed financial infrastructure coupled with a government commitment to combating money laundering make it an unattractive venue for money launderers |
| **Zimbabwe** | transit point for African cannabis and South Asian heroin, mandrax, and methamphetamines destined for the South African and European markets |

This page was last updated on 10 February, 2005
 
