CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| **Guyana** | transshipment point for narcotics from South America - primarily Venezuela - to Europe and the US; producer of cannabis |
| **Haiti** | major Caribbean transshipment point for cocaine en route to the US and Europe; substantial money-laundering activity; Colombian narcotics traffickers favor Haiti for illicit financial transactions; pervasive corruption |
| **Honduras** | transshipment point for drugs and narcotics; illicit producer of cannabis, cultivated on small plots and used principally for local consumption; corruption is a major problem; some money-laundering activity |
| **Hong Kong** | Makes strenuous law enforcement efforts, but faces serious challenges in controlling transit of heroin and methamphetamine to regional and world markets; modern banking system provides a conduit for money laundering; rising indigenous use of synthetic drugs, especially among young people |
| **Hungary** | transshipment point for Southwest Asian heroin and cannabis and for South American cocaine destined for Western Europe; limited producer of precursor chemicals, particularly for amphetamine and methamphetamine; improving, but remains vulnerable to money laundering related to organized crime and drug trafficking |
| **India** | world's largest producer of licit opium for the pharmaceutical trade, but an undetermined quantity of opium is diverted to illicit international drug markets; transit point for illicit narcotics produced in neighboring countries; illicit producer of methaqualone; vulnerable to narcotics money laundering through the hawala system |
| **Indonesia** | illicit producer of cannabis largely for domestic use; possible growing role as transshipment point for Golden Triangle heroin |
| **Iran** | despite substantial interdiction efforts, Iran remains a key transshipment point for Southwest Asian heroin to Europe; domestic narcotics consumption remains a persistent problem and Iranian press reports estimate at least 2 million drug users in the country |
| **Ireland** | transshipment point for and consumer of hashish from North Africa to the UK and Netherlands and of European-produced synthetic drugs; minor transshipment point for heroin and cocaine destined for Western Europe |
| **Israel** | increasingly concerned about cocaine and heroin abuse; drugs arrive in country from Lebanon and, increasingly, from Jordan |
| **Italy** | important gateway for and consumer of Latin American cocaine and Southwest Asian heroin entering the European market; money laundering by organized crime and from smuggling |
| **Jamaica** | major transshipment point for cocaine from South America to North America and Europe; illicit cultivation of cannabis; government has an active manual cannabis eradication program; corruption is a major concern; substantial money-laundering activity; Colombian narcotics traffickers favor Jamaica for illicit financial transactions |
| **Kazakhstan** | significant illicit cultivation of cannabis for CIS markets, as well as limited cultivation of opium poppy and ephedra (for the drug ephedrine); limited government eradication of illicit crops; transit point for Southwest Asian narcotics bound for Russia and the rest of Europe |
| **Kenya** | widespread harvesting of small plots of marijuana; transit country for South Asian heroin destined for Europe and North America; Indian methaqualone also transits on way to South Africa; significant potential for money-laundering activity given the country's status as a regional financial center, massive corruption, and relatively high levels of narcotics-associated activities |
| **Kyrgyzstan** | limited illicit cultivation of cannabis and opium poppy for CIS markets; limited government eradication of illicit crops; transit point for Southwest Asian narcotics bound for Russia and the rest of Europe |
| **Laos** | world's third-largest illicit opium producer (estimated cultivation in 2002 - 23,200 hectares, a 5% increase over 2001; estimated potential production in 2002 - 180 metric tons, a 10% decrease from 2001); potential heroin producer; transshipment point for heroin and methamphetamine produced in Burma; illicit producer of cannabis; growing methamphetamine abuse problem |
| **Latvia** | transshipment point for opiates and cannabis from Central and Southwest Asia to Western Europe and Scandinavia and Latin American cocaine and some synthetics from Western Europe to CIS; money laundering remains a concern despite changes to banking legislation |
| **Lebanon** | cannabis cultivation dramatically reduced to 2,500 hectares in 2002; opium poppy cultivation minimal; small amounts of Latin American cocaine and Southwest Asian heroin transit country on way to US and European markets |
| **Liberia** | transshipment point for Southeast and Southwest Asian heroin and South American cocaine for the European and US markets; corruption, criminal activity, arms-dealing, and diamond trade provide significant potential for money laundering, but the lack of well-developed financial system limits the country's utility as a major money-laundering center |
| **Liechtenstein** | multilateral organizations engaged in issuing international guidelines for financial sector oversight found gaps in Liechtenstein's financial services controls that made it vulnerable to money laundering, but Liechtenstein has become less attractive as a haven for illicit funds, based on implementation in 2001 of new anti-money-laundering legislation and improved mutual legal assistance cooperation with other countries |
| **Lithuania** | transshipment point for opiates and other illicit drugs from Southwest Asia, Latin America, and Western Europe to Western Europe and Scandinavia; limited production of methamphetamine and ecstasy; susceptible to money laundering despite changes to banking legislation |
| **Macedonia, The Former Yugoslav Republic of** | major transshipment point for Southwest Asian heroin and hashish; minor transit point for South American cocaine destined for Europe; while money laundering is a problem on a local level due to organized crime activities, the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Madagascar** | illicit producer of cannabis (cultivated and wild varieties) used mostly for domestic consumption; transshipment point for heroin |
| **Malaysia** | transit point for some illicit drugs; drug trafficking prosecuted vigorously and carries severe penalties |
| **Malta** | minor transshipment point for hashish from North Africa to Western Europe |
| **Martinique** | transshipment point for cocaine and marijuana bound for the US and Europe |
| **Mauritius** | minor consumer and transshipment point for heroin from South Asia; small amounts of cannabis produced and consumed locally; significant offshore financial industry creates potential for money laundering, but corruption levels are relatively low and the government appears generally to be committed to regulating its banking industry |
| **Mexico** | illicit cultivation of opium poppy (cultivation in 2001 - 4,400 hectares; potential heroin production - 7 metric tons) and of cannabis (in 2001 - 4,100 hectares); government eradication efforts have been key in keeping illicit crop levels low; major supplier of heroin and largest foreign supplier of marijuana and methamphetamine to the US market; continues as the primary transshipment country for US-bound cocaine from South America; major drug syndicates control majority of drug trafficking throughout the country; growing producer and distributor of ecstasy; significant money-laundering center |
| **Moldova** | limited cultivation of opium poppy and cannabis, mostly for CIS consumption; transshipment point for illicit drugs from Southwest Asia via Central Asia to Russia, Western Europe, and possibly the US; widespread crime and underground economic activity |
| **Montserrat** | transshipment point for South American narcotics destined for the US and Europe |
| **Morocco** | illicit producer of hashish; trafficking increasing for both domestic and international drug markets; shipments of hashish mostly directed to Western Europe; transit point for cocaine from South America destined for Western Europe |
| **Mozambique** | Southern African transit point for South Asian hashish, South Asian heroin, and South American cocaine probably destined for the European and South African markets; producer of cannabis (for local consumption) and methaqualone (for export to South Africa); corruption and poor regulatory capability makes the banking system vulnerable to money laundering, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Nauru** | broad-based money-laundering center |
| **Nepal** | illicit producer of cannabis for the domestic and international drug markets; transit point for opiates from Southeast Asia to the West |
| **Netherlands** | major European producer of illicit amphetamine and other synthetic drugs; important gateway for cocaine, heroin, and hashish entering Europe; major source of US-bound ecstasy; large financial sector vulnerable to money laundering |
| **Netherlands Antilles** | transshipment point for South American drugs bound for the US and Europe; money-laundering center |
| **Nicaragua** | transshipment point for cocaine destined for the US and transshipment point for arms-for-drugs dealing |
| **Nigeria** | a transit point for heroin and cocaine intended for European, East Asian, and North American markets; safehaven for Nigerian narcotraffickers operating worldwide; major money-laundering center; massive corruption and criminal activity, along with unwillingness of the government to address the deficiencies in its anti-money-laundering regime make money laundering a major problem |
| **Pakistan** | opium poppy cultivation practically eliminated; key transit point for Southwest Asian heroin bound for Western markets; Afghan narcotics continue to transit Federally Administered Tribal Areas, Balochistan Province, and Karachi; financial crimes related to drug trafficking, terrorism, corruption, and smuggling remain problems |
| **Panama** | major cocaine transshipment point and primary money laundering center for narcotics revenue; money-laundering activity is especially heavy in the Colon Free Zone; offshore financial center; negligible signs of coca cultivation; monitoring of financial transactions is improving; official corruption remains a major problem |
| **Paraguay** | major illicit producer of cannabis, most or all of which is consumed in South America; transshipment country for Andean cocaine headed for Brazil, other Southern Cone markets, Europe, and US; corruption and some money-laundering activity, especially in the Tri-Border Area |
| **Peru** | until 1996 the world's largest coca leaf producer; emerging opium producer; cultivation of coca in Peru increased by 8% to 36,600 hectares between 2001 and the end of 2002; much of the cocaine base is shipped to neighboring Colombia for processing into cocaine, while finished cocaine is shipped out from Pacific ports to the international drug market; increasing amounts of base and finished cocaine, however, are being moved to Brazil and Bolivia for use in the Southern Cone or transshipped to Europe and Africa |
| **Philippines** | exports locally-produced marijuana and hashish to East Asia, the US, and other Western markets; serves as a transit point for heroin and crystal methamphetamine |
| **Poland** | major illicit producer of amphetamine for the international market; minor transshipment point for Asian and Latin American illicit drugs to Western Europe |
| **Portugal** | gateway country for Latin American cocaine and Southwest Asian heroin entering the European market; transshipment point for hashish from North Africa to Europe; consumer of Southwest Asian heroin |
| **Romania** | major transshipment point for Southwest Asian heroin transiting the Balkan route and small amounts of Latin American cocaine bound for Western Europe |
| **Russia** | limited cultivation of illicit cannabis and opium poppy and producer of methamphetamine, mostly for domestic consumption; government has active illicit crop eradication program; used as transshipment point for Asian opiates, cannabis, and Latin American cocaine bound for growing domestic markets, to a lesser extent Western and Central Europe, and occasionally to the US; major source of heroin precursor chemicals; corruption and organized crime are key concerns; heroin increasingly popular in domestic market |
| **Saint Kitts and Nevis** | transshipment point for South American drugs destined for the US and Europe; some money-laundering activity |
| **Saint Lucia** | transit point for South American drugs destined for the US and Europe |
| **Saint Vincent and the Grenadines** | transshipment point for South American drugs destined for the US and Europe; small-scale cannabis cultivation |
| **Saudi Arabia** | death penalty for traffickers; increasing consumption of heroin, cocaine, and hashish |
| **Senegal** | transshipment point for Southwest and Southeast Asian heroin moving to Europe and North America; illicit cultivator of cannabis |
| **Serbia and Montenegro** | transshipment point for Southwest Asian heroin moving to Western Europe on the Balkan route; economy vulnerable to money laundering |
| **Singapore** | as a transportation and financial services hub, Singapore is vulnerable, despite strict laws and enforcement, to be used as a transit point for Golden Triangle heroin and as a venue for money laundering |
| **Slovakia** | transshipment point for Southwest Asian heroin bound for Western Europe; producer of synthetic drugs for regional market |
| **Slovenia** | minor transit point for cocaine and Southwest Asian heroin bound for Western Europe, and for precursor chemicals |
| **South Africa** | transshipment center for heroin, hashish, marijuana, and possibly cocaine; cocaine consumption on the rise; world's largest market for illicit methaqualone, usually imported illegally from India through various east African countries; illicit cultivation of marijuana; attractive venue for money launderers given the increasing level of organized criminal and narcotics activity in the region |
| **Spain** | key European gateway country for Latin American cocaine and North African hashish entering the European market; destination and minor transshipment point for Southwest Asian heroin |
| **Suriname** | growing transshipment point for South American drugs destined for Europe and Brazil; transshipment point for arms-for-drugs dealing |
| **Switzerland** | because of more stringent government regulations, used significantly less as a money-laundering center; transit country for and consumer of South American cocaine and Southwest Asian heroin |
| **Syria** | a transit point for opiates and hashish bound for regional and Western markets |
| **Taiwan** | regional transit point for heroin and methamphetamine; major problem with domestic consumption of methamphetamine and heroin |
| **Tajikistan** | major transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of opium poppy for domestic consumption; Tajikistan seizes roughly 80 percent of all drugs captured in Central Asia and stands third world-wide in seizures of opiates (heroin and raw opium) |
| **Tanzania** | growing role in transshipment of Southwest and Southeast Asian heroin and South American cocaine destined for South African, European, and US markets and of South Asian methaqualone bound for Southern Africa; money laundering remains a problem |
| **Thailand** | a minor producer of opium, heroin, and marijuana; illicit transit point for heroin en route to the international drug market from Burma and Laos; eradication efforts have reduced the area of cannabis cultivation and shifted some production to neighboring countries; opium poppy cultivation has been reduced by eradication efforts; also a drug money-laundering center; minor role in amphetamine production for regional consumption; increasing indigenous abuse of methamphetamine |
| **Togo** | transit hub for Nigerian heroin and cocaine traffickers; money laundering not a significant problem |
| **Trinidad and Tobago** | transshipment point for South American drugs destined for the US and Europe; producer of cannabis |
| **Turkey** | key transit route for Southwest Asian heroin to Western Europe and - to a far lesser extent the US - via air, land, and sea routes; major Turkish, Iranian, and other international trafficking organizations operate out of Istanbul; laboratories to convert imported morphine base into heroin are in remote regions of Turkey as well as near Istanbul; government maintains strict controls over areas of legal opium poppy cultivation and output of poppy straw concentrate |
| **Turkmenistan** | transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of opium poppy for domestic consumption; small-scale government-run eradication of illicit crops; transit point for heroin precursor chemicals bound for Afghanistan |
| **Turks and Caicos Islands** | transshipment point for South American narcotics destined for the US and Europe |
| **Ukraine** | limited cultivation of cannabis and opium poppy, mostly for CIS consumption; some synthetic drug production for export to the West; limited government eradication program; used as transshipment point for opiates and other illicit drugs from Africa, Latin America, and Turkey to Europe and Russia; drug-related money laundering a minor, but growing, problem; lax anti-money-laundering regime |
| **United Arab Emirates** | the UAE is a drug transshipment point for traffickers given its proximity to southwest Asian drug producing countries; the UAE's position as a major financial center makes it vulnerable to money laundering; anti-money-laundering legislation was signed into law by the president on 25 January 2002 |
| **United Kingdom** | gateway country for Latin American cocaine entering the European market; major consumer of synthetic drugs, producer of limited amounts of synthetic drugs and synthetic precursor chemicals; major consumer of Southwest Asian heroin; money-laundering center |
| **United States** | consumer of cocaine shipped from Colombia through Mexico and the Caribbean; consumer of heroin, marijuana, and increasingly methamphetamine from Mexico; consumer of high-quality Southeast Asian heroin; illicit producer of cannabis, marijuana, depressants, stimulants, hallucinogens, and methamphetamine; money-laundering center |
| **Uzbekistan** | transit country for Afghan narcotics bound for Russian and, to a lesser extent, Western European markets; limited illicit cultivation of cannabis and small amounts of opium poppy for domestic consumption; poppy cultivation almost wiped out by government crop eradication program; transit point for heroin precursor chemicals bound for Afghanistan |
| **Venezuela** | small-scale illicit producer of opium and coca for the processing of opiates and coca derivatives; however, large quantities of cocaine, heroin, and marijuana transit the country from Colombia bound for US and Europe; significant narcotics-related money-laundering activity, especially along the border with Colombia and on Margarita Island; active eradication program primarily targeting opium; increasing signs of drug-related activities by Colombian insurgents on border |
| **Vietnam** | minor producer of opium poppy; probable minor transit point for Southeast Asian heroin; domestic opium/heroin/methamphetamine addiction problems |
| **World** | *cocaine:* worldwide, coca is grown on an estimated 205,450 hectares - almost exclusively in South America with 70% in Colombia; potential cocaine production during 2002 is estimated at 938 metric tons (or 1,200 metric tons of export quality cocaine at an average of 78% purity); coca eradication programs continue in Bolivia, Colombia, and Peru, and 292 metric tons of export quality cocaine are documented to have been seized in 2002; consumption of export quality cocaine is estimated to have been 875 metric tons |
| | *opiates:* cultivation of opium poppy occurred on an estimated 141,213 hectares in 2002 and potentially produced 2,183 metric tons of opium - which conceivably could be converted to the equivalent of 238 metric tons of pure heroin; opium eradication programs have been undertaken in Afghanistan, Burma, Colombia, Mexico, Pakistan, Thailand, and Vietnam, and the annual average for opiates seized worldwide over the past five years (1998-2002) has been 45 metric tons of pure heroin equivalent; estimates for average annual consumption over this time period are 315 metric tons pure heroin equivalent |
| **Zambia** | transshipment point for moderate amounts of methaqualone, small amounts of heroin, and cocaine bound for Southern Africa and possibly Europe; a poorly developed financial infrastructure coupled with a government commitment to combating money laundering make it an unattractive venue for money launderers |
| **Zimbabwe** | transit point for African cannabis and South Asian heroin, mandrax, and methamphetamines destined for the South African and European markets |

This page was last updated on 18 December, 2003
 
