CIA - The World Factbook --  IMPORTS

Imports compares the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | IMPORTS | Date of Information |
| 119 | Nicaragua | $6,430,000,000 | 2014 est. |
| 120 | Afghanistan | $6,390,000,000 | 2012 est. |
| 121 | Cyprus | $6,320,000,000 | 2013 est. |
| 122 | Macedonia | $6,091,000,000 | 2014 est. |
| 123 | Moldova | $5,570,000,000 | 2014 est. |
| 124 | Kyrgyzstan | $5,537,000,000 | 2014 est. |
| 125 | Senegal | $5,481,000,000 | 2014 est. |
| 126 | Mauritius | $5,441,000,000 | 2014 est. |
| 127 | Malta | $5,295,000,000 | 2014 est. |
| 128 | Jamaica | $5,153,000,000 | 2014 est. |
| 129 | Zimbabwe | $5,135,000,000 | 2014 est. |
| 130 | Uganda | $5,116,000,000 | 2014 est. |
| 131 | Mongolia | $5,072,000,000 | 2014 est. |
| 132 | Albania | $5,067,000,000 | 2014 est. |
| 133 | Gabon | $4,760,000,000 | 2014 est. |
| 134 | Iceland | $4,675,000,000 | 2014 est. |
| 135 | Korea, North | $4,651,000,000 | 2013 est. |
| 136 | Virgin Islands | $4,609,000,000 | 2001 |
| 137 | Congo, Republic of the | $4,389,000,000 | 2014 est. |
| 138 | Tajikistan | $4,348,000,000 | 2014 est. |
| 139 | Brunei | $4,308,000,000 | 2014 est. |
| 140 | Papua New Guinea | $4,255,000,000 | 2014 est. |
| 141 | Laos | $4,074,000,000 | 2014 est. |
| 142 | Armenia | $4,020,000,000 | 2014 est. |
| 143 | Mauritania | $3,489,000,000 | 2014 est. |
| 144 | Chad | $3,481,000,000 | 2014 est. |
| 145 | Haiti | $3,458,000,000 | 2014 est. |
| 146 | Kosovo | $3,398,000,000 | 2013 est. |
| 147 | New Caledonia | $3,240,000,000 | 2013 est. |
| 148 | Burkina Faso | $3,117,000,000 | 2014 est. |
| 149 | Bahamas, The | $3,050,000,000 | 2014 est. |
| 150 | Mali | $2,995,000,000 | 2014 est. |
| 151 | Gibraltar | $2,967,000,000 | 2004 est. |
| 152 | Benin | $2,905,000,000 | 2014 est. |
| 153 | Madagascar | $2,742,000,000 | 2014 est. |
| 154 | Liberia | $2,615,000,000 | 2014 est. |
| 155 | San Marino | $2,551,000,000 | 2011 est. |
| 156 | Malawi | $2,498,000,000 | 2014 est. |
| 157 | Montenegro | $2,400,000,000 | 2012 est. |
| 158 | Togo | $2,284,000,000 | 2014 est. |
| 159 | Niger | $2,269,000,000 | 2014 est. |
| 160 | Fiji | $2,241,000,000 | 2014 est. |
| 161 | Guinea | $2,155,000,000 | 2014 est. |
| 162 | Suriname | $2,147,000,000 | 2014 est. |
| 163 | Swaziland | $2,097,000,000 | 2014 est. |
| 164 | Liechtenstein | $2,090,000,000 | 2012 est. |
| 165 | Sierra Leone | $2,069,000,000 | 2014 est. |
| 166 | Guyana | $1,981,000,000 | 2014 est. |
| 167 | Lesotho | $1,931,000,000 | 2014 est. |
| 168 | Rwanda | $1,898,000,000 | 2014 est. |
| 169 | Maldives | $1,728,000,000 | 2013 est. |
| 170 | French Polynesia | $1,720,000,000 | 2013 est. |
| 171 | Barbados | $1,697,000,000 | 2014 est. |
| 172 | Aruba | $1,528,000,000 | 2014 est. |
| 173 | Andorra | $1,430,000,000 | 2012 est. |
| 174 | Curacao | $1,285,000,000 | 2011 est. |
| 175 | Somalia | $1,263,000,000 | 2010 est. |
| 176 | Monaco | $1,162,000,000 | 2011 |
| 177 | Eritrea | $1,160,000,000 | 2014 est. |
| 178 | Seychelles | $1,074,000,000 | 2014 est. |
| 179 | Bermuda | $1,020,000,000 | 2014 est. |
| 180 | Bhutan | $980,600,000 | 2014 est. |
| 181 | Belize | $922,700,000 | 2014 est. |
| 182 | Guam | $901,000,000 | 2011 est. |
| 183 | Cabo Verde | $888,200,000 | 2014 est. |
| 184 | Burundi | $873,000,000 | 2014 est. |
| 185 | Greenland | $814,200,000 | 2010 |
| 186 | Faroe Islands | $776,000,000 | 2010 |
| 187 | Cayman Islands | $705,300,000 | 2014 est. |
| 188 | Timor-Leste | $689,000,000 | 2011 est. |
| 189 | Djibouti | $612,100,000 | 2014 est. |
| 190 | Turks and Caicos Islands | $591,300,000 | 2008 est. |
| 191 | Saint Lucia | $558,800,000 | 2014 est. |
| 192 | Solomon Islands | $446,000,000 | 2012 est. |
| 193 | Gambia, The | $353,100,000 | 2014 est. |
| 194 | British Virgin Islands | $320,000,000 | 2013 est. |
| 195 | Samoa | $318,700,000 | 2011 est. |
| 196 | Saint Vincent and the Grenadines | $313,600,000 | 2014 est. |
| 197 | Antigua and Barbuda | $313,100,000 | 2014 est. |
| 198 | American Samoa | $308,800,000 | FY04 est. |
| 199 | Grenada | $297,000,000 | 2012 est. |
| 200 | Vanuatu | $290,000,000 | 2014 est. |
| 201 | Guinea-Bissau | $236,200,000 | 2014 est. |
| 202 | Comoros | $235,800,000 | 2014 est. |
| 203 | Central African Republic | $216,700,000 | 2014 est. |
| 204 | Northern Mariana Islands | $214,400,000 | 2001 |
| 205 | Tonga | $204,100,000 | 2014 est. |
| 206 | Saint Kitts and Nevis | $189,200,000 | 2014 est. |
| 207 | Dominica | $186,900,000 | 2014 est. |
| 208 | Anguilla | $138,300,000 | 2014 est. |
| 209 | Micronesia, Federated States of | $132,700,000 | 2004 |
| 210 | Sao Tome and Principe | $126,200,000 | 2014 est. |
| 211 | Marshall Islands | $118,700,000 | 2011 est. |
| 212 | Palau | $113,400,000 | 2010 est. |
| 213 | Saint Pierre and Miquelon | $95,350,000 | 2010 est. |
| 214 | Falkland Islands (Islas Malvinas) | $90,000,000 | 2004 est. |
| 215 | Cook Islands | $83,490,000 | 2011 est. |
| 216 | Kiribati | $80,090,000 | 2010 est. |
| 217 | Wallis and Futuna | $61,170,000 | 2004 |
| 218 | Montserrat | $30,000,000 | 2014 est. |
| 219 | Saint Helena, Ascension, and Tristan da Cunha | $20,530,000 | 2010 est. |
| 220 | Nauru | $20,000,000 | 2004 est. |
| 221 | Tuvalu | $16,500,000 | 2010 est. |
| 222 | Niue | $9,038,000 | 2004 |
| 223 | Tokelau | $969,200 | 2002 |


