CIA - The World Factbook --  STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD

Stock of direct foreign investment - abroad compares the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | Country | STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD | Date of Information |
| 59 | Slovakia | $15,060,000,000 | 31 December 2016 est. |
| 60 | Panama | $10,710,000,000 | 31 December 2016 est. |
| 61 | Bahrain | $10,500,000,000 | 31 December 2016 est. |
| 62 | Estonia | $9,396,000,000 | 31 December 2016 est. |
| 63 | Ukraine | $7,983,000,000 | 31 December 2016 est. |
| 64 | Slovenia | $7,837,000,000 | 31 December 2016 est. |
| 65 | Croatia | $7,757,000,000 | 31 December 2016 est. |
| 66 | Vietnam | $7,700,000,000 | 31 December 2009 est. |
| 67 | Egypt | $7,257,000,000 | 31 December 2016 est. |
| 68 | Ecuador | $6,330,000,000 | 31 December 2012 est. |
| 69 | Romania | $5,963,000,000 | 31 December 2016 est. |
| 70 | Morocco | $5,203,000,000 | 31 December 2016 est. |
| 71 | Bulgaria | $4,988,000,000 | 31 December 2016 est. |
| 72 | Iran | $4,656,000,000 | 31 December 2016 est. |
| 73 | Lithuania | $4,480,000,000 | 31 December 2016 est. |
| 74 | Peru | $4,255,000,000 | 31 December 2016 est. |
| 75 | Cuba | $4,138,000,000 | 2006 est. |
| 76 | Costa Rica | $3,781,000,000 | 31 December 2016 est. |
| 77 | Belarus | $3,547,000,000 | 31 December 2016 est. |
| 78 | Latvia | $2,485,000,000 | 31 December 2016 est. |
| 79 | Georgia | $2,185,000,000 | 31 December 2016 est. |
| 80 | Iraq | $2,109,000,000 | 2015 est. |
| 81 | Pakistan | $2,094,000,000 | 31 December 2016 est. |
| 82 | Algeria | $2,025,000,000 | 31 December 2016 est. |
| 83 | Trinidad and Tobago | $1,266,000,000 | 2014 est. |
| 84 | Macau | $1,166,000,000 | 2012 est. |
| 85 | El Salvador | $1,111,000,000 | 31 December 2016 est. |
| 86 | Bermuda | $889,000,000 | 2014 est. |
| 87 | Macedonia | $849,100,000 | 31 December 2016 est. |
| 88 | New Caledonia | $658,200,000 | 2015 est. |
| 89 | Kyrgyzstan | $655,500,000 | 31 December 2016 est. |
| 90 | Jordan | $612,500,000 | 31 December 2016 est. |
| 91 | Paraguay | $591,300,000 | 31 December 2016 est. |
| 92 | Mongolia | $455,200,000 | 31 December 2016 est. |
| 93 | Dominican Republic | $387,800,000 | 31 December 2016 est. |
| 94 | French Polynesia | $349,300,000 | 2015 |
| 95 | Tunisia | $285,000,000 | 31 December 2016 est. |
| 96 | Zimbabwe | $271,600,000 | 31 December 2016 est. |
| 97 | Bangladesh | $228,500,000 | 31 December 2016 est. |
| 98 | Armenia | $228,000,000 | 2015 est. |
| 99 | Moldova | $206,100,000 | 31 December 2016 |
| 100 | Liberia | $201,000,000 | 31 December 2013 est. |
| 101 | Uruguay | $136,100,000 | 31 December 2016 est. |
| 102 | Montenegro | $133,000,000 | 31 December 2014 est. |
| 103 | Fiji | $115,100,000 | 31 December 2016 est. |
| 104 | Guinea | $69,190,000 | 31 December 2016 est. |
| 105 | Malta | $65,490,000 | June 2015 est. |
| 106 | Mali | $62,200,000 | 31 December 2016 est. |
| 107 | Solomon Islands | $50,100,000 | 31 December 2016 est. |
| 108 | Rwanda | $26,800,000 | 31 December 2016 est. |
| 109 | Vanuatu | $22,400,000 | 31 December 2016 est. |
| 110 | Sierra Leone | $9,700,000 | 31 December 2015 est. |
| 111 | Sao Tome and Principe | $2,200,000 | 31 December 2016 est. |
| 112 | Bosnia and Herzegovina | $0 | 2014 |
| 113 | Bolivia | $0 | 31 December 2016 est. |


