CIA - The World Factbook --  Stock of direct foreign investment - abroad   

This entry gives the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - abroad | Date of Information |
| 57 | Libya | $ 5,150,000,000 | 31 December 2008 est. |
| 58 | Kazakhstan | $ 4,617,000,000 | 31 December 2008 est. |
| 59 | Cuba | $ 4,138,000,000 | 2006 est. |
| 60 | Trinidad and Tobago | $ 3,829,000,000 | 2007 |
| 61 | Croatia | $ 3,343,000,000 | 31 December 2008 est. |
| 62 | Angola | $ 2,477,000,000 | 31 December 2008 est. |
| 63 | Lithuania | $ 1,985,000,000 | 31 December 2008 est. |
| 64 | Ukraine | $ 1,905,000,000 | 31 December 2008 est. |
| 65 | Macau | $ 1,900,000,000 | 2007 |
| 66 | Slovakia | $ 1,867,000,000 | 31 December 2008 est. |
| 67 | Peru | $ 1,694,000,000 | 31 December 2008 est. |
| 68 | Bulgaria | $ 1,292,000,000 | 31 December 2008 est. |
| 69 | Algeria | $ 1,162,000,000 | 31 December 2008 est. |
| 70 | Latvia | $ 1,083,000,000 | 31 December 2008 est. |
| 71 | Pakistan | $ 1,017,000,000 | 31 December 2008 est. |
| 72 | Iran | $ 993,000,000 | 31 December 2008 est. |
| 73 | Morocco | $ 966,000,000 | 31 December 2008 est. |
| 74 | Romania | $ 921,000,000 | 31 December 2008 est. |
| 75 | Costa Rica | $ 532,000,000 | 31 December 2008 est. |
| 76 | El Salvador | $ 440,000,000 | 31 December 2008 est. |
| 77 | Tunisia | $ 162,000,000 | 31 December 2008 est. |
| 78 | Uruguay | $ 156,000,000 | 2007 |
| 79 | Bangladesh | $ 97,000,000 | 31 December 2008 est. |
| 80 | Dominican Republic | $ 59,000,000 | 31 December 2008 est. |
| 81 | Kenya | $ 12,400,000 | 31 December 2008 est. |
