CIA - The World Factbook --  STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD

Stock of direct foreign investment - abroad compares the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | Country | STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD | Date of Information |
| 59 | Slovakia | $10,710,000,000 | 31 December 2015 est. |
| 60 | Panama | $9,755,000,000 | 31 December 2015 est. |
| 61 | Estonia | $9,164,000,000 | 31 December 2015 est. |
| 62 | Croatia | $8,050,000,000 | 31 December 2015 est. |
| 63 | Slovenia | $7,843,000,000 | 31 December 2015 est. |
| 64 | Vietnam | $7,700,000,000 | 31 December 2009 est. |
| 65 | Egypt | $7,362,000,000 | 31 December 2015 est. |
| 66 | Ukraine | $7,183,000,000 | 31 December 2015 est. |
| 67 | Ecuador | $6,330,000,000 | 31 December 2012 est. |
| 68 | Belarus | $6,000,000,000 | 31 December 2014 est. |
| 69 | Morocco | $4,555,000,000 | 31 December 2015 est. |
| 70 | Bulgaria | $4,490,000,000 | 31 December 2015 est. |
| 71 | Cuba | $4,138,000,000 | 2006 est. |
| 72 | Iran | $4,097,000,000 | 31 December 2015 est. |
| 73 | Romania | $3,618,000,000 | 31 December 2015 est. |
| 74 | Lithuania | $3,427,000,000 | 31 December 2015 est. |
| 75 | Costa Rica | $3,154,000,000 | 31 December 2015 est. |
| 76 | Peru | $2,815,000,000 | 31 December 2015 est. |
| 77 | Latvia | $2,391,000,000 | 31 December 2015 est. |
| 78 | Pakistan | $2,009,000,000 | 31 December 2015 est. |
| 79 | Algeria | $1,950,000,000 | 31 December 2015 est. |
| 80 | Georgia | $1,773,000,000 | 31 December 2015 est. |
| 81 | Trinidad and Tobago | $1,266,000,000 | 2014 est. |
| 82 | Macau | $1,166,000,000 | 2012 est. |
| 83 | El Salvador | $951,800,000 | 31 December 2015 est. |
| 84 | Bermuda | $889,000,000 | 2014 est. |
| 85 | Jordan | $609,300,000 | 31 December 2015 est. |
| 86 | Macedonia | $599,600,000 | 31 December 2015 est. |
| 87 | Mongolia | $367,400,000 | 31 December 2015 est. |
| 88 | Kyrgyzstan | $331,400,000 | 31 December 2015 est. |
| 89 | Tunisia | $285,000,000 | 31 December 2015 est. |
| 90 | Dominican Republic | $272,000,000 | 31 December 2015 est. |
| 91 | Paraguay | $259,000,000 | 31 December 2015 est. |
| 92 | Liberia | $201,000,000 | 31 December 2013 est. |
| 93 | Fiji | $189,600,000 | 31 December 2015 est. |
| 94 | Bangladesh | $188,000,000 | 31 December 2015 est. |
| 95 | Uruguay | $153,500,000 | 31 December 2015 est. |
| 96 | Montenegro | $133,000,000 | 31 December 2014 est. |
| 97 | Moldova | $108,200,000 | 31 December 2012 |
| 98 | Guinea | $67,300,000 | 31 December 2015 est. |
| 99 | Solomon Islands | $50,100,000 | 31 December 2015 est. |
| 100 | Mali | $49,480,000 | 31 December 2015 est. |
| 101 | Rwanda | $25,600,000 | 31 December 2015 est. |
| 102 | Vanuatu | $22,700,000 | 31 December 2015 est. |
| 103 | Sierra Leone | $9,700,000 | 31 December 2015 est. |
| 104 | Bolivia | $0 | 31 December 2013 est. |
| 105 | Bosnia and Herzegovina | $0 | 2014 |


