CIA - The World Factbook --  Stock of direct foreign investment - abroad   

This entry gives the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - abroad | Date of Information |
| 55 | Slovenia | $ 8,878,000,000 | 31 December 2012 est. |
| 56 | Philippines | $ 8,435,000,000 | 31 December 2012 est. |
| 57 | Ukraine | $ 8,104,000,000 | 31 December 2012 est. |
| 58 | Estonia | $ 7,840,000,000 | 31 December 2012 est. |
| 59 | Vietnam | $ 7,700,000,000 | 31 December 2009 est. |
| 60 | Azerbaijan | $ 7,516,000,000 | 31 December 2012 est. |
| 61 | Nigeria | $ 7,444,000,000 | 31 December 2012 est. |
| 62 | Ecuador | $ 6,330,000,000 | 31 December 2012 est. |
| 63 | Egypt | $ 6,285,000,000 | 31 December 2012 est. |
| 64 | Croatia | $ 5,581,000,000 | 31 December 2012 est. |
| 65 | Cuba | $ 4,138,000,000 | 2006 est. |
| 66 | Trinidad and Tobago | $ 3,829,000,000 | 2007 |
| 67 | Iran | $ 3,345,000,000 | 31 December 2012 est. |
| 68 | Panama | $ 3,110,000,000 | 31 December 2012 est. |
| 69 | Peru | $ 3,041,000,000 | 31 December 2012 est. |
| 70 | Lithuania | $ 2,729,000,000 | 31 December 2012 est. |
| 71 | Romania | $ 2,727,000,000 | 31 December 2012 est. |
| 72 | Morocco | $ 2,423,000,000 | 31 December 2012 est. |
| 73 | Algeria | $ 2,133,000,000 | 31 December 2012 est. |
| 74 | Latvia | $ 1,992,000,000 | 31 December 2012 est. |
| 75 | Bulgaria | $ 1,820,000,000 | 31 December 2012 est. |
| 76 | Pakistan | $ 1,519,000,000 | 31 December 2012 est. |
| 77 | Costa Rica | $ 1,481,000,000 | 31 December 2012 est. |
| 78 | Georgia | $ 1,329,000,000 | 31 December 2012 est. |
| 79 | Malta | $ 1,213,000,000 | 2010 est. |
| 80 | Mali | $ 848,200,000 | 31 December 2012 est. |
| 81 | Macau | $ 672,100,000 | 2011 est. |
| 82 | Jordan | $ 509,000,000 | 31 December 2012 est. |
| 83 | Uruguay | $ 357,000,000 | 31 December 2012 est. |
| 84 | Kenya | $ 315,400,000 | 31 December 2012 est. |
| 85 | Tunisia | $ 285,000,000 | 31 December 2012 est. |
| 86 | Paraguay | $ 213,600,000 | 31 December 2012 est. |
| 87 | Liberia | $ 201,000,000 | 31 December 2012 est. |
| 88 | Guinea | $ 145,000,000 | 31 December 2012 est. |
| 89 | Bangladesh | $ 108,100,000 | 31 December 2012 est. |
| 90 | Moldova | $ 88,420,000 | 1 January 2012 |
| 91 | Dominican Republic | $ 59,000,000 | 31 December 2012 est. |
| 92 | Fiji | $ 44,080,000 | 31 December 2012 est. |
| 93 | Mongolia | $ 44,000,000 | 31 December 2012 est. |
| 94 | Kyrgyzstan | $ 39,600,000 | 31 December 2012 est. |
| 95 | Vanuatu | $ 22,300,000 | 31 December 2012 est. |
| 96 | Rwanda | $ 12,900,000 | 31 December 2012 est. |
| 97 | Bolivia | $ 8,000,000 | 31 December 2011 |
| 98 | El Salvador | $ 5,700,000 | 31 December 2012 est. |


