CIA - The World Factbook --  Current account balance   

This entry records a country's net trade in goods and services, plus net earnings from rents, interest, profits, and dividends, and net transfer payments (such as pension funds and worker remittances) to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Current account balance | Date of Information |
| 159 | Serbia | $ -4,082,000,000 | 2012 est. |
| 160 | Tanzania | $ -4,195,000,000 | 2012 est. |
| 161 | Kenya | $ -4,310,000,000 | 2012 est. |
| 162 | Czech Republic | $ -4,727,000,000 | 2012 est. |
| 163 | Ghana | $ -4,778,000,000 | 2012 est. |
| 164 | Mozambique | $ -5,168,000,000 | 2012 est. |
| 165 | Sudan | $ -5,282,000,000 | 2012 est. |
| 166 | Jordan | $ -5,370,000,000 | 2012 est. |
| 167 | Romania | $ -6,346,000,000 | 2012 est. |
| 168 | Belgium | $ -6,650,000,000 | 2012 est. |
| 169 | Syria | $ -6,706,000,000 | 2012 est. |
| 170 | Peru | $ -7,137,000,000 | 2012 est. |
| 171 | Greece | $ -8,392,000,000 | 2012 est. |
| 172 | New Zealand | $ -8,508,000,000 | 2012 est. |
| 173 | Egypt | $ -9,136,000,000 | 2012 est. |
| 174 | Iran | $ -9,307,000,000 | 2012 est. |
| 175 | Chile | $ -9,499,000,000 | 2012 est. |
| 176 | Morocco | $ -9,843,000,000 | 2012 est. |
| 177 | Colombia | $ -12,170,000,000 | 2012 est. |
| 178 | Mexico | $ -14,180,000,000 | 2012 est. |
| 179 | Ukraine | $ -14,320,000,000 | 2012 est. |
| 180 | Spain | $ -15,140,000,000 | 2012 est. |
| 181 | Italy | $ -15,210,000,000 | 2012 est. |
| 182 | Poland | $ -18,140,000,000 | 2012 est. |
| 183 | Indonesia | $ -24,070,000,000 | 2012 est. |
| 184 | South Africa | $ -24,070,000,000 | 2012 est. |
| 185 | European Union | $ -34,490,000,000 | 2011 est. |
| 186 | Turkey | $ -47,750,000,000 | 2012 est. |
| 187 | Brazil | $ -54,230,000,000 | 2012 est. |
| 188 | Australia | $ -57,140,000,000 | 2012 est. |
| 189 | France | $ -57,200,000,000 | 2012 est. |
| 190 | Canada | $ -62,270,000,000 | 2012 est. |
| 191 | India | $ -91,470,000,000 | 2012 est. |
| 192 | United Kingdom | $ -93,600,000,000 | 2012 est. |
| 193 | United States | $ -440,400,000,000 | 2012 est. |


