CIA - The World Factbook --  CURRENT ACCOUNT BALANCE

Current account balance compares a country's net trade in goods and services, plus net earnings, and net transfer payments to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis.

| Rank | Country | CURRENT ACCOUNT BALANCE | Date of Information |
| 37 | Botswana | $1,043,000,000 | 2015 est. |
| 38 | Malta | $962,000,000 | 2015 est. |
| 39 | Afghanistan | $925,000,000 | 2015 est. |
| 40 | Vietnam | $906,000,000 | 2015 est. |
| 41 | Portugal | $838,000,000 | 2015 est. |
| 42 | Iceland | $710,000,000 | 2015 est. |
| 43 | Bulgaria | $676,000,000 | 2015 est. |
| 44 | Estonia | $487,000,000 | 2015 est. |
| 45 | Swaziland | $370,000,000 | 2015 est. |
| 46 | British Virgin Islands | $362,600,000 | 2011 est. |
| 47 | Finland | $316,000,000 | 2015 est. |
| 48 | Timor-Leste | $239,000,000 | 2015 est. |
| 49 | Uzbekistan | $93,000,000 | 2015 est. |
| 50 | Kiribati | $72,000,000 | 2015 est. |
| 51 | Cook Islands | $26,670,000 | 2005 |
| 52 | Comoros | $5,000,000 | 2015 est. |
| 53 | Micronesia, Federated States of | $3,000,000 | 2015 est. |
| 54 | Tuvalu | $2,000,000 | 2015 est. |
| 55 | Palau | -$1,000,000 | 2015 est. |
| 56 | Marshall Islands | -$6,000,000 | 2015 est. |
| 57 | Guinea-Bissau | -$11,000,000 | 2015 est. |
| 58 | Solomon Islands | -$30,000,000 | 2015 est. |
| 59 | Samoa | -$31,000,000 | 2015 est. |
| 60 | Tonga | -$34,000,000 | 2015 est. |
| 61 | Dominica | -$48,000,000 | 2015 est. |
| 62 | Anguilla | -$50,100,000 | 2015 est. |
| 63 | Saint Lucia | -$53,000,000 | 2015 est. |
| 64 | Sao Tome and Principe | -$55,000,000 | 2015 est. |
| 65 | Cabo Verde | -$69,000,000 | 2015 est. |
| 66 | Vanuatu | -$82,000,000 | 2015 est. |
| 67 | Greece | -$90,000,000 | 2015 est. |
| 68 | Eritrea | -$102,000,000 | 2015 est. |
| 69 | Saint Kitts and Nevis | -$112,000,000 | 2015 est. |
| 70 | Antigua and Barbuda | -$129,000,000 | 2015 est. |
| 71 | Gambia, The | -$136,000,000 | 2015 est. |
| 72 | Macedonia | -$141,000,000 | 2015 est. |
| 73 | Central African Republic | -$144,000,000 | 2015 est. |
| 74 | Cuba | -$145,700,000 | 2015 est. |
| 75 | Belgium | -$155,000,000 | 2015 est. |
| 76 | Grenada | -$157,000,000 | 2015 est. |
| 77 | Belize | -$172,000,000 | 2015 est. |
| 78 | Lesotho | -$178,000,000 | 2015 est. |
| 79 | Guyana | -$181,000,000 | 2015 est. |
| 80 | Madagascar | -$186,000,000 | 2015 est. |
| 81 | Saint Vincent and the Grenadines | -$194,000,000 | 2015 est. |
| 82 | Guatemala | -$202,000,000 | 2015 est. |
| 83 | Haiti | -$219,000,000 | 2015 est. |
| 84 | Azerbaijan | -$222,000,000 | 2015 est. |
| 85 | Fiji | -$235,000,000 | 2015 est. |
| 86 | Ukraine | -$251,000,000 | 2015 est. |
| 87 | Seychelles | -$253,000,000 | 2015 est. |
| 88 | Armenia | -$279,000,000 | 2015 est. |
| 89 | Togo | -$295,000,000 | 2015 est. |
| 90 | Maldives | -$296,000,000 | 2015 est. |
| 91 | Moldova | -$304,000,000 | 2015 est. |
| 92 | Barbados | -$315,000,000 | 2015 est. |
| 93 | Gabon | -$326,000,000 | 2015 est. |
| 94 | Latvia | -$332,000,000 | 2015 est. |
| 95 | Montenegro | -$387,000,000 | 2015 est. |
| 96 | Burundi | -$455,000,000 | 2015 est. |
| 97 | Paraguay | -$462,000,000 | 2015 est. |
| 98 | Tajikistan | -$470,000,000 | 2015 est. |
| 99 | Jamaica | -$484,000,000 | 2015 est. |
| 100 | Djibouti | -$530,000,000 | 2015 est. |
| 101 | Malawi | -$533,000,000 | 2015 est. |
| 102 | Kosovo | -$560,000,000 | 2015 est. |
| 103 | Mauritius | -$562,000,000 | 2015 est. |
| 104 | Cote d'Ivoire | -$567,000,000 | 2015 est. |
| 105 | Mongolia | -$567,000,000 | 2015 est. |
| 106 | Bhutan | -$581,000,000 | 2015 est. |
| 107 | Somalia | -$644,000,000 | 2014 est. |
| 108 | Mali | -$668,000,000 | 2015 est. |
| 109 | Sierra Leone | -$681,000,000 | 2015 est. |
| 110 | Kyrgyzstan | -$692,000,000 | 2015 est. |
| 111 | Cyprus | -$704,000,000 | 2015 est. |
| 112 | Burkina Faso | -$706,000,000 | 2015 est. |
| 113 | Liberia | -$707,000,000 | 2015 est. |
| 114 | Lithuania | -$710,000,000 | 2015 est. |
| 115 | Zambia | -$768,000,000 | 2015 est. |
| 116 | Suriname | -$808,000,000 | 2015 est. |
| 117 | Benin | -$893,000,000 | 2015 est. |
| 118 | Bosnia and Herzegovina | -$901,000,000 | 2015 est. |
| 119 | El Salvador | -$920,000,000 | 2015 est. |
| 120 | Bahrain | -$965,000,000 | 2015 est. |
| 121 | South Sudan | -$1,032,000,000 | 2015 est. |
| 122 | Senegal | -$1,033,000,000 | 2015 est. |
| 123 | Nicaragua | -$1,045,000,000 | 2015 est. |
| 124 | Rwanda | -$1,096,000,000 | 2015 est. |
| 125 | Poland | -$1,117,000,000 | 2015 est. |
| 126 | Slovakia | -$1,128,000,000 | 2015 est. |
| 127 | Cameroon | -$1,192,000,000 | 2015 est. |
| 128 | Niger | -$1,237,000,000 | 2015 est. |
| 129 | Albania | -$1,281,000,000 | 2015 est. |
| 130 | Guinea | -$1,281,000,000 | 2015 est. |
| 131 | Honduras | -$1,291,000,000 | 2015 est. |
| 132 | Dominican Republic | -$1,307,000,000 | 2015 est. |
| 133 | Mauritania | -$1,313,000,000 | 2015 est. |
| 134 | Trinidad and Tobago | -$1,329,000,000 | 2015 est. |
| 135 | Chad | -$1,353,000,000 | 2015 est. |
| 136 | Bahamas, The | -$1,415,000,000 | 2015 est. |
| 137 | Congo, Democratic Republic of the | -$1,436,000,000 | 2015 est. |
| 138 | Namibia | -$1,489,000,000 | 2015 est. |
| 139 | Zimbabwe | -$1,520,000,000 | 2015 est. |
| 140 | Georgia | -$1,641,000,000 | 2015 est. |
| 141 | Serbia | -$1,751,000,000 | 2015 est. |
| 142 | Congo, Republic of the | -$1,861,000,000 | 2015 est. |
| 143 | Uruguay | -$1,864,000,000 | 2015 est. |
| 144 | Cambodia | -$1,889,000,000 | 2015 est. |
| 145 | Bolivia | -$1,923,000,000 | 2015 est. |
| 146 | Morocco | -$1,928,000,000 | 2015 est. |
| 147 | Sri Lanka | -$2,009,000,000 | 2015 est. |
| 148 | Romania | -$2,032,000,000 | 2015 est. |
| 149 | Yemen | -$2,065,000,000 | 2015 est. |
| 150 | Belarus | -$2,074,000,000 | 2015 est. |
| 151 | Costa Rica | -$2,093,000,000 | 2015 est. |
| 152 | West Bank | -$2,149,000,000 | 2014 est. |
| 153 | Ecuador | -$2,247,000,000 | 2015 est. |
| 154 | Uganda | -$2,290,000,000 | 2015 est. |
| 155 | Equatorial Guinea | -$2,322,000,000 | 2015 est. |
| 156 | Pakistan | -$2,627,000,000 | 2015 est. |
| 157 | Ghana | -$2,836,000,000 | 2015 est. |
| 158 | Gaza Strip | -$2,894,000,000 | 2014 est. |
| 159 | Laos | -$2,904,000,000 | 2015 est. |
| 160 | Syria | -$3,148,000,000 | 2015 est. |
| 161 | Panama | -$3,377,000,000 | 2015 est. |
| 162 | Jordan | -$3,392,000,000 | 2015 est. |
| 163 | Turkmenistan | -$3,695,000,000 | 2015 est. |
| 164 | Tunisia | -$3,849,000,000 | 2015 est. |
| 165 | Tanzania | -$4,007,000,000 | 2015 est. |
| 166 | Kenya | -$4,310,000,000 | 2015 est. |
| 167 | Kazakhstan | -$4,436,000,000 | 2015 est. |
| 168 | Chile | -$4,765,000,000 | 2015 est. |
| 169 | France | -$4,832,000,000 | 2015 est. |
| 170 | Burma | -$4,879,000,000 | 2015 est. |
| 171 | New Zealand | -$5,594,000,000 | 2015 est. |
| 172 | Mozambique | -$5,776,000,000 | 2015 est. |
| 173 | Sudan | -$6,386,000,000 | 2015 est. |
| 174 | Ethiopia | -$7,392,000,000 | 2015 est. |
| 175 | Peru | -$8,374,000,000 | 2015 est. |
| 176 | Angola | -$8,748,000,000 | 2015 est. |
| 177 | Lebanon | -$10,650,000,000 | 2015 est. |
| 178 | Oman | -$11,230,000,000 | 2015 est. |
| 179 | Iraq | -$11,840,000,000 | 2015 est. |
| 180 | Egypt | -$12,180,000,000 | 2015 est. |
| 181 | South Africa | -$13,670,000,000 | 2015 est. |
| 182 | Nigeria | -$15,440,000,000 | 2015 est. |
| 183 | Argentina | -$15,940,000,000 | 2015 est. |
| 184 | Libya | -$16,700,000,000 | 2015 est. |
| 185 | Indonesia | -$17,650,000,000 | 2015 est. |
| 186 | Colombia | -$18,760,000,000 | 2015 est. |
| 187 | Venezuela | -$20,360,000,000 | 2015 est. |
| 188 | India | -$22,090,000,000 | 2015 est. |
| 189 | Algeria | -$27,450,000,000 | 2015 est. |
| 190 | Turkey | -$32,240,000,000 | 2015 est. |
| 191 | Mexico | -$32,710,000,000 | 2015 est. |
| 192 | Canada | -$48,970,000,000 | 2015 est. |
| 193 | Saudi Arabia | -$53,480,000,000 | 2015 est. |
| 194 | Australia | -$57,980,000,000 | 2015 est. |
| 195 | Brazil | -$58,880,000,000 | 2015 est. |
| 196 | United Kingdom | -$153,300,000,000 | 2015 est. |
| 197 | United States | -$463,000,000,000 | 2015 est. |


