CIA - The World Factbook --  CURRENT ACCOUNT BALANCE

Current account balance compares a country's net trade in goods and services, plus net earnings, and net transfer payments to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis.

| Rank | Country | CURRENT ACCOUNT BALANCE | Date of Information |
| 157 | Uruguay | -$3,067,000,000 | 2014 est. |
| 158 | Jordan | -$3,192,000,000 | 2014 est. |
| 159 | Ethiopia | -$3,534,000,000 | 2014 est. |
| 160 | Burma | -$3,738,000,000 | 2014 est. |
| 161 | Chile | -$3,805,000,000 | 2014 est. |
| 162 | Ghana | -$4,009,000,000 | 2014 est. |
| 163 | Lebanon | -$4,204,000,000 | 2014 est. |
| 164 | Panama | -$4,288,000,000 | 2014 est. |
| 165 | Romania | -$4,310,000,000 | 2014 est. |
| 166 | Tunisia | -$4,396,000,000 | 2014 est. |
| 167 | Argentina | -$4,570,000,000 | 2014 est. |
| 168 | Syria | -$4,575,000,000 | 2014 est. |
| 169 | Kenya | -$5,010,000,000 | 2014 est. |
| 170 | Tanzania | -$5,190,000,000 | 2014 est. |
| 171 | Sudan | -$5,762,000,000 | 2014 est. |
| 172 | Poland | -$6,008,000,000 | 2014 est. |
| 173 | Ukraine | -$6,062,000,000 | 2014 est. |
| 174 | Mozambique | -$6,322,000,000 | 2014 est. |
| 175 | Egypt | -$7,463,000,000 | 2014 est. |
| 176 | Morocco | -$7,597,000,000 | 2014 est. |
| 177 | Libya | -$7,973,000,000 | 2014 est. |
| 178 | New Zealand | -$8,667,000,000 | 2014 est. |
| 179 | Belgium | -$10,000,000,000 | 2014 est. |
| 180 | Peru | -$10,630,000,000 | 2014 est. |
| 181 | Colombia | -$16,080,000,000 | 2014 est. |
| 182 | South Africa | -$17,560,000,000 | 2014 est. |
| 183 | Mexico | -$21,920,000,000 | 2014 est. |
| 184 | Indonesia | -$25,490,000,000 | 2014 est. |
| 185 | France | -$33,900,000,000 | 2014 est. |
| 186 | European Union | -$34,490,000,000 | 2011 est. |
| 187 | Australia | -$37,000,000,000 | 2014 est. |
| 188 | India | -$42,990,000,000 | 2014 est. |
| 189 | Turkey | -$47,460,000,000 | 2014 est. |
| 190 | Canada | -$50,800,000,000 | 2014 est. |
| 191 | Brazil | -$80,920,000,000 | 2014 est. |
| 192 | United Kingdom | -$117,900,000,000 | 2014 est. |
| 193 | United States | -$385,800,000,000 | 2014 est. |


