FIELD LISTING :: TRANSPORTATION - NOTE

| Country | TRANSPORTATION - NOTE |
| **Saint Helena, Ascension, and Tristan da Cunha** | the new airport on Saint Helena opened for limited operations in July 2016 with the goal of providing regular commercial traffic via South Africa in the near term; the military airport on Ascension Island is closed to civilian traffic; there is no air connection to Tristan da Cunha and very limited sea connections making it one of the most isolated communities on the planet |
| **Saint Martin** | nearest airport for international flights is Princess Juliana International Airport (SXM) located on Sint Maarten |
| **Singapore** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; in 2014, 8 commercial vessels were attacked in the Singapore Straits |
| **Somalia** | despite a dramatic drop in the number of attacks in 2014, the International Maritime Bureau continues to report the territorial and offshore waters in the Gulf of Aden and Indian Ocean as a region of significant risk for piracy and armed robbery against ships accounting for 4% of all attacks in 2014; 11 vessels were attacked or hijacked in 2014 compared with 237 in 2011; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators, including the use of on-board armed security teams, have reduced piracy incidents in that body of water; in response Somali-based pirates, using hijacked fishing trawlers as "mother ships" to extend their range, shifted operations as far south as the Mozambique Channel, eastward to the vicinity of the Maldives, and northeastward to the Strait of Hormuz |
| **Southern Ocean** | Drake Passage offers alternative to transit through the Panama Canal |
| **Tanzania** | the International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Venezuela** | the International Maritime Bureau continues to report the territorial and offshore waters in the Caribbean Sea as at risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Vietnam** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Wake Island** | there are no commercial or civilian flights to and from Wake Island, except in direct support of island missions; emergency landing is available |
| **World** | the International Maritime Bureau (IMB) reports that 2014 saw a continued decrease in global pirate activities declining 7% over 2013; in 2014, pirates attacked a total of 245 ships world-wide including hijacking 21 ships, capturing 442 seafarers, and killing 4; the Horn of Africa continued to see a drop in pirate activities with only 11 incidents in 2014 compared with 15 in 2013 and 236 in 2011; the decrease in successful pirate attacks off the Horn of Africa is due, in part, to more aggressive anti-piracy operations by international naval forces, the hardening of vessels, and the increased use of armed security teams aboard merchant ships; despite these preventative measures, the assessed risk remains high; attacks in the Straits of Malacca and South China Sea accounted for 55% of ships attacked in 2014; West African piracy is a growing threat accounting for 16% of all attacks in 2014; Nigerian pirates are very aggressive, operating as far as 200 nm offshore and linked with at least four hijackings that occurred in this area; attacks in South Asian waters remain at low levels although incidents have increased each year since 2010 reaching 34 in 2014; as of October 2015, there were 190 attacks worldwide with 15 hijackings in the Straits of Malacca/South China Sea region and West African waters |
| **Yemen** | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators reduced the incidence of piracy in that body of water |
