CIA - The World Factbook -- Field Listing :: Transportation - note   

This entry includes miscellaneous transportation information of significance not included elsewhere.

| Country | Transportation - note |
| **Saint Helena, Ascension, and Tristan da Cunha** | there is no air connection to Saint Helena or Tristan da Cunha; following a pause in 2009, an international airport for Saint Helena continues in development with a goal of beginning construction in late 2011 or 2012 |
| **Saint Martin** | nearest airport for international flights is Princess Juliana International Airport (SXM) located in Sint Maarten |
| **Singapore** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Somalia** | the International Maritime Bureau reports the territorial and offshore waters in the Gulf of Aden and Indian Ocean remain the region of greatest risk for piracy and armed robbery against ships accounting for 50% of all attacks in 2010; 217 vessels, including commercial shipping and pleasure craft, were attacked or hijacked both at anchor and while underway; hijackings off the coast of Somalia accounted for 92% of all ship seizures in 2010; as of May 2011, 26 vessels and 522 hostages were being held for ransom by Somali pirates; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators have reduced piracy incidents in that body of water; in response Somali-based pirates, using hijacked fishing trawlers as "mother ships" to extend their range, shifted operations as far south as the Mozambique Channel and eastward to the vicinity of the Maldives |
| **Southern Ocean** | Drake Passage offers alternative to transit through the Panama Canal |
| **Tanzania** | the International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Venezuela** | the International Maritime Bureau reports the territorial and offshore waters in the Caribbean Sea as a significant risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Vietnam** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Wake Island** | there are no commercial or civilian flights to and from Wake Island, except in direct support of island missions; emergency landing is available |
| **World** | the International Maritime Bureau (IMB) reports that 2010 saw a continued increase in global pirate activities with more people taken hostage at sea than in any year since IMB has kept records; pirate attacks against shipping have risen every year for the last four years with a 10% increase in 2010 over 2009; pirates attacked a total of 445 ships world-wide including hijacking 53 ships, capturing 1,081 seafarers, and killing eight; while the Horn of Africa remains the most dangerous area for maritime shipping, accounting for more than 50% of all attacks in 2010, a significant number of attacks also occurred in the coastal waters of Indonesia, the South China Sea, Bangladesh, and Nigeria; indications are that the pace of attacks in 2011 will exceed that of 2010; as of May 2011, there have been 211 attacks worldwide with 24 hijackings; the Horn of Africa remains the most dangerous region in 2011 with 139 attacks, 21 hijackings, 362 hostages seized, and seven seafarers killed |
| **Yemen** | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators reduced the incidence of piracy in that body of water by more than half in 2010 |
