CIA - The World Factbook -- Field Listing - Industries

| Country | Industries |
| **British Virgin Islands** | tourism, light industry, construction, rum, concrete block, offshore financial center |
| **Brunei** | petroleum, petroleum refining, liquefied natural gas, construction |
| **Bulgaria** | electricity, gas, water; food, beverages, tobacco; machinery and equipment, base metals, chemical products, coke, refined petroleum, nuclear fuel |
| **Burkina Faso** | cotton lint, beverages, agricultural processing, soap, cigarettes, textiles, gold |
| **Burma** | agricultural processing; knit and woven apparel; wood and wood products; copper, tin, tungsten, iron; construction materials; pharmaceuticals; fertilizer; cement; natural gas |
| **Burundi** | light consumer goods such as blankets, shoes, soap; assembly of imported components; public works construction; food processing |
| **Cambodia** | tourism, garments, rice milling, fishing, wood and wood products, rubber, cement, gem mining, textiles |
| **Cameroon** | petroleum production and refining, aluminum production, food processing, light consumer goods, textiles, lumber, ship repair |
| **Canada** | transportation equipment, chemicals, processed and unprocessed minerals, food products, wood and paper products, fish products, petroleum and natural gas |
| **Cape Verde** | food and beverages, fish processing, shoes and garments, salt mining, ship repair |
| **Cayman Islands** | tourism, banking, insurance and finance, construction, construction materials, furniture |
| **Central African Republic** | gold and diamond mining, logging, brewing, textiles, footwear, assembly of bicycles and motorcycles |
| **Chad** | oil, cotton textiles, meatpacking, beer brewing, natron (sodium carbonate), soap, cigarettes, construction materials |
| **Chile** | copper, other minerals, foodstuffs, fish processing, iron and steel, wood and wood products, transport equipment, cement, textiles |
| **China** | mining and ore processing, iron, steel, aluminum, and other metals, coal; machine building; armaments; textiles and apparel; petroleum; cement; chemicals; fertilizers; consumer products, including footwear, toys, and electronics; food processing; transportation equipment, including automobiles, rail cars and locomotives, ships, and aircraft; telecommunications equipment, commercial space launch vehicles, satellites |
| **Christmas Island** | tourism, phosphate extraction (near depletion) |
| **Cocos (Keeling) Islands** | copra products and tourism |
| **Colombia** | textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds |
| **Comoros** | tourism, perfume distillation |
| **Congo, Democratic Republic of the** | mining (diamonds, copper, zinc), mineral processing, consumer products (including textiles, footwear, cigarettes, processed foods and beverages), cement, commercial ship repair |
| **Congo, Republic of the** | petroleum extraction, cement, lumber, brewing, sugar, palm oil, soap, flour, cigarettes |
| **Cook Islands** | fruit processing, tourism, fishing, clothing, handicrafts |
| **Costa Rica** | microprocessors, food processing, textiles and clothing, construction materials, fertilizer, plastic products |
| **Cote d'Ivoire** | foodstuffs, beverages; wood products, oil refining, truck and bus assembly, textiles, fertilizer, building materials, electricity, ship construction and repair |
| **Croatia** | chemicals and plastics, machine tools, fabricated metal, electronics, pig iron and rolled steel products, aluminum, paper, wood products, construction materials, textiles, shipbuilding, petroleum and petroleum refining, food and beverages, tourism |
| **Cuba** | sugar, petroleum, tobacco, construction, nickel, steel, cement, agricultural machinery, pharmaceuticals |
| **Cyprus** | tourism, food and beverage processing, cement and gypsum production, ship repair and refurbishment, textiles, light chemicals, metal products, wood, paper, stone, and clay products |
| **Czech Republic** | metallurgy, machinery and equipment, motor vehicles, glass, armaments |
| **Denmark** | iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products, shipbuilding and refurbishment, windmills, pharmaceuticals, medical equipment |
| **Dhekelia** | none |
| **Djibouti** | construction, agricultural processing, salt |
| **Dominica** | soap, coconut oil, tourism, copra, furniture, cement blocks, shoes |
| **Dominican Republic** | tourism, sugar processing, ferronickel and gold mining, textiles, cement, tobacco |
| **East Timor** | printing, soap manufacturing, handicrafts, woven cloth |
| **Ecuador** | petroleum, food processing, textiles, wood products, chemicals |
| **Egypt** | textiles, food processing, tourism, chemicals, pharmaceuticals, hydrocarbons, construction, cement, metals, light manufactures |
| **El Salvador** | food processing, beverages, petroleum, chemicals, fertilizer, textiles, furniture, light metals |
| **Equatorial Guinea** | petroleum, fishing, sawmilling, natural gas |
| **Eritrea** | food processing, beverages, clothing and textiles, salt, cement, commercial ship repair |
| **Estonia** | engineering, electronics, wood and wood products, textile; information technology, telecommunications |
| **Ethiopia** | food processing, beverages, textiles, leather, chemicals, metals processing, cement |
| **European Union** | *among the world's largest and most technologically advanced, the European Union industrial base includes:* ferrous and non-ferrous metal production and processing, metal products, petroleum, coal, cement, chemicals, pharmaceuticals, aerospace, rail transportation equipment, passenger and commercial vehicles, construction equipment, industrial equipment, shipbuilding, electrical power equipment, machine tools and automated manufacturing systems, electronics and telecommunications equipment, fishing, food and beverage processing, furniture, paper, textiles, tourism |
| **Falkland Islands (Islas Malvinas)** | fish and wool processing; tourism |
| **Faroe Islands** | fishing, fish processing, small ship repair and refurbishment, handicrafts |
| **Fiji** | tourism, sugar, clothing, copra, gold, silver, lumber, small cottage industries |
| **Finland** | metals and metal products, electronics, machinery and scientific instruments, shipbuilding, pulp and paper, foodstuffs, chemicals, textiles, clothing |
| **France** | machinery, chemicals, automobiles, metallurgy, aircraft, electronics; textiles, food processing; tourism |
| **French Guiana** | construction, shrimp processing, forestry products, rum, gold mining |
| **French Polynesia** | tourism, pearls, agricultural processing, handicrafts, phosphates |
| **Gabon** | petroleum extraction and refining; manganese, gold; chemicals, ship repair, food and beverages, textiles, lumbering and plywood, cement |
| **Gambia, The** | processing peanuts, fish, and hides; tourism, beverages, agricultural machinery assembly, woodworking, metalworking, clothing |
| **Gaza Strip** | generally small family businesses that produce textiles, soap, olive-wood carvings, and mother-of-pearl souvenirs; the Israelis have established some small-scale modern industries in an industrial center, but operations ceased prior to Israel's evacuation of Gaza Strip settlements |
| **Georgia** | steel, aircraft, machine tools, electrical appliances, mining (manganese and copper), chemicals, wood products, wine |
| **Germany** | among the world's largest and most technologically advanced producers of iron, steel, coal, cement, chemicals, machinery, vehicles, machine tools, electronics, food and beverages, shipbuilding, textiles |
| **Ghana** | mining, lumbering, light manufacturing, aluminum smelting, food processing, cement, small commercial ship building |
| **Gibraltar** | tourism, banking and finance, ship repairing, tobacco |
| **Greece** | tourism, food and tobacco processing, textiles, chemicals, metal products; mining, petroleum |
| **Greenland** | fish processing (mainly shrimp and Greenland halibut); gold, niobium, tantalite, uranium, iron and diamond mining; handicrafts, hides and skins, small shipyards |
| **Grenada** | food and beverages, textiles, light assembly operations, tourism, construction |
| **Guadeloupe** | construction, cement, rum, sugar, tourism |
| **Guam** | US military, tourism, construction, transshipment services, concrete products, printing and publishing, food processing, textiles |
| **Guatemala** | sugar, textiles and clothing, furniture, chemicals, petroleum, metals, rubber, tourism |
| **Guernsey** | tourism, banking |
| **Guinea** | bauxite, gold, diamonds; alumina refining; light manufacturing and agricultural processing industries |
| **Guinea-Bissau** | agricultural products processing, beer, soft drinks |
| **Guyana** | bauxite, sugar, rice milling, timber, textiles, gold mining |
| **Haiti** | sugar refining, flour milling, textiles, cement, light assembly industries based on imported parts |
| **Holy See (Vatican City)** | printing; production of coins, medals, postage stamps; a small amount of mosaics and staff uniforms; worldwide banking and financial activities |
| **Honduras** | sugar, coffee, textiles, clothing, wood products |
| **Hong Kong** | textiles, clothing, tourism, banking, shipping, electronics, plastics, toys, watches, clocks |
| **Hungary** | mining, metallurgy, construction materials, processed foods, textiles, chemicals (especially pharmaceuticals), motor vehicles |
| **Iceland** | fish processing; aluminum smelting, ferrosilicon production; geothermal power, tourism |
| **India** | textiles, chemicals, food processing, steel, transportation equipment, cement, mining, petroleum, machinery, software |
| **Indonesia** | petroleum and natural gas, textiles, apparel, footwear, mining, cement, chemical fertilizers, plywood, rubber, food, tourism |
| **Iran** | petroleum, petrochemicals, textiles, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), metal fabrication, armaments |
| **Iraq** | petroleum, chemicals, textiles, leather, construction materials, food processing, fertilizer, metal fabrication/processing |
| **Ireland** | steel, lead, zinc, silver, aluminum, barite, and gypsum mining processing; food products, brewing, textiles, clothing; chemicals, pharmaceuticals; machinery, rail transportation equipment, passenger and commercial vehicles, ship construction and refurbishment; glass and crystal; software, tourism |
| **Isle of Man** | financial services, light manufacturing, tourism |
| **Israel** | high-technology projects (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, construction, metals products, chemical products, plastics, diamond cutting, textiles, footwear |
| **Italy** | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| **Jamaica** | tourism, bauxite/alumina, agro processing, light manufactures, rum, cement, metal, paper, chemical products, telecommunications |
| **Japan** | among world's largest and technologically advanced producers of motor vehicles, electronic equipment, machine tools, steel and nonferrous metals, ships, chemicals, textiles, processed foods |
| **Jersey** | tourism, banking and finance, dairy |
| **Jordan** | textiles, phosphate mining, fertilizers, pharmaceuticals, petroleum refining, cement, potash, inorganic chemicals, light manufacturing, tourism |
| **Kazakhstan** | oil, coal, iron ore, manganese, chromite, lead, zinc, copper, titanium, bauxite, gold, silver, phosphates, sulfur, iron and steel; tractors and other agricultural machinery, electric motors, construction materials |
| **Kenya** | small-scale consumer goods (plastic, furniture, batteries, textiles, soap, cigarettes, flour), agricultural products, oil refining; aluminum, steel, lead; cement, commercial ship repair, tourism |
| **Kiribati** | fishing, handicrafts |
| **Korea, North** | military products; machine building, electric power, chemicals; mining (coal, iron ore, magnesite, graphite, copper, zinc, lead, and precious metals), metallurgy; textiles, food processing; tourism |
| **Korea, South** | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| **Kuwait** | petroleum, petrochemicals, cement, shipbuilding and repair, desalination, food processing, construction materials |
| **Kyrgyzstan** | small machinery, textiles, food processing, cement, shoes, sawn logs, refrigerators, furniture, electric motors, gold, rare earth metals |
| **Laos** | copper, tin, and gypsum mining; timber, electric power, agricultural processing, construction, garments, tourism, cement |
| **Latvia** | buses, vans, street and railroad cars; synthetic fibers, agricultural machinery, fertilizers, washing machines, radios, electronics, pharmaceuticals, processed foods, textiles; note - dependent on imports for energy and raw materials |
| **Lebanon** | banking, tourism, food processing, jewelry, cement, textiles, mineral and chemical products, wood and furniture products, oil refining, metal fabricating |
| **Lesotho** | food, beverages, textiles, apparel assembly, handicrafts, construction, tourism |
| **Liberia** | rubber processing, palm oil processing, timber, diamonds |
| **Libya** | petroleum, iron and steel, food processing, textiles, handicrafts, cement |
| **Liechtenstein** | electronics, metal manufacturing, dental products, ceramics, pharmaceuticals, food products, precision instruments, tourism, optical instruments |
| **Lithuania** | metal-cutting machine tools, electric motors, television sets, refrigerators and freezers, petroleum refining, shipbuilding (small ships), furniture making, textiles, food processing, fertilizers, agricultural machinery, optical equipment, electronic components, computers, amber jewelry |
| **Luxembourg** | banking and financial services, iron and steel, information technology, telecommunications, cargo transportation, food processing, chemicals, metal products, engineering, tires, glass, aluminum, tourism |
| **Macau** | tourism, gambling, clothing, textiles, electronics, footwear, toys |
| **Macedonia** | food processing, beverages, textiles, chemicals, steel, cement, energy, pharmaceuticals |
| **Madagascar** | meat processing, soap, breweries, tanneries, sugar, textiles, glassware, cement, automobile assembly plant, paper, petroleum, tourism |
| **Malawi** | tobacco, tea, sugar, sawmill products, cement, consumer goods |
| **Malaysia** | Peninsular Malaysia - rubber and oil palm processing and manufacturing, light manufacturing industry, electronics, tin mining and smelting, logging, timber processing; Sabah - logging, petroleum production; Sarawak - agriculture processing, petroleum production and refining, logging |
| **Maldives** | fish processing, tourism, shipping, boat building, coconut processing, garments, woven mats, rope, handicrafts, coral and sand mining |
| **Mali** | food processing; construction; phosphate and gold mining |
| **Malta** | tourism, electronics, ship building and repair, construction, food and beverages, textiles, footwear, clothing, tobacco |
| **Marshall Islands** | copra, tuna processing, tourism, craft items from seashells, wood, and pearls |
| **Martinique** | construction, rum, cement, oil refining, sugar, tourism |
| **Mauritania** | fish processing, mining of iron ore and gypsum |
| **Mauritius** | food processing (largely sugar milling), textiles, clothing, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| **Mayotte** | newly created lobster and shrimp industry, construction |
| **Mexico** | food and beverages, tobacco, chemicals, iron and steel, petroleum, mining, textiles, clothing, motor vehicles, consumer durables, tourism |
| **Micronesia, Federated States of** | tourism, construction; fish processing, specialized aquaculture; craft items from shell, wood, and pearls |
| **Moldova** | sugar, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| **Monaco** | tourism, construction, small-scale industrial and consumer products |
| **Mongolia** | construction and construction materials; mining (coal, copper, molybdenum, fluorspar, tin, tungsten, and gold); oil; food and beverages; processing of animal products, cashmere and natural fiber manufacturing |
| **Montenegro** | steelmaking, agricultural processing, consumer goods, tourism |
| **Montserrat** | tourism, rum, textiles, electronic appliances |
| **Morocco** | phosphate rock mining and processing, food processing, leather goods, textiles, construction, tourism |
| **Mozambique** | food, beverages, chemicals (fertilizer, soap, paints), aluminum, petroleum products, textiles, cement, glass, asbestos, tobacco |
| **Namibia** | meatpacking, fish processing, dairy products; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
| **Nauru** | phosphate mining, offshore banking, coconut products |
| **Nepal** | tourism, carpet, textile; small rice, jute, sugar, and oilseed mills; cigarettes, cement and brick production |
| **Netherlands** | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| **Netherlands Antilles** | tourism (Curacao, Sint Maarten, and Bonaire), petroleum refining (Curacao), petroleum transshipment facilities (Curacao and Bonaire), light manufacturing (Curacao) |
| **New Caledonia** | nickel mining and smelting |
| **New Zealand** | food processing, wood and paper products, textiles, machinery, transportation equipment, banking and insurance, tourism, mining |
| **Nicaragua** | food processing, chemicals, machinery and metal products, textiles, clothing, petroleum refining and distribution, beverages, footwear, wood |
| **Niger** | uranium mining, cement, brick, soap, textiles, food processing, chemicals, slaughterhouses |
| **Nigeria** | crude oil, coal, tin, columbite; palm oil, peanuts, cotton, rubber, wood; hides and skins, textiles, cement and other construction materials, food products, footwear, chemicals, fertilizer, printing, ceramics, steel, small commercial ship construction and repair |
| **Niue** | tourism, handicrafts, food processing |
| **Norfolk Island** | tourism, light industry, ready mixed concrete |
| **Northern Mariana Islands** | tourism, construction, garments, handicrafts |
| **Norway** | petroleum and gas, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles, fishing |
| **Oman** | crude oil production and refining, natural and liquefied natural gas (LNG) production; construction, cement, copper, steel, chemicals, optic fiber |
| **Pakistan** | textiles and apparel, food processing, pharmaceuticals, construction materials, paper products, fertilizer, shrimp |
| **Palau** | tourism, craft items (from shell, wood, pearls), construction, garment making |
| **Panama** | construction, brewing, cement and other construction materials, sugar milling |
| **Papua New Guinea** | copra crushing, palm oil processing, plywood production, wood chip production; mining of gold, silver, and copper; crude oil production, petroleum refining; construction, tourism |
| **Paraguay** | sugar, cement, textiles, beverages, wood products, steel, metallurgic, electric power |
| **Peru** | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas; fishing and fish processing, textiles, clothing, food processing |
| **Philippines** | electronics assembly, garments, footwear, pharmaceuticals, chemicals, wood products, food processing, petroleum refining, fishing |
| **Pitcairn Islands** | postage stamps, handicrafts, beekeeping, honey |
| **Poland** | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| **Portugal** | textiles and footwear; wood pulp, paper, and cork; metals and metalworking; oil refining; chemicals; fish canning; rubber and plastic products; ceramics; electronics and communications equipment; rail transportation equipment; aerospace equipment; ship construction and refurbishment; wine; tourism |
| **Puerto Rico** | pharmaceuticals, electronics, apparel, food products, tourism |
| **Qatar** | crude oil production and refining, ammonia, fertilizers, petrochemicals, steel reinforcing bars, cement, commercial ship repair |
| **Reunion** | sugar, rum, cigarettes, handicraft items, flower oil extraction |
| **Romania** | textiles and footwear, light machinery and auto assembly, mining, timber, construction materials, metallurgy, chemicals, food processing, petroleum refining |
| **Russia** | complete range of mining and extractive industries producing coal, oil, gas, chemicals, and metals; all forms of machine building from rolling mills to high-performance aircraft and space vehicles; defense industries including radar, missile production, and advanced electronic components, shipbuilding; road and rail transportation equipment; communications equipment; agricultural machinery, tractors, and construction equipment; electric power generating and transmitting equipment; medical and scientific instruments; consumer durables, textiles, foodstuffs, handicrafts |
| **Rwanda** | cement, agricultural products, small-scale beverages, soap, furniture, shoes, plastic goods, textiles, cigarettes |
| **Saint Helena** | construction, crafts (furniture, lacework, fancy woodwork), fishing, philatelic sales |
| **Saint Kitts and Nevis** | sugar processing, tourism, cotton, salt, copra, clothing, footwear, beverages |
| **Saint Lucia** | clothing, assembly of electronic components, beverages, corrugated cardboard boxes, tourism; lime processing, coconut processing |
| **Saint Pierre and Miquelon** | fish processing and supply base for fishing fleets; tourism |
| **Saint Vincent and the Grenadines** | food processing, cement, furniture, clothing, starch |
| **Samoa** | food processing, building materials, auto parts |
| **San Marino** | tourism, banking, textiles, electronics, ceramics, cement, wine |
| **Sao Tome and Principe** | light construction, textiles, soap, beer, fish processing, timber |
| **Saudi Arabia** | crude oil production, petroleum refining, basic petrochemicals; ammonia, industrial gases, sodium hydroxide (caustic soda), cement, fertilizer, plastics; metals, commercial ship repair, commercial aircraft repair, construction |
| **Senegal** | agricultural and fish processing, phosphate mining, fertilizer production, petroleum refining, construction materials, ship construction and repair |
| **Serbia** | sugar, agricultural machinery, electrical and communication equipment, paper and pulp, lead, transportation equipment |
| **Seychelles** | fishing, tourism, processing of coconuts and vanilla, coir (coconut fiber) rope, boat building, printing, furniture; beverages |
| **Sierra Leone** | diamond mining; small-scale manufacturing (beverages, textiles, cigarettes, footwear); petroleum refining, small commercial ship repair |
| **Singapore** | electronics, chemicals, financial services, oil drilling equipment, petroleum refining, rubber processing and rubber products, processed food and beverages, ship repair, offshore platform construction, life sciences, entrepot trade |
| **Slovakia** | metal and metal products; food and beverages; electricity, gas, coke, oil, nuclear fuel; chemicals and manmade fibers; machinery; paper and printing; earthenware and ceramics; transport vehicles; textiles; electrical and optical apparatus; rubber products |
| **Slovenia** | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, electric power equipment, wood products, textiles, chemicals, machine tools |
| **Solomon Islands** | fish (tuna), mining, timber |
| **Somalia** | a few light industries, including sugar refining, textiles, wireless communication |
| **South Africa** | mining (world's largest producer of platinum, gold, chromium), automobile assembly, metalworking, machinery, textiles, iron and steel, chemicals, fertilizer, foodstuffs, commercial ship repair |
| **Spain** | textiles and apparel (including footwear), food and beverages, metals and metal manufactures, chemicals, shipbuilding, automobiles, machine tools, tourism, clay and refractory products, footwear, pharmaceuticals, medical equipment |
| **Sri Lanka** | processing of rubber, tea, coconuts, tobacco and other agricultural commodities; telecommunications, insurance, banking; clothing, textiles; cement, petroleum refining |
| **Sudan** | oil, cotton ginning, textiles, cement, edible oils, sugar, soap distilling, shoes, petroleum refining, pharmaceuticals, armaments, automobile/light truck assembly |
| **Suriname** | bauxite and gold mining, alumina production; oil, lumbering, food processing, fishing |
| **Swaziland** | mining (coal, raw asbestos), wood pulp, sugar, soft drink concentrates, textile and apparel |
| **Sweden** | iron and steel, precision equipment (bearings, radio and telephone parts, armaments), wood pulp and paper products, processed foods, motor vehicles |
| **Switzerland** | machinery, chemicals, watches, textiles, precision instruments |
| **Syria** | petroleum, textiles, food processing, beverages, tobacco, phosphate rock mining |
| **Taiwan** | electronics, petroleum refining, armaments, chemicals, textiles, iron and steel, machinery, cement, food processing, vehicles, consumer products, pharmaceuticals |
| **Tajikistan** | aluminum, zinc, lead; chemicals and fertilizers, cement, vegetable oil, metal-cutting machine tools, refrigerators and freezers |
| **Tanzania** | agricultural processing (sugar, beer, cigarettes, sisal twine); diamond, gold, and iron mining, salt, soda ash; cement, oil refining, shoes, apparel, wood products, fertilizer |
| **Thailand** | tourism, textiles and garments, agricultural processing, beverages, tobacco, cement, light manufacturing such as jewelry and electric appliances, computers and parts, integrated circuits, furniture, plastics, automobiles and automotive parts; world's second-largest tungsten producer and third-largest tin producer |
| **Togo** | phosphate mining, agricultural processing, cement, handicrafts, textiles, beverages |
| **Tokelau** | small-scale enterprises for copra production, woodworking, plaited craft goods; stamps, coins; fishing |
| **Tonga** | tourism, fishing |
| **Trinidad and Tobago** | petroleum, chemicals, tourism, food processing, cement, beverage, cotton textiles |
| **Tunisia** | petroleum, mining (particularly phosphate and iron ore), tourism, textiles, footwear, agribusiness, beverages |
| **Turkey** | textiles, food processing, autos, electronics, mining (coal, chromite, copper, boron), steel, petroleum, construction, lumber, paper |
| **Turkmenistan** | natural gas, oil, petroleum products, textiles, food processing |
| **Turks and Caicos Islands** | tourism, offshore financial services |
| **Tuvalu** | fishing, tourism, copra |
| **Uganda** | sugar, brewing, tobacco, cotton textiles; cement, steel production |
| **Ukraine** | coal, electric power, ferrous and nonferrous metals, machinery and transport equipment, chemicals, food processing (especially sugar) |
| **United Arab Emirates** | petroleum and petrochemicals; fishing, aluminum, cement, fertilizers, commercial ship repair, construction materials, some boat building, handicrafts, textiles |
| **United Kingdom** | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| **United States** | leading industrial power in the world, highly diversified and technologically advanced; petroleum, steel, motor vehicles, aerospace, telecommunications, chemicals, electronics, food processing, consumer goods, lumber, mining |
| **Uruguay** | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| **Uzbekistan** | textiles, food processing, machine building, metallurgy, gold petroleum, natural gas, chemicals |
| **Vanuatu** | food and fish freezing, wood processing, meat canning |
| **Venezuela** | petroleum, construction materials, food processing, textiles; iron ore mining, steel, aluminum; motor vehicle assembly |
| **Vietnam** | food processing, garments, shoes, machine-building; mining, coal, steel; cement, chemical fertilizer, glass, tires, oil, paper |
| **Virgin Islands** | tourism, petroleum refining, watch assembly, rum distilling, construction, pharmaceuticals, textiles, electronics |
| **Wallis and Futuna** | copra, handicrafts, fishing, lumber |
| **West Bank** | generally small family businesses that produce cement, textiles, soap, olive-wood carvings, and mother-of-pearl souvenirs; the Israelis have established some small-scale, modern industries in the settlements and industrial centers |
| **Western Sahara** | phosphate mining, handicrafts |
| **World** | dominated by the onrush of technology, especially in computers, robotics, telecommunications, and medicines and medical equipment; most of these advances take place in OECD nations; only a small portion of non-OECD countries have succeeded in rapidly adjusting to these technological forces; the accelerated development of new industrial (and agricultural) technology is complicating already grim environmental problems |
| **Yemen** | crude oil production and petroleum refining; small-scale production of cotton textiles and leather goods; food processing; handicrafts; small aluminum products factory; cement; commercial ship repair |
| **Zambia** | copper mining and processing, construction, foodstuffs, beverages, chemicals, textiles, fertilizer, horticulture |
| **Zimbabwe** | mining (coal, gold, platinum, copper, nickel, tin, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |

This page was last updated on 19 December, 2006
 
