Field Listing :: Population distribution :: The World Factbook - Central Intelligence Agency

This entry provides a summary description of the population dispersion within a country. While it may suggest population density, it does not provide density figures.

| Country | Population distribution |
| **Burma** | population concentrated along coastal areas and in general proximity to the shores of the Irrawaddy River; the extreme north is relatively underpopulated |
| **Burundi** | one of Africa's most densely populated countries; concentrations tend to be in the north and along the northern shore of Lake Tanganyika in the west; most people live on farms near areas of fertile volcanic soil |
| **Cabo Verde** | among the nine inhabited islands, population distribution is variable; islands in the east are very dry and are only sparsely settled to exploit their extensive salt deposits; the more southerly islands receive more precipitation and support larger populations, but agriculture and livestock grazing have damaged the soil fertility and vegetation; approximately half of the population lives on Sao Tiago Island, which is the location of the capital of Praia; Mindelo, on the northern island of Sao Vicente, also has a large urban population |
| **Cambodia** | population concentrated in the southeast, particularly in and around the capital of Phnom Penh; further distribution is linked closely to the Tonle Sap and Mekong Rivers |
| **Cameroon** | population concentrated in the west and north, with the interior of the country sparsely populated |
| **Canada** | vast majority of Canadians are positioned in a discontinuous band within approximately 300 km of the southern border with the United States; the most populated province is Ontario, followed by Quebec and British Columbia |
| **Cayman Islands** | majority of the population resides on Grand Cayman |
| **Central African Republic** | majority of residents live in the western and central areas of the country, especially in and around the capital of Bangui |
| **Chad** | the population is unevenly distributed due to contrasts in climate and physical geography; the highest density is found in the southwest, particularly around Lake Chad and points south; the dry Saharan zone to the north is the least densely populated |
| **Chile** | 90% of the population is located in the middle third of the country around the capital of Santiago; the far north (anchored by the Atacama Desert) and the extreme south are relatively underpopulated |
| **China** | overwhelming majority of the population is found in the eastern half of the country; the west, with its vast mountainous and desert areas, remains sparsely populated; though ranked first in the world in total population, overall density is less than that of many other countries in Asia and Europe; high population density is found along the Yangtze and Yellow River valleys, the Xi Jiang River delta, the Sichuan Basin (around Chengdu), in and around Beijing, and the industrial area around Shenyang |
| **Christmas Island** | majority of the population lives on the northern tip of the island |
| **Cocos (Keeling) Islands** | only Home Island and West Island are populated |
| **Colombia** | the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated |
| **Comoros** | the capital city of Maroni, located on the western side of the island of Grande Comore, is the country's largest city; however, of the three islands that comprise Comoros, it is Anjouan that is the most densely populated |
| **Congo, Democratic Republic of the** | urban clusters are spread throughout the country, particularly in the northeast along the boarder with Uganda, Rwanda, and Burundi; the largest city is the capital, Kinshasha, located in the west along the Congo River; the south is least densely populated |
| **Congo, Republic of the** | the population is primarily located in the south, in and around the capital of Brazzaville |
| **Cook Islands** | most of the population is found on the island of Rarotonga |
| **Costa Rica** | roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population |
| **Cote d'Ivoire** | the population is primarily located in the forested south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the northern savanna remains sparsely populated with higher concentrations located along transportation corridors |
| **Croatia** | more of the population lives in the northern half of the country, with approximately a quarter of the populace residing in and around the capital of Zagreb; many of the islands are sparsely populated |
| **Cuba** | large population clusters found throughout the country, the more significant ones being in the larger towns and cities, particularly the capital of Havana |
| **Curacao** | largest concentration on the island is Willemstad; smaller settlements near the coast can be found throughout the island, particularly in the northwest |
| **Cyprus** | *population concentrated in central Nicosia and in the major cities of the south:* Paphos, Limassol, and Larnaca |
| **Czechia** | a fairly even distribution throughout most of the country, but the northern and eastern regions tend to have larger urban concentrations |
| **Denmark** | with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland |
| **Djibouti** | most densely populated areas are in the east; the largest city is Djibouti, with a population over 600,000; no other city in the country has a total population over 50,000 |
| **Dominica** | population is mosly clustered along the coast, with roughly a third living in the parish of St. George, in or around the capital of Roseau; the volcanic interior is sparsely populated |
| **Dominican Republic** | coastal development is significant, especially in the southern coastal plains and the Cibao Valley, where population density is highest; smaller population clusters exist in the interior mountains (Cordillera Central) |
| **Ecuador** | nearly half of the population is concentrated in the interior in the Andean intermontane basins and valleys, with large concentrations also found along the western coastal strip; the rainforests of the east remain sparsely populated |
| **Egypt** | approximately 95% of the population lives within 20 km of the Nile River and its delta; vast areas of the country remain sparsely populated or uninhabited |
| **El Salvador** | athough it is the smallest country in land area in Central America, El Salvador has a population that is 18 times larger than Belize; at least 20% of the population lives abroad; high population density country-wide, with particular concentration around the capital of San Salvador |
| **Equatorial Guinea** | only two large cities over 30,000 people (Bata on the mainland, and the capital Malabo on the island of Bioko); small communities are scattered throughout the mainland and the five inhabited islands |
| **Eritrea** | density is highest in the center of the country in and around the cities of Asmara (capital) and Keren; smaller settlements exist in the north and south |
| **Estonia** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| **Eswatini** | because of its mountainous terrain, the population distribution is uneven throughout the country, concentrating primarily in valleys and plains |
| **Ethiopia** | highest density is found in the highlands of the north and middle areas of the country, particularly around the centrally located capital city of Addis Ababa; the far east and southeast are sparsely populated |
| **European Union** | population distribution varies considerably from country to country, but tends to follow a pattern of coastal and river settlement, with urban agglomerations forming large hubs facilitating large scale housing, industry, and commerce; the area in and around the Netherlands, Belgium, and Luxembourg (known collectively as Benelux), is the most densely populated area in the EU |
| **Falkland Islands (Islas Malvinas)** | a very small population, with most residents living in and around Stanley |
| **Faroe Islands** | the island of Streymoy is by far the most populous with over 40% of the population; it has approximately twice as many inhabitants as Eysturoy, the second most populous island; seven of the inhabited islands have fewer than 100 people |
| **Fiji** | approximately 70% of the population lives on the island of Viti Levu; roughly half of the population lives in urban areas |
| **Finland** | the vast majority of people are found in the south; the northern interior areas remain sparsely poplulated |
| **France** | much of the population is concentrated in the north and southeast; although there are many urban agglomerations throughout the country, Paris is by far the largest city, with Lyon ranked a distant second |
| **French Polynesia** | the majority of the population lives in the Society Islands, one of five archipelagos that includes the most populous island - Tahiti - with approximately 70% of the nation's population |
| **Gabon** | the relatively small population is spread in pockets throughout the country; the largest urban center is the capital of Libreville, located along the Atlantic coast in the northwest |
| **Gambia, The** | settlements are found scattered along the Gambia River; the largest communities, including the capital of Banjul, and the country's largest city, Serekunda, are found at the mouth of the Gambia River along the Atlantic coast |
| **Gaza Strip** | population concentrated in major cities, particularly Gaza City in the north |
| **Georgia** | settlement concentrated in the central valley, particularly in the capital city of Tbilisi in the east; smaller urban agglomerations dot the Black Sea coast, with Bat'umi being the largest |
| **Germany** | most populous country in Europe; a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations, particularly in the far western part of the industrial state of North Rhine-Westphalia |
| **Ghana** | population is concentrated in the southern half of the country, with the highest concentrations being on or near the Atlantic coast |
| **Greece** | one-third of the population lives in and around metropolitan Athens; the remainder of the country has moderate population density mixed with sizeable urban clusters |
| **Greenland** | settlement concentrated on the southwest shoreline, with limited settlements scattered along the remaining coast; interior is uninhabited |
| **Grenada** | approximately one-third of the population is found in the capital of St. George's; the island's population is concentrated along the coast |
| **Guam** | no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo |
| **Guatemala** | the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas |
| **Guinea** | areas of highest density are in the west and south; interior is sparsely populated |
| **Guinea-Bissau** | approximately one-fifth of the population lives in the capital city of Bissau along the Atlantic coast; the remainder is distributed among the eight other, mainly rural, regions |
| **Guyana** | population is heavily concentrated in the northeast in and around Georgetown, with noteable concentrations along the Berbice River to the east; the remainder of the country is sparsely populated |
| **Haiti** | fairly even distribution; largest concentrations located near coastal areas |
| **Honduras** | most residents live in the mountainous western half of the country; unlike other Central American nations, Honduras is the only one with an urban population that is distributed between two large centers - the capital of Tegucigalpa and the city of San Pedro Sula; the Rio Ulua valley in the north is the only densely populated lowland area |
| **Hong Kong** | population fairly evenly distributed |
| **Hungary** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| **Iceland** | Iceland is almost entirely urban with half of the population located in and around the capital of Reykjavik; smaller clusters are primarily found along the coast in the north and west |
| **India** | with the notable exception of the deserts in the northwest, including the Thar Desert, and the mountain fringe in the north, a very high population density exists throughout most of the country; the core of the population is in the north along the banks of the Ganges, with other river valleys and southern coastal areas also having large population concentrations |
| **Indonesia** | major concentration on the island of Java, which is considered one of the most densely populated places on earth; of the outer islands (those surrounding Java and Bali), Sumatra contains some of the most significant clusters, particularly in the south near the Selat Sunda, and along the northeastern coast near Medan; the cities of Makasar (Sulawesi), Banjarmasin (Kalimantan) are also heavily populated |
| **Iran** | population is concentrated in the north, northwest, and west, reflecting the position of the Zagros and Elburz Mountains; the vast dry areas in the center and eastern parts of the country, around the deserts of the Dasht-e Kavir and Dasht-e Lut, have a much lower population density |
| **Iraq** | population is concentrated in the north, center, and eastern parts of the country, with many of the larger urban agglomerations found along extensive parts of the Tigris and Euphrates Rivers; much of the western and southern areas are either lightly populated or uninhabited |
| **Ireland** | population distribution is weighted to the eastern side of the island, with the largest concentration being in and around Dublin; populations in the west are small due to mountainous land, poorer soil, lack of good transport routes, and fewer job opportunities |
| **Isle of Man** | most people concentrated in cities and large towns of which Douglas, in the southeast, is the largest |
| **Israel** | population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba |
| **Italy** | despite a distinctive pattern with an industrial north and an agrarian south, a fairly even population distribution exists throughout most of the country, with coastal areas, the Po River Valley, and urban centers (particularly Milan, Rome, and Naples), attracting larger and denser populations |
| **Jamaica** | population density is high throughout, but increases in and around Kingston, Montego Bay, and Port Esquivel |
| **Japan** | all primary and secondary regions of high population density lie on the coast; one-third of the population resides in and around Tokyo on the central plain (Kanto Plain) |
| **Jersey** | fairly even distribution; no notable trends |
| **Jordan** | population heavily concentrated in the west, and particularly the northwest, in and around the capital of Amman; a sizeable, but smaller population is located in the southwest along the shore of the Gulf of Aqaba |
| **Kazakhstan** | most of the country displays a low population density, particularly the interior; population clusters appear in urban agglomerations in the far northern and southern portions of the country |
| **Kenya** | population heavily concentrated in the west along the shore of Lake Victoria; other areas of high density include the capital of Nairobi, and in the southeast along the Indian Ocean coast |
| **Kiribati** | consists of three achipelagos spread out over an area roughly the size of India; the eastern Line Islands and central Phoenix Islands are sparsely populated, but the western Gilbert Islands are some of the most densely settled places on earth, with the main island of South Tarawa boasting a population density similar to Tokyo or Hong Kong |
| **Korea, North** | population concentrated in the plains and lowlands; least populated regions are the mountainous provinces adjacent to the Chinese border; largest concentrations are in the western provinces, particularly the municipal district of Pyongyang, and around Hungnam and Wonsan in the east |
| **Korea, South** | with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated |
| **Kosovo** | population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina |
| **Kuwait** | densest settlement is along the Persian Gulf, particularly in Kuwait City and on Bubiyan Island; significant population threads extend south and west along highways that radiate from the capital, particularly in the southern half of the country |
| **Kyrgyzstan** | the vast majority of Kyrgyzstanis live in rural areas; densest population settlement is to the north in and around the capital, Bishkek, followed by Osh in the west; the least densely populated area is the east, southeast in the Tien Shan mountains |
| **Laos** | most densely populated area is in and around the capital city of Vientiane; large communities are primarily found along the Mekong River along the southwestern border; overall density is considered one of the lowest in Southeast Asia |
| **Latvia** | largest concentration of people is found in and around the port and capital city of Riga; small agglomerations are scattered throughout the country |
| **Lebanon** | the majority of the people live on or near the Mediterranean coast, and of these most live in and around the capital, Beirut; favorable growing conditions in the Bekaa Valley, on the southeastern side of the Lebanon Mountains, have attracted farmers and thus the area exhibits a smaller population density |
| **Lesotho** | relatively higher population density in the western half of the nation, with the capital of Maseru, and the smaller cities of Mafeteng, Teyateyaneng, and Leribe attracting the most people |
| **Liberia** | more than half of the population lives in urban areas, with approximately one-third living within an 80-km radius of Monrovia |
| **Libya** | well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water |
| **Liechtenstein** | most of the population is found in the western half of the country along the Rhine River |
| **Lithuania** | fairly even population distribution throughout the country, but somewhat greater concentrations in the southern cities of Vilnius and Kaunas, and the western port of Klaipeda |
| **Luxembourg** | most people live in the south, on or near the border with France |
| **Macau** | population fairly equally distributed |
| **Madagascar** | most of population lives on the eastern half of the island; significant clustering is found in the central highlands and eastern coastline |
| **Malawi** | population density is highest south of Lake Nyasa |
| **Malaysia** | a highly uneven distribution with over 80% of the population residing on the Malay Peninsula |
| **Maldives** | about a third of the population lives in the centrally located capital city of Male and almost a tenth in southern Addu City; the remainder of the populace is spread over the 200 or so populated islands of the archipelago |
| **Mali** | the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso |
| **Malta** | most of the population lives on the eastern half of Malta, the largest of the three inhabited islands |
| **Marshall Islands** | most people live in urban clusters found on many of the country's islands; more than two-thirds of the population lives on the atolls of Majuro and Ebeye |
| **Mauritania** | with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal |
| **Mauritius** | population density is one of the highest in the world; urban cluster are found throught the main island, with a greater density in and around Port Luis; population on Rodrigues Island is spread across the island with a slightly denser cluster on the north coast |
| **Mexico** | most of the population is found in the middle of the country between the states of Jalisco and Veracruz; approximately a quarter of the population lives in and around Mexico City |
| **Micronesia, Federated States of** | the majority of the populaton lives in the coastal areas of the high islands; the mountainous interior is largely uninhabited; less than half of the population lives in urban areas |
| **Moldova** | pockets of agglomeration exist throughout the country, the largest being in the center of the country around the capital of Chisinau, followed by Tiraspol and Balti |
| **Monaco** | the second most densely populated country in the world (after Macau); its entire population living on 2 square km |
| **Mongolia** | sparsely distributed population throughout the country; the capital of Ulaanbaatar and the northern city of Darhan support the highest population densities |
| **Montenegro** | highest population density is concentrated in the south, southwest; the extreme eastern border is the least populated area |
| **Montserrat** | only the northern half of the island is populated, the southern portion is uninhabitable due to volcanic activity |
| **Morocco** | the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains |
| **Mozambique** | three large populations clusters are found along the southern coast between Maputo and Inhambane, in the central area between Beira and Chimoio along the Zambezi River, and in and around the northern cities of Nampula, Cidade de Nacala, and Pemba; the northwest and southwest are the least populated areas |
| **Namibia** | population density is very low, with the largest clustering found in the extreme north-central area along the border with Angola |
| **Nauru** | extensive phosphate mining made approximately 90% of the island unsuitable for farming; most people live in the fertile coastal areas, especially along the southwest coast |
| **Nepal** | most of the population is divided nearly equally between a concentration in the southern-most plains of the Tarai region and the central hilly region; overall density is quite low |
| **Netherlands** | an area known as the Randstad, anchored by the cities of Amsterdam, Rotterdam, the Hague, and Utrecht, is the most densely populated region; the north tends to be less dense, though sizeable communities can be found throughout the entire country |
| **New Caledonia** | most of the populace lives in the southern part of the main island, in and around the capital of Noumea |
| **New Zealand** | over three-quarters of New Zealanders, including the indigenous Maori, live on the North Island, primarily in urban areas |
| **Nicaragua** | the overwhelming majority of the population resides in the western half of the country, with much of the urban growth centered in the capital city of Managua; coastal areas also show large population clusters |
| **Niger** | majority of the populace is located in the southernmost extreme of the country along the border with Nigeria and Benin |
| **Nigeria** | largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest |
| **Niue** | population distributed around the peripheral coastal areas of the island |
| **Norfolk Island** | population concentrated around the capital of Kingston |
| **North Macedonia** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| **Northern Mariana Islands** | approximately 90% of the population lives on the island of Saipan |
| **Norway** | most Norweigans live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the North Sea coast in the southwest, and Skaggerak in the southeast; the interior areas of the north remain sparsely populated |
| **Oman** | the vast majority of the population is located in and around the Al Hagar Mountains in the north of the country; another smaller cluster is found around the city of Salalah in the far south; most of the country remains sparsely poplulated |
| **Pakistan** | the Indus River and its tributaries attract most of the settlement, with Punjab province the most densely populated |
| **Palau** | most of the population is located on the southern end of the main island of Babelthuap |
| **Panama** | population is concentrated towards the center of the country, particularly around the Canal, but a sizeable segment of the populace also lives in the far west around David; the eastern third of the country is sparsely inhabited |
| **Papua New Guinea** | population concentrated in the highlands and eastern coastal areas on the island of New Guinea; predominantly a rural distribution with only about one-fifth of the population residing in urban areas |
| **Paracel Islands** | a population of over 1,000 Chinese resides on Woody Island, the largest of the Paracels; there are scattered Chinese garrisons on some other islands |
| **Paraguay** | most of the population resides in the eastern half of the country; to the west lies the Gran Chaco (a semi-arid lowland plain), which accounts for 60% of the land territory, but only 2% of the overall population |
| **Peru** | approximately one-third of the population resides along the desert coastal belt in the west, with a strong focus on the capital city of Lima; the Andean highlands, or sierra, which is strongly identified with the country's Amerindian population, contains roughly half of the overall population; the eastern slopes of the Andes, and adjoining rainforest, are sparsely populated |
| **Philippines** | population concentrated where good farmlands lie; highest concentrations are northwest and south-central Luzon, the southeastern extension of Luzon, and the islands of the Visayan Sea, particularly Cebu and Negros; Manila is home to one-eighth of the entire national population |
| **Pitcairn Islands** | less than 50 inhabitants on Pitcairn Island, most reside near the village of Adamstown |
| **Poland** | population concentrated in the southern area around Krakow and the central area around Warsaw and Lodz, with an extension to the northern coastal city of Gdansk |
| **Portugal** | concentrations are primarily along or near the Atlantic coast; both Lisbon and the second largest city, Porto, are coastal cities |
| **Puerto Rico** | population clusters tend to be found along the coast, the largest of these is found in and around San Juan; an exception to this is a sizeable population located in the interior of the island immediately south of the capital around Caguas; most of the interior, particularly in the western half of the island, is dominated by the Cordillera Central mountains, where population density is low |
| **Qatar** | most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula |
| **Romania** | urbanization is not particularly high, and a fairly even population distribution can be found throughout most of the country, with urban areas attracting larger and denser populations; Hungarians, the country's largest minority, have a particularly strong presence in eastern Transylvania |
| **Russia** | population is heavily concentrated in the westernmost fifth of the country extending from the Baltic Sea, south to the Caspian Sea, and eastward parallel to the Kazakh border; elsewhere, sizeable pockets are isolated and generally found in the south |
| **Rwanda** | one of Africa's most densely populated countries; large concentrations tend to be in the central regions and along the shore of Lake Kivu in the west |
| **Saint Barthelemy** | most of the populace concentrated in and around the capital of Gustavia, but scattered settlements exist around the island periphery |
| **Saint Helena, Ascension, and Tristan da Cunha** | Saint Helena - population is concentrated in and around the capital Jamestown in the northwest, with another significant cluster in the interior Longwood area; Ascension - largest settlement, and location of most of the population, is Georgetown; Tristan da Cunha - most of the nearly 300 inhabitants live in the northern coastal town of Edinburgh of the Seven Seas |
| **Saint Kitts and Nevis** | population clusters are found in the small towns located on the periphery of both islands |
| **Saint Lucia** | most of the population is found on the periphery of the island, with a larger concentration in the north around the capital of Castries |
| **Saint Martin** | most of the population is found along the coast, with a largest concentrations around the capital Marigot, Orleans, and Grand-Case |
| **Saint Pierre and Miquelon** | most of the population is found on Saint Pierre Island; a small settlement is located on the north end of Miquelon Island |
| **Saint Vincent and the Grenadines** | most of the population is concentrated in and around the capital of Kingstown |
| **Samoa** | about three-quarters of the population lives on the island of Upolu |
| **Sao Tome and Principe** | Sao Tome, the capital city, has roughly a quarter of the nation's population; Santo Antonio is the largest town on Principe; the northern areas of both islands have the highest population densities |
| **Saudi Arabia** | historically a population that was mostly nomadic or semi-nomadic, the Saudi population has become more settled since petroleum was discovered in the 1930s; most of the economic activities - and with it the country's population - is concentrated in a wide area across the middle of the peninsula, from Ad Dammam in the east, through Riyadh in the interior, to Mecca-Medina in the west near the Red Sea |
| **Senegal** | the population is concentrated in the west, with Dakar anchoring a well-defined core area; approximately 70% of the population is rural |
| **Serbia** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| **Seychelles** | more than three-quarters of the population lives on the main island of Mahe; Praslin contains less than 10%; a smaller percent on La Digue and the outer islands |
| **Sierra Leone** | population clusters are found in the lower elevations of the south and west; the northern third of the country is less populated |
| **Singapore** | most of the urbanization is along the southern coast, with relatively dense population clusters found in the central areas |
| **Sint Maarten** | most populous areas are Lower Prince's Quarter (north of Philipsburg), followed closely by Cul de Sac |
| **Slovakia** | a fairly even distribution throughout most of the country; slightly larger concentration in the west in proximity to the Czech border |
| **Slovenia** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations; pockets in the mountainous northwest exhibit less density than elsewhere |
| **Solomon Islands** | most of the population lives along the coastal regions; about one in five live in urban areas, and of these some two-thirds reside in Honiara, the largest town and chief port |
| **Somalia** | distribution varies greatly throughout the country; least densely populated areas are in the northeast and central regions, as well as areas along the Kenyan border; most populated areas are in and around the cities of Mogadishu, Marka, Boorama, Hargeysa, and Baidoa |
| **South Africa** | the population concentrated along the southern and southeastern coast, and inland around Pretoria; the eastern half of the country is more densly populated than the west |
| **South Sudan** | clusters found in urban areas, particularly in the western interior and around the White Nile |
| **Spain** | with the notable exception of Madrid, Sevilla, and Zaragoza, the largest urban agglomerations are found along the Mediterranean and Atlantic coasts; numerous smaller cities are spread throughout the interior reflecting Spain's agrarian heritage; very dense settlement around the capital of Madrid, as well as the port city of Barcelona |
| **Sri Lanka** | the population is primarily concentrated within a broad wet zone in the southwest, urban centers along the eastern coast, and on the Jaffna Peninsula in the north |
| **Sudan** | with the exception of a ribbon of settlement that corresponds to the banks of the Nile, northern Sudan, which extends into the dry Sahara, is sparsely populated; more abundant vegetation and broader access to water increases population distribution in the south extending habitable range along nearly the entire border with South Sudan; sizeable areas of population are found around Khartoum, southeast between the Blue and White Nile Rivers, and througout South Darfur |
| **Suriname** | population concentrated along the nothern coastal strip; the remainder of the country is sparsely populated |
| **Svalbard** | the small population is primarily concentrated on the island of Spitsbergen in a handful of settlements on the south side of the Isfjorden, with Longyearbyen being the largest |
| **Sweden** | most Swedes live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the Baltic coast in the east; the interior areas of the north remain sparsely populated |
| **Switzerland** | population distribution corresponds to elevation with the northern and western areas far more heavily populated; the higher Alps of the south limit settlement |
| **Syria** | significant population density along the Mediterranean coast; larger concentrations found in the major cities of Damascus, Aleppo (the country's largest city), and Hims (Homs); more than half of the population lives in the coastal plain, the province of Halab, and the Euphrates River valley |
| | *note:* the ongoing civil war has altered the population distribution |
| **Taiwan** | distribution exhibits a peripheral coastal settlement pattern, with the largest populations on the north and west coasts |
| **Tajikistan** | the country's population is concentrated at lower elevations, with perhaps as much as 90% of the people living in valleys; overall density increases from east to west |
| **Tanzania** | the largest and most populous East African country; population distribution is extremely uneven, but greater population clusters occur in the northern half of country and along the east coast |
| **Thailand** | highest population density is found in and around Bangkok; significant population clusters found througout large parts of the country, particularly north and northeast of Bangkok and in the extreme southern region of the country |
| **Timor-Leste** | most of the population concentrated in the western third of the country, particularly around Dili |
| **Togo** | one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast |
| **Tokelau** | the country's small population is fairly evenly distributed amongst the three atolls |
| **Tonga** | over two-thirds of the population lives on the island of Tongatapu; only 45 of the nation's 171 islands are occupied |
| **Trinidad and Tobago** | population on Trinidad is concentrated in the western half of the island, on Tobago in the southern half |
| **Tunisia** | the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated |
| **Turkey** | the most densely populated area is found around the Bosporus in the northwest where 20% of the population lives in Istanbul; with the exception of Ankara, urban centers remain small and scattered throughout the interior of Anatolia; an overall pattern of peripheral development exists, particularly along the Aegean Sea coast in the west, and the Tigris and Euphrates River systems in the southeast |
| **Turkmenistan** | the most densely populated areas are the southern, eastern, and northeastern oases; approximately 50% of the population lives in and around the capital of Ashgabat |
| **Turks and Caicos Islands** | eight of the thirty islands are inhabited; the island of Providenciales is the most populated, but the most densely populated is Grand Turk |
| **Tuvalu** | over half of the population resides on the atoll of Funafuti |
| **Uganda** | population density is relatively high in comparison to other African nations; most of the population is concentrated in the central and southern parts of the country, particularly along the shores of Lake Victoria and Lake Albert; the northeast is least populated |
| **Ukraine** | densest settlement in the eastern (Donbas) and western regions; noteable concentrations in and around major urban areas of Kyiv, Kharkiv, Donets'k, Dnipropetrovs'k, and Odesa |
