Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook - Central Intelligence Agency

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| **Thailand** | 1.1% (2017 est.) |
| **Timor-Leste** | NA |
| **Togo** | 2.1% (2017 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 1.1% (2017 est.) |
| **Tunisia** | <.1% (2017 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 5.9% (2017 est.) |
| **Ukraine** | 0.9% (2017 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | 0.6% (2017 est.) |
| **Uzbekistan** | 0.3% (2017 est.) |
| **Vanuatu** | NA |
| **Venezuela** | 0.6% (2016 est.) |
| **Vietnam** | 0.3% (2017 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | 0.8% (2017 est.) |
| **Yemen** | <.1% (2016 est.) |
| **Zambia** | 11.5% (2017 est.) |
| **Zimbabwe** | 13.3% (2017 est.) |

