Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| **Solomon Islands** | NA |
| **Somalia** | 0.1% (2019 est.) |
| **South Africa** | 17.3% (2019 est.) |
| **South Sudan** | 2.4% (2019 est.) |
| **Spain** | 0.4% (2019 est.) |
| **Sri Lanka** | <.1% (2019 est.) |
| **Sudan** | 0.2% (2019 est.) |
| **Suriname** | 1.3% (2019 est.) |
| **Svalbard** | NA |
| **Sweden** | 0.2% (2016 est.) |
| **Switzerland** | 0.2% (2019) |
| **Syria** | <.1% (2019) |
| **Taiwan** | NA |
| **Tajikistan** | 0.2% (2019 est.) |
| **Tanzania** | 5.1% (2019 est.) |
| **Thailand** | 0.8% (2019 est.) |
| **Timor-Leste** | 0.2% (2019) |
| **Togo** | 2.3% (2019 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 0.9% (2019 est.) |
| **Tunisia** | <.1% (2019 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 6.1% (2019 est.) |
| **Ukraine** | 0.7% (2019 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | 0.6% (2018 est.) |
| **Uzbekistan** | 0.2% (2019 est.) |
| **Vanuatu** | NA |
| **Venezuela** | 0.5% (2019 est.) |
| **Vietnam** | 0.3% (2019 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **World** | 0.6% (2019 est.) |
| **Yemen** | <.1% (2019 est.) |
| **Zambia** | 12.1% (2019 est.) |
| **Zimbabwe** | 13.4% (2019 est.) |

