Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook - Central Intelligence Agency

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| **Jamaica** | 1.9% (2018 est.) |
| **Japan** | <.1% (2018 est.) |
| **Jersey** | NA |
| **Jordan** | <.1% (2018 est.) |
| **Kazakhstan** | 0.2% (2018 est.) |
| **Kenya** | 4.7% (2018 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | NA |
| **Kosovo** | NA |
| **Kuwait** | <.1% (2018 est.) |
| **Kyrgyzstan** | 0.2% (2018 est.) |
| **Laos** | 0.3% (2018 est.) |
| **Latvia** | 0.4% (2018 est.) |
| **Lebanon** | <.1% (2018 est.) |
| **Lesotho** | 23.6% (2018 est.) |
| **Liberia** | 1.3% (2018 est.) |
| **Libya** | 0.2% (2018) |
| **Liechtenstein** | NA |
| **Lithuania** | 0.2% (2017 est.) |
| **Luxembourg** | 0.3% (2018 est.) |
| **Macau** | NA |
| **Madagascar** | 0.3% (2018 est.) |
| **Malawi** | 9.2% (2018 est.) |
| **Malaysia** | 0.4% (2018 est.) |
| **Maldives** | NA |
| **Mali** | 1.4% (2018 est.) |
| **Malta** | 0.1% (2016 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | 0.2% (2018 est.) |
| **Mauritius** | 1.3% (2018) |
| **Mexico** | 0.2% (2018 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.6% (2018 est.) |
| **Monaco** | NA |
| **Mongolia** | <.1% (2018 est.) |
| **Montenegro** | 0.1% (2018 est.) |
| **Montserrat** | NA |
| **Morocco** | <.1% (2018 est.) |
| **Mozambique** | 12.6% (2018 est.) |
| **Namibia** | 11.8% (2018 est.) |
| **Nauru** | NA |
| **Nepal** | 0.1% (2018 est.) |
| **Netherlands** | 0.2% (2017 est.) |
| **New Caledonia** | NA |
| **New Zealand** | 0.1% (2018 est.) |
| **Nicaragua** | 0.2% (2018 est.) |
| **Niger** | 0.3% (2018 est.) |
| **Nigeria** | 1.5% (2018 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **North Macedonia** | <.1% (2018 est.) |
| **Northern Mariana Islands** | NA |
| **Norway** | 0.1% (2018 est.) |
| **Oman** | 0.2% (2018) |
| **Pakistan** | 0.1% (2018 est.) |
| **Palau** | NA |
| **Panama** | 0.9% (2018 est.) |
| **Papua New Guinea** | 0.8% (2018 est.) |
| **Paraguay** | 0.5% (2018 est.) |
| **Peru** | 0.3% (2018 est.) |
| **Philippines** | 0.1% (2018 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | 0.5% (2018 est.) |
| **Puerto Rico** | NA |
| **Qatar** | 0.1% (2017 est.) |
| **Romania** | 0.1% (2018 est.) |
| **Russia** | 1.2% (2017 est.) |
| **Rwanda** | 2.5% (2018 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | 0.5% (2018) |
| **Saint Lucia** | 0.6% (2018) |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | 1.5% (2018) |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | 0.7% (2018) |
| **Saudi Arabia** | <.1% (2016 est.) |
| **Senegal** | 0.4% (2018 est.) |
| **Serbia** | <.1% (2018 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 1.5% (2018 est.) |
| **Singapore** | 0.2% (2018 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | <.1% (2018 est.) |
| **Slovenia** | <.1% (2018 est.) |
| **Solomon Islands** | NA |
| **Somalia** | 0.1% (2018 est.) |
| **South Africa** | 20.4% (2018 est.) |
| **South Sudan** | 2.5% (2018 est.) |
| **Spain** | 0.3% (2018 est.) |
| **Sri Lanka** | <.1% (2018 est.) |
| **Sudan** | 0.2% (2018 est.) |
| **Suriname** | 1.4% (2018 est.) |
| **Sweden** | 0.2% (2016 est.) |
| **Switzerland** | NA |
| **Syria** | <.1% (2018) |
| **Taiwan** | NA |
| **Tajikistan** | 0.2% (2018 est.) |
| **Tanzania** | 4.6% (2018 est.) |
| **Thailand** | 1.1% (2018 est.) |
| **Timor-Leste** | NA |
| **Togo** | 2.3% (2018 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 1.1% (2017 est.) |
| **Tunisia** | <.1% (2018 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 5.7% (2018 est.) |
| **Ukraine** | 1% (2018 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | 0.6% (2018 est.) |
| **Uzbekistan** | 0.2% (2018 est.) |
| **Vanuatu** | NA |
| **Venezuela** | 0.6% (2016 est.) |
| **Vietnam** | 0.3% (2018 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | 0.8% (2018 est.) |
| **Yemen** | <.1% (2018 est.) |
| **Zambia** | 11.3% (2018 est.) |
| **Zimbabwe** | 12.7% (2018 est.) |

