CIA - The World Factbook -- Field Listing - HIV/AIDS - adult prevalence rate

| Country | HIV/AIDS - adult prevalence rate (%) |
| **Luxembourg** | 0.2% (2001 est.) |
| **Macau** | NA% |
| **Macedonia, The Former Yugoslav Republic of** | less than 0.1% (2001 est.) |
| **Madagascar** | 0.3% (2001 est.) |
| **Malawi** | 15% (2001 est.) |
| **Malaysia** | 0.4% (2001 est.) |
| **Maldives** | 0.1% (2001 est.) |
| **Mali** | 1.7% (2001 est.) |
| **Malta** | 0.1% (2001 est.) |
| **Man, Isle of** | NA% |
| **Marshall Islands** | NA% |
| **Martinique** | NA% |
| **Mauritania** | 1.8% (2001 est.) |
| **Mauritius** | 0.1% (2001 est.) |
| **Mayotte** | NA% |
| **Mexico** | 0.3% (2001 est.) |
| **Micronesia, Federated States of** | NA% |
| **Moldova** | 0.2% (2001 est.) |
| **Monaco** | NA% |
| **Mongolia** | less than 0.1% (2001 est.) |
| **Montserrat** | NA% |
| **Morocco** | 0.1% (2001 est.) |
| **Mozambique** | 13% 12.6 to 16.4%, estimates vary (2001 est.) |
| **Namibia** | 22.5% (2001 est.) |
| **Nauru** | NA% |
| **Nepal** | 0.5% (2001 est.) |
| **Netherlands** | 0.2% (2001 est.) |
| **Netherlands Antilles** | NA% |
| **New Caledonia** | NA% |
| **New Zealand** | 0.1% (2001 est.) |
| **Nicaragua** | 0.2% (2001 est.) |
| **Niger** | 4% (2001 est.) |
| **Nigeria** | 5.8% (2001 est.) |
| **Niue** | NA% |
| **Norfolk Island** | NA% |
| **Northern Mariana Islands** | NA% |
| **Norway** | 0.1% (2001 est.) |
| **Oman** | 0.1% (2001 est.) |
| **Pakistan** | 0.1% (2001 est.) |
| **Palau** | NA% |
| **Panama** | 1.5% (2001 est.) |
| **Papua New Guinea** | 0.7% (2001 est.) |
| **Paraguay** | 0.11% (2001 est.) |
| **Peru** | 0.4% (2001 est.) |
| **Philippines** | less than 0.1% (2001 est.) |
| **Pitcairn Islands** | NA% |
| **Poland** | *0.1% - note:* no country specific models provided (2001 est.) |
| **Portugal** | 0.5% (2001 est.) |
| **Puerto Rico** | NA% |
| **Qatar** | 0.09% (2001 est.) |
| **Reunion** | NA% |
| **Romania** | less than 0.1% (2001 est.) |
| **Russia** | 0.9% (2001 est.) |
| **Rwanda** | 8.9% (2001 est.) |
| **Saint Helena** | NA% |
| **Saint Kitts and Nevis** | NA% |
| **Saint Lucia** | NA% |
| **Saint Pierre and Miquelon** | NA% |
| **Saint Vincent and the Grenadines** | NA% |
| **Samoa** | NA% |
| **San Marino** | NA% |
| **Sao Tome and Principe** | NA% |
| **Saudi Arabia** | 0.01% (2001 est.) |
| **Senegal** | 0.5% (2001 est.) |
| **Serbia and Montenegro** | 0.2% (2001 est.) |
| **Seychelles** | NA% |
| **Sierra Leone** | 7% (2001 est.) |
| **Singapore** | 0.2% (2001 est.) |
| **Slovakia** | less than 0.1% (2001 est.) |
| **Slovenia** | less than 0.1% (2001 est.) |
| **Solomon Islands** | NA% |
| **Somalia** | 1% (2001 est.) |
| **South Africa** | 20.1% (2001 est.) |
| **Spain** | 0.5% (2001 est.) |
| **Sri Lanka** | less than 0.1% (2001 est.) |
| **Sudan** | 2.6% (2001 est.) |
| **Suriname** | 1.2% (2001 est.) |
| **Svalbard** | 0% (2001) |
| **Swaziland** | 33.4% (2001 est.) |
| **Sweden** | 0.1% (2001 est.) |
| **Switzerland** | 0.5% (2001 est.) |
| **Syria** | 0.01% (2001 est.) |
| **Taiwan** | NA |
| **Tajikistan** | less than 0.1% (2001 est.) |
| **Tanzania** | 7.8% (2001 est.) |
| **Thailand** | 1.8% (2001 est.) |
| **Togo** | 6% (2001 est.) |
| **Tokelau** | NA% |
| **Tonga** | NA% |
| **Trinidad and Tobago** | 2.5% (2001 est.) |
| **Tunisia** | 0.04% (2001 est.) |
| **Turkey** | *less than 0.1% - note:* no country specific models provided (2001 est.) |
| **Turkmenistan** | less than 0.1% (2001 est.) |
| **Turks and Caicos Islands** | NA% |
| **Tuvalu** | NA% |
| **Uganda** | 5% (2001 est.) |
| **Ukraine** | 1% (2001 est.) |
| **United Arab Emirates** | 0.18% (2001 est.) |
| **United Kingdom** | 0.1% (2001 est.) |
| **United States** | 0.6% (2001 est.) |
| **Uruguay** | 0.3% (2001 est.) |
| **Uzbekistan** | less than 0.1% (2001 est.) |
| **Vanuatu** | NA% |
| **Venezuela** | *0.5% - note:* no country specific models provided (2001 est.) |
| **Vietnam** | 0.3% (2001 est.) |
| **Virgin Islands** | NA% |
| **Wallis and Futuna** | NA% |
| **West Bank** | NA% |
| **Western Sahara** | NA% |
| **World** | NA% |
| **Yemen** | 0.1% (2001 est.) |
| **Zambia** | 21.5% (2001 est.) |
| **Zimbabwe** | 33.7% (2001 est.) |

This page was last updated on 18 December, 2003
 
