FIELD LISTING :: HIV/AIDS - ADULT PREVALENCE RATE

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - ADULT PREVALENCE RATE(%) |
| **Uganda** | 6.5% (2016 est.) |
| **Ukraine** | 0.9% (2016 est.) |
| **United Arab Emirates** | NA |
| **United Kingdom** | NA |
| **United States** | NA |
| **Uruguay** | 0.6% (2016 est.) |
| **Uzbekistan** | NA |
| **Vanuatu** | NA |
| **Venezuela** | 0.6% (2016 est.) |
| **Vietnam** | 0.4% (2016 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | 0.8% (2016 est.) |
| **Yemen** | <.1% (2016 est.) |
| **Zambia** | 12.4% (2016 est.) |
| **Zimbabwe** | 13.5% (2016 est.) |
