CIA - The World Factbook -- Field Listing - HIV/AIDS - adult prevalence rate

| Country | HIV/AIDS - adult prevalence rate (%) |
| **Macedonia** | less than 0.1% (2001 est.) |
| **Madagascar** | 1.7% (2003 est.) |
| **Malawi** | 14.2% (2003 est.) |
| **Malaysia** | 0.4% (2003 est.) |
| **Maldives** | 0.1% (2001 est.) |
| **Mali** | 1.9% (2003 est.) |
| **Malta** | 0.2% (2001 est.) |
| **Marshall Islands** | NA |
| **Martinique** | NA |
| **Mauritania** | 0.6% (2003 est.) |
| **Mauritius** | 0.1% (2001 est.) |
| **Mayotte** | NA |
| **Mexico** | 0.3% (2003 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.2% (2001 est.) |
| **Monaco** | NA |
| **Mongolia** | less than 0.1% (2003 est.) |
| **Montserrat** | NA |
| **Morocco** | 0.1% (2001 est.) |
| **Mozambique** | 12.2% (2003 est.) |
| **Namibia** | 21.3% (2003 est.) |
| **Nauru** | NA |
| **Nepal** | 0.5% (2001 est.) |
| **Netherlands** | 0.2% (2001 est.) |
| **Netherlands Antilles** | NA |
| **New Caledonia** | NA |
| **New Zealand** | 0.1% (2003 est.) |
| **Nicaragua** | 0.2% (2003 est.) |
| **Niger** | 1.2% (2003 est.) |
| **Nigeria** | 5.4% (2003 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | 0.1% (2001 est.) |
| **Oman** | 0.1% (2001 est.) |
| **Pakistan** | 0.1% (2001 est.) |
| **Palau** | NA |
| **Panama** | 0.9% (2003 est.) |
| **Papua New Guinea** | 0.6% (2003 est.) |
| **Paraguay** | 0.5% (2003 est.) |
| **Peru** | 0.5% (2003 est.) |
| **Philippines** | less than 0.1% (2003 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | 0.1% ; note - no country specific models provided (2001 est.) |
| **Portugal** | 0.4% (2001 est.) |
| **Puerto Rico** | NA |
| **Qatar** | 0.09% (2001 est.) |
| **Reunion** | NA |
| **Romania** | less than 0.1% (2001 est.) |
| **Russia** | 1.1% (2001 est.) |
| **Rwanda** | 5.1% (2003 est.) |
| **Saint Helena** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | 0.01% (2001 est.) |
| **Senegal** | 0.8% (2003 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 7% (2001 est.) |
| **Singapore** | 0.2% (2003 est.) |
| **Slovakia** | less than 0.1% (2001 est.) |
| **Slovenia** | less than 0.1% (2001 est.) |
| **Solomon Islands** | NA |
| **Somalia** | 1% (2001 est.) |
| **South Africa** | 21.5% (2003 est.) |
| **Spain** | 0.7% (2001 est.) |
| **Sri Lanka** | less than 0.1% (2001 est.) |
| **Sudan** | 2.3% (2001 est.) |
| **Suriname** | 1.7% (2001 est.) |
| **Svalbard** | 0% (2001) |
| **Swaziland** | 38.8% (2003 est.) |
| **Sweden** | 0.1% (2001 est.) |
| **Switzerland** | 0.4% (2001 est.) |
| **Syria** | less than 0.1% (2001 est.) |
| **Taiwan** | NA |
| **Tajikistan** | less than 0.1% (2001 est.) |
| **Tanzania** | 8.8% (2003 est.) |
| **Thailand** | 1.5% (2003 est.) |
| **Togo** | 4.1% (2003 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 3.2% (2003 est.) |
| **Tunisia** | less than 0.1% (2005 est.) |
| **Turkey** | less than 0.1% - note - no country specific models provided (2001 est.) |
| **Turkmenistan** | less than 0.1% (2004 est.) |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 4.1% (2003 est.) |
| **Ukraine** | 1.4% (2003 est.) |
| **United Arab Emirates** | 0.18% (2001 est.) |
| **United Kingdom** | 0.2% (2001 est.) |
| **United States** | 0.6% (2003 est.) |
| **Uruguay** | 0.3% (2001 est.) |
| **Uzbekistan** | less than 0.1% (2001 est.) |
| **Vanuatu** | NA |
| **Venezuela** | 0.7% - note - no country specific models provided (2001 est.) |
| **Vietnam** | 0.4% (2003 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | NA |
| **Yemen** | 0.1% (2001 est.) |
| **Zambia** | 16.5% (2003 est.) |
| **Zimbabwe** | 24.6% (2001 est.) |

This page was last updated on 19 December, 2006
 
