CIA - The World Factbook -- Field Listing :: HIV/AIDS - adult prevalence rate   

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate(%) |
| **Macau** | NA |
| **Macedonia** | less than 0.1% (2007 est.) |
| **Madagascar** | 0.2% (2009 est.) |
| **Malawi** | 11% (2009 est.) |
| **Malaysia** | 0.5% (2009 est.) |
| **Maldives** | less than 0.1% (2009 est.) |
| **Mali** | 1% (2009 est.) |
| **Malta** | 0.1% (2009 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | 0.7% (2009 est.) |
| **Mauritius** | 1% (2009 est.) |
| **Mexico** | 0.3% (2009 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.4% (2009 est.) |
| **Monaco** | NA |
| **Mongolia** | less than 0.1% (2009 est.) |
| **Montserrat** | NA |
| **Morocco** | 0.1% (2009 est.) |
| **Mozambique** | 11.5% (2009 est.) |
| **Namibia** | 13.1% (2009 est.) |
| **Nauru** | NA |
| **Nepal** | 0.4% (2009 est.) |
| **Netherlands** | 0.2% (2009 est.) |
| **New Caledonia** | NA |
| **New Zealand** | 0.1% (2009 est.) |
| **Nicaragua** | 0.2% (2009 est.) |
| **Niger** | 0.8% (2009 est.) |
| **Nigeria** | 3.6% (2009 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | 0.1% (2009 est.) |
| **Oman** | 0.1% (2009 est.) |
| **Pakistan** | 0.1% (2009 est.) |
| **Palau** | NA |
| **Panama** | 0.9% (2009 est.) |
| **Papua New Guinea** | 0.9% (2009 est.) |
| **Paraguay** | 0.3% (2009 est.) |
| **Peru** | 0.4% (2009 est.) |
| **Philippines** | less than 0.1% (2009 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | 0.1%; note - no country specific models provided (2009 est.) |
| **Portugal** | 0.6% (2009 est.) |
| **Puerto Rico** | NA |
| **Qatar** | less than 0.1% (2009 est.) |
| **Romania** | 0.1% (2009 est.) |
| **Russia** | 1% (2009 est.) |
| **Rwanda** | 2.9% (2009 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | 0.01% (2001 est.) |
| **Senegal** | 0.9% (2009 est.) |
| **Serbia** | 0.1% (2009 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 1.6% (2009 est.) |
| **Singapore** | 0.1% (2009 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | less than 0.1% (2009 est.) |
| **Slovenia** | less than 0.1% (2009 est.) |
| **Solomon Islands** | NA |
| **Somalia** | 0.7% (2009 est.) |
| **South Africa** | 17.8% (2009 est.) |
| **South Sudan** | 3.1% (2009 est.) |
| **Spain** | 0.4% (2009 est.) |
| **Sri Lanka** | less than 0.1% (2009 est.) |
| **Sudan** | 1.1% (2009 est.) |
| **Suriname** | 1% (2009 est.) |
| **Svalbard** | 0% (2001) |
| **Swaziland** | 25.9% (2009 est.) |
| **Sweden** | 0.1% (2009 est.) |
| **Switzerland** | 0.4% (2009 est.) |
| **Syria** | less than 0.1% (2001 est.) |
| **Taiwan** | NA |
| **Tajikistan** | 0.2% (2009 est.) |
| **Tanzania** | 5.6% (2009 est.) |
| **Thailand** | 1.3% (2009 est.) |
| **Timor-Leste** | NA |
| **Togo** | 3.2% (2009 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 1.5% (2009 est.) |
| **Tunisia** | less than 0.1% (2009 est.) |
| **Turkey** | less than 0.1%; note - no country specific models provided (2009 est.) |
| **Turkmenistan** | less than 0.1% (2007 est.) |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
| **Uganda** | 6.5% (2009 est.) |
| **Ukraine** | 1.1% (2009 est.) |
| **United Arab Emirates** | 0.2% (2001 est.) |
| **United Kingdom** | 0.2% (2009 est.) |
| **United States** | 0.6% (2009 est.) |
| **Uruguay** | 0.5% (2009 est.) |
| **Uzbekistan** | 0.1% (2009 est.) |
| **Vanuatu** | NA |
| **Venezuela** | NA; note - no country specific models provided |
| **Vietnam** | 0.4% (2009 est.) |
| **Virgin Islands** | NA |
| **Wallis and Futuna** | NA |
| **West Bank** | NA |
| **Western Sahara** | NA |
| **World** | 0.8% (2009 est.) |
| **Yemen** | 0.1% (2001 est.) |
| **Zambia** | 13.5% (2009 est.) |
| **Zimbabwe** | 14.3% (2009 est.) |
