Field Listing :: Military and security forces :: The World Factbook

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Czechia** | *Ministry of Defense and Armed Forces:* Land Forces; Air Forces; Cyber Forces; Special Forces Directorate (2020) |
| **Denmark** | Royal Danish Army, Royal Danish Navy, Royal Danish Air Force, Danish Home Guard (Reserves) (2020) |
| | *note:* the Danish military also maintains a Joint Arctic Command |
| **Djibouti** | *Djibouti Armed Forces (FAD):* Djibouti National Army (includes Navy, Djiboutian Air Force, National Gendarmerie); Djibouti Coast Guard (2019) |
| **Dominica** | no regular military forces; Commonwealth of Dominica Police Force (includes Coast Guard) (2019) |
| **Dominican Republic** | *Armed Forces of the Dominican Republic:* Army (Ejercito Nacional, EN), Navy (Marina de Guerra, MdG, includes naval infantry), Dominican Air Force (Fuerza Aerea Dominicana, FAD) (2020) |
| | *note:* in addition to the military, the Ministry of Armed Forces directs the Airport Security Authority and Civil Aviation, Port Security Authority, and Border Security Corps |
| **Ecuador** | *Ecuadorian Armed Forces:* Ecuadorian Land Force (Fuerza Terrestre Ecuatoriana, FTE), Ecuadorian Navy (Fuerza Naval del Ecuador, FNE, includes naval infantry, naval aviation, coast guard), Ecuadorian Air Force (Fuerza Aerea Ecuatoriana, FAE) (2020) |
| **Egypt** | Egyptian Armed Forces (EAF): Army (includes surface-to-surface missile forces, special forces, Republican Guard), Navy (includes coastal defense, Coast Guard), Air Force, Air Defense Command; Ministry of Interior: Central Security Forces, National Police (2019) |
| | *note:* some tribal militias in the Sinai Peninsula cooperate with the Egyptian military against insurgent/terrorist groups such as the Islamic State |
| **El Salvador** | *Armed Force of El Salvador (Fuerza Armada de El Salvador, FAES):* Army of El Salvador (Ejercito de El Salvador, ES), Navy of El Salvador (Fuerza Naval de El Salvador, FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2020) |
| | *note:* supporting the National Police (Ministry of Interior) in countering gang violence and drug trafficking is a primary mission for the FAES |
| **Equatorial Guinea** | *Equatorial Guinea Armed Forces (FAGE):* Equatorial Guinea National Guard (Guardia Nacional de Guinea Ecuatorial, GNGE (Army), Navy, Air Force; Guardia Civil (paramilitary force for internal security) (2019) |
| **Eritrea** | *Eritrean Defense Forces:* Eritrean Ground Forces, Eritrean Navy, Eritrean Air Force (includes Air Defense Force) (2019) |
| **Estonia** | *Estonian Defense Forces:* Land Forces, Navy, Air Force, Estonian Defence League (Reserves); Ministry of Interior: Border Guards (2019) |
| **Eswatini** | *Umbutfo Eswatini Defense Force (UEDF):* Ground Force (includes Air Wing (no operational aircraft)) (2019) |
| **Ethiopia** | *Ethiopian National Defense Force (ENDF):* Ground Forces, Ethiopian Air Force (Ye Ityopya Ayer Hayl, ETAF) (2020) |
| | *note(s):* in January 2020 the Ethiopian Government announced it had re-established a navy, which was disbanded in 1996; in March 2019 Ethiopia signed a defense cooperation agreement with France which stipulated that France would support the establishment of an Ethiopian navy |
| | in 2018, Ethiopia established a Republican Guard for protecting senior officials; the Republican Guard is a military unit accountable to the Prime Minister |
| | Ethiopian law allows each regional government to have paramilitary units to provide security within their territory |
| **Falkland Islands (Islas Malvinas)** | no regular military forces |
| **Faroe Islands** | no regular military forces or conscription; the Government of Denmark has responsibility for defense; as such, the Danish militaryâ€™s Joint Arctic Command in Nuuk, Greenland is responsible for territorial defense of the Faroe Islands; the Joint Arctic Command has a contact element in the capital of Torshavn (2019) |
| **Fiji** | *Republic of Fiji Military Forces (RFMF):* Land Force Command, Maritime Command (2019) |
| **Finland** | Finnish Defense Forces (FDF): Army (Maavoimat), Navy (Merivoimat), Air Force (Ilmavoimat); Ministry of the Interior: Border Guard (Rajavartiolaitos) (2019) |
| | *note:* the Border Guard becomes part of the FDF in wartime |
| **France** | Army (Armee de Terre; includes Foreign Legion), Navy (Marine Nationale), Air Force (Armee de l'Air (AdlA); includes Air Defense), National Guard (Reserves), National Gendarmerie (paramilitary police force that is a branch of the Armed Forces but under the jurisdiction of the Ministry of the Interior; also has additional duties to the Ministry of Defense and the Ministry of Justice) (2019) |
| **French Polynesia** | no regular military forces (2019) |
| **Gabon** | *Gabonese Defense Forces (Forces de Defense Gabonaise):* Land Force (Force Terrestre), Gabonese Navy (Marine Gabonaise), Gabonese Air Forces (Forces Aerienne Gabonaises, FAG), Gabonese National Gendarmerie (2019) |
| **Gambia, The** | *Gambia Armed Forces:* the Gambian National Army (GNA, includes an air wing); Gambia Navy; Republican National Guard (2020) |
| **Gaza Strip** | HAMAS does not have a conventional military in the Gaza Strip but maintains security forces in addition to its military wing, the 'Izz al-Din al-Qassam Brigades; the military wing reports to the HAMAS Political Bureau leadership; there are several other militant groups operating in Gaza, most notably the Al-Quds Brigades of Palestine Islamic Jihad, which are usually but not always beholden to HAMAS's authority (2019) |
| **Georgia** | *Georgian Defense Forces:* Land Forces (includes Aviation and Air Defense Forces); Special Operations Forces; National Guard; Ministry of the Interior: Border Police, Coast Guard (includes Georgian naval forces, which were merged with the Coast Guard in 2009) (2020) |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe, includes air defense), Joint Support Service (Streitkraeftebasis, SKB), Central Medical Service (Zentraler Sanitaetsdienst, ZSanDstBw), Cyber and Information Space Command (Kommando Cyber- und Informationsraum, Kdo CIR) (2020) |
| **Ghana** | *Ghana Armed Forces:* Army, Navy, Air Force (2019) |
| **Gibraltar** | Royal Gibraltar Regiment (2019) |
| **Greece** | *Hellenic Armed Forces:* Hellenic Army (Ellinikos Stratos, ES; includes National Guard reserves), Hellenic Navy (Elliniko Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polemiki Aeroporia, EPA; includes air defense) (2019) |
| **Greenland** | no regular military forces or conscription. (2019) |
| **Grenada** | no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2019) |
| **Guatemala** | Army of Guatemala (Ejercito de Guatemala): Land Forces (Fuerzas de Tierra), Naval Forces (Fuerza de Mar), and Air Force (Fuerza de Aire); Ministry of Interior: National Civil Police (Policia Nacional Civil; includes paramilitary units) (2020) |
| **Guinea** | *National Armed Forces:* Army, Guinean Navy (Armee de Mer or Marine Guineenne, includes Marines), Guinean Air Force (Force Aerienne de Guinee), Presidential Security Battalion (Battailon Autonome de la SÃ©curitÃ© Presidentielle, BASP), Gendarmerie, People's Militia (Reserves) (2019) |
| **Guinea-Bissau** | *People's Revolutionary Armed Force (FARP):* Army, Navy, National Air Force (Forca Aerea Nacional); Guard Nacional (Ministry of Internal Administration) (2020) |
| **Guyana** | *Guyana Defense Force:* Army, Air Corps, Coast Guard (2019) |
| **Haiti** | the Haitian Armed Forces (FAdH), disbanded in 1995, began to be reconstituted in 2017 to assist with natural disaster relief, border security, and combating transnational crime; it established an Army command in 2018; the small Coast Guard is not part of the military, but rather the Haitian National Police (2020) |
| **Holy See (Vatican City)** | Pontifical Swiss Guard Corps (Corpo della Guardia Svizzera Pontificia); the Gendarmerie Corps of Vatican City is a police force that helps augment the Pontifical Swiss Guard during the Popeâ€™s appearances, as well as providing general security, traffic direction, and investigative duties for the Vatican City State (2019) |
| **Honduras** | Honduran Armed Forces (Fuerzas Armadas de Honduras, FFAA): Army, Honduran Naval Force (FNH; includes marines), Honduran Air Force (Fuerza Aerea Hondurena, FAH), Honduran Public Order Military Police (PMOP); Ministry of Public Security and Defense: Public Security Forces (includes paramilitary units) (2020) |
| **Hong Kong** | no regular indigenous military forces; Hong Kong Police Force; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Army, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Southern Theater Command (2019) |
| **Hungary** | *Hungarian Defense Forces:* Ground Forces and Hungarian Air Force (2019) |
| | *note:* the Hungarian Defense Forces are organized into a joint force structure with ground, air, and logistic components |
| **Iceland** | no regular military forces; Icelandic Coast Guard; Icelandic National Police (2019) |
| **India** | *Indian Armed Forces:* Army, Navy (includes marines), Air Force, Coast Guard; Defense Security Corps (paramilitary forces); Ministry of Home Affairs paramilitary forces: Central Armed Police Force (includes Assam Rifles, Border Security Force, Central Industrial Security Force, Central Reserve Police Force, Indo-Tibetan Border Police, National Security Guards, Sashastra Seema Bal) (2019) |
| **Indonesia** | *Indonesian National Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL), includes marines (Korps Marinir, KorMar), naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Komando Pertahanan Udara Nasional (Kohanudnas)), Armed Forces Special Operations Command (Koopssus), Strategic Reserve Command (Kostrad) |
| | Indonesian Sea and Coast Guard (Kesatuan Penjagaan Laut dan Pantai, KPLP) is under the Ministry of Transportation (2019) |
| | *note:*Â  the Indonesian National Police includes a paramilitary Mobile Brigade Corps (BRIMOB) |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy (includes marines), Air Force, Air Defense Forces; Islamic Revolutionary Guard Corps (Sepah, IRGC): Ground Forces, Navy (includes marines), Aerospace Force (controls strategic missile force), Qods Force (special operations), Cyber Command, Basij Paramilitary Forces (Popular Mobilization Army); Law Enforcement Forces (border and security troops, assigned to the armed forces in wartime) (2019) |
| **Iraq** | *Ministry of Defense:* Iraqi Army, Army Aviation Command, Iraqi Navy, Iraqi Air Force, Iraqi Air Defense Command, Special Forces Command; National-Level Security Forces: Iraqi Counterterrorism Service (CTS; a Special Forces Division aka the "Golden Division"), Prime Minister's Special Forces Division, Presidential Brigades; Ministry of Interior: Federal Police Forces Command, Border Guard Forces Command, Federal Intelligence and Investigations Agency, Emergency Response Division, Facilities Protection Directorate, and Energy Police Directorate; Popular Mobilization Commission and Affiliated Forces (PMF); Ministry of Pershmerga (Kurdistan Regional Government) (2020) |
| | *note:* the PMF is a collection of approximately 50 paramilitary militias of different sizes and with varying political interests |
| **Ireland** | *Irish Defence Forces (Oglaigh na h-Eireannn):* Army (includes Army Reserve), Naval Service (includes Naval Service Reserves), Air Corps (2019) |
| **Israel** | Israel Defense Forces (IDF): Ground Forces, Israel Naval Force (IN, includes commandos), Israel Air Force (IAF, includes air defense); Ministry of Public Security: Border Police (2019) |
| | *note:* the Border Police is a unit within the Israel Police with its own organizational and command structure; it works both independently as well as in cooperation with or in support of the Israel Police and Israel Defense Force |
| **Italy** | *Italian Armed Forces:* Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI; includes aviation, marines), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC) (2019) |
| | *note(s):* the Financial Guard (Guardia di Finanza) under the Ministry of Economy and Finance is a force with military status and nationwide remit for financial crime investigations, including narcotics trafficking, smuggling, and illegal immigration |
| **Jamaica** | *Jamaica Defense Force (JDF):* Jamaica Regiment (Ground Forces), Maritime-Air-Cyber Command (2020) |
| **Japan** | *Japan Self-Defense Force (JSDF):* Ground Self-Defense Force (Rikujou Jieitai, GSDF; includes aviation), Maritime Self-Defense Force (Kaijou Jieitai, MSDF; includes naval aviation), Air Self-Defense Force (Koukuu Jieitai, ASDF); Japan Coast Guard (Ministry of Land, Transport, Infrastructure and Tourism) (2019) |
| **Jordan** | Jordanian Armed Forces (JAF): Royal Jordanian Army (includes Special Operations Forces, Border Guards, Royal Guard), Royal Jordanian Navy, Royal Jordanian Air Force; Ministry of Interior: General Directorate of Gendarmerie Forces, Public Security Directorate (2020) |
| **Kazakhstan** | *Armed Forces of the Republic of Kazakhstan:* Land Forces, Navy, Air and Air Defense Force; Ministry of Internal Affairs: National Guard, Border Service (includes Coast Guard), State Security Service (2019) |
| **Kenya** | *Kenya Defence Forces:* Kenya Army, Kenya Navy, Kenya Air Force (2019) |
| | *note:* the National Police Service includes a paramilitary General Service Unit |
| **Kiribati** | no regular military forces (establishment prevented by the constitution); Police Force (2011) |
| **Korea, North** | Korean People's Army (KPA): KPA Ground Forces, KPA Navy, KPA Air Force (includes air defense), KPA Strategic Force (missile forces); Guard Command (protects the Kim family, other senior North Korean leadership figures, and government facilities in Pyongyang); Ministry of Public Security: Border Guards, civil security forces (2019) |
| **Korea, South** | *Armed Forces of the Republic of Korea:* Republic of Korea Army (ROKA), Navy (ROKN, includes Marine Corps, ROKMC), Air Force (ROKAF); Military reserves include Mobilization Reserve Forces (First Combat Forces) and Homeland Defense Forces (Regional Combat Forces); Ministry of Maritime Affairs and Fisheries: Korea Coast Guard (2019) |
| **Kosovo** | *Kosovo Security Force (KSF):* Land Force Command; National Guard Command; Logistic Command and Doctrine and Training Command (2020) |
| **Kuwait** | *Kuwaiti Armed Forces:* Kuwaiti Land Forces (KLF), Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya; includes Kuwaiti Air Defense Force, KADF), 25th Commando Brigade, and the Kuwait Emiri Guard Brigade; Kuwaiti National Guard (KNG); Coast Guard (Ministry of Interior) (2019) |
| | *note:* the Kuwait Emiri Guard Authority and the 25th Commando Brigade exercise independent command authority within the Kuwaiti Armed Forces, although activities such as training and equipment procurement are often coordinated with the other services; the KNG possesses an independent command structure, equipment inventory, and logistics corps separate from the Ministry of Defense, the regular armed services, and the Ministry of Interior |
| **Kyrgyzstan** | *Kyrgyz Armed Forces:* Land Forces, Air Defense Forces, National Guard; State Border Service; Internal Troops (2019) |
| **Laos** | *Lao People's Armed Forces (LPAF):* Lao People's Army (LPA, includes Riverine Force), Air Force, Self-Defense Militia Forces (2019) |
| **Latvia** | *National Armed Forces (Nacionalie Brunotie Speki):* Land Forces (Latvijas Sauszemes Speki), Naval Force (Latvijas Juras Speki, includes Coast Guard (Latvijas Kara Flote)), Air Force (Latvijas Gaisa Speki), National Guard (2019) |
| **Lebanon** | *Lebanese Armed Forces (LAF):* Army Command (includes Presidential Guard Brigade, Land Border Regiments), Naval Forces, Air Forces; Lebanese Internal Security Forces Directorate (includes Mobile Gendarmerie); Directorate for General Security (DGS); Directorate General for State Security (2019) |
| **Lesotho** | *Lesotho Defense Force (LDF):* Army (includes Air Wing) (2019) |
| **Liberia** | *Armed Forces of Liberia (AFL):* Army, Liberia Air Wing, Liberian Coast Guard (2019) |
| **Libya** | note - in transition; the Government of National Accord (GNA) has various ground, air, naval, and coast guard forces under its command; the forces are comprised of a mix of semi-regular military units, tribal militias, civilian volunteers, and foreign troops and mercenaries |
| | forces under Khalifa HAFTER, known as the Libyan National Army (LNA), also include various ground, air, and naval units comprised of semi-regular military personnel, tribal militias, and foreign troops and mercenaries (2019) |
| **Liechtenstein** | no regular military forces; National Police maintain close relations with neighboring forces (2019) |
| **Lithuania** | *Lithuanian Armed Forces (Lietuvos Ginkluotosios Pajegos):* Land Forces (Sausumos Pajegos), Naval Forces (Karines Juru Pajegos), Air Forces (Karines Oro Pajegos), Special Operations Forces (Specialiuju Operaciju Pajegos); National Defense Volunteer Forces (Savanoriu Pajegos); National Riflemen's Union (paramilitary force that acts as an additional reserve force) (2020) |
| **Luxembourg** | Luxembourg Army (l'ArmÃ©e Luxembourgeoise) (2019) |
| **Macau** | no regular indigenous military forces |
| **Madagascar** | *People's Armed Forces:* Army, Navy, Air Force; National Gendarmerie (operates under the Ministry of Defense) (2019) |
