CIA - The World Factbook --  Total fertility rate   

This entry gives a figure for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. The total fertility rate (TFR) is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman. This indicator shows the potential for population change in the country. A rate of two children per woman is considered the replacement rate for a population, resulting in relative stability in terms of total numbers. Rates above two children indicate populations growing in size and whose median age is declining. Higher rates may also indicate difficulties for families, in some situations, to feed and educate their children and for women to enter the labor force. Rates below two children indicate populations decreasing in size and growing older. Global fertility rates are in general decline and this trend is most pronounced in industrialized countries, especially Western Europe, where populations are projected to decline dramatically over the next 50 years.

| Rank | country | (children born/woman) | Date of Information |
| 85 | Botswana | 2.54 | 2010 est. |
| 86 | Cape Verde | 2.54 | 2010 est. |
| 87 | Nepal | 2.53 | 2010 est. |
| 88 | Nicaragua | 2.51 | 2010 est. |
| 89 | Panama | 2.48 | 2010 est. |
| 90 | Bahrain | 2.47 | 2010 est. |
| 91 | Dominican Republic | 2.47 | 2010 est. |
| 92 | Ecuador | 2.46 | 2010 est. |
| 93 | Venezuela | 2.45 | 2010 est. |
| 94 | Qatar | 2.44 | 2010 est. |
| 95 | Cook Islands | 2.43 | 2010 est. |
| 96 | Vanuatu | 2.43 | 2010 est. |
| 97 | Faroe Islands | 2.43 | 2010 est. |
| 98 | United Arab Emirates | 2.41 | 2010 est. |
| 99 | Guyana | 2.40 | 2010 est. |
| 100 | Saudi Arabia | 2.35 | 2010 est. |
| 101 | Argentina | 2.33 | 2010 est. |
| 102 | South Africa | 2.33 | 2010 est. |
| 103 | Peru | 2.32 | 2010 est. |
| 104 | Mexico | 2.31 | 2010 est. |
| 105 | Bhutan | 2.29 | 2010 est. |
| 106 | Burma | 2.28 | 2010 est. |
| 107 | Indonesia | 2.28 | 2010 est. |
| 108 | Morocco | 2.23 | 2010 est. |
| 109 | Mongolia | 2.22 | 2010 est. |
| 110 | Grenada | 2.21 | 2010 est. |
| 111 | Jamaica | 2.21 | 2010 est. |
| 112 | Brazil | 2.19 | 2010 est. |
| 113 | Turkmenistan | 2.19 | 2010 est. |
| 114 | Colombia | 2.18 | 2010 est. |
| 115 | Turkey | 2.18 | 2010 est. |
| 116 | Northern Mariana Islands | 2.18 | 2010 est. |
| 117 | Greenland | 2.16 | 2010 est. |
| 118 | Paraguay | 2.16 | 2010 est. |
| 119 | El Salvador | 2.12 | 2010 est. |
| 120 | Curacao | 2.10 | 2009 |
| 121 | New Caledonia | 2.09 | 2010 est. |
| 122 | New Zealand | 2.09 | 2010 est. |
| 123 | Dominica | 2.08 | 2010 est. |
| 124 | Antigua and Barbuda | 2.06 | 2010 est. |
| 125 | United States | 2.06 | 2010 est. |
| 126 | Azerbaijan | 2.03 | 2010 est. |
| 127 | Ireland | 2.03 | 2010 est. |
| 128 | Bahamas, The | 2.00 | 2010 est. |
| 129 | Tonga | 2.00 | 2010 est. |
| 130 | Bermuda | 1.98 | 2010 est. |
| 131 | France | 1.97 | 2010 est. |
| 132 | Isle of Man | 1.97 | 2010 est. |
| 133 | Suriname | 1.97 | 2010 est. |
| 134 | Gibraltar | 1.96 | 2010 est. |
| 135 | Sri Lanka | 1.96 | 2010 est. |
| 136 | Korea, North | 1.94 | 2010 est. |
| 137 | Saint Vincent and the Grenadines | 1.94 | 2010 est. |
| 138 | Costa Rica | 1.93 | 2010 est. |
| 139 | Vietnam | 1.93 | 2010 est. |
| 140 | Seychelles | 1.92 | 2010 est. |
| 141 | Uzbekistan | 1.92 | 2010 est. |
| 142 | United Kingdom | 1.92 | 2010 est. |
| 143 | Chile | 1.90 | 2010 est. |
| 144 | Iceland | 1.90 | 2010 est. |
| 145 | French Polynesia | 1.89 | 2010 est. |
| 146 | Uruguay | 1.89 | 2010 est. |
| 147 | Iran | 1.89 | 2010 est. |
| 148 | Brunei | 1.88 | 2010 est. |
| 149 | Cayman Islands | 1.88 | 2010 est. |
| 150 | Kazakhstan | 1.87 | 2010 est. |
| 151 | Aruba | 1.85 | 2010 est. |
| 152 | Wallis and Futuna | 1.84 | 2010 est. |
| 153 | Maldives | 1.83 | 2010 est. |
| 154 | Saint Lucia | 1.82 | 2010 est. |
| 155 | Virgin Islands | 1.81 | 2010 est. |
| 156 | Mauritius | 1.80 | 2010 est. |
| 157 | Saint Kitts and Nevis | 1.79 | 2010 est. |
| 158 | Australia | 1.78 | 2010 est. |
| 159 | Luxembourg | 1.78 | 2010 est. |
| 160 | Lebanon | 1.78 | 2010 est. |
| 161 | Norway | 1.77 | 2010 est. |
| 162 | Algeria | 1.76 | 2010 est. |
| 163 | Anguilla | 1.75 | 2010 est. |
| 164 | Denmark | 1.74 | 2010 est. |
| 165 | Finland | 1.73 | 2010 est. |
| 166 | Palau | 1.73 | 2010 est. |
| 167 | Trinidad and Tobago | 1.72 | 2010 est. |
| 168 | British Virgin Islands | 1.71 | 2010 est. |
| 169 | Tunisia | 1.71 | 2010 est. |
| 170 | Sint Maarten | 1.70 | 2009 |
| 171 | Barbados | 1.68 | 2010 est. |
| 172 | Sweden | 1.67 | 2010 est. |
| 173 | Jersey | 1.66 | 2010 est. |
| 174 | Netherlands | 1.66 | 2010 est. |
| 175 | Belgium | 1.65 | 2010 est. |
| 176 | Thailand | 1.65 | 2010 est. |
| 177 | Puerto Rico | 1.62 | 2010 est. |
| 178 | Cuba | 1.61 | 2010 est. |
| 179 | Canada | 1.58 | 2010 est. |
| 180 | Macedonia | 1.58 | 2010 est. |
| 181 | Saint Helena, Ascension, and Tristan da Cunha | 1.56 | 2010 est. |
| 182 | China | 1.54 | 2010 est. |
| 183 | Saint Pierre and Miquelon | 1.54 | 2010 est. |
| 184 | Guernsey | 1.53 | 2010 est. |
| 185 | Liechtenstein | 1.53 | 2010 est. |
| 186 | Malta | 1.52 | 2010 est. |
| 187 | Monaco | 1.50 | 2010 est. |
| 188 | Portugal | 1.50 | 2010 est. |
| 189 | Albania | 1.47 | 2010 est. |
| 190 | Spain | 1.47 | 2010 est. |
| 191 | San Marino | 1.46 | 2010 est. |
| 192 | Switzerland | 1.46 | 2010 est. |
| 193 | Cyprus | 1.45 | 2010 est. |
| 194 | Georgia | 1.44 | 2010 est. |
| 195 | Croatia | 1.43 | 2010 est. |
| 196 | Estonia | 1.43 | 2010 est. |
| 197 | Germany | 1.42 | 2010 est. |
| 198 | Bulgaria | 1.41 | 2010 est. |
| 199 | Russia | 1.41 | 2010 est. |
| 200 | Austria | 1.39 | 2010 est. |
| 201 | Serbia | 1.39 | 2010 est. |
| 202 | Hungary | 1.39 | 2010 est. |
| 203 | Greece | 1.37 | 2010 est. |
| 204 | Armenia | 1.36 | 2010 est. |
| 205 | Slovakia | 1.36 | 2010 est. |
| 206 | Andorra | 1.34 | 2010 est. |
| 207 | Italy | 1.32 | 2010 est. |
| 208 | Latvia | 1.31 | 2010 est. |
| 209 | Poland | 1.29 | 2010 est. |
| 210 | Slovenia | 1.29 | 2010 est. |
| 211 | Moldova | 1.28 | 2010 est. |
| 212 | Romania | 1.27 | 2010 est. |
| 213 | Ukraine | 1.27 | 2010 est. |
| 214 | Bosnia and Herzegovina | 1.26 | 2010 est. |
| 215 | Belarus | 1.25 | 2010 est. |
| 216 | Czech Republic | 1.25 | 2010 est. |
| 217 | Montserrat | 1.25 | 2010 est. |
| 218 | Lithuania | 1.24 | 2010 est. |
| 219 | Korea, South | 1.22 | 2010 est. |
| 220 | Japan | 1.20 | 2010 est. |
| 221 | Taiwan | 1.15 | 2010 est. |
| 222 | Singapore | 1.10 | 2010 est. |
| 223 | Hong Kong | 1.04 | 2010 est. |
| 224 | Macau | 0.91 | 2010 est. |
