CIA - The World Factbook --  Stock of domestic credit   

Stock of domestic credit compares the total quantity of credit, denominated in the domestic currency, provided by banks to nonbanking institutions. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of domestic credit | Date of Information |
| 147 | West Bank | $ 1,248,000,000 | 31 December 2013 est. |
| 148 | Gaza Strip | $ 1,248,000,000 | 31 December 2013 est. |
| 149 | Malawi | $ 1,243,000,000 | 31 December 2013 est. |
| 150 | Antigua and Barbuda | $ 1,111,000,000 | 31 December 2013 est. |
| 151 | Belize | $ 1,050,000,000 | 31 December 2013 est. |
| 152 | Kyrgyzstan | $ 1,011,000,000 | 31 December 2013 est. |
| 153 | Niger | $ 992,700,000 | 31 December 2013 est. |
| 154 | Suriname | $ 939,400,000 | 31 December 2013 est. |
| 155 | Bhutan | $ 915,000,000 | 31 December 2013 est. |
| 156 | Chad | $ 832,400,000 | 31 December 2013 est. |
| 157 | Saint Kitts and Nevis | $ 814,800,000 | 31 December 2013 est. |
| 158 | Swaziland | $ 763,300,000 | 31 December 2013 est. |
| 159 | Grenada | $ 744,900,000 | 31 December 2013 est. |
| 160 | Rwanda | $ 717,300,000 | 31 December 2013 est. |
| 161 | Liberia | $ 705,400,000 | 31 December 2013 est. |
| 162 | Seychelles | $ 617,600,000 | 31 December 2013 est. |
| 163 | Burundi | $ 597,200,000 | 31 December 2013 est. |
| 164 | Sierra Leone | $ 567,700,000 | 31 December 2013 est. |
| 165 | Vanuatu | $ 560,800,000 | 31 December 2013 est. |
| 166 | Djibouti | $ 523,400,000 | 31 December 2013 est. |
| 167 | Anguilla | $ 498,100,000 | 31 December 2013 est. |
| 168 | Central African Republic | $ 478,700,000 | 31 December 2013 est. |
| 169 | Saint Vincent and the Grenadines | $ 423,200,000 | 31 December 2013 est. |
| 170 | Gambia, The | $ 375,000,000 | 31 December 2013 est. |
| 171 | Dominica | $ 333,300,000 | 31 December 2013 est. |
| 172 | Samoa | $ 301,900,000 | 31 December 2013 est. |
| 173 | Guinea-Bissau | $ 173,300,000 | 31 December 2013 est. |
| 174 | Comoros | $ 156,800,000 | 31 December 2013 est. |
| 175 | Tonga | $ 110,000,000 | 31 December 2013 est. |
| 176 | Sao Tome and Principe | $ 97,370,000 | 31 December 2013 est. |
| 177 | Solomon Islands | $ 41,380,000 | 31 December 2013 est. |
| 178 | Montserrat | $ 4,074,000 | 31 December 2012 est. |
| 179 | Lesotho | $ 85,420 | 31 December 2013 est. |
| 180 | Iraq | $ -3,902,000 | 31 December 2013 est. |
| 181 | Micronesia, Federated States of | $ -56,770,000 | 31 December 2011 est. |
| 182 | Timor-Leste | $ -300,000,000 | 31 December 2013 est. |
| 183 | Equatorial Guinea | $ -424,600,000 | 31 December 2013 est. |
| 184 | Afghanistan | $ -819,600,000 | 31 December 2012 est. |
| 185 | Congo, Republic of the | $ -1,053,000,000 | 31 December 2013 est. |
| 186 | Algeria | $ -4,337,000,000 | 31 December 2013 est. |
| 187 | Macau | $ -5,504,000,000 | 31 December 2013 est. |
| 188 | Saudi Arabia | $ -52,290,000,000 | 31 December 2013 est. |
| 189 | Libya | $ -54,040,000,000 | 31 December 2013 est. |


