CIA - The World Factbook --  STOCK OF DOMESTIC CREDIT

Stock of domestic credit compares the total quantity of credit, denominated in the domestic currency, provided by banks to nonbanking institutions. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | Country | STOCK OF DOMESTIC CREDIT | Date of Information |
| 155 | Saint Lucia | $1,399,000,000 | 31 December 2015 est. |
| 156 | Rwanda | $1,337,000,000 | 31 December 2015 est. |
| 157 | Cabo Verde | $1,324,000,000 | 31 December 2015 est. |
| 158 | Belize | $1,174,000,000 | 31 December 2015 est. |
| 159 | Niger | $1,145,000,000 | 31 December 2015 est. |
| 160 | Chad | $1,034,000,000 | 31 December 2015 est. |
| 161 | Bhutan | $1,031,000,000 | 31 December 2015 est. |
| 162 | Antigua and Barbuda | $888,900,000 | 31 December 2015 est. |
| 163 | Burundi | $851,300,000 | 31 December 2015 est. |
| 164 | Kyrgyzstan | $831,400,000 | 31 December 2015 est. |
| 165 | Liberia | $824,100,000 | 31 December 2015 est. |
| 166 | Libya | $767,300,000 | 31 December 2015 est. |
| 167 | Saint Kitts and Nevis | $740,700,000 | 31 December 2015 est. |
| 168 | Malawi | $724,500,000 | 31 December 2015 est. |
| 169 | Djibouti | $597,600,000 | 31 December 2015 est. |
| 170 | Grenada | $567,500,000 | 31 December 2015 est. |
| 171 | Swaziland | $557,800,000 | 31 December 2015 est. |
| 172 | Sierra Leone | $501,700,000 | 31 December 2015 est. |
| 173 | Seychelles | $491,600,000 | 31 December 2015 est. |
| 174 | Vanuatu | $477,000,000 | 31 December 2015 est. |
| 175 | Gambia, The | $466,700,000 | 31 December 2015 est. |
| 176 | Central African Republic | $444,400,000 | 31 December 2015 est. |
| 177 | Saint Vincent and the Grenadines | $439,000,000 | 31 December 2015 est. |
| 178 | Anguilla | $422,500,000 | 31 December 2015 est. |
| 179 | Samoa | $360,800,000 | 31 December 2015 est. |
| 180 | Dominica | $259,300,000 | 31 December 2015 est. |
| 181 | Guinea-Bissau | $206,500,000 | 31 December 2015 est. |
| 182 | Comoros | $142,400,000 | 31 December 2015 est. |
| 183 | Tonga | $128,400,000 | 31 December 2015 est. |
| 184 | Solomon Islands | $84,690,000 | 31 December 2015 est. |
| 185 | Sao Tome and Principe | $72,700,000 | 31 December 2015 est. |
| 186 | Micronesia, Federated States of | $56,980,000 | 2013 est. |
| 187 | Lesotho | $47,800,000 | 31 December 2015 est. |
| 188 | Montserrat | $5,185,000 | 31 December 2014 est. |
| 189 | Iraq | $1,773,000 | 31 December 2015 est. |
| 190 | Timor-Leste | -$127,000,000 | 31 December 2015 est. |
| 191 | Afghanistan | -$454,000,000 | 31 December 2014 est. |


