CIA - The World Factbook --  STOCK OF DOMESTIC CREDIT

Stock of domestic credit compares the total quantity of credit, denominated in the domestic currency, provided by banks to nonbanking institutions. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | Country | STOCK OF DOMESTIC CREDIT | Date of Information |
| 155 | Rwanda | $1,141,000,000 | 31 December 2014 est. |
| 156 | Antigua and Barbuda | $1,111,000,000 | 31 December 2014 est. |
| 157 | Belize | $1,050,000,000 | 31 December 2014 est. |
| 158 | Niger | $945,500,000 | 31 December 2014 est. |
| 159 | Chad | $895,300,000 | 31 December 2014 est. |
| 160 | Bhutan | $796,100,000 | 31 December 2014 est. |
| 161 | Burundi | $691,200,000 | 31 December 2014 est. |
| 162 | Grenada | $686,100,000 | 31 December 2014 est. |
| 163 | Swaziland | $657,000,000 | 31 December 2014 est. |
| 164 | Sierra Leone | $652,700,000 | 31 December 2014 est. |
| 165 | Liberia | $605,000,000 | 31 December 2014 est. |
| 166 | Djibouti | $569,600,000 | 31 December 2014 est. |
| 167 | Vanuatu | $537,700,000 | 31 December 2014 est. |
| 168 | Seychelles | $485,100,000 | 31 December 2014 est. |
| 169 | Saint Kitts and Nevis | $481,500,000 | 31 December 2014 est. |
| 170 | Anguilla | $474,600,000 | 31 December 2014 est. |
| 171 | Saint Vincent and the Grenadines | $435,200,000 | 31 December 2014 est. |
| 172 | Gambia, The | $416,300,000 | 31 December 2014 est. |
| 173 | Dominica | $370,400,000 | 31 December 2014 est. |
| 174 | Central African Republic | $349,000,000 | 31 December 2014 est. |
| 175 | Samoa | $332,100,000 | 31 December 2014 est. |
| 176 | Guinea-Bissau | $215,200,000 | 31 December 2014 est. |
| 177 | Comoros | $179,100,000 | 31 December 2014 est. |
| 178 | Tonga | $102,100,000 | 31 December 2014 est. |
| 179 | Sao Tome and Principe | $85,660,000 | 31 December 2014 est. |
| 180 | Lesotho | $38,650,000 | 31 December 2014 est. |
| 181 | Solomon Islands | $27,510,000 | 31 December 2014 est. |
| 182 | Montserrat | $4,074,000 | 31 December 2014 est. |
| 183 | Iraq | -$1,666,000 | 31 December 2014 est. |
| 184 | Equatorial Guinea | -$80,510,000 | 31 December 2014 est. |
| 185 | Timor-Leste | -$500,000,000 | 31 December 2014 est. |
| 186 | Congo, Republic of the | -$724,800,000 | 31 December 2014 est. |
| 187 | Afghanistan | -$819,600,000 | 31 December 2012 est. |
| 188 | Macau | -$4,956,000,000 | 31 December 2014 est. |
| 189 | Libya | -$34,710,000,000 | 31 December 2014 est. |
| 190 | Saudi Arabia | -$38,160,000,000 | 31 December 2014 est. |


