CIA - The World Factbook --  STOCK OF DOMESTIC CREDIT

Stock of domestic credit compares the total quantity of credit, denominated in the domestic currency, provided by banks to nonbanking institutions. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | Country | STOCK OF DOMESTIC CREDIT | Date of Information |
| 162 | Cabo Verde | $1,327,000,000 | 31 December 2016 est. |
| 163 | Belize | $1,278,000,000 | 31 December 2016 est. |
| 164 | Niger | $1,267,000,000 | 31 December 2016 est. |
| 165 | Bhutan | $1,170,000,000 | 31 December 2016 est. |
| 166 | Malawi | $1,054,000,000 | 31 December 2016 est. |
| 167 | Burundi | $955,100,000 | 31 December 2016 est. |
| 168 | Antigua and Barbuda | $913,000,000 | 31 December 2016 est. |
| 169 | Swaziland | $890,500,000 | 31 December 2016 est. |
| 170 | Liberia | $789,400,000 | 31 December 2016 est. |
| 171 | Saint Kitts and Nevis | $704,800,000 | 31 December 2016 est. |
| 172 | Djibouti | $639,900,000 | 31 December 2016 est. |
| 173 | Grenada | $566,300,000 | 31 December 2016 est. |
| 174 | Seychelles | $565,900,000 | 31 December 2016 est. |
| 175 | Sierra Leone | $527,600,000 | 31 December 2016 est. |
| 176 | Gambia, The | $496,700,000 | 31 December 2016 est. |
| 177 | Vanuatu | $463,400,000 | 31 December 2016 est. |
| 178 | Central African Republic | $458,500,000 | 31 December 2016 est. |
| 179 | Saint Vincent and the Grenadines | $424,600,000 | 31 December 2016 est. |
| 180 | Samoa | $380,200,000 | 31 December 2016 est. |
| 181 | Guinea-Bissau | $241,000,000 | 31 December 2016 est. |
| 182 | Lesotho | $230,900,000 | 31 December 2016 est. |
| 183 | Anguilla | $209,100,000 | 31 December 2016 est. |
| 184 | Dominica | $195,900,000 | 31 December 2016 est. |
| 185 | Comoros | $183,900,000 | 31 December 2016 est. |
| 186 | Solomon Islands | $150,700,000 | 31 December 2016 est. |
| 187 | Tonga | $135,200,000 | 31 December 2016 est. |
| 188 | Sao Tome and Principe | $72,190,000 | 31 December 2016 est. |
| 189 | Micronesia, Federated States of | $56,980,000 | 2013 est. |
| 190 | Montserrat | $1,481,000 | 31 December 2016 est. |
| 191 | Timor-Leste | -$200,000,000 | 31 December 2016 est. |
| 192 | Afghanistan | -$240,600,000 | 31 December 2016 est. |


