CIA - The World Factbook --  STOCK OF BROAD MONEY

"Stock of quasi money compares the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with ""M1"" the total money supply is known as ""M2."" The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF BROAD MONEY | Date of Information |
| 119 | Cameroon | $6,330,000,000 | 31 December 2016 est. |
| 120 | Namibia | $6,281,000,000 | 31 December 2016 est. |
| 121 | Eritrea | $5,993,000,000 | 31 December 2016 est. |
| 122 | Albania | $5,750,000,000 | 31 December 2016 est. |
| 123 | Cayman Islands | $5,564,000,000 | 31 December 2008 est. |
| 124 | Syria | $5,522,000,000 | 31 December 2016 est. |
| 125 | Belarus | $5,431,000,000 | 31 December 2016 est. |
| 126 | Mozambique | $5,142,000,000 | 31 December 2016 est. |
| 127 | Mongolia | $4,851,000,000 | 31 December 2016 est. |
| 128 | San Marino | $4,584,000,000 | 31 December 2007 |
| 129 | Macedonia | $4,574,000,000 | 31 December 2016 est. |
| 130 | Barbados | $4,550,000,000 | 31 December 2016 est. |
| 131 | Congo, Democratic Republic of the | $4,272,000,000 | 31 December 2016 est. |
| 132 | Burkina Faso | $4,228,000,000 | 31 December 2016 est. |
| 133 | Zambia | $4,145,000,000 | 31 December 2016 est. |
| 134 | Mali | $3,858,000,000 | 31 December 2016 est. |
| 135 | French Polynesia | $3,810,000,000 | 2015 est. |
| 136 | Uganda | $3,674,000,000 | 31 December 2016 est. |
| 137 | Zimbabwe | $3,617,000,000 | 31 December 2015 est. |
| 138 | Benin | $3,609,000,000 | 31 December 2016 est. |
| 139 | Moldova | $3,529,000,000 | 31 December 2016 est. |
| 140 | Fiji | $3,486,000,000 | 31 December 2016 est. |
| 141 | Gabon | $3,207,000,000 | 31 December 2016 est. |
| 142 | Congo, Republic of the | $3,037,000,000 | 31 December 2016 est. |
| 143 | Gaza Strip | $2,538,000,000 | 31 December 2016 est. |
| 144 | West Bank | $2,538,000,000 | 31 December 2016 est. |
| 145 | Kosovo | $2,511,000,000 | 2014 est. |
| 146 | Georgia | $2,454,000,000 | 31 December 2016 est. |
| 147 | Aruba | $2,328,000,000 | 31 December 2016 est. |
| 148 | Togo | $2,239,000,000 | 31 December 2016 est. |
| 149 | Armenia | $2,219,000,000 | 31 December 2016 est. |
| 150 | South Sudan | $2,194,000,000 | 31 December 2013 est. |
| 151 | Suriname | $2,182,000,000 | 31 December 2016 est. |
| 152 | Guinea | $2,120,000,000 | 31 December 2016 est. |
| 153 | Niger | $2,018,000,000 | 31 December 2016 est. |
| 154 | Montenegro | $1,982,000,000 | 31 December 2011 est. |
| 155 | Rwanda | $1,903,000,000 | 31 December 2016 est. |
| 156 | Equatorial Guinea | $1,864,000,000 | 31 December 2016 est. |
| 157 | Madagascar | $1,793,000,000 | 31 December 2016 est. |
| 158 | Haiti | $1,742,000,000 | 31 December 2016 est. |
| 159 | Guyana | $1,700,000,000 | 31 December 2016 est. |
| 160 | Kyrgyzstan | $1,667,000,000 | 31 December 2016 est. |
| 161 | Djibouti | $1,652,000,000 | 31 December 2016 est. |
| 162 | Cabo Verde | $1,601,000,000 | 31 December 2016 est. |
| 163 | Belize | $1,475,000,000 | 31 December 2016 est. |
| 164 | Nicaragua | $1,445,000,000 | 31 December 2016 est. |
| 165 | Chad | $1,418,000,000 | 31 December 2016 est. |
| 166 | Bhutan | $1,379,000,000 | 31 December 2016 est. |
| 167 | Maldives | $1,337,000,000 | 31 December 2015 |
| 168 | Tajikistan | $1,300,000,000 | 31 December 2016 est. |
| 169 | Malawi | $1,238,000,000 | 31 December 2016 est. |
| 170 | Antigua and Barbuda | $1,194,000,000 | 31 December 2016 est. |
| 171 | Saint Lucia | $1,157,000,000 | 31 December 2016 est. |
| 172 | Saint Kitts and Nevis | $1,077,000,000 | 31 December 2016 est. |
| 173 | Swaziland | $1,015,000,000 | 31 December 2016 est. |
| 174 | Sierra Leone | $847,200,000 | 31 December 2016 est. |
| 175 | Grenada | $796,700,000 | 31 December 2016 est. |
| 176 | Timor-Leste | $733,900,000 | 31 December 2016 est. |
| 177 | Lesotho | $725,200,000 | 31 December 2016 est. |
| 178 | Vanuatu | $641,000,000 | 31 December 2016 est. |
| 179 | Liberia | $639,000,000 | 31 December 2016 est. |
| 180 | Seychelles | $638,200,000 | 31 December 2016 est. |
| 181 | Burundi | $612,800,000 | 31 December 2016 est. |
| 182 | Saint Vincent and the Grenadines | $563,200,000 | 31 December 2016 est. |
| 183 | Guinea-Bissau | $560,000,000 | 31 December 2016 est. |
| 184 | Gambia, The | $529,900,000 | 31 December 2016 est. |
| 185 | Dominica | $509,700,000 | 31 December 2016 est. |
| 186 | Solomon Islands | $476,300,000 | 31 December 2016 est. |
| 187 | Central African Republic | $432,400,000 | 31 December 2016 est. |
| 188 | Anguilla | $374,400,000 | 31 December 2016 est. |
| 189 | Samoa | $367,000,000 | 31 December 2016 est. |
| 190 | Comoros | $268,800,000 | 31 December 2016 est. |
| 191 | Tonga | $227,700,000 | 31 December 2016 est. |
| 192 | Micronesia, Federated States of | $178,300,000 | 31 December 2015 est. |
| 193 | Cook Islands | $148,200,000 | 31 December 2011 est. |
| 194 | Sao Tome and Principe | $116,300,000 | 31 December 2016 est. |
| 195 | Montserrat | $91,600,000 | 31 December 2016 est. |


