CIA - The World Factbook --  Stock of broad money   

This entry covers all of "Narrow money," plus the total quantity of time and savings deposits, credit union deposits, institutional money market funds, short-term repurchase agreements between the central bank and commercial deposit banks, and other large liquid assets held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. In addition to serving as a medium of exchange, broad money includes assets that are slightly less liquid than narrow money and the assets tend to function as a "store of value" - a means of holding wealth.

| Rank | country | Stock of broad money | Date of Information |
| 47 | Czech Republic | $ 151,700,000,000 | 31 December 2012 est. |
| 48 | Colombia | $ 151,200,000,000 | 31 December 2012 est. |
| 49 | Algeria | $ 150,000,000,000 | 31 December 2012 est. |
| 50 | Argentina | $ 148,600,000,000 | 31 December 2012 est. |
| 51 | Philippines | $ 132,500,000,000 | 31 December 2011 est. |
| 52 | Kuwait | $ 109,400,000,000 | 31 December 2012 est. |
| 53 | Morocco | $ 107,200,000,000 | 31 December 2011 est. |
| 54 | Qatar | $ 97,970,000,000 | 31 December 2012 est. |
| 55 | Ukraine | $ 97,400,000,000 | 31 December 2012 est. |
| 56 | Lebanon | $ 97,040,000,000 | 31 December 2011 est. |
| 57 | Nigeria | $ 80,100,000,000 | 31 December 2011 est. |
| 58 | Pakistan | $ 76,160,000,000 | 31 December 2011 est. |
| 59 | Hungary | $ 74,500,000,000 | 31 December 2011 est. |
| 60 | Peru | $ 73,970,000,000 | 31 December 2012 est. |
| 61 | Iraq | $ 71,480,000,000 | 31 December 2012 est. |
| 62 | Oman | $ 71,420,000,000 | 31 December 2010 est. |
| 63 | Kazakhstan | $ 70,360,000,000 | 31 December 2012 est. |
| 64 | Bangladesh | $ 66,840,000,000 | 31 December 2011 est. |
| 65 | Romania | $ 63,440,000,000 | 31 December 2012 est. |
| 66 | Cyprus | $ 56,250,000,000 | 31 December 2011 est. |
| 67 | Slovakia | $ 52,730,000,000 | 31 December 2012 est. |
| 68 | Macau | $ 46,800,000,000 | 31 December 2012 est. |
| 69 | Angola | $ 44,650,000,000 | 31 December 2012 est. |
| 70 | Croatia | $ 43,470,000,000 | 31 December 2012 est. |
| 71 | Libya | $ 42,390,000,000 | 31 December 2012 est. |
| 72 | Jordan | $ 38,610,000,000 | 31 December 2012 est. |
| 73 | Bulgaria | $ 37,680,000,000 | 31 December 2011 est. |
| 74 | Cuba | $ 36,290,000,000 | 31 December 2012 est. |
| 75 | Tunisia | $ 31,060,000,000 | 31 December 2012 est. |
| 76 | Syria | $ 30,170,000,000 | 31 December 2012 est. |
| 77 | Panama | $ 29,720,000,000 | 31 December 2012 est. |
| 78 | Ecuador | $ 26,550,000,000 | 31 December 2011 est. |
| 79 | Slovenia | $ 26,520,000,000 | 31 December 2012 est. |
| 80 | Mauritius | $ 26,170,000,000 | 31 December 2012 est. |
| 81 | Bahrain | $ 24,380,000,000 | 31 December 2012 est. |
| 82 | Sri Lanka | $ 21,890,000,000 | 31 December 2011 est. |
| 83 | Guatemala | $ 21,760,000,000 | 31 December 2012 est. |
| 84 | Kenya | $ 21,230,000,000 | 31 December 2012 est. |
| 85 | Costa Rica | $ 20,090,000,000 | 31 December 2011 est. |
| 86 | Serbia | $ 19,780,000,000 | 31 December 2012 est. |
| 87 | Lithuania | $ 19,320,000,000 | 31 December 2012 est. |
| 88 | Dominican Republic | $ 17,850,000,000 | 31 December 2012 est. |
| 89 | Azerbaijan | $ 17,680,000,000 | 31 December 2011 est. |
| 90 | Trinidad and Tobago | $ 17,280,000,000 | 31 December 2012 est. |
| 91 | Bolivia | $ 17,130,000,000 | 31 December 2011 est. |
| 92 | Uruguay | $ 16,970,000,000 | 31 December 2010 est. |
| 93 | Ethiopia | $ 13,350,000,000 | 31 December 2012 est. |
| 94 | Belarus | $ 13,320,000,000 | 31 December 2011 est. |
| 95 | Sudan | $ 12,830,000,000 | 31 December 2012 est. |
| 96 | Malta | $ 12,660,000,000 | 31 December 2012 est. |
| 97 | Iceland | $ 12,570,000,000 | 31 December 2010 est. |
| 98 | Nepal | $ 12,120,000,000 | 31 December 2011 est. |
| 99 | Estonia | $ 12,110,000,000 | 31 December 2012 est. |
| 100 | Latvia | $ 12,090,000,000 | 31 December 2012 est. |
| 101 | Brunei | $ 11,620,000,000 | 31 December 2012 est. |
| 102 | Ghana | $ 11,560,000,000 | 31 December 2012 est. |
| 103 | Cote d'Ivoire | $ 11,010,000,000 | 31 December 2012 est. |
| 104 | Zimbabwe | $ 11,000,000,000 | 31 December 2011 est. |
| 105 | Yemen | $ 10,590,000,000 | 31 December 2012 est. |
| 106 | Paraguay | $ 10,110,000,000 | 31 December 2011 est. |
| 107 | Albania | $ 9,951,000,000 | 31 December 2011 est. |
| 108 | Bosnia and Herzegovina | $ 9,577,000,000 | 31 December 2012 est. |
| 109 | El Salvador | $ 9,527,000,000 | 31 December 2012 est. |
| 110 | Honduras | $ 9,112,000,000 | 31 December 2011 est. |
| 111 | Papua New Guinea | $ 8,624,000,000 | 31 December 2012 est. |
| 112 | Uzbekistan | $ 8,310,000,000 | 31 December 2011 est. |
| 113 | Tanzania | $ 8,285,000,000 | 31 December 2011 est. |
| 114 | Botswana | $ 7,600,000,000 | 31 December 2012 est. |
| 115 | Namibia | $ 7,433,000,000 | 31 December 2011 est. |
| 116 | Jamaica | $ 7,309,000,000 | 31 December 2011 est. |
| 117 | Gaza Strip | $ 6,674,000,000 | 31 December 2011 est. |
| 118 | West Bank | $ 6,674,000,000 | 31 December 2011 est. |
| 119 | Afghanistan | $ 6,499,000,000 | 31 December 2012 est. |
| 120 | Bahamas, The | $ 6,482,000,000 | 31 December 2012 est. |
| 121 | Cameroon | $ 6,279,000,000 | 31 December 2012 est. |
| 122 | Senegal | $ 5,818,000,000 | 31 December 2012 est. |
| 123 | Barbados | $ 5,711,000,000 | 31 December 2011 est. |
| 124 | Macedonia | $ 5,709,000,000 | 31 December 2012 est. |
| 125 | Cambodia | $ 5,695,000,000 | 31 December 2012 est. |
| 126 | Cayman Islands | $ 5,564,000,000 | 31 December 2008 est. |
| 127 | Mongolia | $ 5,456,000,000 | 31 December 2012 est. |
| 128 | Mozambique | $ 5,268,000,000 | 31 December 2011 est. |
| 129 | Zambia | $ 4,906,000,000 | 31 December 2012 est. |
| 130 | Georgia | $ 4,720,000,000 | 31 September 2012 est. |
| 131 | San Marino | $ 4,584,000,000 | 31 December 2007 |
| 132 | Uganda | $ 4,162,000,000 | 31 December 2011 est. |
| 133 | Gabon | $ 3,918,000,000 | 31 December 2012 est. |
| 134 | Burkina Faso | $ 3,910,000,000 | 31 December 2012 est. |
| 135 | Eritrea | $ 3,889,000,000 | 31 December 2012 est. |
| 136 | Congo, Republic of the | $ 3,753,000,000 | 31 December 2011 est. |
| 137 | Laos | $ 3,556,000,000 | 31 December 2012 est. |
| 138 | Armenia | $ 3,555,000,000 | 31 December 2012 est. |
| 139 | Haiti | $ 3,509,000,000 | 31 October 2012 est. |
| 140 | Moldova | $ 3,498,000,000 | 31 December 2011 est. |
| 141 | Mali | $ 3,401,000,000 | 31 December 2012 est. |
| 142 | Nicaragua | $ 3,136,000,000 | 31 December 2011 est. |
| 143 | Equatorial Guinea | $ 3,115,000,000 | 31 December 2012 est. |
| 144 | Congo, Democratic Republic of the | $ 3,087,000,000 | 31 December 2012 est. |
| 145 | Benin | $ 2,950,000,000 | 31 December 2012 est. |
| 146 | Madagascar | $ 2,926,000,000 | 31 December 2012 est. |
| 147 | Fiji | $ 2,495,000,000 | 31 December 2011 est. |
| 148 | Suriname | $ 2,300,000,000 | 31 December 2012 est. |
| 149 | Tajikistan | $ 2,000,000,000 | 31 December 2012 est. |
| 150 | Montenegro | $ 1,982,000,000 | 31 December 2011 est. |
| 151 | Kyrgyzstan | $ 1,952,000,000 | 31 December 2012 est. |
| 152 | Guinea | $ 1,915,000,000 | 31 December 2012 est. |
| 153 | Aruba | $ 1,765,000,000 | 31 December 2011 est. |
| 154 | Guyana | $ 1,696,000,000 | 31 December 2011 est. |
| 155 | Turkmenistan | $ 1,652,000,000 | 31 December 2012 est. |
| 156 | Chad | $ 1,642,000,000 | 31 December 2012 est. |
| 157 | Rwanda | $ 1,536,000,000 | 31 December 2012 est. |
| 158 | Togo | $ 1,534,000,000 | 31 December 2012 est. |
| 159 | Malawi | $ 1,382,000,000 | 31 December 2012 est. |
| 160 | Cabo Verde | $ 1,362,000,000 | 31 December 2012 est. |
| 161 | Maldives | $ 1,298,000,000 | 31 December 2012 est. |
| 162 | Belize | $ 1,263,000,000 | 31 December 2012 est. |
| 163 | Niger | $ 1,201,000,000 | 31 December 2011 est. |
| 164 | Djibouti | $ 1,158,000,000 | 31 December 2012 est. |
| 165 | Sierra Leone | $ 1,152,000,000 | 31 December 2012 est. |
| 166 | Saint Lucia | $ 1,149,000,000 | 31 December 2011 est. |
| 167 | Antigua and Barbuda | $ 1,131,000,000 | 31 December 2012 est. |
| 168 | Swaziland | $ 1,106,000,000 | 31 December 2012 est. |
| 169 | Bhutan | $ 1,018,000,000 | 31 December 2011 est. |
| 170 | Saint Kitts and Nevis | $ 964,100,000 | 31 December 2011 est. |
| 171 | Lesotho | $ 897,000,000 | 31 December 2012 est. |
| 172 | Grenada | $ 715,600,000 | 31 December 2012 est. |
| 173 | Liberia | $ 664,100,000 | 31 December 2012 est. |
| 174 | Vanuatu | $ 610,800,000 | 31 December 2012 est. |
| 175 | Seychelles | $ 553,400,000 | 31 December 2011 est. |
| 176 | Burundi | $ 519,000,000 | 31 December 2012 est. |
| 177 | Gambia, The | $ 512,200,000 | 31 December 2012 est. |
| 178 | Central African Republic | $ 459,700,000 | 31 December 2012 est. |
| 179 | Saint Vincent and the Grenadines | $ 431,900,000 | 31 December 2012 est. |
| 180 | Guinea-Bissau | $ 414,300,000 | 31 December 2012 est. |
| 181 | Dominica | $ 413,700,000 | 31 December 2012 est. |
| 182 | Timor-Leste | $ 386,900,000 | 31 December 2012 est. |
| 183 | Solomon Islands | $ 386,400,000 | 31 December 2012 est. |
| 184 | Anguilla | $ 383,300,000 | 31 December 2012 est. |
| 185 | Samoa | $ 327,900,000 | 31 December 2012 est. |
| 186 | Comoros | $ 212,100,000 | 31 December 2012 est. |
| 187 | Tonga | $ 169,200,000 | 31 December 2012 est. |
| 188 | Cook Islands | $ 148,200,000 | 31 December 2011 est. |
| 189 | Micronesia, Federated States of | $ 118,400,000 | 31 December 2011 est. |
| 190 | Sao Tome and Principe | $ 80,550,000 | 31 December 2012 est. |
| 191 | Montserrat | $ 71,330,000 | 31 December 2011 est. |


