CIA - The World Factbook --  STOCK OF BROAD MONEY

"Stock of quasi money compares the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with ""M1"" the total money supply is known as ""M2."" The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF BROAD MONEY | Date of Information |
| 91 | Trinidad and Tobago | $17,400,000,000 | 31 December 2014 est. |
| 92 | Yemen | $16,020,000,000 | 31 December 2014 est. |
| 93 | Uzbekistan | $15,580,000,000 | 31 December 2014 est. |
| 94 | Malta | $15,440,000,000 | 31 December 2013 est. |
| 95 | Estonia | $14,710,000,000 | 31 December 2014 est. |
| 96 | Nepal | $14,500,000,000 | 31 December 2014 est. |
| 97 | Sudan | $13,700,000,000 | 31 December 2014 est. |
| 98 | Latvia | $12,880,000,000 | 31 December 2014 est. |
| 99 | Mauritius | $12,600,000,000 | 31 December 2014 est. |
| 100 | Cote d'Ivoire | $12,230,000,000 | 31 December 2014 est. |
| 101 | Brunei | $11,920,000,000 | 31 December 2013 est. |
| 102 | El Salvador | $11,450,000,000 | 31 December 2014 est. |
| 103 | Bosnia and Herzegovina | $11,100,000,000 | 31 December 2014 est. |
| 104 | Syria | $11,050,000,000 | 31 December 2014 est. |
| 105 | Ghana | $10,820,000,000 | 31 December 2014 est. |
| 106 | Cambodia | $9,918,000,000 | 31 December 2014 est. |
| 107 | Paraguay | $9,483,000,000 | 31 December 2014 est. |
| 108 | Belarus | $9,073,000,000 | 31 December 2013 est. |
| 109 | Uruguay | $8,568,000,000 | 31 December 2014 est. |
| 110 | Iceland | $8,368,000,000 | 31 December 2013 est. |
| 111 | Botswana | $8,293,000,000 | 31 December 2013 est. |
| 112 | Papua New Guinea | $8,085,000,000 | 31 December 2014 est. |
| 113 | Tanzania | $7,936,000,000 | 31 December 2014 est. |
| 114 | Mozambique | $7,777,000,000 | 31 December 2014 est. |
| 115 | Honduras | $7,623,000,000 | 31 December 2014 est. |
| 116 | Namibia | $7,496,000,000 | 31 December 2014 est. |
| 117 | Jamaica | $6,646,000,000 | 31 December 2014 est. |
| 118 | Afghanistan | $6,499,000,000 | 31 December 2012 est. |
| 119 | Bahamas, The | $6,453,000,000 | 31 December 2014 est. |
| 120 | Senegal | $6,443,000,000 | 31 December 2014 est. |
| 121 | Cameroon | $6,439,000,000 | 31 December 2014 est. |
| 122 | Albania | $6,418,000,000 | 31 December 2014 est. |
| 123 | Macedonia | $6,286,000,000 | 31 December 2013 est. |
| 124 | Mongolia | $6,178,000,000 | 31 December 2014 est. |
| 125 | Zambia | $5,682,000,000 | 31 December 2014 est. |
| 126 | Turkmenistan | $5,670,000,000 | 31 December 2014 est. |
| 127 | Cayman Islands | $5,564,000,000 | 31 December 2008 est. |
| 128 | Laos | $5,411,000,000 | 31 December 2014 est. |
| 129 | Congo, Republic of the | $5,119,000,000 | 31 December 2013 est. |
| 130 | Georgia | $4,720,000,000 | 31 September 2012 est. |
| 131 | Moldova | $4,685,000,000 | 31 December 2014 est. |
| 132 | Gabon | $4,545,000,000 | 31 December 2014 est. |
| 133 | Nicaragua | $4,453,000,000 | 31 December 2013 est. |
| 134 | Barbados | $4,407,000,000 | 31 December 2014 est. |
| 135 | Burkina Faso | $4,211,000,000 | 31 December 2013 est. |
| 136 | Benin | $4,165,000,000 | 31 December 2014 est. |
| 137 | Congo, Democratic Republic of the | $4,142,000,000 | 31 December 2014 est. |
| 138 | Eritrea | $4,077,000,000 | 31 December 2013 est. |
| 139 | Uganda | $4,075,000,000 | 31 December 2014 est. |
| 140 | Mali | $3,984,000,000 | 31 December 2014 est. |
| 141 | Equatorial Guinea | $3,788,000,000 | 31 December 2014 est. |
| 142 | Haiti | $3,509,000,000 | 31 October 2012 est. |
| 143 | Fiji | $3,078,000,000 | 31 December 2014 est. |
| 144 | Madagascar | $2,787,000,000 | 31 December 2014 est. |
| 145 | Kosovo | $2,773,000,000 | 2012 est. |
| 146 | West Bank | $2,399,000,000 | 31 December 2014 est. |
| 147 | Gaza Strip | $2,356,000,000 | 31 December 2014 est. |
| 148 | Guinea | $2,199,000,000 | 31 December 2014 est. |
| 149 | South Sudan | $2,194,000,000 | 31 December 2013 est. |
| 150 | Armenia | $2,098,000,000 | 31 December 2014 est. |
| 151 | Tajikistan | $2,085,000,000 | 31 December 2014 est. |
| 152 | Togo | $2,061,000,000 | 31 December 2014 est. |
| 153 | Kyrgyzstan | $2,020,000,000 | 31 December 2014 est. |
| 154 | Montenegro | $1,982,000,000 | 31 December 2011 est. |
| 155 | Chad | $1,976,000,000 | 31 December 2014 est. |
| 156 | Niger | $1,901,000,000 | 31 December 2014 est. |
| 157 | Aruba | $1,839,000,000 | 31 December 2013 est. |
| 158 | Cabo Verde | $1,606,000,000 | 31 December 2014 est. |
| 159 | Guyana | $1,590,000,000 | 31 December 2014 est. |
| 160 | Maldives | $1,538,000,000 | 31 December 2013 est. |
| 161 | Malawi | $1,481,000,000 | 31 December 2014 est. |
| 162 | Djibouti | $1,430,000,000 | 31 December 2014 est. |
| 163 | Rwanda | $1,387,000,000 | 31 December 2014 est. |
| 164 | Belize | $1,372,000,000 | 31 December 2014 est. |
| 165 | Swaziland | $1,109,000,000 | 31 December 2014 est. |
| 166 | Saint Lucia | $1,104,000,000 | 31 December 2014 est. |
| 167 | Bhutan | $1,099,000,000 | 31 December 2013 est. |
| 168 | Antigua and Barbuda | $1,088,000,000 | 31 December 2014 est. |
| 169 | Sierra Leone | $960,100,000 | 31 December 2014 est. |
| 170 | Lesotho | $942,600,000 | 31 December 2014 est. |
| 171 | Saint Kitts and Nevis | $914,800,000 | 31 December 2014 est. |
| 172 | Liberia | $738,700,000 | 31 December 2014 est. |
| 173 | Grenada | $728,900,000 | 31 December 2014 est. |
| 174 | Seychelles | $567,800,000 | 31 December 2014 est. |
| 175 | Burundi | $551,400,000 | 31 December 2014 est. |
| 176 | Timor-Leste | $546,200,000 | 31 December 2014 est. |
| 177 | Vanuatu | $544,900,000 | 31 December 2014 est. |
| 178 | Gambia, The | $534,700,000 | 31 December 2014 est. |
| 179 | Saint Vincent and the Grenadines | $500,400,000 | 31 December 2014 est. |
| 180 | Guinea-Bissau | $480,900,000 | 31 December 2014 est. |
| 181 | Dominica | $463,300,000 | 31 December 2014 est. |
| 182 | Solomon Islands | $452,100,000 | 31 December 2014 est. |
| 183 | Anguilla | $393,300,000 | 31 December 2014 est. |
| 184 | Samoa | $366,000,000 | 31 December 2014 est. |
| 185 | Central African Republic | $292,500,000 | 31 December 2014 est. |
| 186 | Comoros | $269,600,000 | 31 December 2014 est. |
| 187 | Tonga | $192,600,000 | 31 December 2014 est. |
| 188 | Cook Islands | $148,200,000 | 31 December 2011 est. |
| 189 | Sao Tome and Principe | $133,100,000 | 31 December 2014 est. |
| 190 | Micronesia, Federated States of | $118,400,000 | 31 December 2011 est. |
| 191 | Montserrat | $87,740,000 | 31 December 2014 est. |
| 192 | Suriname | $3,282,000 | 31 December 2014 est. |


