CIA - The World Factbook --  Refugees and internally displaced persons   

This entry includes those persons residing in a country as refugees or internally displaced persons (IDPs). Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a United Nations Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state.

| Rank | country | Refugees and internally displaced persons | Date of Information |
| 23 | Yemen | 306,964.00 | NA |
| 24 | China | 300,897.00 | NA |
| 25 | Saudi Arabia | 291,000.00 | NA |
| 26 | Mali | 283,726.00 | NA |
| 27 | Latvia | 280,759.00 | NA |
| 28 | Ethiopia | 243,961.00 | NA |
| 29 | South Sudan | 243,000.00 | NA |
| 30 | Bangladesh | 230,674.00 | NA |
| 31 | Yemen | 229,447.00 | NA |
| 32 | Serbia | 228,215.00 | NA |
| 33 | Syria | 221,000.00 | NA |
| 34 | Cyprus | 208,000.00 | 2012 |
| 35 | South Sudan | 206,243.00 | NA |
| 36 | Iraq | 206,137.00 | NA |
| 37 | Venezuela | 203,563.00 | NA |
| 38 | Indonesia | 180,000.00 | 2011 |
| 39 | Russia | 178,000.00 | NA |
| 40 | Kyrgyzstan | 172,000.00 | NA |
| 41 | Haiti | 171,974.00 | NA |
| 42 | Gaza Strip | 160,000.00 | NA |
| 43 | West Bank | 160,000.00 | NA |
| 44 | Peru | 150,000.00 | 2011 |
| 45 | Egypt | 130,720.00 | NA |
| 46 | Uganda | 127,021.00 | NA |
| 47 | Ecuador | 122,964.00 | NA |
| 48 | Iraq | 120,000.00 | NA |
| 49 | Germany | 113,809.00 | NA |
| 50 | Bosnia and Herzegovina | 113,000.00 | NA |
| 51 | Sudan | 112,283.00 | NA |
| 52 | India | 100,003.00 | NA |
| 53 | Estonia | 94,235.00 | NA |
| 54 | Kuwait | 93,000.00 | NA |
| 55 | Germany | 90,773.00 | NA |
| 56 | Cameroon | 90,372.00 | NA |
| 57 | Chad | 90,000.00 | NA |
| 58 | China | 90,000.00 | NA |
| 59 | Congo, Republic of the | 89,424.00 | NA |
| 60 | Syria | 87,741.00 | NA |
| 61 | Malaysia | 84,671.00 | NA |
| 62 | Thailand | 83,317.00 | NA |
| 63 | Chad | 78,950.00 | NA |
| 64 | Burundi | 78,800.00 | NA |
| 65 | Libya | 74,000.00 | NA |
| 66 | Egypt | 70,028.00 | NA |
| 67 | Saudi Arabia | 70,000.00 | NA |
| 68 | Mauritania | 67,200.00 | NA |
| 69 | India | 67,165.00 | NA |
| 70 | Tanzania | 63,330.00 | NA |
| 71 | Jordan | 63,037.00 | NA |
| 72 | Ethiopia | 62,996.00 | NA |
| 73 | Rwanda | 57,857.00 | NA |
| 74 | Liberia | 54,621.00 | NA |
| 75 | Congo, Democratic Republic of the | 50,736.00 | NA |
| 76 | Nepal | 50,000.00 | NA |
| 77 | Burkina Faso | 49,975.00 | NA |
| 78 | Serbia | 49,931.00 | NA |
| 79 | Germany | 49,829.00 | NA |
| 80 | Niger | 49,770.00 | NA |
| 81 | Congo, Democratic Republic of the | 47,000.00 | NA |
| 82 | Iran | 42,500.00 | NA |
| 83 | Burundi | 41,349.00 | NA |
| 84 | Germany | 40,204.00 | NA |
| 85 | Malaysia | 40,001.00 | NA |
| 86 | Ethiopia | 39,477.00 | NA |
| 87 | Israel | 37,347.00 | NA |
| 88 | Tanzania | 35,343.00 | NA |
| 89 | Ukraine | 35,000.00 | NA |
| 90 | Kenya | 34,800.00 | NA |
| 91 | Kenya | 34,000.00 | NA |
| 92 | Sudan | 32,220.00 | NA |
| 93 | Germany | 31,746.00 | NA |
| 94 | Uganda | 30,000.00 | NA |
| 95 | Mauritania | 26,000.00 | NA |
| 96 | Sweden | 24,741.00 | NA |
| 97 | Germany | 23,799.00 | NA |
| 98 | Germany | 23,460.00 | NA |
| 99 | France | 23,225.00 | NA |
| 100 | Germany | 21,629.00 | NA |
| 101 | Brunei | 21,009.00 | NA |
| 102 | Angola | 20,740.00 | NA |
| 103 | Germany | 20,059.00 | NA |
| 104 | Kenya | 20,000.00 | NA |
| 105 | Austria | 19,517.00 | NA |
| 106 | Angola | 19,500.00 | NA |
| 107 | Sweden | 19,416.00 | NA |
| 108 | Djibouti | 18,725.00 | NA |
| 109 | Netherlands | 18,255.00 | NA |
| 110 | Uganda | 18,253.00 | NA |
| 111 | Germany | 18,165.00 | NA |
| 112 | South Africa | 17,864.00 | NA |
| 113 | Kosovo | 17,853.00 | NA |
| 114 | Canada | 17,563.00 | NA |
| 115 | Togo | 17,371.00 | NA |
| 116 | Canada | 16,813.00 | NA |
| 117 | Serbia | 16,418.00 | NA |
| 118 | Afghanistan | 16,147.00 | NA |
| 119 | Panama | 15,723.00 | NA |
| 120 | Netherlands | 15,715.00 | NA |
| 121 | Iraq | 15,496.00 | NA |
| 122 | Kyrgyzstan | 15,473.00 | NA |
| 123 | United Kingdom | 15,132.00 | NA |
| 124 | United States | 15,070.00 | NA |
| 125 | Poland | 14,938.00 | NA |
| 126 | Zambia | 14,871.00 | NA |
| 127 | Uganda | 14,684.00 | NA |
| 128 | United States | 14,160.00 | NA |
| 129 | South Sudan | 13,925.00 | NA |
| 130 | Canada | 13,705.00 | NA |
| 131 | Senegal | 13,702.00 | NA |
| 132 | South Africa | 13,386.00 | NA |
| 133 | Mali | 12,904.00 | NA |
| 134 | France | 12,666.00 | NA |
| 135 | France | 12,585.00 | NA |
| 136 | United States | 12,163.00 | NA |
| 137 | United Kingdom | 12,155.00 | NA |
| 138 | Egypt | 12,124.00 | NA |
| 139 | Germany | 11,819.00 | NA |
| 140 | France | 11,767.00 | NA |
| 141 | Germany | 11,672.00 | NA |
| 142 | Canada | 11,605.00 | NA |
| 143 | France | 11,506.00 | NA |
| 144 | Kenya | 11,500.00 | NA |
| 145 | Vietnam | 11,500.00 | NA |
| 146 | Iraq | 11,467.00 | NA |
| 147 | United Kingdom | 11,428.00 | NA |
| 148 | Italy | 11,345.00 | NA |
| 149 | Turkey | 11,322.00 | NA |
| 150 | Uganda | 11,135.00 | NA |
| 151 | Switzerland | 10,981.00 | NA |
| 152 | France | 10,887.00 | NA |
| 153 | Poland | 10,825.00 | NA |
| 154 | Israel | 10,743.00 | NA |
| 155 | Uganda | 10,728.00 | NA |
| 156 | Central African Republic | 10,662.00 | NA |
| 157 | Costa Rica | 10,305.00 | NA |
| 158 | Austria | 10,158.00 | NA |
| 159 | Eritrea | 10,000.00 | NA |
| 160 | United Kingdom | 9,901.00 | NA |
| 161 | United Kingdom | 9,842.00 | NA |
| 162 | India | 9,633.00 | NA |
| 163 | Sweden | 9,596.00 | NA |
| 164 | Papua New Guinea | 9,368.00 | NA |
| 165 | Congo, Democratic Republic of the | 9,368.00 | NA |
| 166 | Italy | 9,284.00 | NA |
| 167 | Cote d'Ivoire | 9,126.00 | NA |
| 168 | Gambia, The | 9,042.00 | NA |
| 169 | Turkmenistan | 8,947.00 | NA |
| 170 | Norway | 8,870.00 | NA |
| 171 | France | 8,605.00 | NA |
| 172 | Ghana | 8,532.00 | NA |
| 173 | Montenegro | 8,504.00 | NA |
| 174 | Serbia | 8,500.00 | NA |
| 175 | Sweden | 8,454.00 | NA |
| 176 | Congo, Republic of the | 8,404.00 | NA |
| 177 | Armenia | 8,400.00 | NA |
| 178 | Niger | 8,385.00 | NA |
| 179 | Iraq | 8,259.00 | NA |
| 180 | Egypt | 7,957.00 | NA |
| 181 | Uganda | 7,910.00 | NA |
| 182 | Congo, Republic of the | 7,800.00 | NA |
| 183 | Guinea-Bissau | 7,700.00 | NA |
| 184 | India | 7,671.00 | NA |
| 185 | Albania | 7,443.00 | NA |
| 186 | France | 7,335.00 | NA |
| 187 | Australia | 7,192.00 | NA |
| 188 | Norway | 7,129.00 | NA |
| 189 | Belarus | 6,969.00 | NA |
| 190 | Kazakhstan | 6,935.00 | NA |
| 191 | Canada | 6,798.00 | NA |
| 192 | Bosnia and Herzegovina | 6,733.00 | NA |
| 193 | Germany | 6,575.00 | NA |
| 194 | Guinea | 6,552.00 | 2012 |
| 195 | Lebanon | 6,516.00 | NA |
| 196 | Sweden | 6,414.00 | NA |
| 197 | Germany | 6,175.00 | NA |
| 198 | Sweden | 6,051.00 | NA |
| 199 | Philippines | 6,015.00 | NA |
| 200 | Kenya | 6,000.00 | NA |
| 201 | Armenia | 6,000.00 | NA |
| 202 | Canada | 5,995.00 | NA |
| 203 | Norway | 5,984.00 | NA |
| 204 | Zambia | 5,963.00 | NA |
| 205 | South Sudan | 5,890.00 | NA |
| 206 | South Africa | 5,805.00 | NA |
| 207 | United Kingdom | 5,752.00 | NA |
| 208 | Norway | 5,727.00 | NA |
| 209 | Egypt | 5,703.00 | NA |
| 210 | Netherlands | 5,697.00 | NA |
| 211 | Germany | 5,683.00 | NA |
| 212 | Togo | 5,593.00 | NA |
| 213 | South Africa | 5,538.00 | NA |
| 214 | Nigeria | 5,299.00 | NA |
| 215 | Canada | 5,287.00 | NA |
| 216 | Yemen | 5,221.00 | NA |
| 217 | Germany | 5,206.00 | NA |
| 218 | Ghana | 5,156.00 | NA |
| 219 | Italy | 5,058.00 | NA |
| 220 | Malta | 5,041.00 | NA |
| 221 | United States | 4,911.00 | NA |
| 222 | Bosnia and Herzegovina | 4,500.00 | NA |
| 223 | Lithuania | 4,130.00 | NA |
| 224 | Belgium | 3,898.00 | NA |
| 225 | Denmark | 3,623.00 | NA |
| 226 | Azerbaijan | 3,585.00 | NA |
| 227 | Montenegro | 3,383.00 | NA |
| 228 | Croatia | 2,886.00 | NA |
| 229 | Norway | 2,313.00 | NA |
| 230 | Tajikistan | 2,300.00 | NA |
| 231 | Finland | 2,017.00 | NA |
| 232 | Netherlands | 2,005.00 | NA |
| 233 | Moldova | 1,998.00 | NA |
| 234 | United States | 1,948.00 | NA |
| 235 | United States | 1,758.00 | NA |
| 236 | Slovakia | 1,523.00 | NA |
| 237 | Czech Republic | 1,502.00 | NA |
| 238 | United States | 1,346.00 | NA |
| 239 | Burundi | 1,302.00 | NA |
| 240 | France | 1,210.00 | NA |
| 241 | Qatar | 1,200.00 | NA |
| 242 | Georgia | 1,156.00 | NA |
| 243 | Japan | 1,100.00 | NA |
| 244 | Macedonia | 905.00 | NA |
| 245 | Turkey | 780.00 | NA |
| 246 | Portugal | 553.00 | NA |
| 247 | Austria | 542.00 | NA |
| 248 | Italy | 470.00 | NA |
| 249 | Romania | 248.00 | NA |
| 250 | Mongolia | 220.00 | NA |
| 251 | United Kingdom | 205.00 | NA |
| 252 | Korea, South | 179.00 | NA |
| 253 | Luxembourg | 177.00 | NA |
| 254 | Greece | 154.00 | NA |
| 255 | Iceland | 119.00 | NA |
| 256 | Hungary | 111.00 | NA |
| 257 | Ireland | 73.00 | NA |
| 258 | Switzerland | 69.00 | NA |
| 259 | Egypt | 60.00 | NA |
| 260 | Spain | 36.00 | NA |
| 261 | Armenia | 35.00 | NA |
| 262 | Israel | 14.00 | NA |
| 263 | Colombia | 12.00 | NA |
| 264 | Mexico | 7.00 | NA |
| 265 | Liechtenstein | 5.00 | NA |


