CIA - The World Factbook --  Refugees and internally displaced persons   

This entry includes those persons residing in a country as refugees or internally displaced persons (IDPs). The definition of a refugee according to a United Nations Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state.

| Rank | country | Refugees and internally displaced persons | Date of Information |
| 80 | Lebanon | 17,000.00 | 2007 |
| 81 | Iraq | 16,832.00 | 2007 |
| 82 | Ethiopia | 16,576.00 | 2007 |
| 83 | Kenya | 16,428.00 | 2007 |
| 84 | Montenegro | 16,192.00 | 2007 |
| 85 | Malaysia | 15,174.00 | 2007 |
| 86 | Congo, Democratic Republic of the | 13,904.00 | 2007 |
| 87 | Ethiopia | 13,078.00 | 2007 |
| 88 | Liberia | 13,000.00 | 2007 |
| 89 | Angola | 12,615.00 | 2007 |
| 90 | Liberia | 12,600.00 | 2007 |
| 91 | Egypt | 12,157.00 | 2007 |
| 92 | Iraq | 11,773.00 | 2007 |
| 93 | Ecuador | 11,526.00 | 2007 |
| 94 | Turkmenistan | 11,173.00 | 2007 |
| 95 | Sudan | 11,009.00 | 2007 |
| 96 | South Africa | 10,772.00 | 2007 |
| 97 | United States | 10,586.00 | 2006 |
| 98 | Papua New Guinea | 10,177.00 | 2007 |
| 99 | Burundi | 9,849.00 | 2007 |
| 100 | India | 9,472.00 | 2007 |
| 101 | Benin | 9,444.00 | 2007 |
| 102 | Djibouti | 8,642.00 | 2007 |
| 103 | United States | 8,549.00 | 2006 |
| 104 | Ghana | 8,517.00 | 2007 |
| 105 | Armenia | 8,400.00 | 2007 |
| 106 | Libya | 8,000.00 | 2007 |
| 107 | Central African Republic | 7,900.00 | 2007 |
| 108 | Sudan | 7,895.00 | 2007 |
| 109 | South Africa | 7,818.00 | 2007 |
| 110 | Guinea-Bissau | 7,454.00 | 2007 |
| 111 | Bosnia and Herzegovina | 7,269.00 | 2007 |
| 112 | Gabon | 7,178.00 | 2007 |
| 113 | Montenegro | 7,000.00 | 2007 |
| 114 | United States | 6,666.00 | 2006 |
| 115 | Congo, Republic of the | 6,564.00 | 2007 |
| 116 | United States | 6,479.00 | 2006 |
| 117 | Mali | 6,300.00 | 2007 |
| 118 | Congo, Democratic Republic of the | 6,181.00 | 2007 |
| 119 | Gambia, The | 5,955.00 | 2007 |
| 120 | Nigeria | 5,778.00 | 2007 |
| 121 | South Africa | 5,759.00 | 2007 |
| 122 | Solomon Islands | 5,400.00 | 2007 |
| 123 | Guinea | 5,259.00 | 2007 |
| 124 | Congo, Democratic Republic of the | 5,243.00 | 2007 |
| 125 | Sudan | 5,023.00 | 2007 |
| 126 | Togo | 5,000.00 | 2007 |
| 127 | Namibia | 4,700.00 | 2007 |
| 128 | Rwanda | 4,400.00 | 2007 |
| 129 | Zambia | 4,100.00 | 2007 |
| 130 | Guinea | 3,900.00 | 2007 |
| 131 | Central African Republic | 3,700.00 | 2007 |
| 132 | Kazakhstan | 3,700.00 | 2007 |
| 133 | Uzbekistan | 3,400.00 | 2007 |
| 134 | United States | 3,100.00 | 2006 |
| 135 | Cameroon | 3,000.00 | 2007 |
| 136 | Zimbabwe | 2,500.00 | 2007 |
| 137 | Azerbaijan | 2,400.00 | 2007 |
| 138 | United States | 2,136.00 | 2006 |
| 139 | Togo | 1,500.00 | 2007 |
| 140 | Georgia | 1,100.00 | 2007 |
| 141 | Uzbekistan | 1,060.00 | 2007 |
| 142 | Kazakhstan | 508.00 | 2007 |
