CIA - The World Factbook --  Refugees and internally displaced persons   

This entry includes those persons residing in a country as refugees or internally displaced persons (IDPs). The definition of a refugee according to a United Nations Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state.

| Rank | country | Refugees and internally displaced persons | Date of Information |
| 81 | Congo, Democratic Republic of the | 17,777.00 | 2007 |
| 82 | Lebanon | 17,000.00 | 2007 |
| 83 | Iraq | 16,832.00 | 2007 |
| 84 | Ethiopia | 16,576.00 | 2007 |
| 85 | Kenya | 16,428.00 | 2007 |
| 86 | Montenegro | 16,192.00 | 2007 |
| 87 | Malaysia | 15,174.00 | 2007 |
| 88 | Congo, Democratic Republic of the | 13,904.00 | 2007 |
| 89 | Ethiopia | 13,078.00 | 2007 |
| 90 | Liberia | 13,000.00 | 2007 |
| 91 | Angola | 12,615.00 | 2007 |
| 92 | Liberia | 12,600.00 | 2007 |
| 93 | Egypt | 12,157.00 | 2007 |
| 94 | Iraq | 11,773.00 | 2007 |
| 95 | Ecuador | 11,526.00 | 2007 |
| 96 | Turkmenistan | 11,173.00 | 2007 |
| 97 | Sudan | 11,009.00 | 2007 |
| 98 | South Africa | 10,772.00 | 2007 |
| 99 | United States | 10,586.00 | 2006 |
| 100 | Papua New Guinea | 10,177.00 | 2007 |
| 101 | Burundi | 9,849.00 | 2007 |
| 102 | India | 9,472.00 | 2007 |
| 103 | Benin | 9,444.00 | 2007 |
| 104 | Djibouti | 8,642.00 | 2007 |
| 105 | United States | 8,549.00 | 2006 |
| 106 | Ghana | 8,517.00 | 2007 |
| 107 | Armenia | 8,400.00 | 2007 |
| 108 | Libya | 8,000.00 | 2007 |
| 109 | Central African Republic | 7,900.00 | 2007 |
| 110 | South Africa | 7,818.00 | 2007 |
| 111 | Guinea-Bissau | 7,454.00 | 2007 |
| 112 | Bosnia and Herzegovina | 7,269.00 | 2007 |
| 113 | Gabon | 7,178.00 | 2007 |
| 114 | Montenegro | 7,000.00 | 2007 |
| 115 | United States | 6,666.00 | 2006 |
| 116 | Congo, Republic of the | 6,564.00 | 2007 |
| 117 | United States | 6,479.00 | 2006 |
| 118 | Mali | 6,300.00 | 2007 |
| 119 | Congo, Democratic Republic of the | 6,181.00 | 2007 |
| 120 | Gambia, The | 5,955.00 | 2007 |
| 121 | Nigeria | 5,778.00 | 2007 |
| 122 | South Africa | 5,759.00 | 2007 |
| 123 | Solomon Islands | 5,400.00 | 2007 |
| 124 | Guinea | 5,259.00 | 2007 |
| 125 | Congo, Democratic Republic of the | 5,243.00 | 2007 |
| 126 | Togo | 5,000.00 | 2007 |
| 127 | Namibia | 4,700.00 | 2007 |
| 128 | Rwanda | 4,400.00 | 2007 |
| 129 | Zambia | 4,100.00 | 2007 |
| 130 | Guinea | 3,900.00 | 2007 |
| 131 | Kazakhstan | 3,700.00 | 2007 |
| 132 | Central African Republic | 3,700.00 | 2007 |
| 133 | Uzbekistan | 3,400.00 | 2007 |
| 134 | United States | 3,100.00 | 2006 |
| 135 | Cameroon | 3,000.00 | 2007 |
| 136 | Zimbabwe | 2,500.00 | 2007 |
| 137 | Azerbaijan | 2,400.00 | 2007 |
| 138 | United States | 2,136.00 | 2006 |
| 139 | Togo | 1,500.00 | 2007 |
| 140 | Georgia | 1,100.00 | 2007 |
| 141 | Uzbekistan | 1,060.00 | 2007 |
| 142 | Kazakhstan | 508.00 | 2007 |
