CIA - The World Factbook --  Television broadcast stations   

This entry gives the total number of separate broadcast stations plus any repeater stations.

| Rank | country | Television broadcast stations | Date of Information |
| 149 | Mayotte | 3.00 | 2001 |
| 150 | Micronesia, Federated States of | 3.00 | 2004 |
| 151 | Guyana | 3.00 | 1997 |
| 152 | Faroe Islands | 3.00 | September 1995 |
| 153 | Antigua and Barbuda | 2.00 | 1997 |
| 154 | Bahamas, The | 2.00 | 2006 |
| 155 | Botswana | 2.00 | NA |
| 156 | Azerbaijan | 2.00 | 1997 |
| 157 | Samoa | 2.00 | 2002 |
| 158 | Wallis and Futuna | 2.00 | 2000 |
| 159 | Namibia | 2.00 | 2007 |
| 160 | Sao Tome and Principe | 2.00 | 2001 |
| 161 | Saint Lucia | 2.00 | 2003 |
| 162 | Sierra Leone | 2.00 | 1999 |
| 163 | Seychelles | 2.00 | 1997 |
| 164 | Rwanda | 2.00 | 2004 |
| 165 | Marshall Islands | 2.00 | 2005 |
| 166 | Mauritius | 2.00 | 1997 |
| 167 | Mali | 2.00 | 2007 |
| 168 | Jersey | 2.00 | 2008 |
| 169 | Hong Kong | 2.00 | 2008 |
| 170 | Haiti | 2.00 | 1997 |
| 171 | Grenada | 2.00 | 1997 |
| 172 | Falkland Islands (Islas Malvinas) | 2.00 | 2006 |
| 173 | Eritrea | 2.00 | 2006 |
| 174 | Aruba | 1.00 | 1997 |
| 175 | Anguilla | 1.00 | 1997 |
| 176 | Barbados | 1.00 | 2004 |
| 177 | Antarctica | 1.00 | 2002 |
| 178 | Burundi | 1.00 | 2001 |
| 179 | Congo, Republic of the | 1.00 | 2001 |
| 180 | Northern Mariana Islands | 1.00 | 2006 |
| 181 | Cape Verde | 1.00 | 2001 |
| 182 | Holy See (Vatican City) | 1.00 | 2008 |
| 183 | British Virgin Islands | 1.00 | 1997 |
| 184 | Saint Vincent and the Grenadines | 1.00 | 2004 |
| 185 | Timor-Leste | 1.00 | NA |
| 186 | Singapore | 1.00 | 2008 |
| 187 | San Marino | 1.00 | 1997 |
| 188 | Saint Kitts and Nevis | 1.00 | 2003 |
| 189 | Palau | 1.00 | 2005 |
| 190 | Nauru | 1.00 | 1997 |
| 191 | Vanuatu | 1.00 | 2004 |
| 192 | Norfolk Island | 1.00 | 2005 |
| 193 | Niue | 1.00 | 1997 |
| 194 | Maldives | 1.00 | 2006 |
| 195 | Mauritania | 1.00 | 2002 |
| 196 | Malawi | 1.00 | 2001 |
| 197 | Montserrat | 1.00 | 1997 |
| 198 | Qatar | 1.00 | 2001 |
| 199 | Guinea-Bissau | 1.00 | 2007 |
| 200 | Macau | 1.00 | 2008 |
| 201 | Madagascar | 1.00 | 2001 |
| 202 | Lesotho | 1.00 | 2007 |
| 203 | Kiribati | 1.00 | 2002 |
| 204 | British Indian Ocean Territory | 1.00 | 1997 |
| 205 | Gaza Strip | 1.00 | 2008 |
| 206 | Greenland | 1.00 | 1997 |
| 207 | Guernsey | 1.00 | 1997 |
| 208 | Gibraltar | 1.00 | 1997 |
| 209 | Gambia, The | 1.00 | 1997 |
| 210 | Ethiopia | 1.00 | 2001 |
| 211 | Equatorial Guinea | 1.00 | 2001 |
| 212 | Dominica | 1.00 | 2004 |
| 213 | Djibouti | 1.00 | 2001 |
| 214 | Cook Islands | 1.00 | 2004 |
| 215 | Central African Republic | 1.00 | 2001 |
| 216 | Cameroon | 1.00 | 2001 |
| 217 | Chad | 1.00 | 2001 |
| 218 | Bhutan | 1.00 | 2007 |
| 219 | American Samoa | 1.00 | 2006 |
| 220 | Andorra | 1.00 | 2007 |
| 221 | Akrotiri | 0.00 | 2006 |
| 222 | Turks and Caicos Islands | 0.00 | 2003 |
| 223 | Wake Island | 0.00 | 2005 |
| 224 | Tuvalu | 0.00 | 2004 |
| 225 | South Georgia and South Sandwich Islands | 0.00 | 2003 |
| 226 | Isle of Man | 0.00 | 1999 |
| 227 | Christmas Island | 0.00 | 2006 |
| 228 | Saint Helena | 0.00 | 2005 |
| 229 | Saint Pierre and Miquelon | 0.00 | 1997 |
| 230 | Dhekelia | 0.00 | 2006 |
