CIA - The World Factbook --  Television broadcast stations   

| Rank | country | Television broadcast stations | Date of Information |
| 150 | Micronesia, Federated States of | 3.00 | 2004 |
| 151 | Faroe Islands | 3.00 | September 1995 |
| 152 | Togo | 3.00 | 1997 |
| 153 | Namibia | 2.00 | 2007 |
| 154 | Hong Kong | 2.00 | 2009 |
| 155 | Samoa | 2.00 | 2002 |
| 156 | Jersey | 2.00 | 2008 |
| 157 | Mali | 2.00 | 2007 |
| 158 | Mauritius | 2.00 | 1997 |
| 159 | Maldives | 2.00 | 2009 |
| 160 | Marshall Islands | 2.00 | 2005 |
| 161 | Rwanda | 2.00 | 2004 |
| 162 | Seychelles | 2.00 | 1997 |
| 163 | Sierra Leone | 2.00 | 1999 |
| 164 | Saint Lucia | 2.00 | 2003 |
| 165 | Sao Tome and Principe | 2.00 | 2001 |
| 166 | Antigua and Barbuda | 2.00 | 1997 |
| 167 | Botswana | 2.00 | 2007 |
| 168 | Bahamas, The | 2.00 | 2006 |
| 169 | Eritrea | 2.00 | 2006 |
| 170 | Falkland Islands (Islas Malvinas) | 2.00 | 2006 |
| 171 | Grenada | 2.00 | 2009 |
| 172 | Haiti | 2.00 | 1997 |
| 173 | Wallis and Futuna | 2.00 | 2000 |
| 174 | Saint Vincent and the Grenadines | 1.00 | 2004 |
| 175 | British Virgin Islands | 1.00 | 1997 |
| 176 | Holy See (Vatican City) | 1.00 | 2008 |
| 177 | Kiribati | 1.00 | 2002 |
| 178 | Lesotho | 1.00 | 2007 |
| 179 | Madagascar | 1.00 | 2001 |
| 180 | Macau | 1.00 | 2009 |
| 181 | Montserrat | 1.00 | 1997 |
| 182 | Malawi | 1.00 | 2001 |
| 183 | Mauritania | 1.00 | 2002 |
| 184 | Niue | 1.00 | 1997 |
| 185 | Norfolk Island | 1.00 | 2005 |
| 186 | Vanuatu | 1.00 | 2004 |
| 187 | Nauru | 1.00 | 1997 |
| 188 | Palau | 1.00 | 2005 |
| 189 | Guinea-Bissau | 1.00 | 2007 |
| 190 | Qatar | 1.00 | 2001 |
| 191 | Saint Kitts and Nevis | 1.00 | 2003 |
| 192 | San Marino | 1.00 | 1997 |
| 193 | Singapore | 1.00 | 2008 |
| 194 | Timor-Leste | 1.00 | NA |
| 195 | Aruba | 1.00 | 1997 |
| 196 | Andorra | 1.00 | 2009 |
| 197 | American Samoa | 1.00 | 2006 |
| 198 | Anguilla | 1.00 | 1997 |
| 199 | Antarctica | 1.00 | 2002 |
| 200 | Barbados | 1.00 | 2004 |
| 201 | Bhutan | 1.00 | 2007 |
| 202 | Burundi | 1.00 | 2001 |
| 203 | Chad | 1.00 | 2001 |
| 204 | Congo, Republic of the | 1.00 | 2001 |
| 205 | Cameroon | 1.00 | 2001 |
| 206 | Northern Mariana Islands | 1.00 | 2006 |
| 207 | Central African Republic | 1.00 | 2001 |
| 208 | Cape Verde | 1.00 | 2001 |
| 209 | Cook Islands | 1.00 | 2004 |
| 210 | Djibouti | 1.00 | 2001 |
| 211 | Dominica | 1.00 | 2004 |
| 212 | Equatorial Guinea | 1.00 | 2001 |
| 213 | Ethiopia | 1.00 | 2001 |
| 214 | Gambia, The | 1.00 | 1997 |
| 215 | Gibraltar | 1.00 | 1997 |
| 216 | Guernsey | 1.00 | 1997 |
| 217 | Greenland | 1.00 | 1997 |
| 218 | Gaza Strip | 1.00 | 2008 |
| 219 | British Indian Ocean Territory | 1.00 | 1997 |
| 220 | Akrotiri | 0.00 | 2006 |
| 221 | Dhekelia | 0.00 | 2006 |
| 222 | Isle of Man | 0.00 | 1999 |
| 223 | Christmas Island | 0.00 | 2006 |
| 224 | Wake Island | 0.00 | 2005 |
| 225 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2005 |
| 226 | South Georgia and South Sandwich Islands | 0.00 | 2003 |
| 227 | Turks and Caicos Islands | 0.00 | 2003 |
| 228 | Tuvalu | 0.00 | 2004 |
| 229 | Saint Pierre and Miquelon | 0.00 | 1997 |
