CIA - The World Factbook --  Investment (gross fixed)   

This entry records total business spending on fixed assets, such as factories, machinery, equipment, dwellings, and inventories of raw materials, which provide the basis for future production. It is measured gross of the depreciation of the assets, i.e., it includes investment that merely replaces worn-out or scrapped capital.

| Rank | country | (% of GDP) | Date of Information |
| 114 | Denmark | 17.50 | 2010 est. |
| 115 | Tanzania | 17.40 | 2010 est. |
| 116 | Azerbaijan | 17.30 | 2010 est. |
| 117 | Papua New Guinea | 17.30 | 2010 est. |
| 118 | Mozambique | 17.20 | 2010 est. |
| 119 | Luxembourg | 16.80 | 2010 est. |
| 120 | Israel | 16.70 | 2010 est. |
| 121 | Syria | 16.60 | 2010 est. |
| 122 | Venezuela | 16.40 | 2010 est. |
| 123 | Ukraine | 16.10 | 2010 est. |
| 124 | Angola | 15.90 | 2010 est. |
| 125 | Latvia | 15.70 | 2010 est. |
| 126 | Dominican Republic | 15.40 | 2010 est. |
| 127 | Kosovo | 15.20 | 2010 est. |
| 128 | Lithuania | 15.20 | 2010 est. |
| 129 | Burma | 15.10 | 2010 est. |
| 130 | Pakistan | 15.00 | 2010 est. |
| 131 | Chad | 14.80 | 2010 est. |
| 132 | Greece | 14.80 | 2010 est. |
| 133 | Philippines | 14.70 | 2010 est. |
| 134 | Guinea | 14.60 | 2010 est. |
| 135 | Georgia | 14.50 | 2010 est. |
| 136 | United Kingdom | 14.40 | 2010 est. |
| 137 | Malta | 14.10 | 2010 est. |
| 138 | Guatemala | 13.90 | 2010 est. |
| 139 | Kuwait | 13.80 | 2010 est. |
| 140 | El Salvador | 13.70 | 2010 est. |
| 141 | Libya | 13.20 | 2010 est. |
| 142 | United States | 12.80 | 2010 est. |
| 143 | Ireland | 12.60 | 2010 est. |
| 144 | Swaziland | 12.60 | 2010 est. |
| 145 | Iceland | 12.40 | 2010 est. |
| 146 | Turkmenistan | 12.40 | 2010 est. |
| 147 | Nigeria | 11.60 | 2010 est. |
| 148 | Trinidad and Tobago | 11.60 | 2010 est. |
| 149 | Cuba | 10.50 | 2010 est. |
| 150 | Eritrea | 10.30 | 2010 est. |
| 151 | Cote d'Ivoire | 9.70 | 2010 est. |
