Field Listing :: Military and security service personnel strengths :: The World Factbook

This entry provides estimates of military and security services personnel strengths. The numbers are based on a wide-range of publicly available information. Unless otherwise noted, military estimates focus on the major services (army, navy, air force, and where applicable, gendarmeries) and do not account for activated reservists or delineate military service members assigned to joint staffs or defense ministries.

| Country | Military and security service personnel strengths |
| **Ecuador** | the Ecuadorian Armed Forces have approximately 40,000 active personnel (25,000 Army; 9,000 Navy; 6,000 Air Force) (2019 est.) |
| **Egypt** | estimates of the size of the Egyptian Armed Forces (EAF) vary; approximately 450,000 total active personnel (325,000 Army; 18,500 Navy; 30,000 Air Force; 75,000 Air Defense Command) (2019) |
| **El Salvador** | the Armed Force of El Salvador (FAES) has approximately 22,000 active troops (18,000 Army; 2,000 Navy; 2,000 Air Force) (2019 est.) |
| **Equatorial Guinea** | the Equatorial Guinea Armed Forces (FAGE) have approximately 1,400 active duty troops (1,100 Army; 200 Navy; 100 Air Force) (2019) |
| **Eritrea** | the Eritrean Defense Forces are comprised of an estimated 200,000 personnel, including about 2,000 in the naval and air forces; note â€“ includes significant numbers of conscripts; it is unclear how many of the EDFâ€™s 200,000 personnel are on active duty; many conscripts are reportedly not under arms (2019) |
| **Estonia** | the Estonian Defense Forces have approximately 6,000 active duty personnel (5,000 Army; 400 Navy; 500 Air Force); est. 15,000 Estonian Defense League (2020 est.) |
| **Eswatini** | the Umbutfo Eswatini Defense Force has approximately 3,100 active personnel (3,000 Army; 100 Air Force) (2020 est.) |
| **Ethiopia** | estimates for the size of the Ethiopian National Defense Force (ENDF) vary; approximately 150,000 active duty troops, including about 3,000 Air Force personnel (no personnel numbers available for the newly-reestablished Navy) (2020) |
| **Fiji** | the Republic of Fiji Military Forces (RFMF) have about 3,500 personnel (3,200 Land Force; 300 Maritime Command) (2019) |
| **Finland** | estimates for the size of the Finnish Defense Forces (FDF) vary; approximately 23,000 total active duty personnel (16,000 Army; 4,000 Navy; 3,000 Air Force) (2019 est.) |
| **France** | the French military has approximately 205,000 active duty troops (114,500 Army; 35,000 Navy; 40,500 Air Force; 15,000 other, such as joint staffs, medical service, etc.); approximately 100,000 National Gendarmerie (2019) |
| **Gabon** | the Gabonese Defense Forces (FDG) are comprised of approximately 6,500 active duty troops (3,000 Land Forces; 500 Navy; 1,000 Air Force; 2,000 Gendarmerie) (2019) |
| **Gambia, The** | estimates for the size of the Gambian National Army (GNA) vary; approximately 3,000 active troops (2019 est.) |
| **Gaza Strip** | the military wing of HAMAS, the Izz al-Din al-Qassam Brigades, has an estimated 15-25,000 fighters (2019 est.) |
| **Georgia** | estimates for the size of the Georgian Defense Forces vary; approximately 25,000 active troops, including the National Guard (2019 est.) |
| **Germany** | the German Federal Armed Forces have approximately 180,000 active duty personnel (62,000 Army; 16,000 Navy; 28,000 Air Force; 27,000 Joint Support Service; 20,000 Medical Service, 13,000 Cyber and Information Space Command; 14,000 other) (2019 est.) |
| **Ghana** | the Ghana Armed Forces consists of approximately 14,000 active personnel (10,000 Army; 2,000 Navy; 2,000 Air Force) (2019) |
| **Greece** | the Hellenic Armed Forces have approximately 141,000 active duty personnel (90,000 Army; 16,000 Navy; 25,000 Air Force; 10,000 joint service, support, staff); approximately 35,000 National Guard (2019 est.) |
| **Guatemala** | assessments of the size of the Army of Guatemala vary; approximately 21,500 active personnel (19,000 Land Forces; 1,500 Naval Forces; 1,000 Air Forces); approximately 30,000 National Civil Police (2019 est.) |
| **Guinea** | Guinean National Armed Forces are comprised of approximately 13,000 active personnel (est. 9,000 Army; 400 Navy; 800 Air Force; 1,400 Gendarmerie; 1,600 Republican Guard) (2019) |
| **Guinea-Bissau** | the People's Revolutionary Armed Force (FARP) has approximately 4,400 active troops (4,000 Army; 300 Navy; 100 Air Force) (2019) |
| **Guyana** | the Guyana Defense Force has approximately 3,000 active personnel (2019 est.) |
| **Haiti** | the country's army is planned to eventually number around 5,000 personnel (2019 est.) |
| **Honduras** | the Honduran Armed Forces (FFAA) have approximately 15,500 active personnel (7,500 Army; 1,500 Navy; 2,500 Air Force; 4,000 Public Order Military Police) (2019 ) |
| **Hungary** | the Hungarian Defense Forces have approximately 29,000 active duty troops (18,000 Army; 5,000 Air Force; 6,000 other) (2019 est.) |
| **Iceland** | the Icelandic Coast Guard has approximately 250 personnel (2019 est.) |
| **India** | assessments of the size of the Indian Armed Forces vary; approximately 1.45 million active personnel (est. 1.25 million Army; 66,000 Navy; 140,000 Air Force; 11,000 Coast Guard); est. 1.5 million paramilitary forces (Ministry of Defense and Ministry of Home Affairs) (2019) |
| **Indonesia** | the Indonesian National Armed Forces have an estimated 395,000 active duty troops (300,000 Army; 65,000 Navy; 30,000 Air Force); the Police Mobile Brigade Corps (BRIMOB) has an estimated 14,000 personnel (2019) |
| **Iran** | assessments of the size of the armed forces of Iran vary; approximately 600,000 total active personnel including 410,000 Islamic Republic of Iran Regular Forces (350,000 Ground Forces; 18,000 Navy; 45,000 Air Force/Air Defense Forces) and 190,000 Islamic Revolutionary Guard Corps (150,000 Ground Forces; 20,000 Navy; 15,000 Aerospace Force; 5,000 Qods Force); est. 90,000 active Basij Paramilitary Forces; est. 50,000 Law Enforcement Forces |
| | (2019 est.) |
| **Iraq** | assessments of the size of the Iraqi military, security services, and associated militia forces vary widely; the military and the security services are rebuilding after suffering considerable losses in personnel and equipment fighting the ISIS terrorist group (see note) and are also attempting to incorporate local militia groups; approximately 190,000 active personnel (180,000 Army; 3,000 Navy; 5,000 Air Force); National-Level Security Forces: est. 10,000 Iraqi Counterterrorism Service; est. 10,000 Presidential Brigades; est. 6,000 Prime Ministerâ€™s Special Forces Division; other: est. 100-160,000 Popular Mobilization Forces; est. 150,000-200,000 Peshmerga Forces (2019 ) |
| | *note:* Iraqi Army strength reportedly fell from about 200,000 personnel in 2009 to around 50,000 in 2016 |
| **Ireland** | the Irish Defence Forces have approximately 8,700 active duty personnel (7,000 Army; 1,000 Navy; 700 Air Force) (2019 est.) |
| **Israel** | the Israel Defense Forces (IDF) have approximately 173,000 active personnel (130,000 Ground Forces; 9,500 Naval; 34,000 Air Force) (2019 ) |
| **Italy** | the Italian Armed Forces have approximately 271,000 active personnel, including the Carabinieri (96,000 Army; 28,000 Navy; 40,000 Air Force; 107,000 Carabinieri) (2019 est.) |
| **Jamaica** | assessments of the size of the the Jamaica Defense Forces vary; approximately 3,500 active personnel (3,000 Ground Forces; 300 Coast Guard; 200 Air Wing) (2019) |
| **Japan** | the Japanese Self Defense Force (JSDF) is comprised of approximately 240,000 active personnel (145,000 Ground; 45,000 Maritime; 45,000 Air; 4,000 Joint Forces); 14,000 Coast Guard; 56,000 reserves |
| | (2019 est.) |
| **Jordan** | the Jordanian Armed Forces (JAF) have approximately 101,000 active personnel (87,000 Army; 500 Navy; 14,000 Air Force); est. 15,000 Gendarmerie Forces (2019) |
| **Kazakhstan** | estimates of the size of the Armed Forces of Kazakhstan vary; approximately 45,000 active duty personnel (25,000 Army; 3,000 Navy; 14,000 Air and Air Defense; 3,000 other) (2019 est.) |
| **Kenya** | the Kenyan Defense Forces (KDF) are comprised of approximately 24,000 personnel (20,000 Army; 1,500 Navy; 2,500 Air Force); 5,000 Police General Services Unit (2019 est.) |
| **Korea, North** | assessments of the size of the Korean Peopleâ€™s Army (KPA) vary widely; approximately 1.1-1.2 million active troops (950,000-1.0 million Army; 110-120,000 Air Force; 60,000 Navy; 10,000 Strategic Missile Forces); est. 200,000 Public Security forces (2019) |
| **Korea, South** | the Republic of Korea Armed Forces have approximately 600,000 active duty personnel (465,000 Army; 70,000 Navy/Marines; 65,000 Air Force) (2019) |
| **Kosovo** | *the Kosovo Security Force (KSF) has approximately 3-4,000 personnel; note:* Kosovo plans for the KSF to eventually number around 5,000 troops (2019) |
| **Kuwait** | the Kuwaiti Armed Forces have approximately 17,000 active personnel (12,500 Army; 2,000 Navy; 2,500 Air Force); est. 6,500 National Guard; note â€“ Army figures include the Kuwait Emiri Guard Authority (est. 500) and the 25th Commando Brigade (N/A) (2019 est.) |
| **Kyrgyzstan** | the Kyrgyz Armed Forces have approximately 11,000 active duty troops (8,500 Land Forces; 2,500 Air Force/Air Defense) (2019 est.) |
| **Laos** | information is limited and estimates for the size of the Lao Peopleâ€™s Armed Forces (LPAF) vary; approximately 29,000 active duty troops (26,000 Army; 3500 Air Force); approximately 100,000 Self-Defense Militia Forces (2019) |
| **Latvia** | the National Armed Forces of Latvia have approximately 6,000 active duty troops (5,000 Land Forces, inc. joint service personnel and active duty National Guard; 500 Naval Force/Coast Guard; 500 Air Force) (2019 est.) |
| **Lebanon** | the Lebanese Armed Forces (LAF) have approximately 58,000 active troops (55,000 Army; 1,500 Navy; 1,500 AF); est. 20,000 Internal Security Forces (2019 est.) |
| **Lesotho** | the Lesotho Defense Force (LDF) has approximately 2,000 personnel, including 150 for its air wing (2019 est.) |
| **Liberia** | the Armed Forces of Liberia (AFL) have approximately 2,000 personnel (2019) |
| **Libya** | the sizes of the forces of both the Government of National Accord and the Libyan National Army are unknown (2020 est.) |
| **Lithuania** | estimates for the Lithuanian Armed Forces vary; approximately 17,000 active duty personnel (12,500 Army, including about 5,000 National Defense Voluntary Forces; 700 Navy; 1,000 Air Force; 3,000 other, including special operations forces, logistics support, training, etc); est. 11,000 Riflemen Union (2020) |
| **Luxembourg** | the Luxembourg Army has approximately 900 active personnel (2019 est.) |
| **Madagascar** | the Peoples Armed Forces (PAF) have approximately 21,500 personnel (12,500 Army; 500 Navy; 500 Air Force; 8,000 Gendarmerie) (2019 est.) |
| **Malawi** | size estimates for the Malawi Defense Force vary; approximately 8,000 personnel (including about 200 in the Air Wing and 200 in the Marine Unit) (2019 est.) |
| **Malaysia** | the Malaysian Armed Forces have approximately 115,000 active duty troops (80,000 Army; 18,000 Navy; 17,000 Air Force); approximately 18,000 General Operations Force (2019 est.) |
| **Maldives** | the Maldives National Defense Force (MNDF) has approximately 2,500 personnel (2019 est.) |
| **Mali** | estimates for the size of the Malian Armed Forces (FAMa) vary; approximately 19,000 total troops (13,000 Army; 800 Air Force; 3,000 Gendarmerie; 2,000 National Guard) (2019 est.) |
| **Malta** | the Armed Forces of Malta have approximately 2,000 active duty personnel (2019 est.) |
| **Mauritania** | the Mauritanian Armed Forces have approximately 16,000 active personnel (15,000 Army; 700 Navy; 300 Air Force); est. 3,000 Gendarmerie; est. 2,000 National Guard) (2019) |
| **Mauritius** | police paramilitary forces for Mauritius number about 2,500 (est. 1.700 Special Mobile Force; 800 National Coast Guard) (2019 est.) |
| **Mexico** | the Mexican armed forces have approximately 270,000 active personnel (200,000 Army; 60,000 Navy; 8,000 Air Force); approximately 60-80,000 National Guard (2019 est.) |
| **Moldova** | estimates of the size of the Moldovan National Army vary; approximately 6,000 active troops (5,000 Land Forces; 1,000 Air Force) (2019 est.) |
| **Mongolia** | size estimates for the the Mongolian Armed Forces (MAF) vary; approximately 8,000 active duty troops (7,000 Army; 800 Air Force); est. 6,000 Border Guard; est. 1,200 Internal Security Troops (2019) |
| **Montenegro** | the Armed Forces of the Republic of Montenegro have approximately 2,400 total active duty troops (1,400 Army; 400 Navy; 200 Air Force; 400 other) (2019 est.) |
| **Morocco** | the Royal Armed Forces have approximately 197,000 active personnel (175,000 Army; 9,000 Navy; 13,000 Air Force); est. 25,000 Gendarmerie (2019 est.) |
| **Mozambique** | the Armed Defense Forces of Mozambique (FADM) are comprised of approximately 11,000 personnel (10,000 Army; 200 Navy; 1,000 Air Force) (2019 est.) |
| **Namibia** | size assessments for the Namibian Defense Force (NDF) vary; approximately 13,000 personnel (11,000 Army; 1,000 Navy; 700 Air Force) (2019 est.) |
| **Nepal** | the Nepal Army has approximately 95,000 active troops (including a small air wing of about 500 personnel); approximately 15,000 Nepal Armed Police (2019 est.) |
| **Netherlands** | the Netherlands Armed Forces have approximately 41,000 active duty personnel (19,000 Army; 8,500 Navy; 8,000 Air Force; 5,800 Constabulary) (2019 est.) |
| **New Zealand** | the New Zealand Defense Force (NZDF) has about 9,600 active duty troops (4,700 Army; 2,300 Navy; 2,600 Air Force) (2020) |
| **Nicaragua** | the Army of Nicaragua has approximately 12,000 active personnel (10,000 Army; 800 Navy; 1,200 Air Force) (2019 est.) |
| **Niger** | size estimates for the Nigerien Armed Forces (FAN) vary; approximately 10,000 active troops (est. 6,000 Army; 200 Air Force; 3,500 Gendarmerie); est. 3,000 National Guard (2019) |
| **Nigeria** | size estimates for the Nigerian Armed Forces vary; approximately 135,000 active personnel (100,000 Army; 20,000 Navy/Coast Guard; 15,000 Air Force); est. 80,000 Security and Civil Defense Corps (2019 est.) |
| **North Macedonia** | the Army of the Republic of North Macedonia (ARSM) has approximately 8,000 active duty personnel (2019 est.) |
| **Norway** | the Norwegian Armed Forces have approximately 23,000 active personnel (8,400 Army; 3,500 Navy; 3,500 Air Force; 600 active Home Guard; 7,000 other, including special operations, cyber, joint staff, intelligence, logistics support, etc.) (2020) |
| | *note:* the Home Guard has approximately 40,000 total personnel |
| **Oman** | the Sultan's Armed Forces (SAF) have approximately 40,000 total active troops (25,000 Army, 4,200 Navy; 4,500 Air Force; 6,400 Royal Guard); 400 Coast Guard; 4,000 Tribal Home Guard (2019 ) |
| **Pakistan** | estimates of the size of the Pakistan militaryâ€™s active force vary; approximately 650,000 active personnel (560,000 Army; 30,000 Navy; 60,000 Air Force); est. 70,000 Frontier Corps; est. 25,000 Pakistan Rangers (2019) |
| **Panama** | the Panamanian Public Security Forces are comprised of approximately 26,000 personnel (20,000 National Police Force; 4,000 National Border Service; 2,000 National Air-Naval Service) (2019 est.) |
| **Papua New Guinea** | the Papau New Guinea Defense Force has approximately 3,000 active duty troops (2,700 Ground; 200 Maritime; 100 Air) (2019) |
| **Paraguay** | the Armed Forces of Paraguay have approximately 14,000 active personnel (8,500 Army; 3,000 Navy; 2,500 Air Force) (2019 est.) |
| **Peru** | Peruvian military size estimates vary widely; approximately 95,000 active personnel (55,000 Army; 25,000 Navy; 15,000 Air Force) (2019 est.) |
| **Philippines** | the Armed Forces of the Philippines (AFP) have approximately 130,000 active duty personnel (90,000 Army; 24,000 Navy; 16,000 Air Force);Â  note - the Navy includes about 8,500 marines) |
| | (2019 est.) |
| **Poland** | the Polish Armed Forces have approximately 105,000 total active duty personnel (60,000 Army; 7,000 Navy; 17,000 Air Force; 3,500 Special Forces; 3,000 Territorial Defense Forces; 14,000 other); approximately 20,000 total Territorial Defense Forces including reservists (2019 est.) |
| | note - in June 2019, the Polish Government approved a plan to increase the size of the military by 50,000 troops over the coming decade |
| **Portugal** | the Portuguese Armed Forces have approximately 26,500 active duty personnel (13,000 Army; 7,500 Navy; 6,000 Air Force); 24,700 National Republican Guard (military personnel) (2019 est.) |
| **Qatar** | size assessments for the Qatari Amiri military vary; approximately 14,000 active personnel (10,000 Land Force, including Emiri Guard; 2,000 Navy, including Coast Guard; 2,000 Air Force); est. 5,000 Internal Security Forces (2019) |
| **Romania** | the Romanian Armed Forces have approximately 72,000 active duty personnel (40,000 Land Forces; 7,000 Naval Forces; 10,000 Air Force; 15,000 joint) (2019 est.) |
| **Russia** | size estimates for the Armed Forces of the Russian Federation vary; approximately 900,000 total active duty troops (400,000 Ground Troops, including 40,000 Airborne Troops; 150,000 Navy; 200,000 Aerospace Forces; 60,000 Strategic Rocket Forces; 90,000 other uniformed personnel (special forces, command and control, support, etc.); est. 200,000 Federal National Guard Troops (2019 est.) |
| **Rwanda** | the Rwanda Defense Force (RDF) has approximately 32,500 active personnel (32,000 Army; 500 Air Force) (2019 est.) |
| **Saudi Arabia** | the Saudi military forces have about 225,000 active troops; approximately 125,000 under the Ministry of Defense (75,000 Land Forces; 13,500 Naval Forces; 35,000 Air Force/Air Defense; 2,500 Strategic Missile Forces) and approximately 100,000 in the Saudi Arabia National Guard (SANG) (2019 ) |
| | *note:* SANG also has an irregular force (Fowj), primarily Bedouin tribal volunteers, with a total strength of approximately 25,000 men |
| **Senegal** | the Senegalese Armed Forces (SAF) consist of approximately 19,000 active personnel (12,000 Army; 1,000 Navy/Coast Guard; 800 Air Force; 5,000 National Gendarmerie) (2019 est.) |
| **Serbia** | size estimates for the Serbian Armed Forces vary; approximately 25,000 active duty troops (13,500 Land Forces; 5,000 Air/Air Defense; 1,500 Guards Brigade; 5,000 other, including training, logistics, intelligence, medical, and other support staff) (2019 est.) |
| **Seychelles** | the Seychelles Peopleâ€™s Defence Forces (SPDF) is comprised of about 500 personnel (200 Land Forces; 200 Coast Guard; 100 Air Force) (2019) |
| **Sierra Leone** | the Republic of Sierra Leone Armed Forces (RSLAF) is comprised of about 8,500 personnel, including an estimated 300 in the air and maritime wings (2019 est.) |
| **Singapore** | the Singapore Armed Forces (SAF) have approximately 62,000 active duty troops (45,000 Army; 7,000 Navy; 10,000 Air Force) (2019) |
| **Slovakia** | the Armed Forces of the Slovak Republic have approximately 15,000 active duty personnel (6,000 Land Forces; 4,000 Air and Air Defense; 5,000 other, including central staff, support, and training duties) (2019 est.) |
| **Slovenia** | the Slovenian Armed Forces have approximately 7,000 active duty troops, including ground, air, and maritime elements (June 2020) |
| **Somalia** | estimates of the size of Somali National Army (SNA) vary widely because of inconsistent and unreliable data, as well as the ongoing integration of various militias; as of January 2020, estimates ranged from approximately 10,500-20,000; note - in 2017, the Somali Government announced a plan for the SNA to eventually number 18,000 troops; the same plan called for 32,000 federal and regional police (2019 est.) |
| | *note:* the US-trained Danab ("Lightning") Brigade numbers about 850 personnel as of April 2020; the unit intends to eventually have as many as 3,000 soldiers |
| **South Africa** | the South African National Defence Force (SANDF) is comprised of approximately 75,000 personnel (40,000 Army; 7,000 Navy; 10,000 Air Force; 8,000 Military Health Service; 10,000 other) (2020 est.) |
| **South Sudan** | the South Sudan Peopleâ€™s Defense Force (SSPDF) has an estimated 190,000 active personnel, including ground, air, and riverine forces (2019) |
| **Spain** | the Spanish Armed Forces have approximately 120,000 active duty troops (70,000 Army; 20,000 Navy; 20,000 Air Force; 10,000 other/joint); 70-75,000 Guardia Civil (2019 est.) |
| **Sri Lanka** | the Sri Lankan military has approximately 250,000 total personnel (180,000 Army; 40,000 Navy; 30,000 Air Force) (2019) |
| **Sudan** | size assessments for the Sudanese Armed Forces (SAF) vary widely, ranging from about 100,000 to more than 200,000 active personnel, including approximately 1,500 Navy and 3,000 Air Force; est. 30-40,000 paramilitary Rapid Support Forces; est. 20,000 Reserve Department (formerly the paramilitary Popular Defense Forces) (2019) |
| | *note:* in August 2020, Sudan and the major rebel group Sudan Peopleâ€™s Liberation Movement-North (SPLM-N) signed an agreement to integrate the group's fighters into the Sudanese Army by the end of 2023 |
| **Suriname** | the Suriname Army is comprised of approximately 1,800 active personnel (ground, air, naval, and military police) (2019 est.) |
| **Sweden** | the Swedish Armed Forces (Forsvarsmakten) have approximately 15,000 active duty troops (6,200 Army; 2,500 Navy; 2,800 Air Force; 3,500 other, including staff, logistics, support, intelligence, etc); 22,000 Home Guard (2019 est.) |
| **Switzerland** | the Swiss Armed Forces maintain a full-time active duty cadre of about 3,000 Army and Air Force personnel along with approximately 18,500 conscripts brought in annually for 18-23 weeks of training (2019 est.) |
| **Syria** | N/A; the Syrian Armed Forces (SAF) are rebuilding and trying to integrate government-allied militias and auxiliary forces while continuing to engage in a civil war; prior to the start of the civil war in 2011, the SAF had approximately 300,000 active troops, including 200-225,000 Army; by 2018, its estimated size was reportedly less than 100,000 due to casualties and desertions (2019 est.) |
| **Taiwan** | the Taiwan military has approximately 170,000 active duty troops (90,000 Army; 40,000 Navy; 40,000 Air Force) (2019) |
| **Tajikistan** | the Armed Forces of the Republic of Tajikistan have approximately 9,500 active troops (8,000 Land and Mobile Forces; 1,500 Air and Air Defense Forces) (2019 est.) |
