CIA - The World Factbook --  Stock of direct foreign investment - at home   

This entry gives the cumulative US dollar value of all investments in the home country made directly by residents - primarily companies - of other countries as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - at home | Date of Information |
| 68 | Angola | $ 16,360,000,000 | 31 December 2008 est. |
| 69 | Cyprus | $ 15,690,000,000 | 31 December 2008 est. |
| 70 | Dominican Republic | $ 15,590,000,000 | 31 December 2008 est. |
| 71 | Bahrain | $ 15,010,000,000 | 31 December 2008 est. |
| 72 | Bermuda | $ 15,010,000,000 | 31 December 2008 est. |
| 73 | Algeria | $ 13,760,000,000 | 31 December 2008 est. |
| 74 | Lithuania | $ 12,850,000,000 | 31 December 2008 est. |
| 75 | Slovenia | $ 11,960,000,000 | 31 December 2008 est. |
| 76 | Serbia | $ 11,950,000,000 | 2006 est. |
| 77 | Cuba | $ 11,240,000,000 | 2006 est. |
| 78 | Libya | $ 11,230,000,000 | 31 December 2008 est. |
| 79 | Malawi | $ 11,230,000,000 | 31 December 2008 est. |
| 80 | Latvia | $ 11,210,000,000 | 31 December 2008 est. |
| 81 | Luxembourg | $ 11,210,000,000 | 31 December 2008 est. |
| 82 | Macau | $ 7,900,000,000 | 2007 |
| 83 | Azerbaijan | $ 7,844,000,000 | 31 December 2008 est. |
| 84 | Iran | $ 6,954,000,000 | 31 December 2008 est. |
| 85 | El Salvador | $ 6,702,000,000 | 31 December 2008 est. |
| 86 | Fiji | $ 6,702,000,000 | 31 December 2008 est. |
| 87 | Bolivia | $ 5,998,000,000 | 31 December 2008 |
| 88 | Bangladesh | $ 5,971,000,000 | 31 December 2008 est. |
| 89 | Chad | $ 4,500,000,000 | 2006 est. |
| 90 | Uruguay | $ 4,190,000,000 | 2007 |
| 91 | Qatar | $ 3,627,000,000 | 2008 est. |
| 92 | Kenya | $ 2,541,000,000 | 31 December 2008 est. |
| 93 | Macedonia | $ 2,405,000,000 | 2007 est. |
| 94 | Moldova | $ 1,813,000,000 | 2008 |
| 95 | Kuwait | $ 1,220,000,000 | 31 December 2008 est. |
| 96 | Paraguay | $ 2,057,000 | 2007 |
