CIA - The World Factbook --  STOCK OF DIRECT FOREIGN INVESTMENT - AT HOME

Stock of direct foreign investment - at home compares the cumulative US dollar value of all investments in the home country made directly by residents - primarily companies - of other countries as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | Country | STOCK OF DIRECT FOREIGN INVESTMENT - AT HOME | Date of Information |
| 70 | Serbia | $26,890,000,000 | 31 December 2009 est. |
| 71 | Estonia | $25,000,000,000 | 31 December 2014 est. |
| 72 | Costa Rica | $24,710,000,000 | 31 December 2014 est. |
| 73 | Uruguay | $23,410,000,000 | 31 December 2014 est. |
| 74 | Cyprus | $21,900,000,000 | 31 December 2014 est. |
| 75 | Kosovo | $21,200,000,000 | 31 December 2014 est. |
| 76 | Macau | $18,910,000,000 | 31 December 2011 est. |
| 77 | Bahrain | $18,890,000,000 | 31 December 2014 est. |
| 78 | Latvia | $17,920,000,000 | 31 December 2014 est. |
| 79 | Slovenia | $17,500,000,000 | 31 December 2014 est. |
| 80 | Libya | $17,430,000,000 | 31 December 2014 est. |
| 81 | Liberia | $17,010,000,000 | 31 December 2014 est. |
| 82 | Mongolia | $15,740,000,000 | 31 December 2013 est. |
| 83 | Malta | $15,170,000,000 | 31 June 2013 |
| 84 | Laos | $15,140,000,000 | 31 December 2012 est. |
| 85 | Ecuador | $14,280,000,000 | 31 December 2014 est. |
| 86 | Georgia | $12,910,000,000 | 31 December 2014 est. |
| 87 | Kuwait | $12,680,000,000 | 31 December 2014 est. |
| 88 | Bolivia | $10,560,000,000 | 31 December 2013 |
| 89 | El Salvador | $9,124,000,000 | 31 December 2014 est. |
| 90 | Bangladesh | $8,625,000,000 | 30 June 2014 est. |
| 91 | Angola | $8,561,000,000 | 31 December 2014 est. |
| 92 | Bosnia and Herzegovina | $7,721,000,000 | 2013 est. |
| 93 | Lithuania | $6,273,000,000 | 31 December 2014 est. |
| 94 | Paraguay | $5,604,000,000 | 31 December 2014 est. |
| 95 | Albania | $4,226,000,000 | 31 December 2011 |
| 96 | Kenya | $4,171,000,000 | 31 December 2014 est. |
| 97 | Fiji | $3,889,000,000 | 31 December 2014 est. |
| 98 | Moldova | $3,448,000,000 | 31 December 2012 est. |
| 99 | Kyrgyzstan | $3,337,000,000 | 31 December 2014 est. |
| 100 | Mali | $2,812,000,000 | 31 December 2014 est. |
| 101 | Sierra Leone | $2,704,000,000 | 31 December 2014 est. |
| 102 | Tajikistan | $2,272,000,000 | 31 December 2013 est. |
| 103 | Haiti | $1,286,000,000 | 31 December 2014 est. |
| 104 | Solomon Islands | $1,088,000,000 | 31 December 2014 est. |
| 105 | Rwanda | $1,016,000,000 | 31 December 2014 est. |
| 106 | Lesotho | $909,100,000 | 31 December 2014 est. |
| 107 | Djibouti | $790,600,000 | 31 December 2014 est. |
| 108 | Vanuatu | $694,100,000 | 31 December 2014 est. |
| 109 | Bhutan | $173,700,000 | 31 December 2014 est. |
| 110 | Tonga | $127,800,000 | 31 December 2014 est. |
| 111 | Nepal | $103,000,000 | 31 July 2013 est. |


