CIA - The World Factbook --  Telephones - mobile cellular   

Telephones - mobile cellular compares the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| 47 | Ethiopia | 20,524,000 | 2012 |
| 48 | Uzbekistan | 20,274,000 | 2012 |
| 49 | Cote d'Ivoire | 19,827,000 | 2012 |
| 50 | Netherlands | 19,643,000 | 2012 |
| 51 | Sri Lanka | 19,533,000 | 2013 |
| 52 | Congo, Democratic Republic of the | 19,487,000 | 2012 |
| 53 | Cambodia | 19,100,000 | 2012 |
| 54 | Nepal | 18,138,000 | 2013 |
| 55 | Afghanistan | 18,000,000 | 2012 |
| 56 | Ecuador | 16,457,000 | 2012 |
| 57 | Hong Kong | 16,403,000 | 2012 |
| 58 | Uganda | 16,355,000 | 2012 |
| 59 | Mali | 14,613,000 | 2012 |
| 60 | Yemen | 13,900,000 | 2012 |
| 61 | United Arab Emirates | 13,775,000 | 2012 |
| 62 | Austria | 13,590,000 | 2012 |
| 63 | Greece | 13,354,000 | 2012 |
| 64 | Cameroon | 13,100,000 | 2012 |
| 65 | Czech Republic | 12,973,000 | 2012 |
| 66 | Syria | 12,928,000 | 2012 |
| 67 | Belgium | 12,880,000 | 2012 |
| 68 | Tunisia | 12,840,000 | 2012 |
| 69 | Zimbabwe | 12,614,000 | 2012 |
| 70 | Portugal | 12,312,000 | 2012 |
| 71 | Sweden | 11,643,000 | 2012 |
| 72 | Hungary | 11,580,000 | 2012 |
| 73 | Senegal | 11,470,000 | 2012 |
| 74 | Bulgaria | 10,780,000 | 2012 |
| 75 | Belarus | 10,675,000 | 2012 |
| 76 | Zambia | 10,525,000 | 2012 |
| 77 | Switzerland | 10,460,000 | 2012 |
| 78 | Azerbaijan | 10,125,000 | 2012 |
| 79 | Burkina Faso | 9,980,000 | 2012 |
| 80 | Angola | 9,800,000 | 2012 |
| 81 | Libya | 9,590,000 | 2012 |
| 82 | Bolivia | 9,494,000 | 2012 |
| 83 | Finland | 9,320,000 | 2012 |
| 84 | Israel | 9,225,000 | 2012 |
| 85 | Serbia | 9,138,000 | 2012 |
| 86 | Dominican Republic | 9,038,000 | 2012 |
| 87 | Jordan | 8,984,000 | 2012 |
| 88 | El Salvador | 8,650,000 | 2012 |
| 89 | Madagascar | 8,564,000 | 2012 |
| 90 | Benin | 8,408,000 | 2012 |
| 91 | Mozambique | 8,108,000 | 2012 |
| 92 | Singapore | 8,063,000 | 2012 |
| 93 | Honduras | 7,370,000 | 2012 |
| 94 | Kyrgyzstan | 6,800,000 | 2012 |
| 95 | Paraguay | 6,790,000 | 2012 |
| 96 | Panama | 6,770,000 | 2012 |
| 97 | Denmark | 6,600,000 | 2012 |
| 98 | Tajikistan | 6,528,000 | 2012 |
| 99 | Laos | 6,492,000 | 2012 |
| 100 | Costa Rica | 6,151,000 | 2012 |
| 101 | Slovakia | 6,095,000 | 2012 |
| 102 | Haiti | 6,095,000 | 2012 |
| 103 | Norway | 5,732,000 | 2012 |
| 104 | Rwanda | 5,690,000 | 2012 |
| 105 | Kuwait | 5,526,000 | 2012 |
| 106 | Burma | 5,440,000 | 2012 |
| 107 | Niger | 5,400,000 | 2012 |
| 108 | Nicaragua | 5,346,000 | 2012 |
| 109 | Oman | 5,278,000 | 2012 |
| 110 | Lithuania | 5,000,000 | 2012 |
| 111 | Uruguay | 5,000,000 | 2012 |
| 112 | Croatia | 4,970,000 | 2012 |
| 113 | New Zealand | 4,922,000 | 2012 |
| 114 | Ireland | 4,906,000 | 2012 |
| 115 | Guinea | 4,781,000 | 2012 |
| 116 | Georgia | 4,699,000 | 2012 |
| 117 | Malawi | 4,420,000 | 2012 |
| 118 | Congo, Republic of the | 4,283,000 | 2012 |
| 119 | Chad | 4,200,000 | 2012 |
| 120 | Moldova | 4,080,000 | 2012 |
| 121 | Mauritania | 4,024,000 | 2012 |
| 122 | Lebanon | 4,000,000 | 2012 |
| 123 | Turkmenistan | 3,953,000 | 2012 |
| 124 | Togo | 3,518,000 | 2012 |
| 125 | Albania | 3,500,000 | 2012 |
| 126 | Mongolia | 3,375,000 | 2012 |
| 127 | Bosnia and Herzegovina | 3,350,000 | 2012 |
| 128 | Armenia | 3,223,000 | 2012 |
| 129 | Botswana | 3,082,000 | 2012 |
| 130 | Puerto Rico | 3,060,000 | 2012 |
| 131 | Gaza Strip | 3,041,000 | 2012 |
| 132 | West Bank | 3,041,000 | 2012 |
| 133 | Gabon | 2,930,000 | 2012 |
| 134 | Papua New Guinea | 2,709,000 | 2012 |
| 135 | Jamaica | 2,665,000 | 2012 |
| 136 | Qatar | 2,600,000 | 2012 |
| 137 | Namibia | 2,435,000 | 2012 |
| 138 | Liberia | 2,394,000 | 2012 |
| 139 | Latvia | 2,310,000 | 2012 |
| 140 | Burundi | 2,247,000 | 2012 |
| 141 | Slovenia | 2,246,000 | 2012 |
| 142 | Macedonia | 2,235,000 | 2012 |
| 143 | Sierra Leone | 2,210,000 | 2012 |
| 144 | Bahrain | 2,125,000 | 2012 |
| 145 | Estonia | 2,070,000 | 2012 |
| 146 | South Sudan | 2,000,000 | 2012 |
| 147 | Trinidad and Tobago | 1,884,000 | 2012 |
| 148 | Korea, North | 1,700,000 | 2012 |
| 149 | Cuba | 1,682,000 | 2012 |
| 150 | Macau | 1,613,000 | 2012 |
| 151 | Gambia, The | 1,526,000 | 2012 |
| 152 | Mauritius | 1,485,000 | 2012 |
| 153 | Lesotho | 1,312,000 | 2012 |
| 154 | Montenegro | 1,126,000 | 2012 |
| 155 | Cyprus | 1,110,000 | 2012 |
| 156 | Guinea-Bissau | 1,100,000 | 2012 |
| 157 | Central African Republic | 1,070,000 | 2012 |
| 158 | Suriname | 977,000 | 2012 |
| 159 | Fiji | 858,800 | 2012 |
| 160 | Swaziland | 805,000 | 2012 |
| 161 | Luxembourg | 761,300 | 2012 |
| 162 | Somalia | 658,000 | 2012 |
| 163 | Timor-Leste | 621,000 | 2012 |
| 164 | Kosovo | 562,000 | 2007 |
| 165 | Bhutan | 560,000 | 2012 |
| 166 | Maldives | 560,000 | 2012 |
| 167 | Guyana | 547,000 | 2012 |
| 168 | Malta | 539,500 | 2012 |
| 169 | Equatorial Guinea | 501,000 | 2012 |
| 170 | Brunei | 469,700 | 2012 |
| 171 | Cabo Verde | 425,300 | 2012 |
| 172 | Barbados | 347,000 | 2012 |
| 173 | Iceland | 346,000 | 2012 |
| 174 | Eritrea | 305,300 | 2012 |
| 175 | Solomon Islands | 302,100 | 2012 |
| 176 | Bahamas, The | 254,000 | 2012 |
| 177 | Comoros | 250,000 | 2012 |
| 178 | New Caledonia | 231,000 | 2012 |
| 179 | Saint Lucia | 227,000 | 2012 |
| 180 | French Polynesia | 226,000 | 2012 |
| 181 | Djibouti | 209,000 | 2012 |
| 182 | Antigua and Barbuda | 179,800 | 2012 |
| 183 | Samoa | 167,400 | 2010 |
| 184 | Belize | 164,200 | 2012 |
| 185 | Seychelles | 138,300 | 2012 |
| 186 | Vanuatu | 137,000 | 2012 |
| 187 | Saint Vincent and the Grenadines | 135,500 | 2012 |
| 188 | Aruba | 135,000 | 2012 |
| 189 | Grenada | 128,000 | 2012 |
| 190 | Sao Tome and Principe | 122,000 | 2012 |
| 191 | Dominica | 109,300 | 2012 |
| 192 | Jersey | 108,000 | 2010 |
| 193 | Guam | 98,000 | 2004 |
| 194 | Cayman Islands | 96,300 | 2012 |
| 195 | Bermuda | 91,000 | 2012 |
| 196 | Saint Kitts and Nevis | 84,000 | 2012 |
| 197 | Virgin Islands | 80,300 | 2005 |
| 198 | Andorra | 65,000 | 2012 |
| 199 | Faroe Islands | 61,000 | 2012 |
| 200 | Greenland | 59,455 | 2012 |
| 201 | Tonga | 56,000 | 2012 |
| 202 | British Virgin Islands | 48,700 | 2012 |
| 203 | Guernsey | 43,800 | 2004 |
| 204 | Liechtenstein | 38,000 | 2012 |
| 205 | San Marino | 36,000 | 2011 |
| 206 | Gibraltar | 34,750 | 2012 |
| 207 | Monaco | 33,200 | 2012 |
| 208 | Micronesia, Federated States of | 27,600 | 2012 |
| 209 | Anguilla | 26,000 | 2012 |
| 210 | Palau | 17,150 | 2012 |
| 211 | Kiribati | 16,000 | 2012 |
| 212 | Cook Islands | 7,800 | 2009 |
| 213 | Nauru | 6,800 | 2012 |
| 214 | Montserrat | 4,000 | 2012 |
| 215 | Marshall Islands | 3,800 | 2010 |
| 216 | Falkland Islands (Islas Malvinas) | 3,450 | 2012 |
| 217 | Tuvalu | 2,800 | 2012 |


