CIA - The World Factbook --  Telephones - mobile cellular   

This entry gives the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| 155 | Korea, North | 1,000,000 | 2011 |
| 156 | Suriname | 947,000 | 2011 |
| 157 | Guinea-Bissau | 869,100 | 2011 |
| 158 | Swaziland | 766,500 | 2011 |
| 159 | Luxembourg | 765,000 | 2011 |
| 160 | Fiji | 727,000 | 2011 |
| 161 | Somalia | 655,000 | 2011 |
| 162 | Timor-Leste | 614,200 | 2011 |
| 163 | Kosovo | 562,000 | 2007 |
| 164 | Maldives | 530,400 | 2011 |
| 165 | Guyana | 528,800 | 2011 |
| 166 | Malta | 521,700 | 2011 |
| 167 | Bhutan | 484,200 | 2011 |
| 168 | Brunei | 443,200 | 2011 |
| 169 | Equatorial Guinea | 426,000 | 2011 |
| 170 | Cape Verde | 396,400 | 2011 |
| 171 | Barbados | 347,900 | 2011 |
| 172 | Iceland | 344,100 | 2011 |
| 173 | Bahamas, The | 298,800 | 2011 |
| 174 | Solomon Islands | 274,900 | 2011 |
| 175 | Eritrea | 241,900 | 2011 |
| 176 | New Caledonia | 227,300 | 2011 |
| 177 | French Polynesia | 222,800 | 2011 |
| 178 | Belize | 222,000 | 2011 |
| 179 | Saint Lucia | 216,500 | 2011 |
| 180 | Comoros | 216,400 | 2011 |
| 181 | Djibouti | 193,000 | 2011 |
| 182 | Antigua and Barbuda | 176,000 | 2011 |
| 183 | Samoa | 167,400 | 2010 |
| 184 | Vanuatu | 137,000 | 2011 |
| 185 | Saint Vincent and the Grenadines | 131,800 | 2011 |
| 186 | Aruba | 131,800 | 2010 |
| 187 | Seychelles | 126,600 | 2011 |
| 188 | Grenada | 121,900 | 2010 |
| 189 | Sao Tome and Principe | 115,000 | 2011 |
| 190 | Dominica | 111,000 | 2011 |
| 191 | Jersey | 108,000 | 2010 |
| 192 | Guam | 98,000 | 2004 |
| 193 | Cayman Islands | 95,100 | 2011 |
| 194 | Bermuda | 88,200 | 2010 |
| 195 | Saint Kitts and Nevis | 84,600 | 2010 |
| 196 | Virgin Islands | 80,300 | 2005 |
| 197 | Andorra | 65,000 | 2011 |
| 198 | Faroe Islands | 59,400 | 2009 |
| 199 | Greenland | 58,700 | 2011 |
| 200 | Tonga | 55,000 | 2011 |
| 201 | British Virgin Islands | 46,800 | 2010 |
| 202 | Guernsey | 43,800 | 2004 |
| 203 | Liechtenstein | 37,000 | 2011 |
| 204 | San Marino | 35,500 | 2011 |
| 205 | Gibraltar | 32,500 | 2010 |
| 206 | Monaco | 31,800 | 2011 |
| 207 | Micronesia, Federated States of | 27,500 | 2010 |
| 208 | Anguilla | 26,000 | 2011 |
| 209 | Palau | 15,400 | 2011 |
| 210 | Kiribati | 13,800 | 2011 |
| 211 | Cook Islands | 7,800 | 2009 |
| 212 | Nauru | 6,700 | 2011 |
| 213 | Montserrat | 4,200 | 2010 |
| 214 | Marshall Islands | 3,800 | 2010 |
| 215 | Falkland Islands (Islas Malvinas) | 3,300 | 2011 |
| 216 | Tuvalu | 2,100 | 2011 |
