CIA - The World Factbook --  TELEPHONES - MOBILE CELLULAR

Telephones - mobile cellular compares the total number of mobile cellular telephone subscribers.

| Rank | Country | TELEPHONES - MOBILE CELLULAR | Date of Information |
| 159 | Suriname | 927,800 | 2014 est. |
| 160 | Swaziland | 916,800 | 2014 est. |
| 161 | Fiji | 876,200 | 2014 est. |
| 162 | Luxembourg | 796,400 | 2014 est. |
| 163 | Timor-Leste | 676,900 | 2014 est. |
| 164 | Maldives | 665,800 | 2014 est. |
| 165 | Bhutan | 628,300 | 2014 est. |
| 166 | Cabo Verde | 613,400 | 2014 est. |
| 167 | Guyana | 566,900 | 2014 est. |
| 168 | Kosovo | 562,000 | 2007 |
| 169 | Malta | 546,200 | 2014 est. |
| 170 | Equatorial Guinea | 516,500 | 2014 est. |
| 171 | Brunei | 465,800 | 2014 est. |
| 172 | Eritrea | 417,400 | 2014 est. |
| 173 | Comoros | 383,000 | 2014 est. |
| 174 | Solomon Islands | 376,700 | 2014 est. |
| 175 | Iceland | 370,000 | 2014 est. |
| 176 | Barbados | 305,500 | 2014 est. |
| 177 | Djibouti | 287,000 | 2014 est. |
| 178 | Bahamas, The | 273,300 | 2014 est. |
| 179 | New Caledonia | 243,100 | 2014 est. |
| 180 | French Polynesia | 239,700 | 2014 est. |
| 181 | Saint Lucia | 188,400 | 2014 est. |
| 182 | Belize | 172,300 | 2014 est. |
| 183 | Vanuatu | 156,100 | 2014 est. |
| 184 | Seychelles | 151,300 | 2014 est. |
| 185 | Aruba | 139,700 | 2014 est. |
| 186 | Grenada | 134,500 | 2014 est. |
| 187 | Sao Tome and Principe | 128,500 | 2014 est. |
| 188 | Saint Vincent and the Grenadines | 115,000 | 2014 est. |
| 189 | Antigua and Barbuda | 109,100 | 2014 est. |
| 190 | Samoa | 106,500 | 2014 est. |
| 191 | Guam | 98,000 | 2004 |
| 192 | Dominica | 92,200 | 2014 est. |
| 193 | Cayman Islands | 91,100 | 2014 est. |
| 194 | Jersey | 83,900 | 2004 |
| 195 | Virgin Islands | 80,300 | 2005 |
| 196 | Saint Kitts and Nevis | 76,600 | 2014 est. |
| 197 | Tonga | 68,000 | 2014 est. |
| 198 | Andorra | 66,200 | 2014 est. |
| 199 | Faroe Islands | 61,400 | 2014 est. |
| 200 | Greenland | 60,800 | 2014 est. |
| 201 | Bermuda | 59,500 | 2014 est. |
| 202 | British Virgin Islands | 48,400 | 2014 est. |
| 203 | Guernsey | 43,800 | 2004 |
| 204 | Liechtenstein | 38,800 | 2014 est. |
| 205 | Gibraltar | 38,000 | 2014 est. |
| 206 | San Marino | 37,600 | 2014 est. |
| 207 | Monaco | 33,700 | 2014 est. |
| 208 | Micronesia, Federated States of | 31,400 | 2013 |
| 209 | Anguilla | 26,000 | 2014 est. |
| 210 | Palau | 19,100 | 2014 est. |
| 211 | Kiribati | 18,100 | 2014 est. |
| 212 | Marshall Islands | 15,500 | 2014 est. |
| 213 | Cook Islands | 7,800 | 2009 |
| 214 | Nauru | 6,800 | 2012 |
| 215 | Montserrat | 4,500 | 2014 est. |
| 216 | Falkland Islands (Islas Malvinas) | 4,200 | 2014 est. |
| 217 | Tuvalu | 3,800 | 2014 est. |


