CIA - The World Factbook --  Telephones - mobile cellular   

This entry gives the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| 41 | Kenya | 16,234,000 | 2008 |
| 42 | Guatemala | 14,949,000 | 2008 |
| 43 | Kazakhstan | 14,911,000 | 2008 |
| 44 | Portugal | 14,910,000 | 2008 |
| 45 | Chile | 14,797,000 | 2008 |
| 46 | Tanzania | 14,723,000 | 2009 |
| 47 | Greece | 13,799,000 | 2008 |
| 48 | Czech Republic | 13,780,000 | 2008 |
| 49 | Uzbekistan | 12,734,000 | 2008 |
| 50 | Hungary | 12,224,000 | 2008 |
| 51 | Belgium | 11,822,000 | 2008 |
| 52 | Ecuador | 11,595,000 | 2008 |
| 53 | Ghana | 11,570,000 | 2008 |
| 54 | Hong Kong | 11,374,000 | 2008 |
| 55 | Sudan | 11,186,000 | 2008 |
| 56 | Sri Lanka | 11,082,000 | 2008 |
| 57 | Sweden | 10,988,000 | 2008 |
| 58 | Austria | 10,816,000 | 2008 |
| 59 | Bulgaria | 10,633,000 | 2008 |
| 60 | Cote d'Ivoire | 10,449,000 | 2008 |
| 61 | Serbia | 9,619,000 | 2008 |
| 62 | United Arab Emirates | 9,358,000 | 2008 |
| 63 | Congo, Democratic Republic of the | 9,263,000 | 2008 |
| 64 | Israel | 8,902,000 | 2008 |
| 65 | Switzerland | 8,780,000 | 2008 |
| 66 | Belarus | 8,693,000 | 2008 |
| 67 | Tunisia | 8,569,000 | 2008 |
| 68 | Uganda | 8,555,000 | 2008 |
| 69 | Afghanistan | 8,450,000 | 2008 |
| 70 | Dominican Republic | 7,210,000 | 2008 |
| 71 | Syria | 7,056,000 | 2008 |
| 72 | El Salvador | 6,951,000 | 2008 |
| 73 | Finland | 6,830,000 | 2008 |
| 74 | Angola | 6,773,000 | 2008 |
| 75 | Denmark | 6,551,000 | 2008 |
| 76 | Azerbaijan | 6,548,000 | 2008 |
| 77 | Singapore | 6,375,000 | 2008 |
| 78 | Honduras | 6,211,000 | 2008 |
| 79 | Cameroon | 6,161,000 | 2008 |
| 80 | Croatia | 5,924,000 | 2008 |
| 81 | Paraguay | 5,791,000 | 2008 |
| 82 | Slovakia | 5,520,000 | 2008 |
| 83 | Senegal | 5,389,000 | 2008 |
| 84 | Jordan | 5,314,000 | 2008 |
| 85 | Norway | 5,287,000 | 2008 |
| 86 | Ireland | 5,048,000 | 2008 |
| 87 | Lithuania | 5,023,000 | 2008 |
| 88 | Madagascar | 4,835,000 | 2008 |
| 89 | Bolivia | 4,830,000 | 2008 |
| 90 | Libya | 4,828,000 | 2008 |
| 91 | New Zealand | 4,620,000 | 2008 |
| 92 | Mozambique | 4,405,000 | 2008 |
| 93 | Cambodia | 4,237,000 | 2008 |
| 94 | Nepal | 4,200,000 | 2008 |
| 95 | Panama | 3,805,000 | 2008 |
| 96 | Yemen | 3,700,000 | 2008 |
| 97 | Zambia | 3,539,000 | 2008 |
| 98 | Uruguay | 3,508,000 | 2008 |
| 99 | Tajikistan | 3,500,000 | 2009 |
| 100 | Benin | 3,435,000 | 2008 |
| 101 | Kyrgyzstan | 3,394,000 | 2008 |
| 102 | Puerto Rico | 3,354,000 | 2005 |
| 103 | Mali | 3,267,000 | 2008 |
| 104 | Oman | 3,219,000 | 2008 |
| 105 | Haiti | 3,200,000 | 2008 |
| 106 | Bosnia and Herzegovina | 3,179,000 | 2008 |
| 107 | Ethiopia | 3,168,000 | 2008 |
| 108 | Albania | 3,141,000 | 2008 |
| 109 | Nicaragua | 3,039,000 | 2008 |
| 110 | Kuwait | 2,907,000 | 2008 |
| 111 | Georgia | 2,755,000 | 2008 |
| 112 | Jamaica | 2,723,000 | 2008 |
| 113 | Guinea | 2,600,000 | 2008 |
| 114 | Burkina Faso | 2,553,000 | 2008 |
| 115 | Estonia | 2,525,000 | 2008 |
| 116 | Macedonia | 2,502,000 | 2008 |
| 117 | Moldova | 2,423,000 | 2008 |
| 118 | Armenia | 2,336,000 | 2008 |
| 119 | Latvia | 2,234,000 | 2008 |
| 120 | Mauritania | 2,092,000 | 2008 |
| 121 | Slovenia | 2,055,000 | 2008 |
| 122 | Costa Rica | 1,887,000 | 2008 |
| 123 | Laos | 1,822,000 | 2008 |
| 124 | Chad | 1,809,000 | 2008 |
| 125 | Congo, Republic of the | 1,807,000 | 2008 |
| 126 | Mongolia | 1,796,000 | 2008 |
| 127 | Malawi | 1,781,000 | 2008 |
| 128 | Qatar | 1,683,000 | 2008 |
| 129 | Niger | 1,677,000 | 2008 |
| 130 | Zimbabwe | 1,655,000 | 2008 |
| 131 | Togo | 1,547,000 | 2008 |
| 132 | Trinidad and Tobago | 1,505,000 | 2008 |
| 133 | Botswana | 1,486,000 | 2008 |
| 134 | Lebanon | 1,430,000 | 2008 |
| 135 | Bahrain | 1,400,000 | 2008 |
| 136 | Rwanda | 1,323,000 | 2008 |
| 137 | Gabon | 1,300,000 | 2008 |
| 138 | Gambia, The | 1,166,000 | 2008 |
| 139 | Gaza Strip | 1,153,000 | 2008 |
| 140 | West Bank | 1,153,000 | 2008 |
| 141 | Namibia | 1,052,000 | 2008 |
| 142 | Mauritius | 1,033,000 | 2008 |
| 143 | Cyprus | 1,017,000 | NA |
| 144 | Sierra Leone | 1,009,000 | 2008 |
| 145 | Macau | 993,545 | 2009 |
| 146 | Turkmenistan | 810,000 | 2008 |
| 147 | Montenegro | 735,000 | 2008 |
| 148 | Liberia | 732,000 | 2008 |
| 149 | Luxembourg | 707,000 | 2008 |
| 150 | Somalia | 627,000 | 2008 |
| 151 | Fiji | 600,000 | 2008 |
| 152 | Papua New Guinea | 600,000 | 2008 |
| 153 | Lesotho | 581,000 | 2008 |
| 154 | Kosovo | 562,000 | 2007 |
| 155 | Guinea-Bissau | 500,200 | 2008 |
| 156 | Burundi | 480,600 | 2008 |
| 157 | Swaziland | 457,000 | 2008 |
| 158 | Maldives | 450,500 | 2009 |
| 159 | Suriname | 416,000 | 2008 |
| 160 | Barbados | 406,000 | 2008 |
| 161 | Malta | 385,600 | 2008 |
| 162 | Brunei | 376,000 | 2008 |
| 163 | Burma | 375,800 | 2008 |
| 164 | Bahamas, The | 358,000 | 2008 |
| 165 | Equatorial Guinea | 346,000 | 2008 |
| 166 | Iceland | 342,000 | 2008 |
| 167 | Cuba | 331,700 | 2008 |
| 168 | Guyana | 281,400 | 2005 |
| 169 | Cape Verde | 277,700 | 2008 |
| 170 | Bhutan | 251,000 | 2008 |
| 171 | Netherlands Antilles | 200,000 | 2004 |
| 172 | New Caledonia | 196,500 | 2008 |
| 173 | French Polynesia | 187,100 | 2008 |
| 174 | Saint Lucia | 169,600 | 2008 |
| 175 | Belize | 160,000 | 2008 |
| 176 | Central African Republic | 154,000 | 2008 |
| 177 | Antigua and Barbuda | 136,600 | 2008 |
| 178 | Saint Vincent and the Grenadines | 130,100 | 2008 |
| 179 | Aruba | 127,100 | 2008 |
| 180 | Samoa | 124,000 | 2008 |
| 181 | Eritrea | 108,600 | 2008 |
| 182 | Timor-Leste | 101,000 | 2008 |
| 183 | Dominica | 100,000 | 2008 |
| 184 | Seychelles | 85,300 | 2008 |
| 185 | Jersey | 83,900 | 2004 |
| 186 | Virgin Islands | 80,300 | 2005 |
| 187 | Saint Kitts and Nevis | 80,000 | 2008 |
| 188 | Bermuda | 79,000 | 2008 |
| 189 | Andorra | 64,200 | 2008 |
| 190 | Grenada | 60,000 | 2008 |
| 191 | Greenland | 55,800 | 2008 |
| 192 | Faroe Islands | 54,900 | 2008 |
| 193 | Tonga | 50,500 | 2008 |
| 194 | Sao Tome and Principe | 49,000 | 2008 |
| 195 | Mayotte | 48,100 | 2005 |
| 196 | Djibouti | 44,100 | 2005 |
| 197 | Guernsey | 43,800 | 2004 |
| 198 | Comoros | 42,000 | 2008 |
| 199 | Vanuatu | 36,000 | 2008 |
| 200 | Micronesia, Federated States of | 34,000 | 2008 |
| 201 | Liechtenstein | 34,000 | 2008 |
| 202 | Cayman Islands | 33,800 | 2004 |
| 203 | Turks and Caicos Islands | 25,100 | 2004 |
| 204 | British Virgin Islands | 23,000 | 2008 |
| 205 | Monaco | 22,000 | 2008 |
| 206 | Northern Mariana Islands | 20,500 | 2004 |
| 207 | Gibraltar | 18,400 | 2004 |
| 208 | San Marino | 17,700 | 2008 |
| 209 | Solomon Islands | 14,000 | 2008 |
| 210 | Anguilla | 13,100 | 2005 |
| 211 | Palau | 12,000 | 2008 |
| 212 | Cook Islands | 6,700 | 2008 |
| 213 | Falkland Islands (Islas Malvinas) | 3,000 | 2008 |
| 214 | Montserrat | 3,000 | 2008 |
| 215 | American Samoa | 2,200 | 2004 |
| 216 | Tuvalu | 2,000 | 2008 |
| 217 | Nauru | 1,500 | 2002 |
| 218 | Kiribati | 1,000 | 2008 |
| 219 | Marshall Islands | 1,000 | 2008 |
| 220 | Niue | 600 | 2004 |
| 221 | Norfolk Island | 0 | 2002 |
| 222 | Western Sahara | 0 | 1999 |
