Field Listing :: Crude oil - exports :: The World Factbook

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | Crude oil - exports |
| **Grenada** | 0 bbl/day (2015 est.) |
| **Guam** | 0 bbl/day (2015 est.) |
| **Guatemala** | 9,383 bbl/day (2017 est.) |
| **Guinea** | 0 bbl/day (2015 est.) |
| **Guinea-Bissau** | 0 bbl/day (2015 est.) |
| **Guyana** | 0 bbl/day (2015 est.) |
| **Haiti** | 0 bbl/day (2015 est.) |
| **Honduras** | 0 bbl/day (2015 est.) |
| **Hong Kong** | 0 bbl/day (2015 est.) |
| **Hungary** | 2,713 bbl/day (2017 est.) |
| **Iceland** | 0 bbl/day (2017 est.) |
| **India** | 0 bbl/day (2015 est.) |
| **Indonesia** | 302,300 bbl/day (2015 est.) |
| **Iran** | 750,200 bbl/day (2015 est.) |
| **Iraq** | 3.092 million bbl/day (2015 est.) |
| **Ireland** | 5,900 bbl/day (2017 est.) |
| **Israel** | 0 bbl/day (2017 est.) |
| **Italy** | 13,790 bbl/day (2017 est.) |
| **Jamaica** | 0 bbl/day (2015 est.) |
| **Japan** | 0 bbl/day (2017 est.) |
| **Jordan** | 0 bbl/day (2015 est.) |
| **Kazakhstan** | 1.409 million bbl/day (2015 est.) |
| **Kenya** | 0 bbl/day (2015 est.) |
| **Kiribati** | 0 bbl/day (2015 est.) |
| **Korea, North** | 0 bbl/day (2015 est.) |
| **Korea, South** | 0 bbl/day (2017 est.) |
| **Kosovo** | 0 bbl/day (2015 est.) |
| **Kuwait** | 479,700 bbl/day (2015 est.) |
| **Kyrgyzstan** | 0 bbl/day (2015 est.) |
| **Laos** | 0 bbl/day (2015 est.) |
| **Latvia** | 0 bbl/day (2017 est.) |
| **Lebanon** | 0 bbl/day (2015 est.) |
| **Lesotho** | 0 bbl/day (2015 est.) |
| **Liberia** | 0 bbl/day (2015 est.) |
| **Libya** | 337,800 bbl/day (2015 est.) |
| | *note:* Libyan crude oil export values are highly volatile because of continuing protests and other disruptions across the country |
| **Lithuania** | 1,002 bbl/day (2015 est.) |
| **Luxembourg** | 0 bbl/day (2017 est.) |
| **Macau** | 0 bbl/day (2015 est.) |
| **Madagascar** | 0 bbl/day (2015 est.) |
| **Malawi** | 0 bbl/day (2015 est.) |
| **Malaysia** | 326,200 bbl/day (2015 est.) |
| **Maldives** | 0 bbl/day (2015 est.) |
| **Mali** | 0 bbl/day (2015 est.) |
| **Malta** | 0 bbl/day (2015 est.) |
| **Marshall Islands** | 0 bbl/day (2015 est.) |
| **Mauritania** | 5,333 bbl/day (2015 est.) |
| **Mauritius** | 0 bbl/day (2015 est.) |
| **Mexico** | 1.214 million bbl/day (2017 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 0 bbl/day (2015 est.) |
| **Mongolia** | 14,360 bbl/day (2015 est.) |
| **Montenegro** | 0 bbl/day (2015 est.) |
| **Montserrat** | 0 bbl/day (2015 est.) |
| **Morocco** | 0 bbl/day (2015 est.) |
| **Mozambique** | 0 bbl/day (2015 est.) |
| **Namibia** | 0 bbl/day (2015 est.) |
| **Nauru** | 0 bbl/day (2015 est.) |
| **Nepal** | 0 bbl/day (2015 est.) |
| **Netherlands** | 7,984 bbl/day (2017 est.) |
| **New Caledonia** | 0 bbl/day (2015 est.) |
| **New Zealand** | 26,440 bbl/day (2017 est.) |
| **Nicaragua** | 0 bbl/day (2015 est.) |
| **Niger** | 0 bbl/day (2015 est.) |
| **Nigeria** | 2.096 million bbl/day (2015 est.) |
| **Niue** | 0 bbl/day (2015 est.) |
| **North Macedonia** | 142 bbl/day (2015 est.) |
| **Norway** | 1.383 million bbl/day (2017 est.) |
| **Oman** | 844,100 bbl/day (2015 est.) |
| **Pakistan** | 13,150 bbl/day (2015 est.) |
| **Panama** | 0 bbl/day (2015 est.) |
| **Papua New Guinea** | 55,600 bbl/day (2015 est.) |
| **Paraguay** | 0 bbl/day (2015 est.) |
| **Peru** | 7,995 bbl/day (2015 est.) |
| **Philippines** | 16,450 bbl/day (2015 est.) |
| **Poland** | 4,451 bbl/day (2017 est.) |
| **Portugal** | 0 bbl/day (2017 est.) |
| **Puerto Rico** | 0 bbl/day (2015 est.) |
| **Qatar** | 1.15 million bbl/day (2015 est.) |
| **Romania** | 2,076 bbl/day (2015 est.) |
| **Russia** | 4.921 million bbl/day (2015 est.) |
| **Rwanda** | 0 bbl/day (2015 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2015 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2015 est.) |
| **Saint Lucia** | 0 bbl/day (2015 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2015 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2015 est.) |
| **Samoa** | 0 bbl/day (2015 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2015 est.) |
| **Saudi Arabia** | 7.341 million bbl/day (2015 est.) |
| **Senegal** | 0 bbl/day (2015 est.) |
| **Serbia** | 123 bbl/day (2015 est.) |
| **Seychelles** | 0 bbl/day (2015 est.) |
| **Sierra Leone** | 0 bbl/day (2015 est.) |
| **Singapore** | 14,780 bbl/day (2015 est.) |
| **Sint Maarten** | 0 bbl/day (2015 est.) |
| **Slovakia** | 1,022 bbl/day (2017 est.) |
| **Slovenia** | 0 bbl/day (2017 est.) |
| **Solomon Islands** | 0 bbl/day (2015 est.) |
| **Somalia** | 0 bbl/day (2015 est.) |
| **South Africa** | 0 bbl/day (2015 est.) |
| **South Sudan** | 147,300 bbl/day (2015 est.) |
| **Spain** | 0 bbl/day (2017 est.) |
| **Sri Lanka** | 0 bbl/day (2015 est.) |
| **Sudan** | 19,540 bbl/day (2015 est.) |
| **Suriname** | 0 bbl/day (2015 est.) |
| **Svalbard** | 16,070 bbl/day (2012 est.) |
| **Sweden** | 14,570 bbl/day (2017 est.) |
| **Switzerland** | 0 bbl/day (2017 est.) |
| **Syria** | 0 bbl/day (2015 est.) |
| **Taiwan** | 0 bbl/day (2015 est.) |
| **Tajikistan** | 0 bbl/day (2015 est.) |
| **Tanzania** | 0 bbl/day (2015 est.) |
| **Thailand** | 790 bbl/day (2015 est.) |
| **Timor-Leste** | 62,060 bbl/day (2015 est.) |
| **Togo** | 0 bbl/day (2015 est.) |
| **Tonga** | 0 bbl/day (2015 est.) |
| **Trinidad and Tobago** | 31,030 bbl/day (2015 est.) |
| **Tunisia** | 39,980 bbl/day (2015 est.) |
| **Turkey** | 0 bbl/day (2017 est.) |
| **Turkmenistan** | 67,790 bbl/day (2015 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2015 est.) |
| **Tuvalu** | 0 bbl/day (2014 est.) |
| **Uganda** | 0 bbl/day (2015 est.) |
| **Ukraine** | 413 bbl/day (2015 est.) |
| **United Arab Emirates** | 2.552 million bbl/day (2015 est.) |
| **United Kingdom** | 710,600 bbl/day (2017 est.) |
| **United States** | 1.158 million bbl/day (2017 est.) |
| **Uruguay** | 0 bbl/day (2015 est.) |
| **Uzbekistan** | 27,000 bbl/day (2015 est.) |
| **Vanuatu** | 0 bbl/day (2015 est.) |
| **Venezuela** | 1.656 million bbl/day (2015 est.) |
| **Vietnam** | 324,600 bbl/day (2015 est.) |
| **Virgin Islands** | 0 bbl/day (2015 est.) |
| **West Bank** | 0 bbl/day (2015 est.) |
| **World** | 43.57 million bbl/day (2014 est.) |
| **Yemen** | 8,990 bbl/day (2015 est.) |
| **Zambia** | 0 bbl/day (2015 est.) |
| **Zimbabwe** | 0 bbl/day (2015 est.) |

