FIELD LISTING :: CRUDE OIL - EXPORTS

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | CRUDE OIL - EXPORTS(BBL/DAY) |
| **Israel** | 0 bbl/day (2015 est.) |
| **Italy** | 24,640 bbl/day (2015 est.) |
| **Jamaica** | 0 bbl/day (2013 est.) |
| **Japan** | 0 bbl/day (2015 est.) |
| **Jordan** | 0 bbl/day (2013 est.) |
| **Kazakhstan** | 1.466 million bbl/day (2013 est.) |
| **Kenya** | 0 bbl/day (2013 est.) |
| **Kiribati** | 0 bbl/day (2013 est.) |
| **Korea, North** | 0 bbl/day (2013 est.) |
| **Korea, South** | 6,510 bbl/day (2015 est.) |
| **Kosovo** | 0 bbl/day (2013 est.) |
| **Kuwait** | 1.711 million bbl/day (2013 est.) |
| **Kyrgyzstan** | 19.65 bbl/day (2013 est.) |
| **Laos** | 0 bbl/day (2013 est.) |
| **Latvia** | 58.95 bbl/day (2013 est.) |
| **Lebanon** | 0 bbl/day (2013 est.) |
| **Lesotho** | 0 bbl/day (2013 est.) |
| **Liberia** | 0 bbl/day (2013 est.) |
| **Libya** | 834,100 bbl/day |
| | *note:* Libyan crude oil export values are highly volatile because of continuing protests and other disruptions across the country (2013 est.) |
| **Lithuania** | 1,316 bbl/day (2013 est.) |
| **Luxembourg** | 0 bbl/day (2015 est.) |
| **Macau** | 0 bbl/day (2013 est.) |
| **Macedonia** | 0 bbl/day (2013 est.) |
| **Madagascar** | 0 bbl/day (2013 est.) |
| **Malawi** | 0 bbl/day (2013 est.) |
| **Malaysia** | 299,100 bbl/day (2013 est.) |
| **Maldives** | 0 bbl/day (2013 est.) |
| **Mali** | 0 bbl/day (2013 est.) |
| **Malta** | 0 bbl/day (2014 est.) |
| **Marshall Islands** | 0 bbl/day (2013 est.) |
| **Mauritania** | 11,250 bbl/day (2013 est.) |
| **Mauritius** | 0 bbl/day (2013 est.) |
| **Mexico** | 1.199 million bbl/day (2015 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 0 bbl/day (2013 est.) |
| **Mongolia** | 14,360 bbl/day (2013 est.) |
| **Montenegro** | 0 bbl/day (2013 est.) |
| **Montserrat** | 0 bbl/day (2013 est.) |
| **Morocco** | 0 bbl/day (2013 est.) |
| **Mozambique** | 0 bbl/day (2013 est.) |
| **Namibia** | 0 bbl/day (2013 est.) |
| **Nauru** | 0 bbl/day (2013 est.) |
| **Nepal** | 0 bbl/day (2013 est.) |
| **Netherlands** | 13,530 bbl/day (2015 est.) |
| **New Caledonia** | 0 bbl/day (2013 est.) |
| **New Zealand** | 34,090 bbl/day (2015 est.) |
| **Nicaragua** | 0 bbl/day (2013 est.) |
| **Nigeria** | 2.231 million bbl/day (2013 est.) |
| **Niger** | 0 bbl/day (2013 est.) |
| **Niue** | 0 bbl/day (2013 est.) |
| **Norway** | 1.255 million bbl/day (2015 est.) |
| **Oman** | 806,000 bbl/day (2013 est.) |
| **Pakistan** | 0 bbl/day (2013 est.) |
| **Panama** | 0 bbl/day (2013 est.) |
| **Papua New Guinea** | 25,400 bbl/day (2013 est.) |
| **Paraguay** | 0 bbl/day (2013 est.) |
| **Peru** | 14,770 bbl/day (2013 est.) |
| **Philippines** | 13,710 bbl/day (2013 est.) |
| **Poland** | 5,162 bbl/day (2015 est.) |
| **Portugal** | 912.3 bbl/day (2015 est.) |
| **Puerto Rico** | 0 bbl/day (2013 est.) |
| **Qatar** | 1.303 million bbl/day (2013 est.) |
| **Romania** | 1,234 bbl/day (2013 est.) |
| **Russia** | 4.888 million bbl/day (2013 est.) |
| **Rwanda** | 0 bbl/day (2013 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2013 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2013 est.) |
| **Saint Lucia** | 0 bbl/day (2013 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2013 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2013 est.) |
| **Samoa** | 0 bbl/day (2013 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2013 est.) |
| **Saudi Arabia** | 7.416 million bbl/day (2013 est.) |
| **Senegal** | 0 bbl/day (2013 est.) |
| **Serbia** | 0 bbl/day (2013 est.) |
| **Seychelles** | 0 bbl/day (2013 est.) |
| **Sierra Leone** | 0 bbl/day (2013 est.) |
| **Singapore** | 11,100 bbl/day (2013 est.) |
| **Slovakia** | 501.5 bbl/day (2015 est.) |
| **Slovenia** | 0 bbl/day (2015 est.) |
| **Solomon Islands** | 0 bbl/day (2013 est.) |
| **Somalia** | 0 bbl/day (2013 est.) |
| **South Africa** | 0 bbl/day (2013 est.) |
| **South Sudan** | 98,680 bbl/day (2013 est.) |
| **Spain** | 54,230 bbl/day (2015 est.) |
| **Sri Lanka** | 0 bbl/day (2013 est.) |
| **Sudan** | 2,060 bbl/day (2013 est.) |
| **Suriname** | 0 bbl/day (2013 est.) |
| **Svalbard** | 16,070 bbl/day (2012 est.) |
| **Swaziland** | 0 bbl/day (2013 est.) |
| **Sweden** | 23,210 bbl/day (2015 est.) |
| **Switzerland** | 0 bbl/day (2015 est.) |
| **Syria** | 0 bbl/day (2013 est.) |
| **Taiwan** | 0 bbl/day (2015 est.) |
| **Tajikistan** | 78.6 bbl/day (2013 est.) |
| **Tanzania** | 0 bbl/day (2013 est.) |
| **Thailand** | 30,010 bbl/day (2013 est.) |
| **Timor-Leste** | 79,260 bbl/day (2013 est.) |
| **Togo** | 0 bbl/day (2013 est.) |
| **Tonga** | 0 bbl/day (2013 est.) |
| **Trinidad and Tobago** | 30,800 bbl/day (2015 est.) |
| **Tunisia** | 48,530 bbl/day (2013 est.) |
| **Turkey** | 8,475 bbl/day (2015 est.) |
| **Turkmenistan** | 70,740 bbl/day (2013 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2013 est.) |
| **Tuvalu** | 0 bbl/day (2014) |
| **Uganda** | 0 bbl/day (2013 est.) |
| **Ukraine** | 668.1 bbl/day (2013 est.) |
| **United Arab Emirates** | 2.637 million bbl/day (2013 est.) |
| **United Kingdom** | 699,700 bbl/day (2015 est.) |
| **United States** | 1.162 million bbl/day (2015 est.) |
| **Uruguay** | 0 bbl/day (2013 est.) |
| **Uzbekistan** | 27,000 bbl/day (2013 est.) |
| **Vanuatu** | 0 bbl/day (2013 est.) |
| **Venezuela** | 1.548 million bbl/day (2013 est.) |
| **Vietnam** | 163,100 bbl/day (2013 est.) |
| **Virgin Islands** | 0 bbl/day (2013 est.) |
| **West Bank** | 0 bbl/day (2013 est.) |
| **Western Sahara** | 0 bbl/day (2013 est.) |
| **World** | 44.53 million bbl/day (2013 est.) |
| **Yemen** | 68,160 bbl/day (2013 est.) |
| **Zambia** | 0 bbl/day (2013 est.) |
| **Zimbabwe** | 0 bbl/day (2013 est.) |
