CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| 142 | Hong Kong | 6.76 | July 2009 est. |
| 143 | Taiwan | 6.76 | July 2009 est. |
| 144 | Virgin Islands | 6.75 | July 2009 est. |
| 145 | Australia | 6.74 | July 2009 est. |
| 146 | Saint Helena | 6.68 | July 2009 est. |
| 147 | Mauritius | 6.59 | July 2009 est. |
| 148 | Netherlands Antilles | 6.48 | July 2009 est. |
| 149 | Jamaica | 6.43 | July 2009 est. |
| 150 | Nauru | 6.42 | July 2009 est. |
| 151 | Brazil | 6.35 | July 2009 est. |
| 152 | Turkmenistan | 6.31 | July 2009 est. |
| 153 | Indonesia | 6.25 | July 2009 est. |
| 154 | India | 6.23 | July 2009 est. |
| 155 | Cape Verde | 6.22 | July 2009 est. |
| 156 | Vietnam | 6.17 | July 2009 est. |
| 157 | Peru | 6.14 | July 2009 est. |
| 158 | Sri Lanka | 6.13 | July 2009 est. |
| 159 | Mongolia | 6.12 | July 2009 est. |
| 160 | Turkey | 6.10 | July 2009 est. |
| 161 | Grenada | 6.09 | July 2009 est. |
| 162 | Lebanon | 6.03 | July 2009 est. |
| 163 | Timor-Leste | 5.98 | July 2009 est. |
| 164 | Antigua and Barbuda | 5.94 | July 2009 est. |
| 165 | Korea, South | 5.94 | July 2009 est. |
| 166 | Andorra | 5.89 | July 2009 est. |
| 167 | Chile | 5.84 | July 2009 est. |
| 168 | Belize | 5.80 | July 2009 est. |
| 169 | Sao Tome and Principe | 5.80 | July 2009 est. |
| 170 | Samoa | 5.79 | July 2009 est. |
| 171 | Iran | 5.72 | July 2009 est. |
| 172 | New Caledonia | 5.68 | July 2009 est. |
| 173 | Fiji | 5.66 | July 2009 est. |
| 174 | Albania | 5.55 | July 2009 est. |
| 175 | Colombia | 5.54 | July 2009 est. |
| 176 | Suriname | 5.51 | July 2009 est. |
| 177 | El Salvador | 5.47 | July 2009 est. |
| 178 | Morocco | 5.45 | July 2009 est. |
| 179 | Israel | 5.43 | July 2009 est. |
| 180 | Honduras | 5.41 | July 2009 est. |
| 181 | Uzbekistan | 5.29 | July 2009 est. |
| 182 | Dominican Republic | 5.28 | July 2009 est. |
| 183 | Tunisia | 5.20 | July 2009 est. |
| 184 | Venezuela | 5.12 | July 2009 est. |
| 185 | Guatemala | 5.11 | July 2009 est. |
| 186 | Philippines | 5.10 | July 2009 est. |
| 187 | Egypt | 5.08 | July 2009 est. |
| 188 | Iraq | 5.03 | July 2009 est. |
| 189 | Malaysia | 5.02 | July 2009 est. |
| 190 | Tonga | 5.02 | July 2009 est. |
| 191 | Ecuador | 4.99 | July 2009 est. |
| 192 | Cayman Islands | 4.89 | July 2009 est. |
| 193 | Mexico | 4.80 | July 2009 est. |
| 194 | French Polynesia | 4.73 | July 2009 est. |
| 195 | Panama | 4.66 | July 2009 est. |
| 196 | Singapore | 4.66 | July 2009 est. |
| 197 | Algeria | 4.64 | July 2009 est. |
| 198 | Syria | 4.61 | July 2009 est. |
| 199 | Marshall Islands | 4.49 | July 2009 est. |
| 200 | Micronesia, Federated States of | 4.46 | July 2009 est. |
| 201 | Paraguay | 4.46 | July 2009 est. |
| 202 | Bahrain | 4.37 | July 2009 est. |
| 203 | British Virgin Islands | 4.37 | July 2009 est. |
| 204 | Anguilla | 4.36 | July 2009 est. |
| 205 | Costa Rica | 4.34 | July 2009 est. |
| 206 | Nicaragua | 4.30 | July 2009 est. |
| 207 | Turks and Caicos Islands | 4.18 | July 2009 est. |
| 208 | American Samoa | 4.10 | July 2009 est. |
| 209 | Solomon Islands | 3.77 | July 2009 est. |
| 210 | West Bank | 3.66 | July 2009 est. |
| 211 | Oman | 3.65 | July 2009 est. |
| 212 | Maldives | 3.65 | July 2009 est. |
| 213 | Macau | 3.50 | July 2009 est. |
| 214 | Libya | 3.45 | July 2009 est. |
| 215 | Gaza Strip | 3.44 | July 2009 est. |
| 216 | Brunei | 3.29 | July 2009 est. |
| 217 | Jordan | 2.75 | July 2009 est. |
| 218 | Saudi Arabia | 2.47 | July 2009 est. |
| 219 | Qatar | 2.46 | July 2009 est. |
| 220 | Kuwait | 2.35 | July 2009 est. |
| 221 | Northern Mariana Islands | 2.32 | July 2009 est. |
| 222 | United Arab Emirates | 2.11 | July 2009 est. |
