Field Listing :: Terrorist groups - home based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations headquartered in a specific country, which may or may not be a group's country of origin. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - home based |
| | *area(s) of operation:* headquartered in Gaza, recruiting and training fighters; stages limited attacks against Israel (2018) |
| **Greece** | Revolutionary Struggle (RS): aim(s): disrupt the influence of globalization and international capitalism on Greek society and, ultimately, overthrow the Greek Government |
| | *area(s) of operation:* operates exclusively inside Greece, primarily in Athens |
| | *note:* largely inactive in recent years, with the exception of shootouts with police officers trying to arrest members (2018) |
| **India** | Hizbul Mujahideen (HM): aim(s): annex the state of Jammu and Kashmir to Pakistan |
| | *area(s) of operation:* HM is an indigenous Kashmiri militant group that operates in Jammu and Kashmir (2018) |
| | Indian Mujahedeen (IM): aim(s): establish Islamic rule in India and, ultimately, convert all non-Muslims to Islam; stated goal is to carry out terrorist attacks against Indians for perceived atrocities against Indian Muslims |
| | *area(s) of operation:* formerly based in the western state of Maharashtra, India's third-largest and second-most populous state, and now probably operates mostly outside India, particularly Nepal (2018) |
| **Indonesia** | ISIS-associated Jemaah Anshorut Daulah (JAD): aim(s): establish an Islamic caliphate in Indonesia |
| | *area(s) of operation:* an ISIS-aligned coalition of cells located throughout the country (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS) network in Indonesia: aim(s): replace the Indonesian Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* maintains a covert operational presence (2018) |
| | Jemaah Islamiyah (JI): aim(s): overthrow the Indonesian Government and, ultimately, establish a pan-Islamic state across Southeast Asia |
| | *area(s) of operation:* Indonesia (2018) |
| **Iran** | *Islamic Revolutionary Guard Corps (IRGC):* |
| | aim(s):Â  protect Iranâ€™s Islamic Revolution; spread Shia influence; internal security, including border control, law enforcement, and suppressing domestic opposition; controls countryâ€™s missiles and rockets; influence Iranâ€™s politics and economy |
| | *area of operation(s):* headquartered in Tehran, throughout Iran |
| | (2019) |
| | *Islamic Revolutionary Guard Corps - Qods Force (IRGC-QF):* |
| | *aim(s):* protect Iranâ€™s Islamic Revolution; spread Shia influence; conduct clandestine overseas operations, often supporting other terrorist organizations (including Sunni groups like the Taliban when their goals align) with significant funding, logistics, training, or weaponry to commit terror attacks, either directly or through proxies; recruit, train, and equip foreign Islamic revolutionary groups throughout the Middle East |
| | *area(s) of operations:* headquartered in Tehran |
| | (2019) |
| | *Jaysh al Adl:* |
| | *note(s):* formerly known as Jundallah |
| **Iraq** | Ansar al-Islam (AAI): aim(s): expel western interests from Iraq and, ultimately, establish an independent Iraqi state operating according to its interpretation of sharia |
| | *area(s) of operation:* headquartered in northern Iraq with its largest presence in Kirkuk, Tikrit, and Mosul; active in the western and central regions of the country |
| | *note:* majority of members are Iraqi Kurds or Iraqi Arabs who are Sunni Muslim (2018) |
| | Jaysh Rijal al-Tariq al-Naqshabandi (JRTN): aim(s): end external influence in Iraq and, ultimately, overthrow the Government of Iraq to install a secular Ba'athist state within the internationally recognized borders of Iraq |
| | *area(s) of operation:* attacks separatist Kurdish groups, Iraqi Government military and security forces and facilities, and foreign military personnel (2018) |
| | Kata'ib Hizballah (KH): aim(s): counter US influence and, ultimately, overthrow the Iraqi Government to install a government based on Shia Muslim laws and precepts |
| | *area(s) of operation:* headquartered in the Shia Muslim areas of Baghdad, with fighters active in Ninawa, Al Anbar, and Babil governorates (2018) |
| | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy and security goals in Iraq, Turkey, Iran, and Syria |
| | *area(s) of operation:* operational in the north and east, with its stronghold in the Qandil Mountains; majority of members inside Iraq are Iraqi, Turkish, and Iranian Kurds, along with Kurds from Syria (2018) |
| **Israel** | Kahane Chai (Kach): aim(s): expel Arabs from Israel's biblical lands and, ultimately, restore the biblical state of Israel |
| | *area(s) of operation:* Israel and West Bank settlements |
| | *note:* considered to be operationally inactive in recent years ( 2018) |
| **Japan** | *Aum Shinrikyo (AUM):* |
| | *aim(s):* attract new members seeking religious guidance and exhibiting a willingness to financially support the organization; historically, leaders sought to overthrow the Japanese Government and to spark a nuclear war between Japan and the US to create a global Armageddon, 'cleansing' the world so its members could achieve salvation |
| | *area(s) of operation:* headquartered in the north in Hokkaido; also operates in Russia |
| | *note:* in November 2017, Japanese police raided the offices of a â€œsuccessorâ€? group to AUM; AUM leader Shoko ASAHARA was executed in July 2018 |
| | (2019) |
| **Lebanon** | Abdallah Azzam Brigades (AAB): aim(s): enhance its networks in Lebanon to combat Shia Muslim influence in the country; seeks to disrupt Israel's economy and its efforts to establish security; attack Western interests in the Middle East |
| | *area(s) of operation:* headquartered in the Ayn al-Hilwah Palestinian refugee camp near Sidon in the south (2018) |
| | Asbat al-Ansar (AAA): aim(s): overthrow the Lebanese Government, rid Lebanon of Western influences, destroy the state of Israel to seize Jerusalem and, ultimately, establish an Islamic state in the Levant region |
| | *area(s) of operation:* headquartered in the Ayn al-Hilwah Palestinian refugee camp near Sidon in the south (2018) |
| | *Hizballah:* aim(s): accrue military resources and political power and defend its position of strength in Lebanon; destroy the state of Israel; counter the West; provide paramilitary support to Syrian President Bashar al-ASAD's regime |
| | *area(s) of operation:* headquartered in Beirut with a significant presence in the Bekaa Valley and Southern Lebanon |
| | *note:* remains the most capable armed group in the country, enjoying support among many Lebanese Shia and some Christians; receives considerable support from Iran (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS) network in Lebanon: aim(s): replace the Lebanese Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* operational primarily in the east along the border with Syria; also maintains a presence in Ayn al-Hilweh refugee camp (2018) |
| **Libya** | al-Qa'ida in the Islamic Maghreb (AQIM): aim(s): overthrow various African regimes and replace them with one ruled by sharia; establish a regional Islamic caliphate across all of North and West Africa |
| | *area(s) of operation:* leadership headquartered in Algeria; operates in Tunisia and Libya (2018) |
| | Ansar al-Sharia groups: aim(s): implement sharia in Libya |
| | *area(s) of operation:* in the east, mostly in Benghazi and Darnah |
| | *note:* officially disbanded in June 2017, but fighters and local elements remain; operated as a member of the Benghazi Revolutionaries Shura Council and Darnah Mujahidin Shura Council, a coalition of jihadist groups combating the Libyan House of Representatives-aligned forces (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS)-Libya: aim(s): prevent the formation of a reunified Libyan state, secure control over the country's critical resources and, ultimately, establish an Islamic caliphate in Libya |
| | *area(s) of operation:* based in Libya since circa 2015, with its original headquarters in Sirte; no longer controls territory in Libya but does maintain a low-profile presence throughout much of the country (2018) |
| **Mali** | al-Mulathamun Battalion: aim(s): implement ISIS's strict interpretation of Sharia; replace the Malian Government with an Islamic state |
| | *area(s) of operation:* headquartered in the north; targets primarily international interests, especially Westerners and Western entities |
| | (2018) |
| | al-Qa'ida-affiliated Jama'at Nusrat al-Islam wal-Muslimin (JNIM): aim(s): establish an Islamic state centered in Mali |
| | *area(s) of operation:* primarily based in northern and central Mali; targets Western and local interests in West Africa and Sahel; has claimed responsibility for attacks in Mali, Niger and Burkina Faso |
| | *note:* pledged allegiance to al-Qa'ida and AQIM; holds Western hostages; wages attacks against security and peacekeeping forces in Mali ( 2018) |
| | Islamic State of Iraq and ash-sham networks in the Greater Sahara (ISGS): aim(s): replace regional governments with an Islamic state |
| | *area(s) of operation:* mostly concentrated along the Mali-Niger border region; targets primarily security forces (2018) |
| | Â  |
| **Niger** | Islamic State of Iraq and ash-sham networks in the Greater Sahara (ISGS): aim(s): replace regional governments with an Islamic state |
| | *area(s) of operation:* mostly concentrated along the Mali-Niger border region; targets primarily security forces (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS)-West Africa: aim(s): implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| | *area(s) of operation:* based primarily in the southeast along the border with Nigeria, with its largest presence in northeast Nigeria and the Lake Chad region; targets primarily regional military installations, especially in the southeastern Diffa region (2018) |
| **Nigeria** | *Boko Haram:* aim(s): replace the Nigerian Government with an Islamic state under strict sharia and, ultimately, establish an Islamic caliphate across Africa; avenge military offenses against the group and destroy any political or social activity associated with Western society; conducts attacks against primarily civilian and regional military targets |
| | *area(s) of operation:* headquartered in the northeast |
| | *note:* since 2009, fighters have killed tens of thousands of Nigerians during hundreds of attacks and disrupted trade and farming in the northeast, causing a risk of famine and displacing millions of people; violently opposes any political or social activity associated with Western society, including voting, attending secular schools, and wearing Western dress (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS)-West Africa: aim(s): implement ISIS's strict interpretation of Sharia; replace the Nigerian Government with an Islamic state |
| | *area(s) of operation:* based primarily in the north along the border with Niger, with its largest presence in the northeast and the Lake Chad region; targets primarily regional military installations and civilians (2018) |
| **Pakistan** | al-Qa'ida (AQ): aim(s): eject Western influence from the Islamic world, unite the worldwide Muslim community, overthrow governments perceived as un-Islamic and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* presence in Pakistan's Federally Administered Tribal Areas (FATA) near the Pakistan-Afghanistan border (2018) |
| | al-Qa'ida in the Indian Subcontinent (AQIS): aim(s): establish an Islamic caliphate in the Indian subcontinent |
| | *area(s) of operation:* operational throughout the country, targeting military and security personnel; responsible for numerous attacks in Karachi; stages attacks in Afghanistan, India, and Bangladesh, where the group is the most active (2018) |
| | Haqqani Network (HQN): aim(s): enhance its operational networks and capabilities for staging cross-border attacks in Afghanistan; replace the Afghan Government with an Islamic state operating according to a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* headquartered in the Federally Administered Tribal Areas (FATA) region located across from Afghanistan's southeastern border; fighters have staged numerous cross-border operations from Kurram and North Waziristan Agency in the FATA into Afghanistan, targeting Afghan, US, and NATO forces and other Afghan Government personnel and Westerners for attack or kidnappings for ransom (2018) |
| | Harakat ul-Jihad-i-Islami (HUJI): aim(s): overthrow the Pakistan Government and implement sharia throughout the country |
| | *area(s) of operation:* headquartered in Pakistan, where the group operates several camps; remains heavily active in the southern area of Azad Kashmir (2018) |
| | Harakat ul-Mujahidin (HUM): aim(s): annex Kashmir to Pakistan and establish an Islamic state in Kashmir |
| | *area(s) of operation:* headquartered in Islamabad, with an operational presence in Muzaffarabad in Azad Kashmir, where operatives stage attacks against India; maintains training and paramilitary camps in the country's Federally Administered Tribal Areas (FATA) region (2018) |
| | Jaish-e-Mohammed (JEM): aim(s): unite Kashmir with Pakistan, install sharia in Pakistan, and drive foreign forces from Afghanistan |
| | *area(s) of operation:* headquartered in Punjab Province; stages attacks against Indian forces, primarily in Jammu and Kashmir State (2018) |
| | *Jaysh al Adl:* aim(s): seeks greater autonomy for Balochis in Pakistan and Iran |
| | *area(s) of operation:* headquartered in Balochistan Province, where operatives stage attacks inside Iran against Shia Muslims, primarily targets Iranian soldiers and security personnel |
| | *note:* formerly known as Jundallah (2018) |
| | Lashkar i Jhangvi (LJ): aim(s): exterminate Shia Muslims, rid the region of Western influence and, ultimately, establish an Islamic state in Pakistan under sharia |
| | *area(s) of operation:* has a growing presence in Karachi, the capital of Sindh Province; loosely coordinated cells are spread across the country, primarily in Punjab and Balochistan provinces, Karachi, and in the Federally Administered Tribal Areas (FATA) region; majority of attacks are against local and foreign Shia Muslims and government personnel and facilities (2018) |
| | *Lashkar-e Tayyiba (LT):* |
| | *aim(s):* return the Indian state of Jammu and Kashmir to Pakistan and foment Islamic insurgency in India; enhance its recruitment networks and paramilitary training in South Asia; and, ultimately, implement Islamic rule throughout South Asia |
| | *area(s) of operation:* headquartered in Lahore, Punjab Province, with an operational presence throughout the country; active in both the Pakistan-administered and India-administered Kashmir regions |
| | *note:* does not conduct attacks within Pakistan; often operates under the guise of its charitable affiliates, including Jamaat-ud-Dawa (2018) |
| **Peru** | Shining Path (Sendero Luminoso, SL): aim(s): generate revenue by providing security for narcotics trafficking and growing coca to produce cocaine; historically, SL's goal has been to replace Peruvian institutions with a peasant revolutionary regime |
| | *area(s) of operation:* headquartered in the Valley of the Apurimac, Ene, and Mantaro River (VRAEM) region (2018) |
| **Philippines** | Abu Sayyaf Group (ASG): aim(s): establish an Islamic State in the Philippines' Mindanao Island and the Sulu Archipelago, and ultimately, an Islamic caliphate across Southeast Asia |
| | *area(s) of operation:* southern Philippines in Mindanao and the Sulu Archipelago region (2018) |
| | Communist Party of the Philippines/New People's Army (CPP/NPA): aim(s): destabilize the Philippines' economy to inspire the populace to revolt against the government and, ultimately, overthrow the Philippine Government |
| | *area(s) of operation:* operates throughout most of the country, primarily in rural regions, with its strongest presence in the Sierra Madre Mountains, rural Luzon, Visayas, and parts of northern and eastern Mindanao; maintains cells in Manila, Davao City, and other metropolitan areas (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS) network in Philippines: aim(s): replace the Philippine Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* Mindanao and the Sulu Archipelago region (2018) |
| **Somalia** | al-Shabaab: aim(s): discredit and destabilize the Federal Government of Somalia and target any countries or entities that support Somalia's fight against al-Shabaab; establish Islamic rule across Somalia |
| | *area(s) of operation:* a core al-Qa'ida affiliate that maintains strongholds in rural areas in the south, where it controls a large swathe of the Lower and Middle Juba and Lower Shabelle regions; responsible for numerous high-profile bombings and shootings throughout Somalia and in the northeast in Puntland State (2018) |
| | *Islamic State of Iraq and ash-Sham (ISIS) networks in Somalia:* |
| | *aim(s):* replace the Federal Government of Somalia with an Islamic state and implement ISIS's strict interpretation of Sharia; replace al-Shabaab as the dominant armed opposition to federal authority in Somalia |
| | *area(s) of operation:* directs operations, recruitment, and training from Puntland, the semiautonomous region in the northeast; conducts sporadic attacks against African Union and Somali Government personnel throughout the country (2018) |
| **Spain** | *Basque Fatherland and Liberty (ETA):* |
| | *aim(s):* establish an independent Basque homeland in northern Spain and southwestern France based on Marxist principles |
| | *area(s) of operation:* headquartered in northern Spain, reportedly disarmed in 2017 (2018) |
| **Sri Lanka** | Liberation Tigers of Tamil Eelam (LTTE): aim(s): revive the movement to establish a Tamil homeland |
| | *area(s) of operation:* presence is primarily in the east where members occasionally plot attacks (2018) |
| **Syria** | al-Nusrah Front: aim(s): overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* headquartered in the northwestern Idlib Governorate, with a minor presence in Halab Governorate; operational primarily in northern, western, and southern Syria; installs Sharia in areas under its control; targets primarily Syrian regime and pro-regime forces, some minorities, other Syrian insurgent groups, and occasionally Western interests (2018) |
| | Hay'at Tahrir al-Sham (HTS): aim(s): an alias of the al-Nusrah Front; overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and, ultimately, establish a regional Islamic caliphate |
| | *area(s) of operation:* Northwest Syria (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS): aim(s): replace the world order with a global Islamic state based in Iraq and Syria; expand its branches and networks in other countries; rule according to ISIS's strict interpretation of Islamic law |
| | *area(s) of operation:* ISIS has lost most of the territory it once controlled and now its overt territorial control is limited to pockets of land along the Syria-Iraq border and in southern Syria (2018) |
| **Tunisia** | al-Qa'ida in the Islamic Maghreb (AQIM): aim(s): overthrow various African regimes and replace them with one ruled by Sharia; establish a regional Islamic caliphate across all of North and West Africa |
| | *area(s) of operation:* leadership headquartered in Algeria; operates in Tunisia and Libya |
| | *note:* al-Qa'ida's affiliate in North Africa; Tunisia-based branch known as the Uqbah bin Nafi Battalion; Mali-based cadre merged with allies to form JNIM in March 2017, which pledged allegiance to AQIM and al-Qa'ida (2018) |
| | Ansar al-Sharia in Tunisia (AAS-T): aim(s): expand its influence in Tunisia and, ultimately, replace the Tunisian Government with Sharia |
| | *area(s) of operation:* headquartered in Tunisia; members instigate riots and violent demonstrations and engage in attacks, targeting Tunisian military and security personnel, Tunisian politicians, religious sites, and Western interests (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS) network in Tunisia (to include pro-ISIS cells and designated Jund al-Khilafah (JAK-T)): aim(s): replace the Tunisian Government with an Islamic state and implement ISIS's strict interpretation of Sharia |
| | *area(s) of operation:* Tunisian ISIS fighters stage attacks just across the border in Libya against government facilities and personnel and foreign tourists in Tunisia (2018) |
| **Turkey** | Islamic State of Iraq and ash-Sham (ISIS) networks in Turkey: aim(s): replace the Turkish Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* moves fighters and supplies across the Turkey-Syria border; has periodically conducted attacks against civilian and government security targets (2018) |
| | Revolutionary People's Liberation Party/Front (DHKP/C): aim(s): install a Marxist-Leninist government in Turkey |
| | *area(s) of operation:* membership centered in Turkey, leadership primarily spread throughout Europe; in recent years has revived its attacks against Turkish Government elements, primarily in Istanbul; outlawed in Turkey (2018) |
| **United Kingdom** | Continuity Irish Republican Army (CIRA): aim(s): disrupt the Northern Ireland peace process; remove British rule in Northern Ireland and, ultimately, unify Ireland |
| | *area(s) of operation:* based and operationally active primarily in Belfast and along the Northern Ireland-Ireland border, where operatives continue to carry out bombings, assassinations, kidnappings, hijackings, extortion, and robberies (2018) |
| | New Irish Republican Army (NIRA): aim(s): use violence to remove British rule in Northern Ireland, disrupt the Northern Ireland peace process, and unify Ireland |
| | *area(s) of operation:* based and operationally active in Northern Ireland, where operatives continue to conduct occasional shootings and small-scale bombings; maintains a presence in Great Britain |
| | *note:* formerly known as the Real Irish Republican Army (RIRA) (2018) |
| **West Bank** | Kahane Chai (Kach): aim(s): restore the biblical state of Israel; expel Arabs from Israel's biblical lands |
| | *area(s) of operation:* present in West Bank Jewish settlements, especially the Qiryat Arba' settlement in Hebron, where operatives have conducted bombings and shootings against Muslim and Christian Palestinians; operationally inactive in recent years (2018) |
| **Yemen** | al-Qa'ida in the Arabian Peninsula (AQAP): aim(s): overthrow the Yemen Government and Huthi forces and, ultimately, establish an Islamic caliphate; eradicate US and Western influence and presence from Yemen and the rest of the Arabian Peninsula |
| | *area(s) of operation:* a core al-Qa'ida affiliate; most active in southern, eastern, and central Yemen (2018) |
| | Islamic State of Iraq and ash-Sham-Yemen (ISIS-Yemen): aim(s): replace the Yemen Government and Huthi forces with an Islamic state and implement ISIS's strict interpretation of sharia |
| | *area(s) of operation:* operational primarily in south and central Yemen, where operatives conduct attacks against Huthi forces, Shia Muslims, and government facilities and personnel (2018) |

