Field Listing :: Current Health Expenditure :: The World Factbook

Current Health Expenditure (CHE) describes the share of spending on health in each country relative to the size of its economy.  It includes expenditures corresponding to the final consumption of health care goods and services and excludes investment, exports, and intermediate consumption.  CHE shows the importance of the health sector in the economy and indicates the priority given to health in monetary terms.  Note: Current Health Expenditure replaces the former Health Expenditures field and is calculated differently.

| Country | Current Health Expenditure |
| **Djibouti** | 3.3% (2017) |
| **Dominica** | 5.9% (2017) |
| **Dominican Republic** | 6.1% (2017) |
| **Ecuador** | 8.3% (2017) |
| **Egypt** | 5.3% (2017) |
| **El Salvador** | 7.2% (2017) |
| **Equatorial Guinea** | 3.1% (2017) |
| **Eritrea** | 2.9% (2017) |
| **Estonia** | 6.4% (2017) |
| **Eswatini** | 6.9% (2017) |
| **Ethiopia** | 3.5% (2017) |
| **European Union** | 9.9% (2016) |
| **Fiji** | 3.5% (2017) |
| **Finland** | 9.2% (2017) |
| **France** | 11.3% (2017) |
| **Gabon** | 2.8% (2017) |
| **Gambia, The** | 3.3% (2017) |
| **Georgia** | 7.6% (2017) |
| **Germany** | 11.2% (2017) |
| **Ghana** | 3.3% (2017) |
| **Greece** | 8% (2017) |
| **Grenada** | 4.8% (2017) |
| **Guatemala** | 5.8% (2017) |
| **Guernsey** | |
| **Guinea** | 4.1% (2017) |
| **Guinea-Bissau** | 7.2% (2017) |
| **Guyana** | 4.9% (2017) |
| **Haiti** | 8% (2017) |
| **Honduras** | 7.9% (2017) |
| **Hungary** | 6.9% (2017) |
| **Iceland** | 8.3% (2017) |
| **India** | 3.5% (2017) |
| **Indonesia** | 3% (2017) |
| **Iran** | 8.7% (2017) |
| **Iraq** | 4.2% (2017) |
| **Ireland** | 7.2% (2017) |
| **Israel** | 7.4% (2017) |
| **Italy** | 8.8% (2017) |
| **Jamaica** | 6% (2017) |
| **Japan** | 10.9% (2017) |
| **Jordan** | 8.1% (2017) |
| **Kazakhstan** | 3.1% (2017) |
| **Kenya** | 4.8% (2017) |
| **Kiribati** | 10.8% (2017) |
| **Korea, South** | 7.6% (2017) |
| **Kuwait** | 5.3% (2017) |
| **Kyrgyzstan** | 6.2% (2017) |
| **Laos** | 2.5% (2017) |
| **Latvia** | 6% (2017) |
| **Lebanon** | 8.2% (2017) |
| **Lesotho** | 8.8% (2017) |
| **Liberia** | 8.2% (2017) |
| **Lithuania** | 6.5% (2017) |
| **Luxembourg** | 5.5% (2017) |
| **Madagascar** | 5.5% (2017) |
| **Malawi** | 9.6% (2017) |
| **Malaysia** | 3.9% (2017) |
| **Maldives** | 9% (2017) |
| **Mali** | 3.8% (2017) |
| **Malta** | 9.3% (2017) |
| **Marshall Islands** | 16.4% (2017) |
| **Mauritania** | 4.4% (2017) |
| **Mauritius** | 5.7% (2017) |
| **Mexico** | 5.5% (2017) |
| **Micronesia, Federated States of** | 12.4% (2017) |
| **Moldova** | 7% (2017) |
| **Monaco** | 1.8% (2017) |
| **Mongolia** | 4% (2017) |
| **Montenegro** | 7.6% (2016) |
| **Morocco** | 5.2% (2017) |
| **Mozambique** | 4.9% (2017) |
| **Namibia** | 8.6% (2017) |
| **Nauru** | 11% (2017) |
| **Nepal** | 5.6% (2017) |
| **Netherlands** | 10.1% (2017) |
| **New Zealand** | 9.2% (2017) |
| **Nicaragua** | 8.6% (2017) |
| **Niger** | 7.7% (2017) |
| **Nigeria** | 3.8% (2017) |
| **Niue** | 8.6% (2017) |
| **North Macedonia** | 6.1% (2017) |
| **Norway** | 10.4% (2017) |
| **Oman** | 3.8% (2017) |
| **Pakistan** | 2.9% (2017) |
| **Palau** | 12% (2017) |
| **Panama** | 7.3% (2017) |
| **Papua New Guinea** | 2.5% (2017) |
| **Paraguay** | 6.7% (2017) |
| **Peru** | 5% (2017) |
| **Philippines** | 4.4% (2017) |
| **Poland** | 6.5% (2017) |
| **Portugal** | 9% (2017) |
| **Qatar** | 2.6% (2017) |
| **Romania** | 5.2% (2017) |
| **Russia** | 5.3% (2017) |
| **Rwanda** | 6.6% (2017) |
| **Saint Kitts and Nevis** | 5% (2017) |
| **Saint Lucia** | 4.5% (2017) |
| **Saint Vincent and the Grenadines** | 4.5% (2017) |
| **Samoa** | 5.5% (2017) |
| **San Marino** | 7.4% (2017) |
| **Sao Tome and Principe** | 6.2% (2017) |
| **Saudi Arabia** | 5.2% (2017) |
| **Senegal** | 4.1% (2017) |
| **Serbia** | 8.4% (2017) |
| **Seychelles** | 5% (2017) |
| **Sierra Leone** | 13.4% (2017) |
| **Singapore** | 4.4% (2017) |
| **Slovakia** | 6.7% (2017) |
| **Slovenia** | 8.2% (2017) |
| **Solomon Islands** | 4.7% (2017) |
| **South Africa** | 8.1% (2017) |
| **South Sudan** | 9.8% (2017) |
| **Spain** | 8.9% (2017) |
| **Sri Lanka** | 3.8% (2017) |
| **Sudan** | 6.3% (2017) |
| **Suriname** | 6.2% (2017) |
| **Sweden** | 11% (2017) |
| **Switzerland** | 12.3% (2017) |
| **Tajikistan** | 7.2% (2017) |
| **Tanzania** | 3.6% (2017) |
| **Thailand** | 3.7% (2017) |
| **Timor-Leste** | 3.9% (2017) |
| **Togo** | 6.2% (2017) |
| **Tonga** | 5.3% (2017) |
| **Trinidad and Tobago** | 7% (2017) |
| **Tunisia** | 7.2% (2017) |
| **Turkey** | 4.2% (2017) |
| **Turkmenistan** | 6.9% (2017) |
| **Tuvalu** | 17.1% (2017) |
| **Uganda** | 6.3% (2017) |
| **Ukraine** | 7% (2017) |
| **United Arab Emirates** | 3.3% (2017) |
| **United Kingdom** | 9.6% (2017) |
| **United States** | 17.1% (2017) |
| **Uruguay** | 9.3% (2017) |
| **Uzbekistan** | 6.4% (2017) |
| **Vanuatu** | 3.3% (2017) |
| **Venezuela** | 1.2% (2017) |
| **Vietnam** | 5.5% (2017) |
| **World** | 10% (2016) |
| **Yemen** | 5.6% (2015) |
| **Zambia** | 4.5% (2017) |
| **Zimbabwe** | 6.6% (2017) |

