CIA - The World Factbook --  MARKET VALUE OF PUBLICLY TRADED SHARES

Market value of publicly traded shares compares the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | Country | MARKET VALUE OF PUBLICLY TRADED SHARES | Date of Information |
| 90 | Slovakia | $4,492,000,000 | 30 November 2016 est. |
| 91 | El Salvador | $4,400,000,000 | December 2016 est. |
| 92 | Zimbabwe | $4,073,000,000 | 13 April 2015 est. |
| 93 | Iraq | $4,000,000,000 | 9 December 2011 |
| 94 | West Bank | $3,339,000,000 | 31 December 2015 est. |
| 95 | Zambia | $3,004,000,000 | 31 December 2012 est. |
| 96 | Iceland | $2,825,000,000 | 31 December 2012 est. |
| 97 | Bahamas, The | $2,780,000,000 | 31 December 2012 est. |
| 98 | Cyprus | $2,692,000,000 | 31 December 2015 est. |
| 99 | Macedonia | $2,078,000,000 | 31 December 2016 |
| 100 | Costa Rica | $2,015,000,000 | 31 December 2012 est. |
| 101 | Bermuda | $1,850,000,000 | 31 December 2015 est. |
| 102 | Tanzania | $1,803,000,000 | 31 December 2012 est. |
| 103 | Nicaragua | $1,568,000,000 | 31 December 2016 |
| 104 | Namibia | $1,305,000,000 | 31 December 2012 est. |
| 105 | Georgia | $1,155,000,000 | 31 December 2015 est. |
| 106 | Laos | $1,012,000,000 | 2012 est. |
| 107 | Paraguay | $962,300,000 | 31 December 2012 est. |
| 108 | Malawi | $796,200,000 | 31 December 2016 est. |
| 109 | Kazakhstan | $744,000,000 | 31 December 2016 est. |
| 110 | Mongolia | $632,600,000 | 31 December 2015 est. |
| 111 | Guyana | $610,900,000 | 31 December 2012 est. |
| 112 | Saint Kitts and Nevis | $598,400,000 | 31 December 2011 |
| 113 | Maldives | $555,000,000 | 31 December 2011 est. |
| 114 | Fiji | $452,500,000 | 31 December 2012 est. |
| 115 | Bhutan | $355,300,000 | 31 December 2015 |
| 116 | Cayman Islands | $315,600,000 | 31 December 2015 est. |
| 117 | Cameroon | $230,000,000 | 31 December 2012 est. |
| 118 | Trinidad and Tobago | $177,400,000 | 31 December 2015 est. |
| 119 | Uruguay | $175,400,000 | 31 December 2012 est. |
| 120 | Kyrgyzstan | $165,000,000 | 31 December 2012 est. |
| 121 | Armenia | $132,100,000 | 31 December 2012 est. |
| 122 | Moldova | $9,723,000 | 31 December 2014 est. |
| 123 | Tuvalu | $0 | 2014 |


