CIA - The World Factbook --  Market value of publicly traded shares   

This entry gives the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| 53 | Ukraine | $ 39,460,000,000 | 31 December 2010 |
| 54 | Pakistan | $ 38,170,000,000 | 31 December 2010 |
| 55 | New Zealand | $ 36,300,000,000 | 31 December 2010 |
| 56 | Ireland | $ 33,720,000,000 | 31 December 2010 |
| 57 | Romania | $ 32,380,000,000 | 31 December 2010 |
| 58 | Jordan | $ 30,860,000,000 | 31 December 2010 |
| 59 | Hungary | $ 27,710,000,000 | 31 December 2010 |
| 60 | Vietnam | $ 26,000,000,000 | 31 December 2011 |
| 61 | Croatia | $ 24,910,000,000 | 31 December 2010 |
| 62 | Bahrain | $ 20,430,000,000 | 31 December 2010 |
| 63 | Oman | $ 20,270,000,000 | 31 December 2010 |
| 64 | Sri Lanka | $ 19,920,000,000 | 31 December 2010 |
| 65 | Bangladesh | $ 15,680,000,000 | 31 December 2010 |
| 66 | Kenya | $ 14,460,000,000 | 31 December 2010 |
| 67 | Lebanon | $ 12,590,000,000 | 31 December 2010 |
| 68 | Trinidad and Tobago | $ 12,160,000,000 | 31 December 2010 |
| 69 | Zimbabwe | $ 11,480,000,000 | 31 December 2010 |
| 70 | Panama | $ 10,920,000,000 | 31 December 2010 |
| 71 | Tunisia | $ 10,680,000,000 | 31 December 2010 |
| 72 | Papua New Guinea | $ 9,742,000,000 | 31 December 2010 |
| 73 | Serbia | $ 9,690,000,000 | 31 December 2010 |
| 74 | Slovenia | $ 9,428,000,000 | 31 December 2010 |
| 75 | Bulgaria | $ 7,276,000,000 | 31 December 2010 |
| 76 | Cote d'Ivoire | $ 7,099,000,000 | 31 December 2010 |
| 77 | Cyprus | $ 6,834,000,000 | 31 December 2010 |
| 78 | Jamaica | $ 6,626,000,000 | 31 December 2010 |
| 79 | Mauritius | $ 6,506,000,000 | 31 December 2010 |
| 80 | Lithuania | $ 5,661,000,000 | 31 December 2010 |
| 81 | Ecuador | $ 5,263,000,000 | 31 December 2010 |
| 82 | Nepal | $ 4,843,000,000 | 31 December 2010 |
| 83 | Barbados | $ 4,366,000,000 | 31 December 2010 |
| 84 | El Salvador | $ 4,227,000,000 | 31 December 2010 |
| 85 | Slovakia | $ 4,150,000,000 | 31 December 2010 |
| 86 | Botswana | $ 4,076,000,000 | 31 December 2010 |
| 87 | Venezuela | $ 3,991,000,000 | 31 December 2010 |
| 88 | Bolivia | $ 3,915,000,000 | 31 December 2010 |
| 89 | Montenegro | $ 3,604,000,000 | 31 December 2010 |
| 90 | Ghana | $ 3,531,000,000 | 31 December 2010 |
| 91 | Zambia | $ 2,817,000,000 | 31 December 2010 |
| 92 | Macedonia | $ 2,647,000,000 | 31 December 2010 |
| 93 | Iraq | $ 2,600,000,000 | 31 July 2010 |
| 94 | West Bank | $ 2,450,000,000 | 31 December 2010 |
| 95 | Malta | $ 2,399,000,000 | 31 December 2010 |
| 96 | Macau | $ 2,300,000,000 | 31 December 2008 |
| 97 | Estonia | $ 2,260,000,000 | 31 December 2010 |
| 98 | Iceland | $ 1,996,000,000 | 31 December 2010 |
| 99 | Uganda | $ 1,788,000,000 | 31 December 2010 |
| 100 | Bermuda | $ 1,535,000,000 | 31 December 2010 |
| 101 | Costa Rica | $ 1,445,000,000 | 31 December 2010 |
| 102 | Fiji | $ 1,404,000,000 | 31 December 2010 |
| 103 | Malawi | $ 1,363,000,000 | 31 December 2010 |
| 104 | Tanzania | $ 1,264,000,000 | 31 December 2010 |
| 105 | Latvia | $ 1,252,000,000 | 31 December 2010 |
| 106 | Namibia | $ 1,176,000,000 | 31 December 2010 |
| 107 | Mongolia | $ 1,093,000,000 | 31 December 2010 |
| 108 | Georgia | $ 1,060,000,000 | 31 December 2010 |
| 109 | Uzbekistan | $ 715,300,000 | 31 December 2006 |
| 110 | Saint Kitts and Nevis | $ 623,900,000 | 31 December 2010 |
| 111 | Guyana | $ 339,800,000 | 31 December 2010 |
| 112 | Uruguay | $ 238,000,000 | 31 December 2010 |
| 113 | Swaziland | $ 203,100,000 | 31 December 2007 |
| 114 | Cayman Islands | $ 183,500,000 | 31 December 2007 |
| 115 | Kyrgyzstan | $ 79,000,000 | 31 December 2010 |
| 116 | Paraguay | $ 42,000,000 | 31 December 2010 |
| 117 | Armenia | $ 27,990,000 | 31 December 2010 |
