CIA - The World Factbook --  MARKET VALUE OF PUBLICLY TRADED SHARES

Market value of publicly traded shares compares the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | Country | MARKET VALUE OF PUBLICLY TRADED SHARES | Date of Information |
| 90 | Iraq | $4,000,000,000 | 9 December 2011 |
| 91 | Lithuania | $3,964,000,000 | 31 December 2012 est. |
| 92 | Ghana | $3,465,000,000 | 31 December 2012 est. |
| 93 | Zambia | $3,004,000,000 | 31 December 2012 est. |
| 94 | Iceland | $2,825,000,000 | 31 December 2012 est. |
| 95 | Bahamas, The | $2,780,000,000 | 31 December 2012 est. |
| 96 | Cyprus | $2,692,000,000 | 31 December 2015 est. |
| 97 | West Bank | $2,634,000,000 | 31 December 2015 est. |
| 98 | Macedonia | $2,084,000,000 | 31 December 2014 |
| 99 | Estonia | $2,034,000,000 | 31 December 2014 est. |
| 100 | Costa Rica | $2,015,000,000 | 31 December 2012 est. |
| 101 | Bermuda | $1,850,000,000 | 31 December 2015 est. |
| 102 | Tanzania | $1,803,000,000 | 31 December 2012 est. |
| 103 | Namibia | $1,305,000,000 | 31 December 2012 est. |
| 104 | Latvia | $1,115,000,000 | 31 December 2012 est. |
| 105 | Laos | $1,012,000,000 | 2012 est. |
| 106 | Paraguay | $962,300,000 | 31 December 2012 est. |
| 107 | Georgia | $943,400,000 | 31 December 2012 est. |
| 108 | Malawi | $753,600,000 | 31 December 2012 est. |
| 109 | Mongolia | $632,600,000 | 31 December 2015 est. |
| 110 | Guyana | $610,900,000 | 31 December 2012 est. |
| 111 | Saint Kitts and Nevis | $598,400,000 | 31 December 2011 |
| 112 | Maldives | $555,000,000 | 31 December 2011 est. |
| 113 | Fiji | $452,500,000 | 31 December 2012 est. |
| 114 | Bhutan | $320,000,000 | 31 December 2013 |
| 115 | Cayman Islands | $315,600,000 | 31 December 2015 est. |
| 116 | Cameroon | $230,000,000 | 31 December 2012 est. |
| 117 | Trinidad and Tobago | $177,400,000 | 31 December 2015 est. |
| 118 | Uruguay | $175,400,000 | 31 December 2012 est. |
| 119 | Kyrgyzstan | $165,000,000 | 31 December 2012 est. |
| 120 | Armenia | $132,100,000 | 31 December 2012 est. |
| 121 | Moldova | $9,723,000 | 31 December 2014 est. |
| 122 | Tuvalu | $0 | 2014 |


