CIA - The World Factbook --  Market value of publicly traded shares   

This entry gives the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| 91 | Latvia | $ 3,111,000,000 | 31 December 2007 |
| 92 | Bermuda | $ 2,731,000,000 | 31 December 2007 |
| 93 | Macedonia | $ 2,715,000,000 | 31 December 2007 |
| 94 | West Bank | $ 2,475,000,000 | 31 December 2007 |
| 95 | Ghana | $ 2,380,000,000 | 31 December 2007 |
| 96 | Zambia | $ 2,346,000,000 | 31 December 2007 |
| 97 | Bolivia | $ 2,263,000,000 | 31 December 2007 |
| 98 | Costa Rica | $ 2,035,000,000 | 31 December 2007 |
| 99 | Georgia | $ 1,389,000,000 | 31 December 2007 |
| 100 | Namibia | $ 702,000,000 | 31 December 2007 |
| 101 | Mongolia | $ 612,200,000 | 31 December 2007 |
| 102 | Moldova | $ 573,900,000 | 2004 |
| 103 | Fiji | $ 522,200,000 | 31 December 2007 |
| 104 | Saint Kitts and Nevis | $ 439,700,000 | 31 December 2007 |
| 105 | Guyana | $ 262,400,000 | 31 December 2007 |
| 106 | Swaziland | $ 203,100,000 | 31 December 2007 |
| 107 | Cayman Islands | $ 183,500,000 | 31 December 2007 |
| 108 | Uruguay | $ 159,000,000 | 31 December 2007 |
| 109 | Kyrgyzstan | $ 121,000,000 | 31 December 2007 |
| 110 | Armenia | $ 105,000,000 | 31 December 2007 |
