CIA - The World Factbook --  Market value of publicly traded shares   

This entry gives the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| 54 | Ukraine | $ 39,460,000,000 | 31 December 2010 |
| 55 | Pakistan | $ 38,170,000,000 | 31 December 2010 |
| 56 | New Zealand | $ 36,300,000,000 | 31 December 2010 |
| 57 | Ireland | $ 33,720,000,000 | 31 December 2010 |
| 58 | Jordan | $ 27,180,000,000 | 31 December 2011 |
| 59 | Vietnam | $ 26,000,000,000 | 31 December 2011 |
| 60 | Hungary | $ 22,800,000,000 | 31 December 2011 |
| 61 | Croatia | $ 22,440,000,000 | 31 December 2011 |
| 62 | Romania | $ 21,200,000,000 | 31 December 2011 |
| 63 | Bahrain | $ 20,430,000,000 | 31 December 2010 |
| 64 | Oman | $ 20,270,000,000 | 31 December 2010 |
| 65 | Sri Lanka | $ 19,440,000,000 | 31 December 2011 |
| 66 | Bangladesh | $ 15,680,000,000 | 31 December 2010 |
| 67 | Kenya | $ 14,460,000,000 | 31 December 2010 |
| 68 | Lebanon | $ 12,590,000,000 | 31 December 2010 |
| 69 | Trinidad and Tobago | $ 12,160,000,000 | 31 December 2010 |
| 70 | Zimbabwe | $ 11,480,000,000 | 31 December 2010 |
| 71 | Panama | $ 10,920,000,000 | 31 December 2010 |
| 72 | Tunisia | $ 10,680,000,000 | 31 December 2010 |
| 73 | Papua New Guinea | $ 9,742,000,000 | 31 December 2010 |
| 74 | Slovenia | $ 9,428,000,000 | 31 December 2010 |
| 75 | Serbia | $ 8,365,000,000 | 31 December 2011 |
| 76 | Bulgaria | $ 7,276,000,000 | 31 December 2010 |
| 77 | Cote d'Ivoire | $ 7,099,000,000 | 31 December 2010 |
| 78 | Cyprus | $ 6,834,000,000 | 31 December 2010 |
| 79 | Jamaica | $ 6,626,000,000 | 31 December 2010 |
| 80 | Mauritius | $ 6,506,000,000 | 31 December 2010 |
| 81 | Bolivia | $ 6,089,000,000 | 31 December 2011 |
| 82 | Lithuania | $ 5,661,000,000 | 31 December 2010 |
| 83 | Ecuador | $ 5,263,000,000 | 31 December 2010 |
| 84 | Nepal | $ 4,843,000,000 | 31 December 2010 |
| 85 | Barbados | $ 4,366,000,000 | 31 December 2010 |
| 86 | El Salvador | $ 4,227,000,000 | 31 December 2010 |
| 87 | Slovakia | $ 4,150,000,000 | 31 December 2010 |
| 88 | Botswana | $ 4,107,000,000 | 31 December 2011 |
| 89 | Venezuela | $ 3,991,000,000 | 31 December 2010 |
| 90 | Montenegro | $ 3,604,000,000 | 31 December 2010 |
| 91 | Ghana | $ 3,531,000,000 | 31 December 2010 |
| 92 | Zambia | $ 2,817,000,000 | 31 December 2010 |
| 93 | Iraq | $ 2,600,000,000 | 31 July 2010 |
| 94 | Macedonia | $ 2,495,000,000 | 31 December 2011 |
| 95 | West Bank | $ 2,450,000,000 | 31 December 2010 |
| 96 | Malta | $ 2,399,000,000 | 31 December 2010 |
| 97 | Estonia | $ 2,260,000,000 | 31 December 2010 |
| 98 | Iceland | $ 1,996,000,000 | 31 December 2010 |
| 99 | Uganda | $ 1,788,000,000 | 31 December 2010 |
| 100 | Mongolia | $ 1,579,000,000 | 31 December 2011 |
| 101 | Costa Rica | $ 1,445,000,000 | 31 December 2010 |
| 102 | Bermuda | $ 1,436,000,000 | 31 December 2011 |
| 103 | Fiji | $ 1,404,000,000 | 31 December 2010 |
| 104 | Malawi | $ 1,363,000,000 | 31 December 2010 |
| 105 | Tanzania | $ 1,264,000,000 | 31 December 2010 |
| 106 | Latvia | $ 1,252,000,000 | 31 December 2010 |
| 107 | Namibia | $ 1,176,000,000 | 31 December 2010 |
| 108 | Georgia | $ 1,060,000,000 | 31 December 2010 |
| 109 | Uzbekistan | $ 715,300,000 | 31 December 2006 |
| 110 | Saint Kitts and Nevis | $ 623,900,000 | 31 December 2010 |
| 111 | Guyana | $ 339,800,000 | 31 December 2010 |
| 112 | Uruguay | $ 238,000,000 | 31 December 2010 |
| 113 | Swaziland | $ 200,000,000 | 31 December 2006 |
| 114 | Cayman Islands | $ 183,500,000 | 31 December 2007 |
| 115 | Kyrgyzstan | $ 79,000,000 | 31 December 2010 |
| 116 | Paraguay | $ 42,000,000 | 31 December 2010 |
| 117 | Armenia | $ 27,990,000 | 31 December 2010 |
| 118 | Moldova | $ 22,000,000 | 31 December 2010 |


