CIA - The World Factbook --  DISTRIBUTION OF FAMILY INCOME - GINI INDEX

Distribution of family income - Gini index measures the degree of inequality in the distribution of family income in a country. The more nearly equal a country's income distribution, the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality the index would be zero; if income were distributed with perfect inequality, the index would be 100.

| Rank | Country | DISTRIBUTION OF FAMILY INCOME - GINI INDEX | Date of Information |
| 63 | Tunisia | 40.0 | 2005 est. |
| 64 | Jordan | 39.7 | 2007 |
| 65 | Burkina Faso | 39.5 | 2007 |
| 66 | Uganda | 39.5 | 2013 |
| 67 | Guinea | 39.4 | 2007 |
| 68 | Venezuela | 39.0 | 2011 |
| 69 | Malawi | 39.0 | 2004 |
| 70 | Mauritania | 39.0 | 2000 |
| 71 | Serbia | 38.7 | 2014 est. |
| 72 | Bhutan | 38.7 | 2012 |
| 73 | Cambodia | 37.9 | 2008 est. |
| 74 | Japan | 37.9 | 2011 |
| 75 | Yemen | 37.9 | 2009 est. |
| 76 | Tanzania | 37.6 | 2007 |
| 77 | Vietnam | 37.6 | 2008 |
| 78 | Maldives | 37.4 | 2004 est. |
| 79 | Indonesia | 36.8 | 2009 |
| 80 | Uzbekistan | 36.8 | 2003 |
| 81 | Greece | 36.7 | 2012 est. |
| 82 | Laos | 36.7 | 2008 |
| 83 | Mongolia | 36.5 | 2008 |
| 84 | Benin | 36.5 | 2003 |
| 85 | New Zealand | 36.2 | 1997 |
| 86 | Bosnia and Herzegovina | 36.2 | 2007 |
| 87 | Spain | 35.9 | 2012 |
| 88 | Mauritius | 35.9 | 2012 est. |
| 89 | Estonia | 35.6 | 2014 |
| 90 | Lithuania | 35.5 | 2009 |
| 91 | Bulgaria | 35.4 | 2013 |
| 92 | Algeria | 35.3 | 1995 |
| 93 | Latvia | 35.2 | 2010 |
| 94 | Macau | 35.0 | 2013 |
| 95 | Cyprus | 34.8 | 2014 est. |
| 96 | West Bank | 34.5 | 2009 est. |
| 97 | Portugal | 34.2 | 2013 est. |
| 98 | Niger | 34.0 | 2007 |
| 99 | Sierra Leone | 34.0 | 2011 |
| 100 | Azerbaijan | 33.7 | 2008 |
| 101 | India | 33.6 | 2012 |
| 102 | Taiwan | 33.6 | 2014 |
| 103 | Kyrgyzstan | 33.4 | 2007 |
| 104 | Ethiopia | 33.0 | 2011 |
| 105 | Nepal | 32.8 | 2010 |
| 106 | Tajikistan | 32.6 | 2006 |
| 107 | United Kingdom | 32.4 | 2012 |
| 108 | Poland | 32.4 | 2012 |
| 109 | Canada | 32.1 | 2005 |
| 110 | Bangladesh | 32.1 | 2010 |
| 111 | Croatia | 32.0 | 2010 |
| 112 | Italy | 31.9 | 2012 est. |
| 113 | Timor-Leste | 31.9 | 2007 est. |
| 114 | Ireland | 31.3 | 2013 est. |
| 115 | European Union | 30.9 | 2014 est. |
| 116 | Egypt | 30.8 | 2008 |
| 117 | Hungary | 30.6 | 2013 est. |
| 118 | Luxembourg | 30.4 | 2013 est. |
| 119 | Armenia | 30.3 | 2012 |
| 120 | Australia | 30.3 | 2008 |
| 121 | Korea, South | 30.2 | 2014 est. |
| 122 | France | 30.1 | 2013 |
| 123 | Kosovo | 30.0 | FY05/06 |
| 124 | Pakistan | 29.6 | FY2011 |
| 125 | Austria | 29.2 | 2013 |
| 126 | Albania | 29.0 | 2012 est. |
| 127 | Kazakhstan | 28.9 | 2011 |
| 128 | Switzerland | 28.7 | 2012 est. |
| 129 | Moldova | 28.5 | 2013 |
| 130 | Iceland | 28.0 | 2006 |
| 131 | Malta | 27.7 | 2014 |
| 132 | Romania | 27.3 | 2012 |
| 133 | Germany | 27.0 | 2006 |
| 134 | Norway | 26.8 | 2010 |
| 135 | Finland | 26.8 | 2008 |
| 136 | Belarus | 26.5 | 2011 |
| 137 | Montenegro | 26.2 | 2013 est. |
| 138 | Slovakia | 26.0 | 2013 |
| 139 | Belgium | 25.9 | 2013 est. |
| 140 | Netherlands | 25.1 | 2013 est. |
| 141 | Czechia | 24.9 | 2012 |
| 142 | Sweden | 24.9 | 2013 |
| 143 | Denmark | 24.8 | 2011 est. |
| 144 | Ukraine | 24.6 | 2013 |
| 145 | Slovenia | 23.7 | 2012 |


