CIA - The World Factbook --  Distribution of family income - Gini index   

This index measures the degree of inequality in the distribution of family income in a country. The index is calculated from the Lorenz curve, in which cumulative family income is plotted against the number of families arranged from the poorest to the richest. The index is the ratio of (a) the area between a country's Lorenz curve and the 45 degree helping line to (b) the entire triangular area under the 45 degree line. The more nearly equal a country's income distribution, the closer its Lorenz curve to the 45 degree line and the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the farther its Lorenz curve from the 45 degree line and the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality, the Lorenz curve would coincide with the 45 degree line and the index would be zero; if income were distributed with perfect inequality, the Lorenz curve would coincide with the horizontal axis and the right vertical axis and the index would be 100.

| Rank | country | Distribution of family income - Gini index | Date of Information |
| 93 | Azerbaijan | 33.7 | 2008 |
| 94 | Switzerland | 33.7 | 2008 |
| 95 | Kyrgyzstan | 33.4 | 2007 |
| 96 | Romania | 33.3 | 2010 |
| 97 | Bangladesh | 33.2 | 2005 |
| 98 | Greece | 33.0 | 2005 |
| 99 | Nepal | 32.8 | 2010 |
| 100 | France | 32.7 | 2008 |
| 101 | Taiwan | 32.6 | 2000 |
| 102 | Tajikistan | 32.6 | 2006 |
| 103 | Canada | 32.1 | 2005 |
| 104 | Spain | 32.0 | 2005 |
| 105 | Croatia | 32.0 | 2010 |
| 106 | Italy | 31.9 | 2011 |
| 107 | Timor-Leste | 31.9 | 2007 est. |
| 108 | Estonia | 31.3 | 2010 |
| 109 | Korea, South | 31.0 | 2010 |
| 110 | Czech Republic | 31.0 | 2009 |
| 111 | Armenia | 30.9 | 2008 |
| 112 | Netherlands | 30.9 | 2007 |
| 113 | European Union | 30.7 | 2011 est. |
| 114 | Pakistan | 30.6 | FY07/08 |
| 115 | Australia | 30.5 | 2006 |
| 116 | Kosovo | 30.0 | FY05/06 |
| 117 | Ethiopia | 30.0 | 2000 |
| 118 | Cyprus | 29.0 | 2005 |
| 119 | Slovenia | 28.4 | 2008 |
| 120 | Serbia | 28.2 | 2008 |
| 121 | Belgium | 28.0 | 2005 |
| 122 | Iceland | 28.0 | 2006 |
| 123 | Ukraine | 27.5 | 2008 |
| 124 | Malta | 27.4 | 2011 |
| 125 | Belarus | 27.2 | 2008 |
| 126 | Germany | 27.0 | 2006 |
| 127 | Finland | 26.8 | 2008 |
| 128 | Kazakhstan | 26.7 | 2009 |
| 129 | Austria | 26.0 | 2007 |
| 130 | Luxembourg | 26.0 | 2005 |
| 131 | Slovakia | 26.0 | 2005 |
| 132 | Norway | 25.0 | 2008 |
| 133 | Denmark | 24.8 | 2011 est. |
| 134 | Hungary | 24.7 | 2009 |
| 135 | Montenegro | 24.3 | 2010 |
| 136 | Sweden | 23.0 | 2005 |
