CIA - The World Factbook --  DISTRIBUTION OF FAMILY INCOME - GINI INDEX

Distribution of family income - Gini index measures the degree of inequality in the distribution of family income in a country. The more nearly equal a country's income distribution, the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality the index would be zero; if income were distributed with perfect inequality, the index would be 100.

| Rank | Country | DISTRIBUTION OF FAMILY INCOME - GINI INDEX | Date of Information |
| 64 | Thailand | 39.4 | 2010 |
| 65 | Macedonia | 39.2 | 2011 |
| 66 | Mauritania | 39.0 | 2000 |
| 67 | Venezuela | 39.0 | 2011 |
| 68 | Malawi | 39.0 | 2004 |
| 69 | Mauritius | 39.0 | 2006 est. |
| 70 | Bhutan | 38.7 | 2012 |
| 71 | Serbia | 38.0 | 2013 est. |
| 72 | Cambodia | 37.9 | 2008 est. |
| 73 | Yemen | 37.7 | 2005 |
| 74 | Israel | 37.6 | 2012 |
| 75 | Japan | 37.6 | 2008 |
| 76 | Tanzania | 37.6 | 2007 |
| 77 | Vietnam | 37.6 | 2008 |
| 78 | Maldives | 37.4 | 2004 est. |
| 79 | India | 36.8 | 2004 |
| 80 | Uzbekistan | 36.8 | 2003 |
| 81 | Indonesia | 36.8 | 2009 |
| 82 | Laos | 36.7 | 2008 |
| 83 | Mongolia | 36.5 | 2008 |
| 84 | Benin | 36.5 | 2003 |
| 85 | New Zealand | 36.2 | 1997 |
| 86 | Bosnia and Herzegovina | 36.2 | 2007 |
| 87 | Lithuania | 35.5 | 2009 |
| 88 | Algeria | 35.3 | 1995 |
| 89 | Latvia | 35.2 | 2010 |
| 90 | Macau | 35.0 | 2013 |
| 91 | Albania | 34.5 | 2008 |
| 92 | Greece | 34.4 | 2013 est. |
| 93 | Taiwan | 34.2 | 2011 |
| 94 | Portugal | 34.2 | 2013 est. |
| 95 | Poland | 34.1 | 2009 |
| 96 | Spain | 34.0 | 2011 |
| 97 | Niger | 34.0 | 2007 |
| 98 | Ireland | 33.9 | 2010 |
| 99 | Azerbaijan | 33.7 | 2008 |
| 100 | Kyrgyzstan | 33.4 | 2007 |
| 101 | Moldova | 33.0 | 2010 |
| 102 | Ethiopia | 33.0 | 2011 |
| 103 | Nepal | 32.8 | 2010 |
| 104 | Tajikistan | 32.6 | 2006 |
| 105 | Cyprus | 32.4 | 2013 est. |
| 106 | United Kingdom | 32.3 | 2012 |
| 107 | Bangladesh | 32.1 | 2010 |
| 108 | Canada | 32.1 | 2005 |
| 109 | Croatia | 32.0 | 2010 |
| 110 | Italy | 31.9 | 2012 est. |
| 111 | Timor-Leste | 31.9 | 2007 est. |
| 112 | Estonia | 31.3 | 2010 |
| 113 | Korea, South | 31.1 | 2011 est. |
| 114 | France | 30.9 | 2011 |
| 115 | Armenia | 30.9 | 2008 |
| 116 | Egypt | 30.8 | 2008 |
| 117 | European Union | 30.6 | 2012 est. |
| 118 | Luxembourg | 30.4 | 2013 est. |
| 119 | Australia | 30.3 | 2008 |
| 120 | Kosovo | 30.0 | FY05/06 |
| 121 | Pakistan | 29.6 | FY2011 |
| 122 | Kazakhstan | 28.9 | 2011 |
| 123 | Switzerland | 28.7 | 2012 est. |
| 124 | Ukraine | 28.2 | 2009 |
| 125 | Iceland | 28.0 | 2006 |
| 126 | Malta | 27.9 | 2013 |
| 127 | Romania | 27.4 | 2011 |
| 128 | Belarus | 27.2 | 2008 |
| 129 | Germany | 27.0 | 2006 |
| 130 | Finland | 26.8 | 2008 |
| 131 | Austria | 26.3 | 2007 |
| 132 | Slovakia | 26.0 | 2005 |
| 133 | Belgium | 25.9 | 2013 est. |
| 134 | Netherlands | 25.1 | 2013 est. |
| 135 | Norway | 25.0 | 2008 |
| 136 | Czech Republic | 24.9 | 2012 |
| 137 | Denmark | 24.8 | 2011 est. |
| 138 | Hungary | 24.7 | 2009 |
| 139 | Montenegro | 24.3 | 2010 |
| 140 | Slovenia | 23.7 | 2012 |
| 141 | Sweden | 23.0 | 2005 |


