CIA - The World Factbook --  Distribution of family income - Gini index   

This index measures the degree of inequality in the distribution of family income in a country. The index is calculated from the Lorenz curve, in which cumulative family income is plotted against the number of families arranged from the poorest to the richest. The index is the ratio of (a) the area between a country's Lorenz curve and the 45 degree helping line to (b) the entire triangular area under the 45 degree line. The more nearly equal a country's income distribution, the closer its Lorenz curve to the 45 degree line and the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the farther its Lorenz curve from the 45 degree line and the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality, the Lorenz curve would coincide with the 45 degree line and the index would be zero; if income were distributed with perfect inequality, the Lorenz curve would coincide with the horizontal axis and the right vertical axis and the index would be 100.

| Rank | country | Distribution of family income - Gini index | Date of Information |
| 93 | Poland | 34.2 | 2008 |
| 94 | Niger | 34.0 | 2007 |
| 95 | United Kingdom | 34.0 | 2005 |
| 96 | Croatia | 33.7 | 2008 |
| 97 | Azerbaijan | 33.7 | 2008 |
| 98 | Switzerland | 33.7 | 2008 |
| 99 | Kyrgyzstan | 33.4 | 2007 |
| 100 | Bangladesh | 33.2 | 2005 |
| 101 | Greece | 33.0 | 2005 |
| 102 | France | 32.7 | 2008 |
| 103 | Tajikistan | 32.6 | 2006 |
| 104 | Taiwan | 32.6 | 2000 |
| 105 | Canada | 32.1 | 2005 |
| 106 | Spain | 32.0 | 2005 |
| 107 | Italy | 32.0 | 2006 |
| 108 | Timor-Leste | 31.9 | 2007 est. |
| 109 | Estonia | 31.4 | 2009 |
| 110 | Korea, South | 31.4 | 2009 |
| 111 | Romania | 31.2 | 2008 |
| 112 | Armenia | 30.9 | 2008 |
| 113 | Netherlands | 30.9 | 2007 |
| 114 | Pakistan | 30.6 | FY07/08 |
| 115 | Australia | 30.5 | 2006 |
| 116 | European Union | 30.4 | 2009 est. |
| 117 | Kosovo | 30.0 | FY05/06 |
| 118 | Montenegro | 30.0 | 2008 |
| 119 | Ethiopia | 30.0 | 2000 |
| 120 | Afghanistan | 29.4 | 2008 |
| 121 | Ireland | 29.3 | 2009 |
| 122 | Cyprus | 29.0 | 2005 |
| 123 | Denmark | 29.0 | 2007 |
| 124 | Slovenia | 28.4 | 2008 |
| 125 | Serbia | 28.2 | 2008 |
| 126 | Iceland | 28.0 | 2006 |
| 127 | Belgium | 28.0 | 2005 |
| 128 | Ukraine | 27.5 | 2008 |
| 129 | Belarus | 27.2 | 2008 |
| 130 | Germany | 27.0 | 2006 |
| 131 | Finland | 26.8 | 2008 |
| 132 | Kazakhstan | 26.7 | 2009 |
| 133 | Slovakia | 26.0 | 2005 |
| 134 | Luxembourg | 26.0 | 2005 |
| 135 | Malta | 26.0 | 2007 |
| 136 | Austria | 26.0 | 2007 |
| 137 | Czech Republic | 26.0 | 2005 |
| 138 | Norway | 25.0 | 2008 |
| 139 | Hungary | 24.7 | 2009 |
| 140 | Sweden | 23.0 | 2005 |
