CIA - The World Factbook --  Distribution of family income - Gini index   

This index measures the degree of inequality in the distribution of family income in a country. The index is calculated from the Lorenz curve, in which cumulative family income is plotted against the number of families arranged from the poorest to the richest. The index is the ratio of (a) the area between a country's Lorenz curve and the 45 degree helping line to (b) the entire triangular area under the 45 degree line. The more nearly equal a country's income distribution, the closer its Lorenz curve to the 45 degree line and the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the farther its Lorenz curve from the 45 degree line and the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality, the Lorenz curve would coincide with the 45 degree line and the index would be zero; if income were distributed with perfect inequality, the Lorenz curve would coincide with the horizontal axis and the right vertical axis and the index would be 100.

| Rank | country | Distribution of family income - Gini index | Date of Information |
| 93 | Switzerland | 33.7 | 2008 |
| 94 | Bangladesh | 33.2 | 2005 |
| 95 | Moldova | 33.2 | 2003 |
| 96 | Greece | 33.0 | 2005 |
| 97 | Mongolia | 32.8 | 2002 |
| 98 | France | 32.7 | 2008 |
| 99 | Tajikistan | 32.6 | 2006 |
| 100 | Canada | 32.1 | 2005 |
| 101 | Ireland | 32.0 | 2005 |
| 102 | Spain | 32.0 | 2005 |
| 103 | Romania | 32.0 | 2008 |
| 104 | Italy | 32.0 | 2006 |
| 105 | Korea, South | 31.3 | 2007 |
| 106 | European Union | 31.0 | 2005 est. |
| 107 | Ukraine | 31.0 | 2006 |
| 108 | Netherlands | 30.9 | 2007 |
| 109 | Bulgaria | 30.7 | 2007 |
| 110 | Pakistan | 30.6 | FY07/08 |
| 111 | Australia | 30.5 | 2006 |
| 112 | Kazakhstan | 30.4 | 2005 |
| 113 | Kyrgyzstan | 30.3 | 2003 |
| 114 | Ethiopia | 30.0 | 2000 |
| 115 | Montenegro | 30.0 | 2003 |
| 116 | Serbia | 30.0 | 2003 |
| 117 | Finland | 29.5 | 2007 |
| 118 | Cyprus | 29.0 | 2005 |
| 119 | Croatia | 29.0 | 2008 |
| 120 | Belgium | 28.0 | 2005 |
| 121 | Hungary | 28.0 | 2005 |
| 122 | Belarus | 27.9 | 2005 |
| 123 | Germany | 27.0 | 2006 |
| 124 | Albania | 26.7 | 2005 |
| 125 | Austria | 26.0 | 2007 |
| 126 | Luxembourg | 26.0 | 2005 |
| 127 | Malta | 26.0 | 2007 |
| 128 | Slovakia | 26.0 | 2005 |
| 129 | Czech Republic | 26.0 | 2005 |
| 130 | Iceland | 25.0 | 2005 |
| 131 | Norway | 25.0 | 2008 |
| 132 | Denmark | 24.0 | 2005 |
| 133 | Slovenia | 24.0 | 2005 |
| 134 | Sweden | 23.0 | 2005 |
