CIA - The World Factbook -- Field Listing - Internet Service Providers (ISPs)

| Country | Internet Service Providers (ISPs) |
| **Gaza Strip** | 3 (1999) |
| **Georgia** | 6 (2000) |
| **Germany** | 200 (2001) |
| **Ghana** | 12 (2000) |
| **Gibraltar** | 2 (2000) |
| **Greece** | 27 (2000) |
| **Greenland** | 1 (2000) |
| **Grenada** | 14 (2000) |
| **Guadeloupe** | 3 (2000) |
| **Guam** | 20 (2000) |
| **Guatemala** | 5 (2000) |
| **Guernsey** | NA |
| **Guinea** | 4 (2001) |
| **Guinea-Bissau** | 2 (2002) |
| **Guyana** | 3 (2000) |
| **Haiti** | 3 (2000) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 8 (2000) |
| **Hong Kong** | 17 (2000) |
| **Hungary** | 16 (2000) |
| **Iceland** | 20 (2001) |
| **India** | 43 (2000) |
| **Indonesia** | 24 (2000) |
| **Iran** | 100 (2002) |
| **Iraq** | 1 (2000) |
| **Ireland** | 22 (2000) |
| **Israel** | 21 (2000) |
| **Italy** | 93 (Italy and Holy See) (2000) |
| **Jamaica** | 21 (2000) |
| **Jan Mayen** | 13 (Jan Mayen and Svalbard) (2000) |
| **Japan** | 73 (2000) |
| **Jersey** | NA |
| **Johnston Atoll** | 1 256 KB circuit to US Department of Defense-run Nonsecure Internet Protocol Router Network (NIPRNET) (2002) |
| **Jordan** | 5 (2000) |
| **Kazakhstan** | 10 (with their own international channels) (2001) |
| **Kenya** | 65 (2001) |
| **Kiribati** | 1 (2000) |
| **Korea, North** | 1 (2000) |
| **Korea, South** | 11 (2000) |
| **Kuwait** | 3 (2000) |
| **Kyrgyzstan** | NA |
| **Laos** | 1 (2000) |
| **Latvia** | 41 (2001) |
| **Lebanon** | 22 (2000) |
| **Lesotho** | 1 (2000) |
| **Liberia** | 2 (2001) |
| **Libya** | 1 (2002) |
| **Liechtenstein** | 44 (Liechtenstein and Switzerland) (2000) |
| **Lithuania** | 32 (2001) |
| **Luxembourg** | 8 (2000) |
| **Macau** | 1 (2000) |
| **Macedonia, The Former Yugoslav Republic of** | 6 (2000) |
| **Madagascar** | 2 (2000) |
| **Malawi** | 3 (2002) |
| **Malaysia** | 7 (2000) |
| **Maldives** | 1 (2000) |
| **Mali** | 13 (2001) |
| **Malta** | 6 (2002) |
| **Man, Isle of** | NA |
| **Marshall Islands** | 1 (2002) |
| **Martinique** | 2 (2000) |
| **Mauritania** | 5 (2001) |
| **Mauritius** | 2 (2000) |
| **Mayotte** | NA |
| **Mexico** | 51 (2000) |
| **Micronesia, Federated States of** | 1 (2000) |
| **Moldova** | 2 (1999) |
| **Monaco** | 2 (2000) |
| **Mongolia** | 5 (2001) |
| **Montserrat** | 17 (2000) |
| **Morocco** | 8 (2000) |
| **Mozambique** | 11 (2002) |
| **Namibia** | 2 (2000) |
| **Nauru** | 1 (2000) |
| **Nepal** | 6 (2000) |
| **Netherlands** | 52 (2000) |
| **Netherlands Antilles** | 6 |
| **New Caledonia** | 1 (2000) |
| **New Zealand** | 36 (2000) |
| **Nicaragua** | 3 (2000) |
| **Niger** | 1 (2002) |
| **Nigeria** | 11 (2000) |
| **Niue** | 1 (2000) |
| **Norfolk Island** | 2 (2000) |
| **Northern Mariana Islands** | 1 (2001) |
| **Norway** | 13 (2000) |
| **Oman** | 1 (2000) |
| **Pakistan** | 30 (2000) |
| **Palau** | 1 (2002) |
| **Panama** | 6 (2000) |
| **Papua New Guinea** | 3 (2000) |
| **Paraguay** | 4 (2000) |
| **Peru** | 10 (2000) |
| **Philippines** | 33 (2000) |
| **Pitcairn Islands** | NA |
| **Poland** | 19 (2000) |
| **Portugal** | 16 (2000) |
| **Puerto Rico** | 76 (2000) |
| **Qatar** | 1 (2000) |
| **Reunion** | 1 (2000) |
| **Romania** | 38 (2000) |
| **Russia** | 300 (June 2000) |
| **Rwanda** | 2 (2002) |
| **Saint Helena** | 1 (2000) |
| **Saint Kitts and Nevis** | 16 (2000) |
| **Saint Lucia** | 15 (2000) |
| **Saint Pierre and Miquelon** | 1 (2000) |
| **Saint Vincent and the Grenadines** | 15 (2000) |
| **Samoa** | 2 (2000) |
| **San Marino** | 2 (2000) |
| **Sao Tome and Principe** | 1 (2002) |
| **Saudi Arabia** | 22 (2003) |
| **Senegal** | 1 (2002) |
| **Serbia and Montenegro** | 9 (2000) |
| **Seychelles** | 1 (2000) |
| **Sierra Leone** | 1 (2001) |
| **Singapore** | 9 (2000) |
| **Slovakia** | 6 (2000) |
| **Slovenia** | 11 (2000) |
| **Solomon Islands** | 1 (2000) |
| **Somalia** | 3 (one each in Boosaaso, Hargeisa, and Mogadishu) (2000) |
| **South Africa** | 150 (2001) |
| **Spain** | 56 (2000) |
| **Sri Lanka** | 5 (2000) |
| **Sudan** | 2 (2002) |
| **Suriname** | 2 (2000) |
| **Svalbard** | 13 (Svalbard and Jan Mayen) (2000) |
| **Swaziland** | 5 (2002) |
| **Sweden** | 29 (2000) |
| **Switzerland** | 44 (Switzerland and Liechtenstein) (2000) |
| **Syria** | 1 (2000) |
| **Taiwan** | 8 (2000) |
| **Tajikistan** | 4 (2002) |
| **Tanzania** | 6 (2000) |
| **Thailand** | 15 (2000) |
| **Togo** | 3 (2001) |
| **Tokelau** | 1 (2000) |
| **Tonga** | 2 (2000) |
| **Trinidad and Tobago** | 17 (2000) |
| **Tunisia** | 1 (2000) |
| **Turkey** | 50 (2001) |
| **Turkmenistan** | 1 |
| **Turks and Caicos Islands** | 14 (2000) |
| **Tuvalu** | 1 (2000) |
| **Uganda** | 2 (2000) |
| **Ukraine** | 260 (2001) |
| **United Arab Emirates** | 1 (2000) |
| **United Kingdom** | more than 400 (2000) |
| **United States** | 7,000 (2002 est.) |
| **Uruguay** | 14 (2001) |
| **Uzbekistan** | 42 (2000) |
| **Vanuatu** | 1 (2000) |
| **Venezuela** | 16 (2000) |
| **Vietnam** | 5 (2000) |
| **Virgin Islands** | 50 (2000) |
| **Wallis and Futuna** | 1 (2000) |
| **West Bank** | 8 (1999) |
| **Western Sahara** | 1 (2000) |
| **World** | 10,350 (2000 est.) |
| **Yemen** | 1 (2000) |
| **Zambia** | 5 (2001) |
| **Zimbabwe** | 6 (2000) |

This page was last updated on 18 December, 2003
 
