CIA - The World Factbook 2000 -- Internet Service Providers (ISPs)

| Country | Internet Service Providers (ISPs) |
| **Mayotte** | NA |
| **Mexico** | 167 (1999) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 2 (1999) |
| **Monaco** | 4 (1999) |
| **Mongolia** | NA |
| **Montserrat** | NA |
| **Morocco** | 27 (1999) |
| **Mozambique** | 2 (1999) |
| **Namibia** | 4 (1999) |
| **Nauru** | NA |
| **Nepal** | NA |
| **Netherlands** | 70 (1999) |
| **Netherlands Antilles** | 6 (1999) |
| **New Caledonia** | 1 (1999) |
| **New Zealand** | 56 (1999) |
| **Nicaragua** | 5 (1999) |
| **Niger** | 1 (1999) |
| **Nigeria** | 5 (1999) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | 21 (1999) |
| **Oman** | 1 (1999) |
| **Pakistan** | 26 (1999) |
| **Palau** | NA |
| **Panama** | 3 (1999) |
| **Papua New Guinea** | 2 (1999) |
| **Paraguay** | 4 (1999) |
| **Peru** | 15 (1999) |
| **Philippines** | 93 (1999) |
| **Pitcairn Islands** | NA |
| **Poland** | 161 (1999) |
| **Portugal** | 20 (1999) |
| **Puerto Rico** | 18 (1999) |
| **Qatar** | NA |
| **Reunion** | NA |
| **Romania** | 30 (1999) |
| **Russia** | 83 (Russia and Kazakhstan) (1999) |
| **Rwanda** | 1 (1999) |
| **Saint Helena** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | 1 (1999) |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | 6 (1999) |
| **Senegal** | 4 (1999) |
| **Serbia and Montenegro** | 6 (1999) |
| **Seychelles** | 1 (1999) |
| **Sierra Leone** | NA |
| **Singapore** | 8 (1999) |
| **Slovakia** | 11 (1999) |
| **Slovenia** | 7 (1999) |
| **Solomon Islands** | NA |
| **Somalia** | NA |
| **South Africa** | 58 (1999) |
| **Spain** | 49 (1999) |
| **Sri Lanka** | 4 (1999) |
| **Sudan** | 1 (1999) |
| **Suriname** | 1 (1999) |
| **Svalbard** | NA |
| **Swaziland** | 2 (1999) |
| **Sweden** | 29 (1999) |
| **Switzerland** | 115 (Switzerland and Liechtenstein) (1999) |
| **Syria** | NA |
| **Tajikistan** | NA |
| **Tanzania** | 7 (1999) |
| **Thailand** | 13 (1999) |
| **Togo** | 1 (1999) |
| **Tokelau** | NA |
| **Tonga** | 1 (1999) |
| **Trinidad and Tobago** | 5 (1999) |
| **Tunisia** | 4 (1999) |
| **Turkey** | 24 (1999) |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | 1 (1999) |
| **Tuvalu** | 1 (1999) |
| **Uganda** | 3 (1999) |
| **Ukraine** | 35 (1999) |
| **United Arab Emirates** | 1 (1999) |
| **United Kingdom** | 364 (1999) |
| **United States** | 7,600 (1999 est.) |
| **Uruguay** | 5 (1999) |
| **Uzbekistan** | 1 (1999) |
| **Vanuatu** | 2 (1999) |
| **Venezuela** | 11 (1999) |
| **Vietnam** | 5 (1999) |
| **Virgin Islands** | 2 (1999) |
| **Wallis and Futuna** | NA |
| **West Bank** | 8 (1999) |
| **Western Sahara** | NA |
| **World** | 13,119 (1999) |
| **Yemen** | 1 (1999) |
| **Zambia** | 3 (1999) |
| **Zimbabwe** | 10 (1999) |
| **Taiwan: | 15 (1999)** | 



